Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01476733,0.1001715,0.06911225,0.01678019,0.01156368,0.05447949,0.01172496,0.000958901,0.04112484,0.04032474,0.009173037,0.002554378,0.007253025,0.002843918,0.004968899,0.003407453,0.01364769,0.08135124,0.01949353,0.009810319,0.0002512541,0.04107931,0.0006366419,0.03983531,0.04193131,0.0008688704,0.006623982,0.0005348907,0.004927773,2.713668E-05,0.0117275,0.0003228013,0.00644561,0.003265235,0.0008729121,0.00786849,0.01476591,0.06116348,0.007314825,0.01483795,0.1146482,0.05930152,0.06286396,0.04849808,0.02596595,0.1584038,0.1915708,0.07296955,0.2857036,0.003037749,0.02947331,0.1581333,0.01598369,0.08270625,0.03982237,0.0400099,0.9622829,0.7673507,2.658529,1.663088,0.5378768,0.1828349,0.6934677,0.1822645,0.04318613,2.024384,0.008815839,0.013115,0.09246171,0.2337336,6.586298,9.687301,21.17672,22.00865,40.24878,3.511972,32.93475,70.55871
2,0.01468973,0.1013183,0.06930201,0.01679571,0.01154824,0.05400718,0.01176656,0.0009460356,0.04100238,0.04032943,0.008453574,0.002497661,0.007236587,0.003024185,0.00435917,0.003383192,0.0134375,0.08022535,0.01946764,0.009662435,0.0002395993,0.0408322,0.0004526113,0.03806872,0.04184495,0.0008672563,0.006589217,0.0005348851,0.004900728,2.781473E-05,0.01146414,0.0003195746,0.006425461,0.003236285,0.0007841017,0.007653931,0.01459829,0.06072197,0.007298712,0.01480117,0.1141124,0.0571091,0.06267547,0.04838885,0.02601898,0.1581742,0.1834991,0.07220338,0.2865132,0.00302423,0.0283547,0.1580983,0.01601543,0.08232158,0.03997933,0.03995506,0.9616053,0.8035831,2.6544,1.651323,0.5420997,0.1828067,0.6956481,0.1809293,0.04312328,2.023044,0.008515816,0.01128887,0.08992053,0.2287599,6.585498,9.685541,21.17356,22.01207,40.24771,3.514413,32.93123,70.55476
3,0.01461482,0.1025003,0.06947239,0.01680958,0.01152358,0.05354746,0.01181013,0.0009392609,0.04087223,0.04033226,0.007265054,0.002390049,0.007198873,0.003211499,0.003366506,0.003388287,0.01302329,0.07880277,0.01949519,0.009641887,0.0002339135,0.04062405,0.0003523766,0.03431399,0.04174649,0.0008894581,0.006595758,0.0005369181,0.004869736,2.83708E-05,0.01115566,0.0003142835,0.006471474,0.003191304,0.0007495023,0.006953495,0.01456523,0.06009991,0.007262479,0.01485998,0.1128549,0.05522687,0.06265912,0.04826689,0.0272055,0.1593385,0.1749018,0.07153915,0.2906265,0.002994012,0.02678527,0.1587515,0.01612432,0.08269771,0.04023054,0.03999344,0.9632372,0.8343401,2.698024,1.631181,0.5366486,0.1841494,0.7001372,0.1783845,0.04320414,2.0214,0.008389443,0.01112279,0.08904148,0.2218229,6.582838,9.689097,21.15439,22.01505,40.24243,3.512709,32.92697,70.54661
4,0.01454449,0.1037321,0.06962448,0.01682537,0.01149225,0.05314583,0.01185253,0.000931212,0.0406981,0.04033498,0.006505366,0.002318044,0.007170106,0.003418396,0.002626391,0.003373833,0.01263642,0.07683798,0.01959665,0.009773829,0.000238793,0.04038116,0.000382325,0.03031495,0.04158817,0.0008980683,0.006610413,0.000535303,0.00486491,2.86131E-05,0.0108049,0.0003106235,0.006518675,0.003109501,0.0007789687,0.006573143,0.01449818,0.05982685,0.007214086,0.01487171,0.1113096,0.05352722,0.0627873,0.04792664,0.02838132,0.1603534,0.1721434,0.07114475,0.2971534,0.002952973,0.02615499,0.1592196,0.01622859,0.08370946,0.04057552,0.04006632,0.9670147,0.8046288,2.740065,1.647052,0.5337842,0.183654,0.7056126,0.1754522,0.04326192,2.01666,0.008482091,0.01183558,0.08991244,0.2184852,6.578084,9.685559,21.13046,22.01394,40.23978,3.510298,32.92659,70.53962
5,0.01448655,0.1049818,0.06975884,0.01684363,0.01145918,0.0527149,0.01187606,0.0009037482,0.04037919,0.04033883,0.005753987,0.002231415,0.007136052,0.003644772,0.002087404,0.003242901,0.01228185,0.07374051,0.01953601,0.009613258,0.0002348447,0.04006967,0.0003258445,0.02615414,0.0413803,0.0008844098,0.006564559,0.0005364481,0.004849582,2.847768E-05,0.0103934,0.0003073743,0.006485551,0.002950874,0.0007328661,0.006710799,0.01401438,0.05952075,0.007144936,0.01465476,0.1097614,0.05003193,0.06300602,0.04688006,0.02839673,0.1597614,0.1666663,0.06989955,0.3048873,0.002900006,0.02540617,0.1590607,0.0163483,0.08536274,0.04098491,0.04012888,0.9734485,0.782865,2.676834,1.670678,0.5360626,0.1840527,0.7124545,0.1743525,0.04334824,2.01919,0.008348419,0.01092545,0.08883914,0.2124992,6.575232,9.684371,21.17066,22.0248,40.24678,3.512865,32.93355,70.55527
6,0.01445073,0.1062422,0.06987882,0.01687059,0.01142216,0.05226253,0.01188213,0.000859101,0.03983955,0.04034598,0.004933432,0.002122921,0.0070984,0.003889917,0.00172762,0.003020424,0.01192939,0.07064691,0.01938674,0.009240454,0.0002338976,0.03978292,0.0002801347,0.02228787,0.04117914,0.000861503,0.006470529,0.0005371058,0.004826633,2.82076E-05,0.01000613,0.0003038037,0.006409911,0.002751324,0.0007049695,0.006436133,0.01348408,0.0591916,0.0070529,0.01432479,0.1090925,0.04639366,0.06331829,0.04531422,0.02794478,0.1588088,0.1608864,0.06837229,0.3143118,0.002831806,0.02451839,0.1587815,0.01651265,0.08767196,0.04144209,0.04018603,0.9841692,0.7704207,2.669003,1.664286,0.5509806,0.1854307,0.719763,0.1760119,0.04350168,2.025489,0.008308371,0.01097049,0.08869351,0.2043306,6.574064,9.68364,21.18809,22.0368,40.24911,3.513853,32.93495,70.56078
7,0.01444505,0.1075027,0.06998505,0.01691282,0.0113835,0.05184688,0.0118779,0.0008066169,0.03911985,0.04036088,0.00405818,0.001995689,0.007085692,0.004161702,0.001397038,0.002765968,0.01157955,0.0679528,0.01958336,0.0087782,0.0002263853,0.03951712,0.000195158,0.01858615,0.04098919,0.0008545325,0.00637785,0.000538433,0.004810897,2.775986E-05,0.01006048,0.0002996499,0.006335646,0.002563942,0.0006418152,0.00606391,0.01323384,0.05874272,0.006942636,0.01399049,0.1084729,0.04268774,0.06372149,0.04343006,0.02763416,0.1580641,0.1533909,0.06682164,0.3252383,0.002748441,0.02333525,0.1584048,0.01670575,0.09027164,0.04193063,0.04021044,0.9963226,0.8120704,2.644294,1.660915,0.5480153,0.1885583,0.7266933,0.1798019,0.04364747,2.028906,0.008082864,0.009756953,0.08690504,0.1931729,6.571518,9.686343,21.17924,22.04372,40.24672,3.503682,32.93097,70.55332
8,0.01446441,0.1087635,0.07007494,0.01696896,0.01134445,0.05148629,0.01186618,0.0007572235,0.03850762,0.04038602,0.003207644,0.001849646,0.007023636,0.004449718,0.001022814,0.002552856,0.01122674,0.06657103,0.0192331,0.008296765,0.0002241163,0.03934494,0.0001546157,0.01526304,0.04094969,0.0008501589,0.006282961,0.0005404547,0.004786804,2.709516E-05,0.01013065,0.0002952728,0.006267991,0.002505739,0.0006161129,0.005614749,0.01282393,0.05828228,0.006894191,0.01385005,0.1083476,0.04254434,0.06421603,0.04258208,0.02754495,0.1585818,0.1488909,0.06607699,0.3375513,0.002704651,0.02208086,0.159439,0.01692251,0.09278692,0.04245435,0.04022222,1.007041,0.8319245,2.73804,1.646343,0.548489,0.1888139,0.7333765,0.1861801,0.04394999,2.022777,0.008023725,0.009692774,0.08656535,0.180696,6.566011,9.680659,21.12074,22.04635,40.23649,3.506965,32.9235,70.53489
9,0.01450436,0.1100118,0.07014846,0.01703445,0.01131181,0.05117655,0.01184105,0.0007042507,0.03801656,0.04041958,0.002622459,0.001733438,0.00696446,0.004765699,0.0008212263,0.002353041,0.01090611,0.06627452,0.01897308,0.007709501,0.0002269177,0.03898517,0.0001477457,0.01260283,0.04103899,0.0008337112,0.006159543,0.0005449667,0.004753495,2.635845E-05,0.01014967,0.0002921205,0.00614458,0.002490511,0.0006162491,0.005309588,0.01213796,0.05807673,0.006879566,0.01371971,0.109282,0.04229414,0.06472676,0.0423279,0.02662826,0.1586113,0.1476862,0.06554559,0.3491767,0.002689205,0.02145133,0.1605061,0.01712463,0.09502775,0.04300794,0.04024132,1.018945,0.7897201,2.712178,1.671219,0.5455982,0.189719,0.7401681,0.1940821,0.04415078,2.015882,0.008068341,0.009887495,0.08703786,0.1710711,6.560187,9.681658,21.16255,22.06078,40.241,3.514791,32.92871,70.54665
10,0.01457026,0.1112218,0.07020856,0.0171095,0.01128021,0.05096127,0.01182122,0.0006625596,0.03758784,0.04046135,0.002222413,0.001657189,0.0069666,0.005125474,0.000721018,0.00222022,0.01060327,0.06772965,0.01950041,0.007299363,0.000228005,0.03888993,0.0001412601,0.01068407,0.04124811,0.0008384017,0.006120285,0.0005498956,0.004743986,2.554179E-05,0.01028145,0.0002897242,0.006064767,0.002561107,0.0006025385,0.005335832,0.01132973,0.05805609,0.006884326,0.01375878,0.1112252,0.04358307,0.06521011,0.04252608,0.02638807,0.1595983,0.1498151,0.06578578,0.3597697,0.002684233,0.0213249,0.1617872,0.01731524,0.09690162,0.04355918,0.04022123,1.030959,0.7533036,2.658894,1.682762,0.55302,0.1903663,0.7459361,0.2025657,0.04425726,2.0194,0.008109029,0.009701773,0.08749453,0.1639557,6.555374,9.681584,21.19014,22.07654,40.24518,3.521012,32.93091,70.55618
