Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.02153691,0.114478,0.06369118,0.02485326,0.02039761,0.09343589,0.01667028,0.0013419,0.05703664,0.02647411,0.002145392,0.003399983,0.007937319,0.001151328,0.004513409,0.001638535,0.01033007,0.133642,0.02365139,0.0127436,0.0004087228,0.06716693,0.0006116412,0.03738381,0.06885174,0.0005756209,0.004712192,0.0001517722,0.001109476,3.769892E-05,0.01455384,0.0001341436,0.007765087,0.0004082833,0.001399165,0.0133725,0.02195487,0.09551859,0.006828647,0.02139247,0.151303,0.06630713,0.0368261,0.0584244,0.0405019,0.2296308,0.2281612,0.1004291,0.2966295,0.004134479,0.04477736,0.2090805,0.02326274,0.1166114,0.03358792,0.02683332,1.255928,0.8619151,4.181031,2.63612,0.7597836,0.24681,0.9140463,0.2130774,0.08221117,2.443394,0.001341028,0.02443465,0.1772143,0.3673633,10.65192,11.288,24.41681,26.40056,49.51536,1.389839E-22,39.90171,84.46156
2,0.02141947,0.115714,0.06391119,0.02490653,0.02051903,0.09295271,0.01678099,0.001330462,0.05697824,0.02642153,0.001765164,0.003270169,0.007913721,0.00119535,0.003855056,0.001616912,0.01017983,0.1318501,0.02362224,0.01251057,0.0003903605,0.06722421,0.0003836728,0.03514357,0.06871105,0.0005719484,0.004689074,0.0001501282,0.001119379,3.713549E-05,0.01435658,0.0001326514,0.007741922,0.0004033006,0.001215367,0.01300879,0.02174641,0.09464424,0.006808658,0.02133337,0.1510902,0.06393903,0.03672784,0.05811469,0.04058819,0.2291581,0.2185938,0.09931044,0.2983414,0.004114518,0.04263389,0.2095185,0.0233061,0.116772,0.03372784,0.02678836,1.255721,1.069571,4.042655,2.577781,0.7614518,0.2517949,0.9163287,0.2119836,0.08208654,2.468508,0.001289185,0.02087273,0.1720376,0.3585671,10.65508,11.29611,24.39474,26.41246,49.5114,1.391221E-22,39.89091,84.4582
3,0.02130525,0.1170046,0.0641126,0.02496244,0.0206116,0.0924676,0.01689475,0.001329479,0.05689986,0.02637154,0.001250149,0.003049999,0.007860153,0.001239387,0.00282217,0.001622645,0.009876541,0.1295532,0.0236776,0.0123834,0.0003899533,0.06703933,0.0002720325,0.03025338,0.06853423,0.0005928611,0.004710642,0.0001478662,0.001126181,3.665339E-05,0.01414085,0.0001301704,0.007821425,0.0003989192,0.001141014,0.01156137,0.02175167,0.09342607,0.006766042,0.02144267,0.1496125,0.0616082,0.03676056,0.05786281,0.04263192,0.2310676,0.2072928,0.09824572,0.3031261,0.004068199,0.03969726,0.2104959,0.02347467,0.1177722,0.03395984,0.02681128,1.258718,1.299116,4.498055,2.451597,0.745681,0.2525101,0.9193991,0.2088549,0.08229486,2.446971,0.001271765,0.02060063,0.1700996,0.3460349,10.64179,11.28117,24.13791,26.37527,49.46179,1.396375E-22,39.85138,84.36988
4,0.02118224,0.1183565,0.0642864,0.02501783,0.02068043,0.092058,0.01700431,0.001325446,0.05673647,0.02632532,0.0009315843,0.002904484,0.007815617,0.001288581,0.002085328,0.001614342,0.009592081,0.1261384,0.02382889,0.01245176,0.0003927377,0.06634971,0.0002988794,0.02496394,0.06818748,0.0006041283,0.004737634,0.0001489553,0.00113104,3.617729E-05,0.0139342,0.0001289771,0.007897777,0.0003882636,0.001196461,0.0107072,0.02172909,0.09288526,0.006708866,0.02146754,0.1468222,0.05982362,0.03689924,0.05734349,0.04447429,0.2325853,0.2033936,0.09759444,0.3095541,0.004005182,0.03857451,0.2109241,0.02362456,0.1192821,0.03428016,0.02685504,1.263707,1.079471,4.577083,2.585154,0.7108241,0.250454,0.9248261,0.2051593,0.08240324,2.414577,0.001285744,0.0219951,0.1718148,0.3401059,10.62726,11.2712,24.14135,26.36936,49.46467,1.395132E-22,39.86293,84.37028
5,0.0210762,0.1197211,0.06444138,0.02506383,0.02073772,0.09153489,0.01707593,0.001287393,0.05631292,0.02628355,0.0006689902,0.002739546,0.00775981,0.001341771,0.001566188,0.00151826,0.00932902,0.1208192,0.02373695,0.01211439,0.0003843975,0.06588975,0.0002273648,0.01981512,0.06777303,0.0005944023,0.004697129,0.0001485994,0.001127751,3.560583E-05,0.01372103,0.0001280116,0.007847188,0.0003642986,0.001108481,0.01098073,0.02082663,0.09226662,0.006627509,0.02111308,0.144098,0.05637291,0.03710052,0.05576491,0.0441834,0.2313572,0.1969844,0.09566629,0.3171489,0.003923975,0.03722869,0.2108456,0.02380372,0.1220299,0.03465962,0.02688953,1.272712,0.9358889,4.255997,2.654387,0.7421534,0.2442885,0.9342225,0.2040054,0.08259799,2.43243,0.001260156,0.02020481,0.1696274,0.3300521,10.62513,11.28658,24.35605,26.41812,49.50373,1.391135E-22,39.89418,84.44221
6,0.02101944,0.121099,0.06458908,0.02512681,0.02077908,0.09097198,0.0171155,0.001220418,0.05552345,0.02624873,0.0004443748,0.002544575,0.007698855,0.001398545,0.001228887,0.001361712,0.00906639,0.1157998,0.02353406,0.01147128,0.0003919099,0.06594601,0.0001640757,0.01543212,0.06744099,0.0005648706,0.004625767,0.0001468824,0.001119678,3.498604E-05,0.01355871,0.0001269434,0.0077326,0.0003357194,0.001048513,0.01044168,0.01989952,0.09160291,0.006520388,0.02058879,0.1436817,0.05294542,0.03737346,0.05347616,0.04308268,0.2296141,0.1910096,0.09345853,0.3268932,0.003819482,0.03568862,0.2109775,0.02405115,0.1261254,0.03508152,0.02692177,1.287992,0.9172091,4.130503,2.61588,0.7815884,0.2521558,0.9422758,0.2061368,0.08291753,2.469334,0.001255521,0.02031749,0.1693153,0.3167971,10.6273,11.29842,24.42285,26.45535,49.51657,1.390407E-22,39.89944,84.46871
7,0.021019,0.1224793,0.06472521,0.02522185,0.02080879,0.09048337,0.0171366,0.001140489,0.05443999,0.02622575,0.0002675912,0.002322431,0.007670912,0.001463012,0.0009272492,0.001193426,0.008805001,0.1115996,0.02383993,0.0106889,0.0003776131,0.06601771,9.390572E-05,0.01150592,0.06715602,0.0005555166,0.004555085,0.0001463776,0.001109968,3.484494E-05,0.01369497,0.0001255069,0.007623168,0.0003118113,0.0009101091,0.00962905,0.01950708,0.09068491,0.006393515,0.02006998,0.1435807,0.04924035,0.03771836,0.05083023,0.04225631,0.2281966,0.1821297,0.09129649,0.3377889,0.003692207,0.03359087,0.2108048,0.02432138,0.1302545,0.03552991,0.02693253,1.30384,1.158481,4.266884,2.562146,0.7667124,0.2599443,0.9461975,0.2101732,0.08317718,2.475059,0.001218846,0.01796082,0.1655669,0.2980557,10.62129,11.28677,24.24875,26.44656,49.48617,1.393196E-22,39.87152,84.41599
8,0.02104987,0.1238463,0.06483751,0.02533953,0.02081568,0.09006975,0.01714265,0.001066039,0.0535364,0.0262171,0.0001441866,0.002079533,0.007571063,0.001528233,0.0006012858,0.001059631,0.008541898,0.1095907,0.02332965,0.009864504,0.0003763286,0.06554538,6.327769E-05,0.008138617,0.0670776,0.0005495392,0.004470475,0.0001466143,0.001099162,3.409207E-05,0.01382225,0.0001239742,0.007525211,0.0003074783,0.0008626708,0.008641002,0.01880185,0.08975608,0.006339017,0.01985173,0.1430209,0.04876576,0.03812553,0.04976526,0.04178189,0.2288234,0.1758565,0.09001876,0.3492009,0.003626321,0.03142413,0.2119328,0.02462131,0.1334933,0.03600507,0.02692968,1.316117,1.164275,4.590651,2.571825,0.7478806,0.2573241,0.9505723,0.2165831,0.08374424,2.443446,0.001213033,0.01787043,0.1648148,0.2774419,10.60736,11.27467,24.09373,26.43334,49.45604,1.395906E-22,39.8521,84.35976
9,0.02110203,0.1251781,0.06492712,0.02546209,0.02080956,0.08971128,0.01712209,0.0009854612,0.05282069,0.02622007,8.061805E-05,0.001896091,0.007482741,0.00160016,0.000432177,0.0009373976,0.008306662,0.1093956,0.02299356,0.008953867,0.0003766056,0.06477476,5.408505E-05,0.005666776,0.06718432,0.0005301981,0.004351958,0.0001469227,0.001089383,3.372858E-05,0.01393224,0.0001232851,0.007343111,0.0003065329,0.000848338,0.007996262,0.01764882,0.08931924,0.006321595,0.0196351,0.1434003,0.04853022,0.03852979,0.04951281,0.03987075,0.2285681,0.1744595,0.08904446,0.3596998,0.003604295,0.03041158,0.2130985,0.02489791,0.1359737,0.03650211,0.02694506,1.329371,0.9668836,4.468551,2.675193,0.7493204,0.2553541,0.95819,0.2248716,0.08407929,2.427533,0.001218788,0.01824701,0.1657802,0.262661,10.59908,11.2832,24.24444,26.471,49.4818,1.392547E-22,39.87989,84.40635
10,0.02119739,0.1264533,0.06500726,0.02559429,0.02080215,0.08948966,0.01711003,0.0009237609,0.05221877,0.02623396,4.730327E-05,0.001779293,0.007477632,0.001686208,0.0003508064,0.0008625733,0.008083556,0.1123301,0.0237739,0.008289286,0.0003772413,0.06478997,4.329387E-05,0.004025545,0.06752115,0.0005365338,0.004313693,0.0001479529,0.001090367,3.339859E-05,0.01426463,0.0001230236,0.007231301,0.0003199828,0.0008303192,0.007994128,0.01624988,0.08926151,0.006325971,0.01969241,0.1454112,0.04988874,0.03889934,0.04989283,0.03921758,0.230072,0.1777114,0.08908876,0.3695369,0.003598432,0.03028977,0.2149426,0.0251721,0.1382992,0.03699381,0.0269275,1.342896,0.8387733,4.086443,2.70063,0.7858055,0.2558962,0.9658199,0.2341271,0.0842947,2.458486,0.00122657,0.01787187,0.1667652,0.2526371,10.5999,11.29943,24.45408,26.53041,49.51686,1.389367E-22,39.90193,84.47244
