TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01480456,0.09963249,0.06901886,0.01677261,0.0115701,0.05468651,0.01170398,0.0009636477,0.04116723,0.040322,0.00918116,0.00254917,0.007253658,0.002761172,0.004971519,0.003410508,0.013651,0.08148336,0.01950127,0.009794429,0.0002510404,0.04113955,0.0006358405,0.03979745,0.04196526,0.0008697204,0.006626078,0.0005358509,0.004926202,2.670189E-05,0.01183038,0.0003231112,0.006452705,0.003262981,0.0008722392,0.0078812,0.01481971,0.06117186,0.00731378,0.01483043,0.1145421,0.05928714,0.06297015,0.04843624,0.0259505,0.1583319,0.1915225,0.07292996,0.2855725,0.00303945,0.02947509,0.1581312,0.01597793,0.08295261,0.03975588,0.04004467,0.9624042,0.7893524,2.657033,1.654797,0.539836,0.1828489,0.6926254,0.1822218,0.04322786,2.024951,0.008815091,0.0131141,0.09246238,0.2335963,6.58592,9.689041,21.16992,22.00719,40.2475,3.508892,32.93387,70.55697
2,0.01479754,0.09973213,0.06903636,0.01677397,0.01156889,0.0546476,0.01170783,0.0009627717,0.04115939,0.04032255,0.009179646,0.002550126,0.007253545,0.002775942,0.004970961,0.003409948,0.01365038,0.08145795,0.01949989,0.009797358,0.0002510431,0.04112266,0.0006352384,0.03980052,0.04195889,0.0008698585,0.006625103,0.0005351477,0.004927134,2.684369E-05,0.01181098,0.0003230509,0.006451373,0.003263404,0.0008730536,0.007877108,0.01481067,0.06117056,0.007313969,0.01483184,0.1145583,0.05928751,0.06295016,0.04844786,0.02595346,0.1583466,0.1915316,0.07293575,0.2856,0.003039127,0.02947469,0.1581328,0.01597906,0.08290594,0.03976832,0.0400392,0.9623855,0.7784469,2.657674,1.66539,0.5382824,0.1822247,0.692799,0.1822306,0.04322119,2.024845,0.008815231,0.01311428,0.09246305,0.2336219,6.585984,9.688635,21.17048,22.00738,40.24763,3.507832,32.93432,70.55611
3,0.01479062,0.09983144,0.06905372,0.01677534,0.0115677,0.0546092,0.0117117,0.0009618991,0.04115155,0.04032303,0.009178127,0.002551079,0.007253436,0.002790796,0.004970479,0.003409387,0.01364978,0.08143338,0.01949848,0.009800297,0.0002510463,0.0411096,0.0006352123,0.03980583,0.04195251,0.0008696261,0.006624744,0.0005345768,0.004927808,2.688065E-05,0.0117931,0.0003229924,0.006450052,0.003263828,0.000875057,0.007873191,0.01479952,0.06116925,0.007314169,0.01483324,0.1145753,0.05928856,0.06293039,0.04845927,0.02595635,0.1583606,0.1915403,0.07294238,0.2856267,0.003038811,0.02947439,0.1581342,0.01598011,0.08285964,0.03978064,0.04003415,0.9623649,0.765191,2.668564,1.669087,0.5357863,0.1823262,0.6929588,0.1822392,0.04321425,2.024729,0.008815352,0.01311445,0.09246299,0.2336465,6.586013,9.68806,21.17019,22.00757,40.24772,3.507808,32.93427,70.556
4,0.0147838,0.09993034,0.0690709,0.01677674,0.01156653,0.05457132,0.01171554,0.0009610325,0.04114391,0.04032355,0.009176595,0.002552032,0.00725331,0.002805721,0.004970018,0.003408826,0.01364917,0.08140932,0.01949708,0.009803221,0.0002512409,0.04109623,0.000636472,0.0398147,0.04194624,0.0008689725,0.006624526,0.0005345122,0.004927991,2.69781E-05,0.01177521,0.0003229352,0.006448748,0.00326425,0.000873854,0.007871243,0.01479038,0.06116778,0.007314355,0.01483461,0.114593,0.0592916,0.06291086,0.04847081,0.02595911,0.1583742,0.1915484,0.07294985,0.2856531,0.003038493,0.02947402,0.1581348,0.01598118,0.0828137,0.03979287,0.04002746,0.9623427,0.7556433,2.667316,1.676547,0.5365107,0.1820438,0.6931102,0.1822477,0.04320681,2.024609,0.008815484,0.01311456,0.09246214,0.2336721,6.586054,9.6876,21.17088,22.00773,40.24803,3.509075,32.93464,70.55595
5,0.01477706,0.1000285,0.069088,0.01677814,0.01156534,0.05453404,0.01171936,0.0009601708,0.04113625,0.04032405,0.009175091,0.002552978,0.007253224,0.002820739,0.004969578,0.003408266,0.01364859,0.08138581,0.01949572,0.009806148,0.0002515877,0.04109017,0.0006364466,0.03982433,0.04193999,0.000868768,0.006624435,0.0005338772,0.004928752,2.706209E-05,0.01175664,0.0003228789,0.006447459,0.003264668,0.0008747593,0.007868885,0.01477882,0.06116623,0.007314548,0.01483597,0.1146126,0.05929551,0.06289169,0.04848223,0.02596189,0.1583871,0.1915567,0.07295769,0.2856781,0.003038183,0.02947365,0.1581348,0.01598218,0.08276796,0.03980501,0.04002048,0.9623173,0.7588738,2.662123,1.668058,0.5383844,0.1824614,0.6932613,0.1822552,0.04319869,2.024491,0.008815614,0.01311461,0.09246119,0.2336966,6.586099,9.687336,21.17568,22.00812,40.249,3.510471,32.93631,70.5564
6,0.01477039,0.1001261,0.06910484,0.01677956,0.01156418,0.05449697,0.01172318,0.0009593096,0.04112871,0.04032458,0.009173605,0.002553925,0.007253113,0.002835831,0.004969134,0.003407713,0.01364798,0.0813623,0.0194943,0.009809056,0.000251529,0.04108354,0.000636541,0.03982945,0.04193384,0.0008691593,0.006623787,0.0005339046,0.004928911,2.712055E-05,0.01173836,0.0003228237,0.006446176,0.003265076,0.0008770511,0.007864236,0.01477009,0.06116457,0.007314743,0.01483734,0.1146334,0.05930005,0.06287263,0.04849335,0.02596464,0.1583994,0.1915652,0.07296532,0.2857014,0.003037877,0.02947335,0.1581345,0.0159832,0.08272364,0.03981701,0.04001346,0.9622933,0.7703048,2.665306,1.652516,0.5363185,0.1831895,0.6934129,0.1822628,0.04319058,2.024418,0.008815798,0.0131147,0.09246048,0.2337212,6.586203,9.687044,21.17699,22.00848,40.24907,3.512257,32.93537,70.56001
7,0.01476367,0.1002233,0.06912151,0.0167809,0.01156305,0.0544595,0.01172695,0.0009584537,0.04112099,0.04032506,0.009172083,0.002554871,0.007253006,0.002851015,0.004968597,0.003407165,0.01364739,0.08133818,0.01949288,0.009811866,0.0002514598,0.04107483,0.0006362231,0.03983769,0.04192772,0.000868743,0.006624003,0.0005347243,0.004928026,2.71987E-05,0.01171903,0.000322769,0.006444907,0.00326548,0.0008733067,0.007865022,0.01476248,0.06116286,0.007314936,0.01483868,0.1146543,0.05930233,0.0628535,0.04850447,0.02596734,0.1584114,0.1915746,0.0729719,0.2857237,0.003037577,0.02947304,0.1581344,0.01598419,0.08268031,0.0398289,0.04000648,0.9622689,0.748885,2.678731,1.661969,0.5375955,0.1828586,0.6935635,0.1822706,0.04318227,2.024358,0.008815996,0.01311491,0.09246066,0.2337461,6.586318,9.686667,21.17458,22.00875,40.24855,3.513027,32.93389,70.56059
8,0.01475708,0.1003198,0.0691381,0.01678232,0.01156189,0.05442266,0.01173073,0.0009575998,0.04111328,0.04032556,0.009170672,0.002555812,0.007252879,0.002866291,0.004968138,0.003406618,0.0136468,0.0813149,0.01949146,0.009814718,0.0002516797,0.04107149,0.0006366532,0.03984902,0.04192179,0.0008683407,0.006624047,0.0005359724,0.004926828,2.72202E-05,0.01169996,0.0003227147,0.006443647,0.003265871,0.0008742594,0.007865615,0.01474984,0.06116117,0.007315123,0.01484005,0.1146767,0.05930596,0.06283483,0.04851547,0.02597008,0.1584231,0.1915838,0.07298072,0.2857429,0.003037279,0.02947273,0.1581335,0.01598516,0.08263711,0.03984075,0.03999976,0.9622443,0.7539084,2.660365,1.669609,0.5370062,0.1834975,0.693702,0.1822768,0.04317388,2.024253,0.008816164,0.01311514,0.09246086,0.233771,6.58641,9.686479,21.17656,22.00906,40.24892,3.513657,32.93484,70.55788
9,0.01475053,0.1004158,0.06915443,0.01678367,0.01156077,0.05438614,0.01173448,0.0009567495,0.04110568,0.04032598,0.009169298,0.002556747,0.007252768,0.002881645,0.004967708,0.003406076,0.01364621,0.08129197,0.01949001,0.009817545,0.0002514012,0.04106355,0.0006384256,0.03985832,0.04191595,0.0008687539,0.006623157,0.000536019,0.004926814,2.733563E-05,0.01168056,0.0003226613,0.006442406,0.003266254,0.0008714357,0.007866804,0.01474045,0.06115935,0.00731529,0.01484136,0.1146991,0.05930963,0.06281601,0.04852622,0.02597277,0.1584343,0.191592,0.07298919,0.2857608,0.00303698,0.02947245,0.1581325,0.01598613,0.08259439,0.03985241,0.03999309,0.962219,0.7623035,2.652771,1.661578,0.5386876,0.1833794,0.693835,0.1822829,0.04316538,2.02414,0.008816252,0.01311533,0.09246078,0.2337958,6.586496,9.686504,21.18143,22.0094,40.24975,3.514543,32.93616,70.55861
10,0.01474405,0.1005113,0.0691707,0.01678502,0.01155966,0.05434973,0.0117382,0.0009559019,0.04109802,0.04032644,0.009167989,0.002557674,0.007252615,0.002897074,0.00496729,0.003405524,0.01364561,0.08126895,0.01948855,0.009820332,0.000251253,0.04105142,0.0006373948,0.039863,0.04191016,0.000868273,0.006623149,0.0005340113,0.00492895,2.736849E-05,0.0116614,0.0003226096,0.006441168,0.003266631,0.0008692369,0.007864594,0.01473354,0.06115759,0.007315468,0.01484266,0.1147219,0.05931255,0.06279731,0.0485367,0.02597547,0.1584462,0.1916013,0.07299694,0.2857782,0.00303669,0.02947221,0.1581316,0.01598722,0.08255278,0.03986411,0.03998645,0.962199,0.759986,2.653633,1.662797,0.5362328,0.1833113,0.6939731,0.1822891,0.04315759,2.024038,0.008816332,0.0131156,0.09246092,0.2338203,6.586602,9.68669,21.18584,22.00982,40.25028,3.515703,32.93631,70.5615
