TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.006365045,0.02414372,0.03796072,0.005380282,0.001968514,0.004900232,0.002344009,0.0002018611,0.008326143,0.03643837,0.003797417,0.0001308018,0.001410392,0.005702413,0.002597954,0.00711672,0.01327351,0.01067133,0.003187597,0.0003362321,1.042751E-05,0.001490897,9.29185E-05,0.005742905,0.0026271,0.000230269,0.00112604,0.0002086726,0.003043587,4.973117E-07,0.00491602,0.0003894073,0.002518583,0.008690589,7.056185E-06,1.450486E-05,0.00052143,0.005164646,0.0005914833,0.002121323,0.01135924,0.03790547,0.07836469,0.01096046,0.000423219,0.01151252,0.03104068,0.002953506,0.08576015,0.0002025973,0.0009483234,0.0708257,0.001606878,0.006982178,0.01717656,0.001253382,0.06285862,0.09344202,0.2440078,0.09207894,0.05162542,0.01568601,0.06216075,0.04818258,0.001814462,0.7354099,0.01231816,0.002520025,0.01270697,0.01141544,1.916104,2.143577,7.422148,6.680554,10.8183,2.559607,10.81441,22.54928
2,0.006355527,0.02416508,0.03796921,0.00537705,0.00196367,0.004871662,0.002340904,0.0002013121,0.008315312,0.0364443,0.003798745,0.0001307828,0.0014102,0.005746903,0.002596854,0.0071242,0.01326955,0.01066829,0.003185667,0.0003354844,1.150797E-05,0.001521753,9.503028E-05,0.005777792,0.002623945,0.0002168807,0.001128119,0.0002133813,0.00302797,4.969703E-07,0.004908966,0.0003888275,0.002517251,0.008692242,7.861289E-06,1.317848E-05,0.0005222402,0.005164403,0.0005915363,0.002120668,0.01137493,0.03791756,0.0783414,0.01096332,0.0004231424,0.0115178,0.03103906,0.002953203,0.08577158,0.0002025502,0.0009477107,0.07074684,0.001607922,0.006976314,0.01717648,0.001253364,0.06288361,0.1031366,0.2378522,0.09073026,0.05307006,0.01410403,0.06216098,0.04818346,0.001814333,0.7350986,0.01231618,0.002520488,0.0127091,0.01141738,1.91628,2.142086,7.414791,6.679468,10.8171,2.557748,10.8145,22.53809
3,0.006346054,0.02418634,0.0379776,0.005373819,0.001958854,0.004843346,0.00233782,0.0002007663,0.008304547,0.03645019,0.003800048,0.0001307667,0.001410015,0.005791737,0.002595777,0.007131624,0.01326557,0.01066512,0.003183746,0.0003347431,9.624387E-06,0.00151542,0.0001024526,0.005717043,0.002620815,0.0002080884,0.001127657,0.0002133252,0.003037216,4.879606E-07,0.004890553,0.0003882551,0.00251593,0.008693743,6.141186E-06,1.368743E-05,0.0005202391,0.005164123,0.0005915721,0.002120003,0.01139009,0.03792892,0.07831856,0.01096613,0.0004230542,0.01152204,0.03103631,0.002952554,0.08577479,0.0002025036,0.0009470632,0.07066665,0.001608715,0.006968275,0.0171764,0.001253339,0.062906,0.08367149,0.2009901,0.1126378,0.05176672,0.01351567,0.06215983,0.04818282,0.001814092,0.7347183,0.01231211,0.00252076,0.01270982,0.0114184,1.916342,2.140477,7.4147,6.678479,10.81759,2.558095,10.81635,22.53401
4,0.006336637,0.02420748,0.03798588,0.005370594,0.001954064,0.004815284,0.002334754,0.0002002231,0.008293821,0.03645607,0.003801356,0.0001307527,0.001409816,0.005836956,0.002594731,0.007138986,0.01326157,0.01066201,0.003181793,0.0003340125,7.870431E-06,0.001510733,0.0001078988,0.005744035,0.002617732,0.0002178955,0.001133107,0.000213198,0.003034288,4.644306E-07,0.004878086,0.0003876856,0.00251462,0.00869519,6.597304E-06,1.244059E-05,0.000519003,0.005163766,0.0005915805,0.002119375,0.01140519,0.03793878,0.07829586,0.01096895,0.0004229596,0.0115256,0.03103339,0.002951756,0.08578131,0.0002024573,0.0009463992,0.070586,0.001609434,0.006960616,0.01717632,0.001253314,0.06292821,0.03593843,0.2577554,0.1068188,0.05317493,0.01398751,0.06216036,0.0481819,0.001813889,0.7343054,0.01230834,0.002521058,0.01271037,0.0114187,1.916385,2.13973,7.423188,6.677927,10.81953,2.564129,10.82006,22.53532
5,0.0063273,0.02422852,0.03799405,0.00536741,0.001949302,0.004787583,0.002331715,0.0001996834,0.00828318,0.03646191,0.003802713,0.0001307417,0.00140962,0.005882426,0.002593687,0.007146285,0.01325755,0.01065905,0.003179864,0.0003332981,8.285441E-06,0.001529627,0.0001037179,0.005704663,0.002614684,0.0002150155,0.001132215,0.0002139586,0.003018973,4.798955E-07,0.004855816,0.0003871208,0.002513316,0.008696592,6.754731E-06,1.167046E-05,0.0005180294,0.005163396,0.0005915879,0.002118756,0.01142078,0.03795439,0.07827248,0.01097174,0.000422869,0.01152927,0.03103196,0.002951502,0.08578951,0.0002024117,0.000945744,0.07050649,0.001610194,0.006953641,0.01717623,0.001253285,0.06294974,0.04110055,0.2519993,0.09680832,0.05760732,0.01225933,0.06216406,0.04818287,0.001813688,0.733879,0.01230585,0.002521453,0.01271114,0.01141858,1.916492,2.140409,7.439359,6.678152,10.82166,2.568537,10.82176,22.54341
6,0.006318022,0.02424948,0.03800212,0.005364254,0.001944566,0.004760144,0.002328697,0.0001991466,0.008272566,0.03646772,0.003804106,0.000130733,0.001409413,0.005928263,0.002592651,0.007153513,0.01325351,0.01065606,0.003177957,0.0003325965,8.918782E-06,0.001538973,0.0001087991,0.005811729,0.002611672,0.0002149756,0.001128745,0.0002113276,0.003021086,5.030554E-07,0.004841504,0.0003865646,0.002512022,0.008697988,6.318287E-06,1.15914E-05,0.0005185138,0.005163028,0.0005915872,0.00211817,0.01143641,0.0379701,0.07824994,0.01097445,0.000422785,0.01153266,0.03103344,0.002950971,0.08580773,0.000202367,0.0009450997,0.07043117,0.001610884,0.006949332,0.01717615,0.001253254,0.06297237,0.04138652,0.2326016,0.09942871,0.04268805,0.01684224,0.06217379,0.04818758,0.001813588,0.733489,0.0123061,0.002522045,0.01271324,0.01141894,1.916677,2.141951,7.457517,6.679012,10.82309,2.567849,10.82163,22.55013
7,0.006308756,0.02427032,0.03801011,0.005361081,0.001939858,0.004732925,0.002325698,0.0001986126,0.008262003,0.03647351,0.0038054,0.0001307268,0.00140921,0.005974495,0.002591612,0.007160697,0.01324947,0.01065277,0.003176037,0.0003319005,1.072163E-05,0.001532992,9.791358E-05,0.005777317,0.0026087,0.0002203852,0.001138065,0.000216153,0.00300807,5.223342E-07,0.00482772,0.0003860139,0.002510746,0.008699375,6.551391E-06,1.082215E-05,0.0005179815,0.005162729,0.0005915866,0.00211763,0.0114516,0.03798148,0.07822803,0.01097723,0.0004227045,0.01153582,0.03103665,0.002950302,0.08582752,0.0002023236,0.0009444692,0.07035972,0.001611611,0.006946435,0.01717608,0.001253227,0.0629942,0.03826986,0.2124497,0.1186043,0.05380458,0.01683865,0.06218388,0.04819525,0.001813579,0.7331579,0.01230759,0.002522774,0.01271645,0.01141985,1.916886,2.143781,7.469545,6.680177,10.82353,2.564345,10.81871,22.55272
8,0.006299572,0.02429108,0.03801801,0.005357927,0.001935176,0.00470602,0.002322719,0.0001980814,0.008251526,0.03647928,0.003806743,0.0001307236,0.001409019,0.006021035,0.002590585,0.007167822,0.01324541,0.01064966,0.003174133,0.0003312177,9.422314E-06,0.001598479,0.0001027365,0.005908259,0.002605781,0.0002229867,0.001142815,0.000219801,0.002995423,5.247148E-07,0.004810566,0.0003854687,0.002509477,0.008700777,4.716554E-06,1.223122E-05,0.0005185432,0.005162475,0.0005915965,0.002117049,0.01146733,0.03799372,0.07820649,0.01098001,0.0004226356,0.01153979,0.03104211,0.002950118,0.08585066,0.0002022811,0.000943868,0.07029148,0.001612547,0.006944842,0.01717601,0.00125321,0.06301803,0.04267928,0.2368177,0.1074973,0.0501043,0.01578555,0.06219724,0.04820469,0.001813572,0.7328748,0.01230944,0.00252351,0.01272013,0.01142158,1.917015,2.145777,7.479879,6.681244,10.82266,2.561493,10.81611,22.54927
9,0.006290438,0.02431174,0.03802583,0.005354783,0.00193052,0.004679367,0.002319761,0.0001975531,0.008241093,0.03648501,0.003808064,0.0001307225,0.001408822,0.006067932,0.002589584,0.00717488,0.01324133,0.0106465,0.003172224,0.0003305469,8.957556E-06,0.001580431,9.724515E-05,0.005862245,0.002602912,0.0002168414,0.001144417,0.0002150899,0.002994296,5.584839E-07,0.004793409,0.0003849332,0.00250821,0.008702205,3.674096E-06,1.27141E-05,0.0005202182,0.005162212,0.0005916111,0.002116478,0.01148339,0.03800619,0.07818354,0.01098268,0.0004225754,0.01154435,0.03104874,0.002950017,0.08587497,0.0002022398,0.000943297,0.0702251,0.001613528,0.006943436,0.01717596,0.001253198,0.0630405,0.04597399,0.1995678,0.1148649,0.05005585,0.01477302,0.06220948,0.04821479,0.001813527,0.7326199,0.0123101,0.002524009,0.01272289,0.01142369,1.917019,2.147242,7.48796,6.681954,10.82153,2.558203,10.81236,22.54514
10,0.006281333,0.02433231,0.03803355,0.005351667,0.001925891,0.00465292,0.002316822,0.0001970273,0.008230718,0.03649072,0.003809338,0.0001307241,0.001408636,0.006115151,0.002588598,0.007181881,0.01323724,0.01064318,0.003170307,0.0003298858,1.048155E-05,0.00158763,0.0001038184,0.005842134,0.002600094,0.0002154948,0.001146248,0.0002169132,0.002989125,5.832774E-07,0.004771081,0.0003844072,0.002506951,0.008703693,4.15762E-06,1.15252E-05,0.0005186717,0.00516198,0.0005916319,0.002115974,0.01149907,0.03801687,0.07816059,0.01098561,0.0004225253,0.01154918,0.03105602,0.002949524,0.08590514,0.0002021994,0.0009427542,0.07016065,0.001614501,0.006942964,0.01717591,0.001253203,0.06306245,0.05409769,0.1784309,0.1339435,0.04621812,0.0142818,0.06222024,0.04822516,0.001813474,0.7323887,0.01230964,0.00252428,0.01272455,0.01142649,1.916872,2.149097,7.503067,6.682486,10.82318,2.555256,10.81267,22.53797
