"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Algae

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47.5150032043457,48.0023078918457,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48.7670288085938,48.2002334594727,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.88041853994059E-11,3.10749669552024E-07,3.10772918510338E-07,3.11162125399278E-07,-9999,-9999,-9999,-9999,-9999,50.4395599365234,49.9505920410156,50.7589073181152,51.2758026123047,47.7410163879395,45.8647766113281,42.1735763549805,40.4738578796387,39.8738059997559,46.3521003723145,44.506965637207,40.6927909851074,-9999,-9999,30.2281742095947,28.1077365875244,27.2765502929688,27.7896366119385,36.247859954834,40.3391799926758,42.8613052368164,42.9669532775879,39.9876823425293,29.7009658813477,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.14965880838281E-11,7.21478841114731E-07,0.00426784856244922,0.00426786998286843,0.00427321204915643,0.00911390781402588,57.098876953125,-9999,56.509765625,54.787425994873,54.7439384460449,53.4663925170898,52.5422058105469,51.9617919921875,51.0027236938477,47.2765846252441,44.5379333496094,45.2187271118164,43.8146171569824,43.1304969787598,43.1881294250488,41.5588073730469,40.9365234375,39.1917724609375,35.7438545227051,31.1506748199463,27.3255710601807,31.082935333252,35.0880126953125,40.5589637756348,43.7709617614746,43.7242126464844,40.9356727600098,34.0453643798828,26.1362285614014,17.4130401611328,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.18332945173461E-07,0.00494838505983353,58.5410652160645,58.537410736084,58.6004104614258,58.7984428405762,58.0292739868164,57.0261306762695,56.9822731018066,55.6765556335449,54.481388092041,52.162281036377,51.5539207458496,51.3055610656738,49.4069862365723,47.6590232849121,47.1274948120117,46.139087677002,45.4116821289063,44.6636543273926,43.9679946899414,42.6991386413574,41.0816421508789,38.1316184997559,35.0010986328125,30.9209976196289,27.2338409423828,31.3606986999512,37.8551445007324,42.1050682067871,44.2731475830078,43.8979187011719,41.055347442627,33.7978858947754,26.0798988342285,17.1864776611328,14.4936227798462,19.9964580535889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,35.8081092834473,36.6121978759766,38.8883018493652,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51.0087127685547,-9999,-9999,-9999,51.470329284668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.1169967651367,58.4051361083984,58.5349044799805,-9999,59.0433464050293,58.2748641967773,57.0863418579102,56.2194328308105,53.7015037536621,52.1233673095703,51.5319671630859,50.8019828796387,47.872013092041,46.1396217346191,46.9483451843262,46.7955894470215,45.625244140625,44.7349128723145,44.1053619384766,42.889820098877,41.6270561218262,40.9063186645508,40.5766258239746,38.0872611999512,36.5309867858887,44.0893859863281,47.0239334106445,50.5610580444336,51.2101058959961,48.1433334350586,44.4531211853027,38.1626014709473,34.1098251342773,31.2288188934326,25.5679683685303,18.2244892120361,22.8836269378662,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.3279075622559,44.43212890625,43.5799598693848,41.2980613708496,40.1516342163086,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50.3685455322266,49.7804489135742,-9999,-9999,52.1455383300781,51.3845367431641,-9999,-9999,45.9461631774902,48.4344482421875,-9999,-9999,-9999,-9999,-9999,53.8818206787109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,58.8637657165527,59.5900802612305,58.080867767334,56.2434234619141,53.0148124694824,49.9126014709473,49.391040802002,48.3377647399902,46.2277755737305,43.9695129394531,47.0315704345703,48.6823654174805,47.5222702026367,46.2509841918945,45.4270896911621,43.9147415161133,42.6431999206543,44.6134033203125,46.2586326599121,48.5490684509277,49.6418952941895,50.9201469421387,52.1750030517578,53.6299057006836,54.146671295166,52.6707916259766,49.8138809204102,43.3828773498535,41.2706031799316,42.7849273681641,34.7563171386719,19.444486618042,22.4467620849609,28.4311904907227,-9999,-9999,-9999,-9999,-9999,42.5147514343262,43.2092552185059,43.8994903564453,44.4738578796387,45.8313331604004,46.3927345275879,42.5613975524902,39.0262985229492,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,50.2188682556152,50.4625930786133,-9999,-9999,-9999,-9999,49.5848426818848,49.7673416137695,50.6108283996582,49.770637512207,51.2637252807617,51.437614440918,51.0890121459961,47.4044036865234,45.5281066894531,46.05615234375,-9999,49.9566993713379,52.7659606933594,-9999,-9999,53.0350685119629,53.5310516357422,54.3811645507813,55.0278549194336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.0489120483398,57.0360832214355,-9999,-9999,-9999,58.2420272827148,54.8487586975098,54.0665016174316,51.8108253479004,51.3634147644043,50.1721153259277,48.8829345703125,44.4528198242188,42.2521629333496,45.9867973327637,47.9607543945313,48.6907844543457,48.1538925170898,47.0418701171875,45.9103889465332,44.6296195983887,44.7829895019531,47.9939384460449,51.1130790710449,51.1686401367188,52.4934272766113,53.6002082824707,54.1381034851074,54.3102989196777,53.7985496520996,52.2400856018066,46.2231674194336,42.8546371459961,41.746826171875,35.8678970336914,27.0274600982666,26.6208934783936,28.1686267852783,24.5842456817627,26.5694923400879,27.9011173248291,29.2597160339355,29.7309036254883,36.5011444091797,43.5935859680176,43.7228584289551,44.043327331543,45.6805381774902,47.3039398193359,47.2534637451172,42.9582481384277,39.808952331543,41.1871299743652,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
