"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Anchovy-silverside-killifish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00151171814650297,0.00150996120646596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00316953239962459,0.00330186169594526,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.4930009691675E-09,3.08444941765629E-06,5.91568732488668E-06,1.14174890768481E-05,-9999,-9999,-9999,-9999,-9999,0.0334572643041611,0.00271565350703895,0.00288851838558912,0.00305409962311387,0.00233989581465721,0.00452600046992302,0.291029006242752,0.309404194355011,0.312719732522964,0.0362043902277946,0.420768678188324,0.330321848392487,-9999,-9999,0.451442539691925,0.714642226696014,0.656921982765198,0.676263511180878,1.22622525691986,1.32496917247772,1.30368185043335,1.29862582683563,1.08464753627777,0.599538028240204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.38692929047602E-09,2.97088649858779E-06,6.56937845633365E-06,1.44776440720307E-05,3.43745887221303E-05,9.31553295231424E-05,0.000263955356786028,-9999,0.00247614597901702,0.159407839179039,0.0417018979787827,0.126141682267189,0.404107004404068,0.429143965244293,0.00475054467096925,0.224359974265099,0.598071277141571,0.737947762012482,0.709002077579498,0.668632984161377,0.665553033351898,0.582223773002625,0.711821138858795,1.07231533527374,1.31384408473969,1.43608343601227,1.45659756660461,1.49233496189117,1.5133101940155,1.53914475440979,1.56095457077026,1.56485152244568,1.5486832857132,1.4980241060257,1.39295268058777,1.18161916732788,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.259488155687E-06,5.59819136469741E-06,1.95948450709693E-05,4.36336267739534E-05,9.85783917712979E-05,0.000240199398831464,0.000579098530579358,0.00120495434384793,0.00245393346995115,0.128138139843941,0.31792551279068,0.394108057022095,0.630255341529846,0.781239330768585,0.97436136007309,1.12650227546692,1.23976719379425,1.34353041648865,1.40660536289215,1.42391586303711,1.44340848922729,1.48778188228607,1.54286098480225,1.58102762699127,1.57432162761688,1.5441997051239,1.51314294338226,1.50037670135498,1.19154608249664,1.46108067035675,1.55167198181152,1.56429362297058,1.56850254535675,1.53633844852448,1.47263610363007,1.37532770633698,1.30972468852997,1.13864576816559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.262583076953888,0.259663939476013,0.260292500257492,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.21317183971405,-9999,-9999,-9999,0.273713946342468,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.64748980751028E-05,3.02851731248666E-05,5.55088481632993E-05,-9999,0.000737447757273912,0.00136926944833249,0.00256203021854162,0.00875850301235914,0.234461233019829,0.39009964466095,0.537303805351257,0.468842655420303,1.06968343257904,1.27002561092377,1.42234039306641,1.52621185779572,1.58755612373352,1.62134408950806,1.64752531051636,1.66927909851074,1.68554222583771,1.68555819988251,1.65873384475708,1.59440290927887,1.48837983608246,0.0188711285591125,0.00800124555826187,0.0084244180470705,0.19173775613308,0.979173541069031,1.31078743934631,1.49621868133545,1.53776121139526,1.51370394229889,1.44677209854126,1.36423563957214,1.24837803840637,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.410859316587448,0.568569839000702,0.400963008403778,0.278411507606506,0.277116060256958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.191728711128235,0.24866184592247,-9999,-9999,0.223375961184502,0.23102568089962,-9999,-9999,0.205196499824524,0.325782120227814,-9999,-9999,-9999,-9999,-9999,0.0700358003377914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00130292947869748,0.00271074078045785,0.00547990668565035,0.0162020139396191,0.221288800239563,0.24181717634201,0.274744123220444,0.32071116566658,1.11322212219238,1.3514552116394,1.49461960792542,1.5746066570282,1.63010263442993,1.67709851264954,1.70921111106873,1.71284079551697,1.69919240474701,1.67344689369202,1.63659083843231,0.814054608345032,0.00832623150199652,0.00701727066189051,0.00436511216685176,0.00450450275093317,0.00756472768262029,0.0287566687911749,0.187001839280128,1.20068919658661,1.51735234260559,1.57031309604645,1.55745017528534,1.45461535453796,1.40650177001953,1.26916146278381,-9999,-9999,-9999,-9999,-9999,0.625425636768341,0.617920279502869,0.825129270553589,0.877384543418884,0.791531503200531,0.645278453826904,0.458611130714417,0.281525731086731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.182457208633423,0.213329762220383,-9999,-9999,-9999,-9999,0.228557258844376,0.222165361046791,0.218927815556526,0.53043931722641,0.135185092687607,0.480608373880386,0.5440713763237,0.721986055374146,0.465757787227631,0.249595284461975,-9999,0.31064635515213,0.365675210952759,-9999,-9999,0.335049003362656,0.088972419500351,0.00478573748841882,0.00225052749738097,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.126588895916939,0.0132122421637177,-9999,-9999,-9999,0.0912553891539574,0.215751200914383,0.223449155688286,0.23591773211956,0.260006755590439,0.295503169298172,0.498455613851547,1.19321763515472,1.3776034116745,1.48512256145477,1.53014659881592,1.57618045806885,1.62400507926941,1.64198911190033,1.6360330581665,1.62295365333557,1.57945966720581,0.922383010387421,0.00833379663527012,0.00448874430730939,0.0039744540117681,0.00250531872734427,0.00253794901072979,0.00409837812185287,0.00683034816756845,0.00790854450315237,0.971686542034149,1.4281325340271,1.54230260848999,1.58711051940918,1.54316675662994,1.47672843933105,1.30409586429596,0.415768355131149,0.169325694441795,0.00642680702731013,0.0622983388602734,1.04971730709076,1.16960370540619,1.21482837200165,1.18691229820251,1.12934708595276,1.06833410263062,0.983542442321777,0.849244713783264,0.427359521389008,0.27761310338974,0.263925194740295,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
