"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Atlantic sharpnose shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000106797990156338,0.000107017280242871,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000152911874465644,0.000154082648805343,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.87322983847116E-06,8.63807144924067E-06,1.25785372802056E-05,1.83023112185765E-05,-9999,-9999,-9999,-9999,-9999,0.000729477033019066,0.000140301635838114,0.000138796094688587,0.000137633760459721,9.12487594177946E-05,0.000133745037601329,0.00363432895392179,0.00395262707024813,0.00399111583828926,0.000357753713615239,0.00497960578650236,0.00439040223136544,-9999,-9999,0.00501843728125095,0.00771595537662506,0.00711111584678292,0.00728461984544992,0.0154569828882813,0.0184383951127529,0.0178413465619087,0.0180458445101976,0.0133179193362594,0.00714598828926682,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.98731321588275E-06,8.85323879629141E-06,1.30073976833955E-05,1.87877794814995E-05,2.6599545890349E-05,3.68210676242597E-05,5.20007233717479E-05,-9999,0.000144740406540222,0.00328163453377783,0.00067158555611968,0.00154172338079661,0.00644353125244379,0.00648808991536498,0.000131003311253153,0.00159882626030594,0.00642152782529593,0.00778930401429534,0.00729331793263555,0.00688672019168735,0.00713751139119267,0.0060734935104847,0.00698819709941745,0.0111059499904513,0.0163554027676582,0.0228850804269314,0.0252104494720697,0.02596141025424,0.0266236066818237,0.0272828955203295,0.0278259124606848,0.028240529820323,0.0285324472934008,0.0286788623780012,0.025794867426157,0.0185521524399519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.97188328963239E-06,1.33416797325481E-05,1.97947229025885E-05,2.86134327325271E-05,4.01941215386614E-05,5.40853288839571E-05,7.15467540430836E-05,9.81230477918871E-05,0.000141915850690566,0.00178495608270168,0.00537851871922612,0.0068077021278441,0.0122677981853485,0.0153317851945758,0.0169847756624222,0.0174800250679255,0.0172321759164333,0.0182730872184038,0.0191086865961552,0.0191593952476978,0.0198944378644228,0.0204980038106441,0.0215714778751135,0.023251524195075,0.0238904599100351,0.0244234520941973,0.0248574707657099,0.0254658460617065,0.0261111836880445,0.0267916936427355,0.0274335294961929,0.0279462356120348,0.0282544922083616,0.0285996943712234,0.0289599075913429,0.0292022414505482,0.0288009233772755,0.0178505703806877,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00727678230032325,0.00728909904137254,0.00731124822050333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000727526086848229,-9999,-9999,-9999,0.000969387590885162,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35084173962241E-05,1.97263543668669E-05,2.85976293525891E-05,-9999,6.41568476567045E-05,9.03761756489985E-05,8.7761043687351E-05,0.000127991632325575,0.00400090962648392,0.00626698415726423,0.0081564961001277,0.00567402644082904,0.015760974958539,0.0180678591132164,0.0182761158794165,0.0186205636709929,0.0191584508866072,0.0199180077761412,0.0207170508801937,0.0215623155236244,0.0222786124795675,0.0228449832648039,0.0233807805925608,0.0238586720079184,0.0243561789393425,0.0247224345803261,0.021656658500433,0.0256284326314926,0.0272170454263687,0.0276765879243612,0.0279778894037008,0.0282390750944614,0.0286342296749353,0.0290741454809904,0.0293938592076302,0.0293598677963018,0.0198997966945171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00995143875479698,0.0144305480644107,0.0100415982306004,0.00735306646674871,0.0073765036650002,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000571192766074091,0.000848578289151192,-9999,-9999,0.000649499299470335,0.000763924326747656,-9999,-9999,0.000763740506954491,0.00129998591728508,-9999,-9999,-9999,-9999,-9999,0.000230088277021423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.64821631694213E-05,0.000115139046101831,0.000112733425339684,0.000205778094823472,0.00341016566380858,0.00355884875170887,0.00358223076909781,0.00356913078576326,0.0133046377450228,0.0175149831920862,0.0177571829408407,0.0182321406900883,0.0189010221511126,0.0196833405643702,0.0204716380685568,0.0212409161031246,0.0219059567898512,0.0224876794964075,0.0229723807424307,0.0234084222465754,0.0218405947089195,0.00324009149335325,0.00755107216536999,0.0181128438562155,0.0255847871303558,0.0275174546986818,0.0278867594897747,0.0281671639531851,0.0284546390175819,0.0288096889853477,0.0291631501168013,0.0295795630663633,0.0293029304593801,0.0199389029294252,-9999,-9999,-9999,-9999,-9999,0.0117136407643557,0.011815557256341,0.0191792622208595,0.0241139829158783,0.0207275561988354,0.0158101450651884,0.0111812744289637,0.0073968474753201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000823341717477888,0.000959059514570981,-9999,-9999,-9999,-9999,0.000764553144108504,0.000751654733903706,0.000536447740159929,0.0014979091938585,0.000241754954913631,0.00118735467549413,0.00145005411468446,0.00213730009272695,0.00116706523112953,0.000711592903826386,-9999,0.000787833472713828,0.000912381627131253,-9999,-9999,0.00124659773427993,0.000267619267106056,2.68491148744943E-05,1.78207992576063E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000777622277382761,8.1603109720163E-05,-9999,-9999,-9999,0.000722259224858135,0.00274066277779639,0.0028977997135371,0.00317326420918107,0.00330250710248947,0.00335519225336611,0.00462205149233341,0.0145403910428286,0.0169513523578644,0.0173255149275064,0.0179045218974352,0.0186712052673101,0.0194824635982513,0.0202863924205303,0.0210239551961422,0.0216591339558363,0.022164823487401,0.0225004609674215,0.0130536444485188,0.000170811166753992,0.000180990944500081,0.00104525615461171,0.00468552112579346,0.0146371591836214,0.0240846313536167,0.0274761784821749,0.0282554775476456,0.0284590125083923,0.0287305843085051,0.0290186572819948,0.0294968113303185,0.0298013761639595,0.0217335112392902,0.00601730449125171,0.00174159638117999,0.000213388091651723,0.000774613523390144,0.0215358287096024,0.0289880689233541,0.0314437337219715,0.0326148085296154,0.0317463167011738,0.0315358974039555,0.0290985554456711,0.0233148708939552,0.0101662697270513,0.00740758189931512,0.007402912247926,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
