"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Billfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.07022879092256E-05,1.07030500657856E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51093645399669E-05,1.51298954733647E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.14042949867144E-07,4.43882925083017E-07,6.09026471920515E-07,8.28856968837499E-07,-9999,-9999,-9999,-9999,-9999,2.15228283195756E-06,3.12671454594238E-06,4.52620406576898E-06,6.56433530821232E-06,9.57670999923721E-06,1.40018328238511E-05,2.06129025173141E-05,2.05785709113115E-05,2.06933891604422E-05,2.10979978874093E-05,2.11983006010996E-05,2.10368598345667E-05,-9999,-9999,2.15943837247323E-05,3.23819222103339E-05,3.2546537113376E-05,4.89343001390807E-05,4.94082742079627E-05,5.00320456922054E-05,5.07981021655723E-05,5.15894862473942E-05,5.22068330610637E-05,5.26296498719603E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.33007164954324E-07,4.76819991490629E-07,6.65492848384019E-07,8.9675717163118E-07,1.15608145279111E-06,1.49548498029617E-06,2.05761921279191E-06,-9999,2.3952775336511E-06,2.30125419875549E-06,3.24799680129217E-06,4.63014248452964E-06,6.64338404021692E-06,9.59795397648122E-06,1.39832582135568E-05,2.03801246243529E-05,3.00124156638049E-05,2.98685827146983E-05,2.98626255244017E-05,3.00348019663943E-05,3.02135576930596E-05,3.03376054944238E-05,3.03999968309654E-05,3.07888840325177E-05,3.14054959744681E-05,4.74568914796691E-05,4.75853266834747E-05,7.1133064921014E-05,7.15060814400204E-05,7.24262208677828E-05,7.3829767643474E-05,7.53968124627136E-05,7.67277670092881E-05,7.83003924880177E-05,5.41862282261718E-05,5.53078680241015E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.98728411457705E-07,7.17652142157021E-07,1.00455872598104E-06,1.35298250825144E-06,1.71823728578602E-06,2.17547403735807E-06,2.81414713754202E-06,3.81755944545148E-06,3.62892660632497E-06,3.43960937243537E-06,4.81514598504873E-06,6.81395249557681E-06,9.71725148701807E-06,1.39924850373063E-05,2.02582123165485E-05,2.94255223707296E-05,4.30443906225264E-05,4.26733095082454E-05,4.2493142245803E-05,4.25574835389853E-05,4.28446437581442E-05,4.32586275564972E-05,4.37552880612202E-05,4.44024735770654E-05,4.51484447694384E-05,6.80976881994866E-05,6.8181318056304E-05,0.000251142599154264,0.00682705314829946,0.00227701989933848,0.000647564651444554,0.000544584705494344,0.000414010195527226,0.000255388935329393,7.9970144724939E-05,8.2631129771471E-05,5.75276644667611E-05,3.95424976886716E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.15256431046873E-06,4.13117641073768E-06,2.7839867016155E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.11948895412206E-06,-9999,-9999,-9999,3.11663643515203E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.71897510073904E-07,9.29788427583844E-07,1.2405463394316E-06,-9999,3.81761583412299E-06,5.46994215255836E-06,5.27265001437627E-06,5.02434841109789E-06,7.03964815329527E-06,9.94937181530986E-06,1.41555801747018E-05,2.02132578124292E-05,2.90205771307228E-05,4.16886905441061E-05,6.03004045842681E-05,5.93381919316016E-05,5.88407128816471E-05,5.87576141697355E-05,5.92164942645468E-05,5.99055383645464E-05,6.07533474976663E-05,6.20965292910114E-05,6.37495468254201E-05,0.000144141857163049,0.00118494208436459,0.00988460425287485,0.010104289278388,0.0103014586493373,0.0104160998016596,0.00907021574676037,0.00584058137610555,0.00137599743902683,0.000327284971717745,0.000223353621549904,8.55420439620502E-05,5.94753691984806E-05,4.09127533202991E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.25144649954746E-06,6.21246772425366E-06,4.1841790334729E-06,2.80502558780427E-06,1.87782211469312E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.81703137261502E-06,2.87840293822228E-06,-9999,-9999,4.15149315813323E-06,4.24072095484007E-06,-9999,-9999,4.41480051449616E-06,3.20432218359201E-06,-9999,-9999,-9999,-9999,-9999,5.44655267731287E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.43874057257199E-06,7.7988370321691E-06,7.57628640712937E-06,7.2665802690608E-06,1.02316598713514E-05,1.44605864988989E-05,2.05167470994638E-05,2.90808857243974E-05,4.13444249716122E-05,5.85526067879982E-05,0.00012220989447087,0.000244774157181382,0.000243621136178263,0.000179469090653583,0.000147196260513738,0.000165397694217972,0.000230389254284091,0.000357454555341974,0.000371485075447708,0.00855058245360851,0.00960466917604208,0.0099848285317421,0.0103133618831635,0.0105716828256845,0.010753720998764,0.0109607456251979,0.0111676100641489,0.00758702820166945,0.00120500533375889,0.000760676921345294,0.000256769824773073,8.88327485881746E-05,6.17176629020832E-05,4.22311095462646E-05,-9999,-9999,-9999,-9999,-9999,3.10169125441462E-05,2.08291039598407E-05,1.39373269121279E-05,9.36649939831113E-06,6.28942143521272E-06,4.21263302996522E-06,2.81148186331848E-06,1.87552063835028E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.21161576014129E-06,4.04944921683636E-06,-9999,-9999,-9999,-9999,5.3612325245922E-06,3.70499105883937E-06,3.70946463590371E-06,3.57137514583883E-06,5.28318832948571E-06,5.43611122338916E-06,5.46215778740589E-06,5.32135209141416E-06,5.34246828465257E-06,5.58399051442393E-06,-9999,8.82864878803957E-06,8.90831051947316E-06,-9999,-9999,1.06072020571446E-05,7.21939659342752E-06,6.8823292167508E-06,6.55094572721282E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.77524258207995E-06,9.71776898950338E-06,-9999,-9999,-9999,1.1018260011042E-05,1.08454578366945E-05,7.0057540142443E-06,9.8949658422498E-06,1.39882258736179E-05,1.97504414245486E-05,2.78555962722749E-05,3.94268427044153E-05,5.5227821576409E-05,0.000232550519285724,0.000512703263666481,0.000564306799788028,0.000419667572714388,0.00046350245247595,0.000572768680285662,0.000487945915665478,0.000755610293708742,0.00768965017050505,0.00919022224843502,0.00965632498264313,0.0101215690374374,0.0105370646342635,0.0109113855287433,0.0111988419666886,0.0114170983433723,0.0115950563922524,0.00984429661184549,0.00319057377055287,0.00137287471443415,0.000476883898954839,8.92875468707643E-05,6.22046136413701E-05,4.27305931225419E-05,4.34018475061748E-05,2.95613608614076E-05,3.00902884191601E-05,3.04539698845474E-05,4.59173716080841E-05,4.62637217424344E-05,3.11923831759486E-05,2.09324589377502E-05,1.41017135319998E-05,9.51050787989516E-06,6.37293487670831E-06,4.23346909883549E-06,2.81047368844156E-06,1.8631401417224E-06,1.24004441204306E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
