"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Brown shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00675535463779E-07,9.77250209643898E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.72968763335302E-08,9.53263779024383E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.88876608797628E-10,6.86458889731512E-10,7.80418174528563E-10,8.52482029412016E-10,-9999,-9999,-9999,-9999,-9999,0.00806364696472883,0.00175347796175629,1.03767447967584E-07,1.05043639564428E-07,1.09465027264832E-07,1.05729803578924E-07,0.0181417856365442,0.0196738839149475,0.0171210169792175,0.00358240446075797,0.0135014168918133,0.0112025188282132,-9999,-9999,0.00530906114727259,0.0072044744156301,0.00249318592250347,0.0025901566259563,5.80070462774529E-08,6.15009412285872E-08,6.35930135217677E-08,6.36291090927443E-08,0.00537535082548857,0.00505040492862463,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.13698170270504E-10,1.27795285465027E-09,7.51653139730024E-09,8.1022006881426E-09,8.8911278339765E-09,1.57159654179395E-08,1.01304181043815E-07,-9999,9.89951232099884E-08,0.0147075224667788,0.00731325894594193,0.0113384779542685,0.0138005837798119,0.0128376381471753,0.00099851144477725,0.0105930110439658,0.0144132589921355,0.0149884913116693,0.0163931511342525,0.0132731534540653,0.0141756031662226,0.00930028408765793,0.00831539835780859,0.00466608721762896,0.00453552789986134,0.00723074190318584,0.0027934315148741,0.00340966624207795,6.57585346175438E-08,7.26918472082616E-08,7.68407417695016E-08,7.7007854315525E-08,0.00641899555921555,0.00632508797571063,0.00524822995066643,3.96417512149583E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.75559513779933E-10,8.48960990396108E-09,9.89391182315558E-08,1.01377956696069E-07,1.03507275639458E-07,1.03472402201987E-07,1.04430597502869E-07,1.02520104405812E-07,1.01966300292133E-07,0.00826918706297874,0.0109454393386841,0.0116211399435997,0.0100093157961965,0.0103908609598875,0.0106703564524651,0.0130865219980478,0.0134724974632263,0.0167060941457748,0.0191836170852184,0.0148535091429949,0.0142024345695972,0.008715127594769,0.00513825472444296,6.52366267672733E-08,6.35447179320181E-08,6.07270820296435E-08,0.00664256419986486,0.0142251793295145,0.0247865188866854,0.0181986875832081,0.00975842960178852,8.97877825423166E-08,8.49838386329793E-08,7.26489446378764E-08,5.9762754744952E-08,4.36159837136074E-08,3.7400731400794E-08,4.35258442621489E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0162614490836859,0.0164782423526049,0.0128961438313127,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00415458902716637,-9999,-9999,-9999,0.00644529610872269,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00111286371884E-07,1.00755258358731E-07,1.04388561794622E-07,-9999,1.05281174000993E-07,1.04200886141825E-07,1.01695349030706E-07,0.00324540329165757,0.0153986439108849,0.014167164452374,0.010208873078227,0.0111332833766937,0.0119418539106846,0.0190379191190004,0.0211197473108768,0.0195142701268196,0.0195906907320023,0.012354576960206,0.00912748090922832,0.00230443105101585,7.67810846014072E-08,7.77460869016977E-08,7.81775497671333E-08,0.00856270827353001,0.0227951072156429,0.0374326966702938,0.0116013735532761,0.0268294867128134,0.0224057268351316,0.00848838221281767,0.00716803362593055,0.00603955378755927,0.000794506981037557,6.87056100900918E-08,5.61783650709913E-08,4.24735269177745E-08,0.000565252732485533,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0111024659126997,0.0125075150281191,0.00899721775203943,0.00968147534877062,0.0124857192859054,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00672224955633283,0.0063265860080719,-9999,-9999,0.0103700691834092,0.0105899525806308,-9999,-9999,0.00828810688108206,0.00909296981990337,-9999,-9999,-9999,-9999,-9999,0.0166702959686518,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.04537264178362E-07,1.03481525570714E-07,0.00321427453309298,0.00554838683456182,0.0166078973561525,0.015263962559402,0.00945868343114853,0.0110063273459673,0.0116490321233869,0.0232333093881607,0.0290914662182331,0.0249419715255499,0.016723271459341,0.0072886380366981,0.00501708965748549,0.00290736486203969,8.53457819971482E-08,0.0015685890102759,0.0113092511892319,0.0272276103496552,0.0189172830432653,1.53834179172918E-07,1.66304303661491E-07,0.00508322333917022,0.0223090332001448,0.0281843263655901,0.0215422175824642,0.0120778335258365,0.0017956979572773,8.82273880620232E-08,7.31578495560825E-08,0.000675925752148032,0.000758621259592474,0.00650232890620828,-9999,-9999,-9999,-9999,-9999,6.32884820106483E-08,0.00243048020638525,0.0023702192120254,0.00324553553946316,0.00251944037154317,0.00634583877399564,0.00941112730652094,0.0148756206035614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00580576993525028,0.00840985774993896,-9999,-9999,-9999,-9999,0.00976178515702486,0.0100762872025371,0.00951941590756178,0.0131893344223499,0.00910931918770075,0.0149404350668192,0.0146474819630384,0.0113678118214011,0.0122521035373211,0.00781571213155985,-9999,0.00604238267987967,0.011095117777586,-9999,-9999,0.0215235818177462,0.0159233119338751,0.00299454177729785,9.6832536655711E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0247320272028446,0.00789276137948036,-9999,-9999,-9999,0.0200716592371464,0.0266841538250446,0.0257846750319004,0.0198192521929741,0.016262935474515,0.00973275024443865,0.0118756722658873,0.0149336419999599,0.0240163113921881,0.0272507984191179,0.0230001993477345,0.0154399126768112,0.00588559731841087,0.00430157501250505,9.37411428481028E-08,9.28013648149317E-08,0.00253029889427125,0.0204392373561859,1.51470089804207E-07,1.62316226237635E-07,1.73706908412896E-07,1.78178254373051E-07,1.77940449930247E-07,0.00190846505574882,0.0136552974581718,0.0320436060428619,0.02339275367558,0.00781695730984211,0.00378785934299231,0.00109776994213462,0.00108281674329191,0.000952121627051383,0.00881843082606792,0.0125474566593766,0.0121016120538116,7.41190788744461E-08,0.0024862214922905,0.00376400211825967,5.81012358225053E-08,0.000796183827333152,0.00128057494293898,0.00212976755574346,0.002787432866171,0.00241609127260745,0.00460222829133272,0.00851745624095201,0.0167140644043684,0.0204516816884279,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
