"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Crab

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.807294368743896,0.782607734203339,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.668620109558105,0.655081987380981,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0169472955167294,0.0316736064851284,0.0405933037400246,0.0484044216573238,-9999,-9999,-9999,-9999,-9999,0.554291725158691,0.577883958816528,0.621341526508331,0.621397078037262,0.650497496128082,0.574668288230896,0.368641048669815,0.290317296981812,0.311820298433304,0.464992791414261,0.418396472930908,0.37029442191124,-9999,-9999,0.243655517697334,0.178272843360901,0.172978416085243,0.198863625526428,0.244393765926361,0.293109565973282,0.326888293027878,0.332290649414063,0.293328523635864,0.248360231518745,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0181566476821899,0.0446014925837517,0.125830441713333,0.155663445591927,0.191606998443604,0.313095778226852,0.904704332351685,-9999,0.851571679115295,0.616487622261047,0.555667281150818,0.482690155506134,0.435107111930847,0.443854451179504,0.523671925067902,0.420947849750519,0.301353722810745,0.25449001789093,0.252932637929916,0.284925073385239,0.291439592838287,0.313913762569427,0.299473762512207,0.262747079133987,0.218380779027939,0.161943823099136,0.136423349380493,0.165240988135338,0.23050357401371,0.296941995620728,0.346830189228058,0.373913705348969,0.304727971553802,0.218514442443848,0.143116667866707,0.0978300347924232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0353854484856129,0.134170487523079,0.674992799758911,0.771318852901459,0.833692193031311,0.85050368309021,0.95476245880127,0.931629240512848,0.915616154670715,0.712344765663147,0.546233713626862,0.421551704406738,0.369806945323944,0.356771856546402,0.340029209852219,0.290336400270462,0.267563194036484,0.245900273323059,0.227324336767197,0.223077669739723,0.232719793915749,0.25202739238739,0.26054573059082,0.241402938961983,0.221716746687889,0.179232358932495,0.158224448561668,0.169768616557121,0.209899336099625,0.301692366600037,0.379882752895355,0.407464444637299,0.403689652681351,0.290985256433487,0.192424491047859,0.119988396763802,0.0962797999382019,0.0975933074951172,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.25003919005394,0.26015368103981,0.300456643104553,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.926799654960632,-9999,-9999,-9999,0.852190852165222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.840785324573517,0.8681920170784,0.944553256034851,-9999,0.976326882839203,0.93743222951889,0.903768122196198,0.756471931934357,0.536085724830627,0.41086757183075,0.391158014535904,0.38566979765892,0.319149196147919,0.273018211126328,0.294791638851166,0.304956138134003,0.279470503330231,0.245789855718613,0.253506004810333,0.259944498538971,0.261531472206116,0.265901327133179,0.295203298330307,0.263263255357742,0.214089721441269,0.0199395306408405,0.00684803817421198,0.007378282956779,0.164855748414993,0.400440275669098,0.463454991579056,0.417258739471436,0.340291857719421,0.259830355644226,0.177440106868744,0.113471306860447,0.121013350784779,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.269334256649017,0.266695290803909,0.313733637332916,0.313934743404388,0.315744280815125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.815516412258148,0.815563380718231,-9999,-9999,0.741984844207764,0.72978937625885,-9999,-9999,0.69633424282074,0.703784883022308,-9999,-9999,-9999,-9999,-9999,0.599771499633789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.897336483001709,0.889120519161224,0.827256321907043,0.73559445142746,0.549858212471008,0.454517930746078,0.464909851551056,0.433513671159744,0.347184062004089,0.302476793527603,0.351323664188385,0.39329206943512,0.38839203119278,0.349465668201447,0.333165615797043,0.324760586023331,0.31469252705574,0.329201966524124,0.376831978559494,0.243347823619843,0.00741791259497404,0.0107226129621267,0.00882239639759064,0.00867080967873335,0.00985624641180038,0.0581460669636726,0.20948301255703,0.496430277824402,0.498566716909409,0.433143854141235,0.291856616735458,0.151076674461365,0.129792839288712,0.145762085914612,-9999,-9999,-9999,-9999,-9999,0.336355060338974,0.336479395627975,0.291277468204498,0.290797889232635,0.296762645244598,0.301658719778061,0.292809277772903,0.29011595249176,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.712527453899384,0.667119204998016,-9999,-9999,-9999,-9999,0.715575397014618,0.705816030502319,0.698599338531494,0.605778336524963,0.618999779224396,0.616751551628113,0.577942609786987,0.542603850364685,0.546681225299835,0.657534837722778,-9999,0.848321914672852,0.786536276340485,-9999,-9999,0.612244606018066,0.690722405910492,0.823842406272888,0.974770963191986,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.543353736400604,0.625939726829529,-9999,-9999,-9999,0.692166984081268,0.586181640625,0.546681046485901,0.505692660808563,0.494864642620087,0.493637025356293,0.433520436286926,0.331485867500305,0.312896460294724,0.381301075220108,0.4391228556633,0.457966655492783,0.4369056224823,0.381557911634445,0.381412655115128,0.385923624038696,0.404742687940598,0.31685996055603,0.00956362951546907,0.00965485256165266,0.0111490115523338,0.007783820386976,0.00761106749996543,0.0100936898961663,0.0124090425670147,0.0187815502285957,0.467233628034592,0.51230525970459,0.438347369432449,0.3292196393013,0.202748730778694,0.160960495471954,0.149896442890167,0.15893891453743,0.213096976280212,0.297193765640259,0.260181456804276,0.185887441039085,0.240367099642754,0.298717647790909,0.282761335372925,0.310007482767105,0.347135573625565,0.350318849086761,0.291224449872971,0.287570059299469,0.283908784389496,0.278627157211304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
