"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Deep-water grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.65393243555445E-05,5.42877132829744E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.70159466203768E-05,6.98022995493375E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.79635911385412E-07,1.22740300412261E-06,1.8628803672982E-06,2.67590758085134E-06,-9999,-9999,-9999,-9999,-9999,7.86685359344119E-06,1.09945358417463E-05,1.51484127854928E-05,2.1021616703365E-05,2.95180143439211E-05,4.09671192755923E-05,5.67450369999278E-05,5.46138144272845E-05,5.47026502317749E-05,5.78675753786229E-05,8.56339247548021E-05,8.10350829851814E-05,-9999,-9999,6.15484823356383E-05,9.03003965504467E-05,0.000134987567435019,0.000138639705255628,0.000214159081224352,0.000219636218389496,0.000222882532398216,0.000149167055496946,0.000146377962664701,0.000143010154715739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.83936513926164E-07,1.27658506698936E-06,2.14537044485041E-06,3.32872377839522E-06,4.88032310386188E-06,8.04591945779976E-06,1.34145584524958E-05,-9999,2.08587352972245E-05,1.29375066535431E-05,1.17812105600024E-05,1.55469151650323E-05,2.05979886231944E-05,2.82936834992142E-05,3.99759373976849E-05,5.57923049200326E-05,7.75654189055786E-05,7.4766248872038E-05,7.39475799491629E-05,7.4514900916256E-05,0.000110152148408815,0.000106891398900189,0.000100031174952164,0.000141677970532328,9.24078703974374E-05,0.000136604910949245,0.000205637697945349,0.000212865124922246,0.000333215371938422,0.000341471051797271,0.00034548994153738,0.000231234793318436,0.000223686758545227,0.000212635612115264,0.000131591950776055,8.19570559542626E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.23528866424749E-06,2.1410392037069E-06,3.97523172068759E-06,6.17671685176902E-06,8.67708331497852E-06,1.31628785311477E-05,2.08703495445661E-05,3.15620673063677E-05,3.11216463160235E-05,1.9266966774012E-05,1.70076582435286E-05,2.15834861592157E-05,2.78519692074042E-05,3.75551207980607E-05,5.19087770953774E-05,7.28702580090612E-05,0.000104997387097683,0.000103116391983349,0.000101583849755116,0.000100640027085319,0.000148631996125914,0.000146522943396121,0.000143326265970245,0.000210318496101536,0.000142266508191824,0.000216392290894873,0.000335358519805595,0.000351178285200149,0.00403152266517282,0.00155577331315726,0.000641204183921218,0.00037919104215689,0.000370176683645695,0.000347931316355243,0.000212886356166564,0.000129939784528688,8.08703916845843E-05,5.09803649038076E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.38888866180787E-06,4.99411498822155E-06,3.42704424838303E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4795479728491E-05,-9999,-9999,-9999,8.76130434335209E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.1226097689796E-06,4.58582462670165E-06,6.264687726798E-06,-9999,3.17377125611529E-05,4.6565750380978E-05,4.54983855888713E-05,2.83019453490851E-05,2.49091754085384E-05,3.16638070216868E-05,4.14387250202708E-05,5.56189916096628E-05,7.44725330150686E-05,0.000104465238109697,0.000155056244693696,0.000154690671479329,0.000151780070154928,0.000147784288856201,0.000217346067074686,0.000215808307984844,0.000215430380194448,0.000326897017657757,0.000230178731726483,0.000362302933353931,0.000956925156060606,0.0297203436493874,0.0326629653573036,0.0264983344823122,0.0222755968570709,0.00686743762344122,0.00225964467972517,0.000657826021779329,0.000361603102646768,0.000219785200897604,0.000132686051074415,8.05955132818781E-05,5.1253864512546E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0085819667438E-05,6.83047301208717E-06,4.76308423458249E-06,3.28417331729725E-06,2.26291012950242E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.21381062854198E-05,1.87292007467477E-05,-9999,-9999,1.63205259013921E-05,1.12167635961669E-05,-9999,-9999,1.66589488799218E-05,1.24069374578539E-05,-9999,-9999,-9999,-9999,-9999,3.02834087051451E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.6419558202615E-05,6.67140411678702E-05,6.49501234875061E-05,4.0656635974301E-05,3.6412151530385E-05,4.75705637654755E-05,6.35910546407104E-05,8.46957555040717E-05,0.000112836962216534,0.000160310359206051,0.000242001246078871,0.000244597089476883,0.000241434725467116,0.000234293445828371,0.00034199669607915,0.000340398983098567,0.000343169405823573,0.000564725312869996,0.000379106146283448,0.0130059830844402,0.0371354185044765,0.0326691046357155,0.0204142760485411,0.0231199488043785,0.0332281664013863,0.0276098288595676,0.0147173125296831,0.00257722055539489,0.000399188051233068,0.000369069253792986,0.000220540838199668,0.000130444575916044,8.08788827271201E-05,5.24126335221808E-05,-9999,-9999,-9999,-9999,-9999,1.8460130377207E-05,1.2667821465584E-05,1.31034876176273E-05,9.01477960724151E-06,6.33436457064818E-06,4.47930960945087E-06,3.17117678605427E-06,2.21630602936784E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2252550732228E-05,1.13041887743748E-05,-9999,-9999,-9999,-9999,1.32568848130177E-05,1.39127541842754E-05,2.04512234631693E-05,1.83138054126175E-05,1.78676637005992E-05,1.85585413419176E-05,1.21379625852569E-05,1.64730536198476E-05,1.69340019056108E-05,1.8846560124075E-05,-9999,2.55823906627484E-05,2.63572364929132E-05,-9999,-9999,3.78308577637654E-05,3.93679438275285E-05,3.75346389773767E-05,3.49600377376191E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.81485767522827E-05,6.99274605722167E-05,-9999,-9999,-9999,9.19379672268406E-05,8.91139934537932E-05,5.64917208976112E-05,5.22202390129678E-05,7.01102180755697E-05,9.42060723900795E-05,0.000125488790217787,0.000170425264514051,0.000246887444518507,0.000378314463887364,0.000385041174013168,0.000384142098482698,0.000375182513380423,0.000573227298446,0.00060558901168406,0.00036661681951955,0.000784671632573009,0.00940670352429152,0.0347168184816837,0.0350002869963646,0.0243187677115202,0.0260828007012606,0.0248274225741625,0.0264098271727562,0.0259706899523735,0.0225824564695358,0.00495343841612339,0.00119268149137497,0.000666673178784549,0.000353895971784368,0.00021029039635323,0.000129490770632401,8.2323414972052E-05,5.46384108019993E-05,3.64798943337519E-05,3.61072052328382E-05,2.40553072217153E-05,2.3819968191674E-05,2.4791166651994E-05,1.73068747244542E-05,1.76468292920617E-05,1.22270803331048E-05,8.59823921928182E-06,6.08455593464896E-06,4.33744708061568E-06,3.15839884024172E-06,2.28156977755134E-06,1.6164433418453E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
