"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Demersal coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0075252465903759,0.00742064788937569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00969599932432175,0.00952852237969637,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39186016162785E-07,4.12171687003138E-07,4.69846554551623E-07,4.89202363951335E-07,-9999,-9999,-9999,-9999,-9999,1.05850839614868,0.444305926561356,0.0914128422737122,0.0283124856650829,0.00938498973846436,0.00868900213390589,1.06630849838257,1.05509328842163,1.05866885185242,0.578492522239685,0.930523693561554,0.823123812675476,-9999,-9999,0.743304312229156,0.773461222648621,0.689314007759094,0.708189368247986,0.63933527469635,0.695040881633759,0.719864010810852,0.713459730148315,0.726525068283081,0.783345282077789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.38445033776225E-07,4.42128055055946E-07,6.65233073959826E-07,7.87481724273675E-07,8.76797116688977E-07,1.24740768114862E-06,0.00402393611148,-9999,0.0565959922969341,0.999720454216003,0.837162733078003,0.991934955120087,1.05184864997864,1.01790547370911,0.27084943652153,0.90728634595871,0.999172329902649,0.964536368846893,0.966410994529724,0.9404217004776,0.873083293437958,0.797842264175415,0.758694291114807,0.666877448558807,0.59186589717865,0.520151376724243,0.389664858579636,0.342702567577362,0.310098230838776,0.314689725637436,0.308673173189163,0.32763484120369,0.326598823070526,0.36590713262558,0.347653836011887,0.29547306895256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.05084307431025E-07,6.58629232930252E-07,1.42158614835353E-06,1.62383230417618E-06,1.64366667831928E-06,0.00381524674594402,0.00574540067464113,0.00831911899149418,0.0121434675529599,0.722613215446472,0.915082514286041,1.01848793029785,0.917830288410187,0.856645524501801,0.761118352413177,0.729369461536407,0.687738955020905,0.640108048915863,0.596413373947144,0.635622799396515,0.627107977867126,0.587973594665527,0.512202799320221,0.409703016281128,0.366494715213776,0.28924685716629,0.225241035223007,0.16535909473896,0.0208419840782881,0.0586779713630676,0.117708176374435,0.120772033929825,0.140908241271973,0.162730440497398,0.171281546354294,0.191809773445129,0.217119067907333,0.286327838897705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16469824314117,1.14044213294983,1.0616090297699,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.373587667942047,-9999,-9999,-9999,0.352622509002686,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.89164256880758E-06,1.91565482055012E-06,1.82735948328627E-06,-9999,0.00567704159766436,0.0082767466083169,0.0122396443039179,0.39235731959343,0.907965838909149,0.955987930297852,0.864101231098175,0.849159598350525,0.664330959320068,0.516681432723999,0.417147815227509,0.391491651535034,0.356064200401306,0.37151363492012,0.374618619680405,0.348688781261444,0.259687483310699,0.234185919165611,0.22000578045845,0.197556287050247,0.0821029618382454,0.00428259512409568,0.00458408053964376,0.00488269608467817,0.00497427815571427,0.00851046573370695,0.0211194343864918,0.0641246140003204,0.123499877750874,0.1535834223032,0.208732157945633,0.260204136371613,0.314044922590256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.923066854476929,0.903282165527344,0.880469560623169,1.06971275806427,1.09433233737946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.481496602296829,0.497734516859055,-9999,-9999,0.602364838123322,0.575037658214569,-9999,-9999,0.468069106340408,0.480320036411285,-9999,-9999,-9999,-9999,-9999,0.869414508342743,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00813321769237518,0.0119744511321187,0.286428868770599,0.436795651912689,0.805363416671753,0.89953875541687,0.82982349395752,0.80921733379364,0.606478571891785,0.431311130523682,0.269717335700989,0.213465929031372,0.199755653738976,0.205208748579025,0.211696654558182,0.200941622257233,0.158259496092796,0.132607713341713,0.137878388166428,0.00707287760451436,0.00478458683937788,0.00353381806053221,0.00378099898807704,0.00379621097818017,0.00355318724177778,0.00511843292042613,0.00502802385017276,0.0146531090140343,0.0649543479084969,0.0988345891237259,0.158687189221382,0.216387808322906,0.318134248256683,0.436046600341797,-9999,-9999,-9999,-9999,-9999,0.809443116188049,0.803811967372894,0.752901017665863,0.720364093780518,0.944597482681274,0.986878275871277,1.06207025051117,1.15793323516846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.747827410697937,0.853707909584045,-9999,-9999,-9999,-9999,0.539137899875641,0.612900078296661,0.564386546611786,0.589531719684601,0.537302792072296,0.611214518547058,0.569076478481293,0.393980324268341,0.52190226316452,0.423255503177643,-9999,0.325009107589722,0.568011283874512,-9999,-9999,0.76528388261795,0.723396956920624,0.320441752672195,0.0341241545975208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.866351664066315,0.522169470787048,-9999,-9999,-9999,0.668046414852142,0.766292870044708,0.791770577430725,0.789760589599609,0.760479092597961,0.724886536598206,0.679057240486145,0.538044989109039,0.355432629585266,0.188503801822662,0.133837223052979,0.130608543753624,0.132228657603264,0.121577180922031,0.100410282611847,0.100438386201859,0.0816706940531731,0.00839834567159414,0.00530343875288963,0.00386837404221296,0.00279371929354966,0.00285081402398646,0.00283823232166469,0.00272000906988978,0.00376375485211611,0.00524974567815661,0.0101456940174103,0.03653259947896,0.0647894814610481,0.119604684412479,0.20987468957901,0.301263928413391,0.463424921035767,0.587157905101776,0.570446848869324,0.00671549001708627,0.434856742620468,0.57256144285202,0.592524766921997,0.589994430541992,0.574191749095917,0.533710300922394,0.577021360397339,0.673765659332275,1.01090526580811,1.10850131511688,1.18325459957123,1.19974029064178,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
