"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Detritus

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.565559387207,86.5118789672852,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,88.041374206543,85.7724456787109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00646067131310701,0.0143504943698645,0.0165968220680952,0.017468323931098,-9999,-9999,-9999,-9999,-9999,107.729751586914,111.94376373291,110.872940063477,102.809532165527,112.27075958252,111.622695922852,106.659790039063,103.171417236328,103.345077514648,91.1238403320313,86.9250717163086,86.7435989379883,-9999,-9999,77.9852828979492,65.4441986083984,62.6499137878418,66.692008972168,63.5810394287109,70.3311538696289,74.5687255859375,74.4489669799805,69.5680694580078,73.03857421875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006876265630126,0.0226985290646553,0.117762550711632,0.129315674304962,0.13702280819416,0.243185818195343,95.2625732421875,-9999,94.0353164672852,90.4837951660156,91.5104064941406,91.2721099853516,88.3524932861328,88.2454376220703,92.8060913085938,95.9675903320313,91.232421875,85.5256195068359,89.1163940429688,88.2066650390625,82.70166015625,82.8096008300781,76.5574569702148,67.6612014770508,62.1426849365234,54.9226493835449,49.163028717041,55.5752563476563,62.2930030822754,71.335090637207,76.5594635009766,76.1966705322266,71.5107040405273,59.8499946594238,46.575611114502,32.4269828796387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0168335437774658,0.131752952933311,97.6436157226563,97.6362838745117,97.7399826049805,98.0740280151367,96.8059921264648,95.1574249267578,95.0753021240234,91.6015090942383,90.0203399658203,90.7463531494141,85.5764617919922,85.0787048339844,81.9488677978516,79.5851211547852,78.8594436645508,77.8604736328125,77.2165679931641,76.2434921264648,75.2524185180664,73.3229675292969,70.868034362793,66.6953430175781,61.8709297180176,55.4736251831055,49.5029983520508,56.6815338134766,66.8917846679688,75.1543121337891,78.6490020751953,77.9585800170898,73.1880645751953,60.5369834899902,47.2658004760742,32.4812545776367,27.940523147583,36.9133796691895,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,103.852638244629,103.118995666504,98.8154296875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.9416046142578,-9999,-9999,-9999,85.1854858398438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,96.9476089477539,97.4290161132813,97.6347961425781,-9999,98.4814910888672,97.2253112792969,95.2430572509766,92.715934753418,90.0598831176758,88.5688552856445,86.7239685058594,86.1784362792969,79.8630905151367,77.8967132568359,80.0092315673828,80.5249862670898,79.1807479858398,77.8270950317383,76.8932647705078,75.0879516601563,73.1174926757813,72.5133666992188,72.1373825073242,68.2740020751953,65.6313858032227,73.9263458251953,78.5085296630859,84.3798980712891,86.642707824707,83.8128356933594,78.6040115356445,68.5663833618164,61.3557281494141,56.3680763244629,46.495059967041,34.2056655883789,41.3274917602539,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,84.0193023681641,77.3905944824219,83.0931167602539,95.0324478149414,103.301216125488,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,82.0455169677734,81.3509292602539,-9999,-9999,85.908447265625,85.7259063720703,-9999,-9999,76.6555328369141,80.0950775146484,-9999,-9999,-9999,-9999,-9999,88.7516021728516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,98.197021484375,99.3953552246094,95.865119934082,93.1454315185547,89.6845703125,91.886474609375,93.0286254882813,92.1808395385742,77.6082763671875,74.7393112182617,81.2476196289063,84.8026580810547,82.9264144897461,81.1194763183594,80.1294860839844,77.4921264648438,75.8952331542969,79.2275848388672,82.1713256835938,83.827880859375,82.8587875366211,84.9387969970703,87.0205688476563,89.4557723999023,90.345458984375,88.3163299560547,84.3451080322266,76.4986877441406,73.9210815429688,76.2784576416016,62.5876274108887,36.7208633422852,41.1119499206543,50.4828872680664,-9999,-9999,-9999,-9999,-9999,78.0412750244141,77.5942001342773,75.0182189941406,75.7021255493164,78.0725479125977,83.1765747070313,91.2124710083008,108.295471191406,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.068717956543,83.3383102416992,-9999,-9999,-9999,-9999,81.8500671386719,82.733528137207,83.1636810302734,81.4024200439453,84.2847442626953,85.6029739379883,85.4831008911133,79.4121551513672,76.595344543457,76.7479476928711,-9999,82.9235229492188,86.810546875,-9999,-9999,87.7650909423828,88.0970458984375,89.8478469848633,91.573127746582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,89.3711547851563,93.9958038330078,-9999,-9999,-9999,96.1729965209961,94.8898391723633,93.3032836914063,88.9452209472656,88.8052673339844,86.5304260253906,83.4175491333008,75.6045989990234,72.6364898681641,79.7782745361328,83.2521820068359,85.0466613769531,84.3237533569336,83.0884094238281,80.9924087524414,79.2094192504883,79.5101699829102,83.213134765625,85.2553863525391,85.3489608764648,87.5592956542969,89.3833618164063,90.2953796386719,90.5707702636719,89.7456741333008,87.3144454956055,80.7161407470703,76.3932571411133,74.9255676269531,64.6204299926758,49.5582237243652,48.3951683044434,50.2679595947266,53.9329719543457,54.3589286804199,59.992431640625,57.2837333679199,51.8614044189453,62.4036598205566,73.8255081176758,73.9621963500977,75.1410217285156,76.917610168457,79.8220062255859,80.3815155029297,99.126594543457,109.768165588379,107.53825378418,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
