"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Goliath grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00167435448384E-05,1.48851659105276E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34118054120336E-05,1.98826128325891E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.48781874492943E-08,3.43698829396999E-08,1.19669130071998E-06,1.68816700352181E-06,-9999,-9999,-9999,-9999,-9999,3.23731637763558E-06,4.58190424978966E-06,6.38855726720067E-06,8.98446887731552E-06,8.6452682808158E-06,8.1726520875236E-06,7.64767082728213E-06,1.09581969809369E-05,1.09071834231145E-05,1.67177022376563E-05,2.43693502852693E-05,3.44632644555531E-05,-9999,-9999,3.89244632970076E-05,3.72827526007313E-05,5.21558940818068E-05,5.09950041305274E-05,5.01065333082806E-05,5.0596019718796E-05,5.10862082592212E-05,5.17307962581981E-05,5.17290682182647E-05,3.51050584868062E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.63579566453609E-08,3.6636532030343E-08,1.36982930598606E-06,1.92610264093673E-06,2.63713354797801E-06,3.85488056053873E-06,5.84153349336702E-06,-9999,8.23673326522112E-06,5.11569169248105E-06,4.71656994704972E-06,6.29370788374217E-06,8.35568971524481E-06,1.15900420496473E-05,1.11983181341202E-05,1.040186634782E-05,9.65443177847192E-06,1.36080252559623E-05,1.34077736220206E-05,1.99671812879387E-05,2.93126613541972E-05,4.20587784901727E-05,3.82486723538022E-05,5.25213326909579E-05,5.08286684635095E-05,4.76940076623578E-05,6.43668536213227E-05,6.21608051005751E-05,6.19347702013329E-05,6.25751345069148E-05,6.34088573860936E-05,6.51738591841422E-05,6.41225269646384E-05,4.24845420639031E-05,4.17264855059329E-05,4.10521752201021E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.73707962353365E-08,1.45472540680203E-06,2.21000300371088E-06,3.14639282805729E-06,4.1940788833017E-06,5.90863146499032E-06,8.62564684211975E-06,1.25593314805883E-05,1.22087758427369E-05,7.49599803384626E-06,6.58894032312674E-06,8.3797940533259E-06,1.08597487269435E-05,1.46612328535412E-05,1.32893164845882E-05,1.15257416837267E-05,1.08649992398568E-05,1.5499792425544E-05,1.50503674376523E-05,2.21934442379279E-05,3.28268761222716E-05,4.80457456433214E-05,4.58519061794505E-05,6.41965743852779E-05,6.2387902289629E-05,5.88135844736826E-05,0.000122758588986471,0.000150096340803429,0.000128546540508978,0.00016870912804734,0.000151980711962096,0.000140580857987516,0.000114111469883937,6.07895672146697E-05,5.86664173169993E-05,5.73015277041122E-05,3.87739928555675E-05,4.00501703552436E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.49205242855533E-06,2.34319145420159E-06,1.60125068759953E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.27231906441739E-06,-9999,-9999,-9999,5.05939806316746E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55769646426052E-06,2.21151913137874E-06,2.96977577818325E-06,-9999,1.25834312711959E-05,1.82229141501011E-05,1.7633727111388E-05,1.08749645733042E-05,9.52056416281266E-06,1.20665272334008E-05,1.59550236276118E-05,2.14952524402179E-05,1.82682160811964E-05,1.46835400300915E-05,1.39476569529506E-05,2.04129028134048E-05,1.95928569155512E-05,2.77925755653996E-05,4.10509346693289E-05,5.97275866311975E-05,5.82673092139885E-05,9.9527562269941E-05,0.000159201910719275,0.0002097602118738,0.000175268549355678,5.43206770089455E-05,5.46704686712474E-05,5.63211178814527E-05,0.000108419146272354,0.000245264527620748,0.000248213589657098,0.000266663933871314,0.000181293900823221,9.4967515906319E-05,5.66184862691443E-05,5.70463816984557E-05,4.03388403356075E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.49516073786072E-06,3.01447244055453E-06,2.1306411781552E-06,1.50571418089385E-06,1.56111957494431E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.77798152537434E-06,1.05302497104276E-05,-9999,-9999,6.1936111706018E-06,6.39791505818721E-06,-9999,-9999,1.0066500180983E-05,7.66587618272752E-06,-9999,-9999,-9999,-9999,-9999,1.57068552653072E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.83057363756234E-05,2.56768998951884E-05,2.46378494921373E-05,1.53205928654643E-05,1.37108399940189E-05,1.80967563210288E-05,2.44066068262327E-05,3.22928863170091E-05,2.73300393018872E-05,2.23764709517127E-05,2.0989284166717E-05,3.10441246256232E-05,3.01886302622734E-05,4.20150281570386E-05,6.04071683483198E-05,9.09868176677264E-05,0.000137591079692356,0.000169554914464243,0.000207046410650946,0.000140383403049782,5.58981919311918E-05,3.84229315386619E-05,3.93744703615084E-05,3.95096649299376E-05,5.77839928155299E-05,5.91181596973911E-05,0.000146741498610936,0.000309545954223722,0.000327043933793902,0.000290030089672655,0.000211759237572551,9.2823727754876E-05,5.87490030738991E-05,4.35824767919257E-05,-9999,-9999,-9999,-9999,-9999,1.21880821097875E-05,8.13348196970765E-06,5.4564688980463E-06,3.71083001482475E-06,2.67635232376051E-06,1.9629180769698E-06,2.11416204365378E-06,1.51735173403722E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.4714279283653E-06,2.76173295787885E-06,-9999,-9999,-9999,-9999,7.29967769075301E-06,7.75776425143704E-06,1.16429400804918E-05,6.9462967076106E-06,6.795658464398E-06,6.96174811309902E-06,6.79156300975592E-06,6.17817295278655E-06,6.4062992350955E-06,1.09240263554966E-05,-9999,1.3923709957453E-05,1.43588140417705E-05,-9999,-9999,2.00579088414088E-05,2.07401863008272E-05,1.33469156935462E-05,1.85587377927732E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.69308184215333E-05,3.93121190427337E-05,-9999,-9999,-9999,3.40353908541147E-05,3.26488770951983E-05,2.0587529434124E-05,1.90675564226694E-05,2.56974271906074E-05,3.45126936736051E-05,4.50134466518648E-05,3.88203625334427E-05,3.30862167174928E-05,3.20697072311305E-05,4.8902027629083E-05,4.8822425014805E-05,3.09258066408802E-05,4.30988948210143E-05,6.29183923592791E-05,0.000131921144202352,0.000166574376635253,0.00015194587467704,5.92968863202259E-05,4.10288921557367E-05,2.84888446913101E-05,2.88128139800392E-05,2.86428385152249E-05,4.1764389607124E-05,4.13631460105535E-05,6.21069048065692E-05,0.000390428584069014,0.000451924308435991,0.000467712379759178,0.00048899109242484,0.000287885282887146,5.66058297408745E-05,4.36707705375738E-05,3.28611859004013E-05,3.45260195899755E-05,2.37468830164289E-05,2.3575918021379E-05,2.27931432164041E-05,1.5492936654482E-05,1.03058409877121E-05,6.54743053019047E-06,4.56462839792948E-06,3.31653268403898E-06,2.47648290496727E-06,2.73192131317046E-06,2.09023346542381E-06,1.59956277911988E-06,2.59844455285929E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
