"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Gray triggerfish"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000909049587789923,0.00134189880918711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00121314299758524,0.00178233825135976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.57434167503379E-08,3.04020395560656E-05,4.91909522679634E-05,7.77684253989719E-05,-9999,-9999,-9999,-9999,-9999,0.00154068937990814,0.00225570844486356,0.00213078549131751,0.00201277388259768,0.00128541851881891,0.00174154515843838,0.00295722251757979,0.00274249212816358,0.00273598730564117,0.0014967315364629,0.00363324210047722,0.00135445210617036,-9999,-9999,0.00225565233267844,0.00343811698257923,0.00319283502176404,0.00457240408286452,0.0215650256723166,0.0261091906577349,0.0278991926461458,0.0320618040859699,0.0146519960835576,0.00304156518541276,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.3331394168672E-08,3.32902855006978E-05,6.12878211541101E-05,0.000104521852335893,0.000174448039615527,0.000323275133268908,0.000606229994446039,-9999,0.00232824264094234,0.00367948948405683,0.00211284169927239,0.00506848702207208,0.01112658996135,0.0131126940250397,0.00161146814934909,0.00561740482226014,0.00885560549795628,0.0132771171629429,0.011165245436132,0.00870141386985779,0.00812366139143705,0.00494311051443219,0.00591048877686262,0.014240026473999,0.0323810093104839,0.0519234798848629,0.0689548403024673,0.0678255409002304,0.071248896420002,0.0791061371564865,0.083244301378727,0.0555692799389362,0.081732913851738,0.0742526799440384,0.0621475838124752,0.0250644963234663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.83020126516931E-05,5.87741596973501E-05,0.000143258803291246,0.000242149922996759,0.000378769880626351,0.000606893794611096,0.000993021763861179,0.00154635438229889,0.00228365953080356,0.00367456185631454,0.00739854108542204,0.0110476836562157,0.0393033735454082,0.0644562765955925,0.0767043754458427,0.0913724526762962,0.0844371914863586,0.0848593339323997,0.0980980768799782,0.0996110513806343,0.0897531807422638,0.0802541077136993,0.0737412646412849,0.0873621925711632,0.0718231573700905,0.085243746638298,0.0655893534421921,0.0745717287063599,0.0779820308089256,0.0997869670391083,0.095858134329319,0.106092765927315,0.0742900148034096,0.0688034147024155,0.0668817609548569,0.0573182143270969,0.0314503237605095,0.0132882632315159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00311440043151379,0.00290145771577954,0.00227344338782132,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00186189718078822,-9999,-9999,-9999,0.00110955897253007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000118466407002416,0.000183136813575402,0.000273517682217062,-9999,0.000700684497132897,0.00103888008743525,0.00151241524145007,0.00214150059036911,0.00414746906608343,0.00933307781815529,0.0190322212874889,0.0114188324660063,0.0937447771430016,0.110145881772041,0.0866047739982605,0.0739539265632629,0.107523068785667,0.155461460351944,0.13433413207531,0.139626160264015,0.155071258544922,0.128369241952896,0.0812032967805862,0.0848767012357712,0.0874051451683044,0.0174780376255512,0.000939858378842473,0.00160189275629818,0.0637242943048477,0.0813466310501099,0.0615535974502563,0.0568507313728333,0.0564841106534004,0.0622379258275032,0.0478440336883068,0.0392236486077309,0.0189380217343569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0122682005167007,0.0220591351389885,0.00424655945971608,0.00239333347417414,0.00246128672733903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00168202794156969,0.00276433024555445,-9999,-9999,0.00152183545287699,0.00151940481737256,-9999,-9999,0.00148870749399066,0.00379158672876656,-9999,-9999,-9999,-9999,-9999,0.00147363753058016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00106423767283559,0.00150597293395549,0.00216422672383487,0.00205435929819942,0.00326469819992781,0.00356920179910958,0.00284877349622548,0.00356426183134317,0.0396053493022919,0.0644882544875145,0.0672357082366943,0.0680260732769966,0.0763838961720467,0.11927518248558,0.115767404437065,0.122254744172096,0.147341817617416,0.129050731658936,0.0919134765863419,0.1004803404212,0.000976688344962895,0.00100238958839327,0.000714810215868056,0.00111277436371893,0.00111692561767995,0.0242072306573391,0.0373270362615585,0.0445350185036659,0.043238703161478,0.0501598492264748,0.052623275667429,0.0478301681578159,0.038161925971508,0.0149274719879031,-9999,-9999,-9999,-9999,-9999,0.0114895738661289,0.00918234325945377,0.043526217341423,0.0618299245834351,0.0290697738528252,0.0142221804708242,0.00765935704112053,0.00301549723371863,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00274106534197927,0.00405876524746418,-9999,-9999,-9999,-9999,0.00249440758489072,0.00298827281221747,0.00408172886818647,0.0170680265873671,0.0064823436550796,0.0103287575766444,0.0102670611813664,0.030543889850378,0.0109974974766374,0.00247964286245406,-9999,0.00154484657105058,0.00370748480781913,-9999,-9999,0.00990494154393673,0.00206862250342965,0.00146580336149782,0.000961377285420895,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0030957714188844,0.00212460942566395,-9999,-9999,-9999,0.00198350078426301,0.00359056703746319,0.00355650670826435,0.00346908043138683,0.00289884675294161,0.00358279794454575,0.00583369378000498,0.0573610961437225,0.0610596835613251,0.0666641071438789,0.0713415369391441,0.076087698340416,0.0973106622695923,0.150202170014381,0.130502462387085,0.123097717761993,0.104664631187916,0.0948060378432274,0.00107849040068686,0.000731455278582871,0.000748949532862753,0.000519789871759713,0.000793653656728566,0.000789812067523599,0.00114236178342253,0.0042553273960948,0.0527327954769135,0.0520669370889664,0.0674181506037712,0.068649910390377,0.0590900592505932,0.0475673861801624,0.0219751857221127,0.00149730197153986,0.000749110244214535,0.000811082078143954,0.00084149616304785,0.0411447733640671,0.0627526566386223,0.067981094121933,0.108628995716572,0.102599263191223,0.0663187950849533,0.0505108088254929,0.0370227508246899,0.00985451228916645,0.0032223011367023,0.00316911586560309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
