"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Infauna

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.0735626220703,31.0076560974121,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.373254776001,30.7536506652832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.02620408124221E-08,1.70236398844281E-05,1.68064598256024E-05,1.6722848158679E-05,-9999,-9999,-9999,-9999,-9999,34.4056549072266,35.2719039916992,35.5941047668457,34.5748023986816,34.4714012145996,33.6622352600098,27.9545822143555,24.2013912200928,24.4195041656494,30.0237731933594,26.7079410552979,21.6695823669434,-9999,-9999,16.5616207122803,13.9784107208252,13.8410568237305,13.9365301132202,15.7994327545166,17.6368827819824,18.7789363861084,19.0852737426758,17.8632335662842,15.3913917541504,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.67203733478527E-08,3.93525733670685E-05,0.025094997137785,0.0248188823461533,0.0247409492731094,0.0519238486886024,36.3779067993164,-9999,35.6362800598145,32.4465293884277,33.8512344360352,32.8716735839844,30.2335205078125,30.0380191802979,32.4570465087891,30.5184001922607,24.8677234649658,23.8792133331299,23.6564292907715,22.9990787506104,21.6474647521973,21.1515712738037,20.1473178863525,18.0595531463623,15.9866695404053,13.2866144180298,11.2531051635742,12.8816814422607,14.6952133178711,17.1559562683105,18.8398094177246,19.0184154510498,17.8948440551758,14.7023296356201,11.1734943389893,7.31610536575317,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28864373639226E-05,0.0290696583688259,37.6096878051758,37.3751220703125,37.3694114685059,37.4532623291016,36.8192749023438,36.1090545654297,36.1413192749023,34.0457611083984,31.3693714141846,29.0389404296875,27.4098510742188,27.0726737976074,25.5185928344727,24.0627975463867,23.6143493652344,22.278470993042,21.3670482635498,20.727294921875,20.053638458252,19.3597717285156,18.3199062347412,16.4426403045654,14.6904773712158,12.6662120819092,10.9341993331909,12.9976205825806,18.2297592163086,19.0011405944824,19.171257019043,19.012825012207,17.6744747161865,14.2150640487671,10.7551116943359,6.78040266036987,5.78937244415283,8.31189632415771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.0770435333252,20.6830253601074,20.8709526062012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.7621021270752,-9999,-9999,-9999,29.1937770843506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.9179611206055,37.0657615661621,37.1475830078125,-9999,37.4511909484863,36.9191703796387,36.1787719726563,34.884407043457,29.6133460998535,26.7725734710693,26.5062789916992,26.6371822357178,24.4584884643555,22.6425399780273,22.4868392944336,21.5952568054199,20.313268661499,19.5510730743408,19.0885486602783,18.4507999420166,17.8369407653809,17.2342395782471,16.9568386077881,15.9003267288208,16.0620498657227,27.8168716430664,30.8736324310303,32.9167518615723,30.4476680755615,24.2984561920166,20.8546333312988,16.6473503112793,14.3404130935669,13.0292415618896,10.3914136886597,7.26863527297974,9.78389644622803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.5603542327881,20.8745574951172,20.8969554901123,21.1931610107422,21.6406135559082,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.1499786376953,29.4342021942139,-9999,-9999,30.9160995483398,29.0608444213867,-9999,-9999,25.3864078521729,27.0675354003906,-9999,-9999,-9999,-9999,-9999,33.1244850158691,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.2821350097656,37.8031272888184,36.1561279296875,34.9676818847656,28.1666393280029,24.9346008300781,25.2078094482422,25.4477462768555,23.1842041015625,20.9419078826904,22.1674747467041,22.9188480377197,21.8235416412354,20.5117015838623,19.8506603240967,18.8837547302246,18.450834274292,19.4114608764648,19.9822597503662,25.636812210083,32.4113388061523,34.4959106445313,35.4234161376953,36.0687980651855,35.4699211120605,33.2390937805176,29.5642490386963,20.664665222168,17.9023990631104,18.5044765472412,14.4763517379761,7.4482626914978,9.05449104309082,12.2930517196655,-9999,-9999,-9999,-9999,-9999,20.7485504150391,21.1208400726318,20.9547843933105,21.9004001617432,22.601676940918,22.5009651184082,21.5605487823486,21.6848430633545,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.0056705474854,29.995719909668,-9999,-9999,-9999,-9999,28.9301834106445,29.2848014831543,30.6229591369629,28.6233825683594,31.1813774108887,30.1189880371094,27.7359275817871,25.5384101867676,25.0582485198975,25.9581890106201,-9999,29.0732307434082,30.9848136901855,-9999,-9999,30.9321250915527,32.695140838623,33.7151527404785,34.6576271057129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.4933967590332,35.5413246154785,-9999,-9999,-9999,35.5936431884766,27.1125640869141,26.8590049743652,24.675220489502,24.3873023986816,24.1013946533203,23.8298988342285,21.0372524261475,19.4643726348877,21.705924987793,22.8032093048096,22.9193286895752,21.9139175415039,21.0945072174072,20.4180030822754,19.5650463104248,19.6631336212158,24.7622814178467,34.3731460571289,34.7358093261719,35.7295074462891,36.5150299072266,36.8960037231445,36.7815322875977,35.5697708129883,33.7320823669434,23.0208053588867,19.1259746551514,18.1606121063232,15.0671319961548,10.6744298934937,10.7071752548218,11.9602336883545,11.7441778182983,16.6970348358154,18.9023246765137,18.4983501434326,13.4864883422852,17.2556896209717,20.9895648956299,21.0168037414551,21.4994850158691,22.6956729888916,23.3358001708984,23.1081943511963,22.3678398132324,22.4133968353271,22.5977745056152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
