"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Inshore coastal piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.632103204727173,0.626763820648193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.528520822525024,0.52407968044281,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.144301220774651,0.174137353897095,0.20576199889183,0.228796914219856,-9999,-9999,-9999,-9999,-9999,0.514701664447784,0.48551818728447,0.448681950569153,0.419357419013977,0.395944058895111,0.354509919881821,0.298026621341705,0.280169934034348,0.300791025161743,0.371698290109634,0.362868547439575,0.315843164920807,-9999,-9999,0.193157285451889,0.183091968297958,0.185033619403839,0.198265463113785,0.212455898523331,0.230596393346786,0.246663853526115,0.25498840212822,0.253415554761887,0.246597811579704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.138483464717865,0.174386233091354,0.249163001775742,0.307694911956787,0.364090323448181,0.485636830329895,0.642696559429169,-9999,0.679968535900116,0.583937883377075,0.504862308502197,0.424784272909164,0.349458038806915,0.318760454654694,0.319245457649231,0.290899038314819,0.252850562334061,0.23915308713913,0.249086275696754,0.270684778690338,0.270638048648834,0.255841463804245,0.226388767361641,0.202393710613251,0.185627296566963,0.171711593866348,0.152829542756081,0.116560056805611,0.124552182853222,0.129332855343819,0.136023938655853,0.12893146276474,0.0972633585333824,0.142498984932899,0.168651908636093,0.148762360215187,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.158363342285156,0.234746679663658,0.435463905334473,0.524591743946075,0.570637404918671,0.618910431861877,0.712745189666748,0.740150570869446,0.697690427303314,0.587062537670135,0.46241819858551,0.35917592048645,0.283091813325882,0.243271917104721,0.223144233226776,0.204422414302826,0.196771830320358,0.188092187047005,0.187375351786613,0.205306276679039,0.208783254027367,0.207497879862785,0.196170344948769,0.146587178111076,0.120844773948193,0.084804929792881,0.0456711165606976,0.0115601606667042,0.00150273554027081,0.00166421860922128,0.00506279524415731,0.00670135393738747,0.00918537750840187,0.014129045419395,0.0372211821377277,0.0689695551991463,0.123554915189743,0.132596716284752,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.358636915683746,0.362029284238815,0.371306836605072,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.619948089122772,-9999,-9999,-9999,0.510124623775482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.616624891757965,0.648711562156677,0.665745556354523,-9999,0.764983892440796,0.741173982620239,0.692785263061523,0.596156358718872,0.467191338539124,0.354349792003632,0.283248066902161,0.246532261371613,0.202398329973221,0.138882204890251,0.085025817155838,0.0765873566269875,0.0732939913868904,0.0973566621541977,0.114933542907238,0.0899069011211395,0.055279828608036,0.0461452268064022,0.0451101362705231,0.0274199862033129,0.00145693740341812,0.00158077187370509,0.00119487824849784,0.0013099747011438,0.00202241772785783,0.00198421021923423,0.00181881967000663,0.00152142939623445,0.0111662428826094,0.0178500395268202,0.065602570772171,0.122144661843777,0.150992959737778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.341560125350952,0.34133392572403,0.355479866266251,0.364352941513062,0.374166488647461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.532151401042938,0.538002848625183,-9999,-9999,0.443201452493668,0.451612532138824,-9999,-9999,0.410862922668457,0.421900808811188,-9999,-9999,-9999,-9999,-9999,0.693904101848602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.760449826717377,0.704962313175201,0.643392741680145,0.566546201705933,0.457288414239883,0.367175400257111,0.309576541185379,0.262269258499146,0.204409703612328,0.123283565044403,0.024377528578043,0.00921576097607613,0.00910111609846354,0.0124651975929737,0.0194857511669397,0.0149470027536154,0.0113624958321452,0.00668402295559645,0.00714305741712451,0.00168319384101778,0.00124643556773663,0.00137868511956185,0.00100403721444309,0.00103904551360756,0.00156775815412402,0.00152760348282754,0.00142424716614187,0.00126086315140128,0.001537453266792,0.00391397625207901,0.014326180331409,0.0665655434131622,0.152038797736168,0.175309538841248,-9999,-9999,-9999,-9999,-9999,0.291913032531738,0.301636070013046,0.31016144156456,0.316210150718689,0.324985235929489,0.339601427316666,0.356096357107162,0.370346128940582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.592065751552582,0.568555951118469,-9999,-9999,-9999,-9999,0.421361207962036,0.438063204288483,0.419597655534744,0.344640046358109,0.332658380270004,0.34371429681778,0.326505243778229,0.275032222270966,0.288554698228836,0.337549924850464,-9999,0.452311724424362,0.456199258565903,-9999,-9999,0.579439461231232,0.669954419136047,0.723662137985229,0.754039704799652,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.575336813926697,0.582662582397461,-9999,-9999,-9999,0.593202233314514,0.539144933223724,0.488419562578201,0.426075160503387,0.364179790019989,0.30841663479805,0.254114627838135,0.195581138134003,0.112996719777584,0.00803164951503277,0.00286231632344425,0.00252828164957464,0.00403636321425438,0.00363714899867773,0.0026071984320879,0.00366502976976335,0.00235775392502546,0.00174493878148496,0.00133181735873222,0.00103577598929405,0.00113773404154927,0.000814755447208881,0.000829069002065808,0.0012019156711176,0.00115260947495699,0.00108442711643875,0.000987862469628453,0.00124806468375027,0.00157111731823534,0.00809034984558821,0.0505738444626331,0.128895729780197,0.189584195613861,0.199574336409569,0.208719700574875,0.2182796895504,0.221201479434967,0.225463971495628,0.255165755748749,0.278370559215546,0.290909022092819,0.303783714771271,0.312021315097809,0.323966383934021,0.334892213344574,0.362906277179718,0.390569090843201,0.408089816570282,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
