"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Large oceanic planktivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86586762033403E-05,3.86298634111881E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.66940871067345E-05,5.66974595130887E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.64247012435226E-06,2.51433812081814E-06,3.84912755180267E-06,5.84446524953819E-06,-9999,-9999,-9999,-9999,-9999,1.3099630450597E-05,1.89176589628914E-05,2.71854078164324E-05,3.92612746509258E-05,5.71132841287181E-05,5.60590306122322E-05,8.21204812382348E-05,8.16573519841768E-05,8.17683394416235E-05,8.25169991003349E-05,8.27227195259184E-05,8.26209579827264E-05,-9999,-9999,0.000186071876669303,0.000277953455224633,0.000279226282145828,0.000419851567130536,0.000629555259365588,0.000422792509198189,0.000422306940890849,0.000420015188865364,0.000416673865402117,0.000276286533335224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.61854507041426E-06,2.48760147769644E-06,3.87968793802429E-06,5.99267013967619E-06,9.22218441701261E-06,1.43344623211306E-05,2.20658530452056E-05,-9999,3.22453743137885E-05,2.09056706808042E-05,1.99234309548046E-05,2.81576758425217E-05,4.01343932026066E-05,5.78460967517458E-05,8.42272565932944E-05,8.27282565296628E-05,0.000121507393487263,0.000120887205412146,0.00012096459249733,0.000121589691843837,0.000122335375635885,0.00012320360110607,0.000124300320749171,0.000187032186659053,0.000280190259218216,0.000419706222601235,0.000422180339228362,0.000636397395282984,0.000956573523581028,0.000641783408354968,0.000640189100522548,0.000635366246569902,0.000627519853878766,0.00041195735684596,0.00026884549879469,0.000175976252648979,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.43993849835533E-06,3.80212645723077E-06,6.10272991252714E-06,9.44365638133604E-06,1.44337373058079E-05,2.19517023651861E-05,3.31405717588495E-05,4.91392565891147E-05,4.83556723338552E-05,3.12151350954082E-05,2.97135738946963E-05,4.18037925555836E-05,5.94158191233873E-05,8.54419922688976E-05,0.000123995312605985,0.000121965458674822,0.000179847527761012,0.000179248920176178,0.000179458889761008,0.000180482733412646,0.000182040894287638,0.000184093485586345,0.000186667370144278,0.000282960681943223,0.000427789811510593,0.000645424646791071,0.000651916954666376,0.000987721607089043,0.00739887775853276,0.000993417110294104,0.000989628722891212,0.000980834243819118,0.000965263636317104,0.000628804787993431,0.000407424755394459,0.000263731053564698,0.000171396037330851,0.000112631823867559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.93129288972705E-06,3.97501526094857E-06,2.6709747089626E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.86915347311879E-06,-9999,-9999,-9999,9.5528021120117E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.2719784687506E-06,6.48428931526723E-06,9.79818287305534E-06,-9999,4.9430804210715E-05,7.27955921320245E-05,7.16460126568563E-05,4.6360568376258E-05,4.42956879851408E-05,6.24899766989984E-05,8.90741430339403E-05,0.00012826407328248,0.00018561485921964,0.000182544943527319,0.000269887183094397,0.000269676849711686,0.00027037167456001,0.00027222215430811,0.000275187223451212,0.000279174244496971,0.000284587120404467,0.0004353171098046,0.000664094113744795,0.00100963190197945,0.00102100044023246,0.154052272439003,0.156004384160042,0.155701756477356,0.123532421886921,0.0179120767861605,0.00413564033806324,0.000973536632955074,0.000628067296929657,0.00040423235623166,0.000260558066656813,0.000169101302162744,0.000111376102722716,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.69079394760774E-06,5.82621441935771E-06,3.9196315810841E-06,2.63295032709721E-06,1.77203833118256E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.43086763273459E-05,1.43543038575444E-05,-9999,-9999,1.39732583193108E-05,1.40029969770694E-05,-9999,-9999,1.40155143526499E-05,9.49535206018481E-06,-9999,-9999,-9999,-9999,-9999,1.75370532815577E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.32005210011266E-05,0.000106682229670696,0.00010504548845347,6.83232574374415E-05,6.56951160635799E-05,9.34455383685417E-05,0.000134005371364765,0.00019336813420523,0.000280337437288836,0.000276224192930385,0.000409778760513291,0.000410619773901999,0.000412471126765013,0.000415774004068226,0.000421101372921839,0.000428130821092054,0.000438242917880416,0.000674383598379791,0.00103650009259582,0.0339075550436974,0.159373819828033,0.158846765756607,0.158373951911926,0.157495245337486,0.156618177890778,0.152199998497963,0.122904062271118,0.0067961486056447,0.000966706080362201,0.000621086859609932,0.000398492760723457,0.000256664177868515,0.000167349629919045,0.000110380242404062,-9999,-9999,-9999,-9999,-9999,2.8137925255578E-05,1.88139747478999E-05,1.26261493278435E-05,8.46065904624993E-06,5.6929075071821E-06,3.83940960091422E-06,2.59505441135843E-06,1.75023433257593E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5033579984447E-05,1.50064388435567E-05,-9999,-9999,-9999,-9999,2.08143683266826E-05,2.08722631214187E-05,2.07729917747201E-05,2.04360057978192E-05,2.03425952349789E-05,2.03619401872857E-05,2.02969858946744E-05,2.01279472094029E-05,2.02271476155147E-05,2.04753268917557E-05,-9999,2.1924264729023E-05,2.2100224668975E-05,-9999,-9999,2.49949116550852E-05,2.55195936915698E-05,2.58417530858424E-05,2.60731612797827E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.94464516628068E-05,4.37506132584531E-05,-9999,-9999,-9999,0.000153507426148281,0.000152389562572353,0.000100043471320532,9.70870314631611E-05,0.000139414361910895,0.000201143528101966,0.000291495933197439,0.000424993952037767,0.000420846568886191,0.000626879977062345,0.000629456131719053,0.000634472991805524,0.000640958605799824,0.000649516179692,0.000660507706925273,0.000675901537761092,0.00104107288643718,0.0244068000465631,0.161852836608887,0.161737591028214,0.161559998989105,0.160899415612221,0.159744054079056,0.158304527401924,0.1568473726511,0.155350178480148,0.0163385011255741,0.000990439904853702,0.000635839649476111,0.000406750128604472,0.000392153684515506,0.000254138052696362,0.000165264777024277,0.000106876672361977,0.00010356429265812,0.000101011122751515,6.56932315905578E-05,4.25727303081658E-05,4.17818300775252E-05,2.77298568107653E-05,1.84748496394604E-05,1.23471836559474E-05,8.28292195365066E-06,5.58052124688402E-06,3.78338245354826E-06,2.5772606022656E-06,1.75343427599728E-06,1.18963362183422E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
