"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Large oceanic sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.18327654188033E-05,4.18049785366748E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.15412864135578E-05,6.1422455473803E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.13784187508281E-06,3.18685192723933E-06,4.73908858111827E-06,7.04074182067416E-06,-9999,-9999,-9999,-9999,-9999,2.06415461434517E-05,2.03136351046851E-05,2.95537647616584E-05,4.31454063800629E-05,6.32680166745558E-05,6.24583335593343E-05,6.16670804447494E-05,9.08949587028474E-05,9.03201944311149E-05,9.00238228496164E-05,8.93874675966799E-05,8.83014508872293E-05,-9999,-9999,0.000183863943675533,0.000273452897090465,0.000406987761380151,0.000607030349783599,0.000607858295552433,0.000609130889642984,0.000610257207881659,0.000409593631047755,0.000409635133109987,0.000274373043794185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.14499914363842E-06,3.20319077218301E-06,4.78354650113033E-06,7.10560334482579E-06,1.04962400655495E-05,1.54226345330244E-05,2.275070437463E-05,-9999,3.18771526508499E-05,3.14796998281963E-05,3.08528542518616E-05,3.01302115985891E-05,4.3679800000973E-05,6.36874756310135E-05,9.33268238441087E-05,9.2130692792125E-05,9.09381051314995E-05,0.00013394131383393,0.000132885266793892,0.000131857726955786,0.000130544416606426,0.000128709885757416,0.000188051169971004,0.000185816679731943,0.000274260150035843,0.00040669651934877,0.000604742439463735,0.000901510589756072,0.000902566476725042,0.000904475513380021,0.000906232860870659,0.000608311209362,0.000608457019552588,0.00040737769450061,0.000272184901405126,0.000181973999133334,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.20736717185355E-06,4.80404287372949E-06,7.21447895557503E-06,1.07234109236742E-05,1.57954254973447E-05,2.2955904569244E-05,3.31798291881569E-05,4.82385294162668E-05,4.74406697321683E-05,4.65807752334513E-05,4.55380832136143E-05,4.43460012320429E-05,6.41494043520652E-05,9.34357449295931E-05,0.000136825983645394,0.000135005946503952,0.000133224879391491,0.000196233784663491,0.000194631080375984,0.000193038009456359,0.000191218015970662,0.000189027268788777,0.000278126186458394,0.000275436614174396,0.000407028215704486,0.000603540509473532,0.000897206598892808,0.0013371822424233,0.00133873266167939,0.00134200952015817,0.00134525040630251,0.000903735053725541,0.000904165674000978,0.000605551467742771,0.000405022932682186,0.000270805991021916,0.000181088485987857,0.000121226308692712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59190698873135E-06,2.41249267673993E-06,1.6213950857491E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3042125829088E-05,-9999,-9999,-9999,8.58942894410575E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.88776549900649E-06,7.27026463209768E-06,1.07930063677486E-05,-9999,4.81452952953987E-05,7.06202190485783E-05,6.95377821102738E-05,6.82519894326106E-05,6.67145141051151E-05,6.49471112410538E-05,9.39415258471854E-05,0.000136794624268077,0.000200259295525029,0.00019749125931412,0.000194925305549987,0.000287339789792895,0.00028519204352051,0.000283097906503826,0.000280821666819975,0.000278271501883864,0.000410917506087571,0.000408022489864379,0.000604178057983518,0.000896617071703076,0.00133297150023282,0.0124952662736177,0.112964555621147,0.0407693311572075,0.00441787112504244,0.00134377426002175,0.00134570826776326,0.000902005238458514,0.000603779684752226,0.00040384111343883,0.000270090415142477,0.000180754694156349,0.000180660441401415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.28922464582138E-06,3.55986526301422E-06,2.3984321160242E-06,1.61459695391386E-06,1.08721826563851E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2798082025256E-05,1.91592753253644E-05,-9999,-9999,1.26272498164326E-05,1.26531367641292E-05,-9999,-9999,1.26591276057297E-05,8.56920451042242E-06,-9999,-9999,-9999,-9999,-9999,2.02676365006482E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.05757774994709E-05,0.000102558675280306,0.000101050289231353,9.93235153146088E-05,9.72301349975169E-05,9.47838416323066E-05,0.000137275725137442,0.000200070557184517,0.000293070625048131,0.000289188959868625,0.000285738875390962,0.00042187309009023,0.000419182702898979,0.000416573544498533,0.000413845205912367,0.000410928769269958,0.000608481292147189,0.000605237844865769,0.000897564052138478,0.00133244972676039,0.0738044679164886,0.19494104385376,0.18935914337635,0.154858946800232,0.0628721415996552,0.010253194719553,0.00443112477660179,0.00134444644208997,0.000900738115888089,0.00060274574207142,0.000402985926484689,0.000269583717454225,0.000269516458502039,0.000180749819264747,-9999,-9999,-9999,-9999,-9999,1.68658498296281E-05,1.13732676254585E-05,7.72224211686989E-06,5.22399432156817E-06,3.53148038811923E-06,2.38603297475493E-06,1.61170100909658E-06,1.08613846805383E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.26997656479944E-05,1.26939476103871E-05,-9999,-9999,-9999,-9999,1.86886900337413E-05,1.87596560863312E-05,2.79744290310191E-05,1.86000870598946E-05,1.85392964340281E-05,1.85584030987229E-05,1.85340886673657E-05,1.84411965165054E-05,1.84494692803128E-05,1.85442786460044E-05,-9999,2.80994081549579E-05,2.81654902209993E-05,-9999,-9999,2.94893216050696E-05,2.96996604447486E-05,2.97201604553265E-05,2.9739878300461E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.35244837717619E-05,6.45495529170148E-05,-9999,-9999,-9999,0.000146915583172813,0.000145814541610889,0.000143913406645879,0.000141273732879199,0.000138027055072598,0.000200309237698093,0.00029236520640552,0.000428919796831906,0.000423904391936958,0.00041957397479564,0.000620741629973054,0.000617724203038961,0.000614730466622859,0.000611644412856549,0.000608295784331858,0.000902224564924836,0.000898229540325701,0.00133269804064184,0.168723613023758,0.197616443037987,0.197838172316551,0.197652786970139,0.194362208247185,0.17358610033989,0.100977495312691,0.022900503128767,0.00134303560480475,0.000900147657375783,0.000602570187766105,0.000402912526624277,0.000402170087909326,0.000402011384721845,0.000269640324404463,0.000180839750100859,0.000121319375466555,8.14029408502392E-05,5.46775518159848E-05,3.67943357559852E-05,2.4862272766768E-05,1.67885482369456E-05,1.13523201434873E-05,7.67539495427627E-06,5.19110471941531E-06,3.51301036971563E-06,2.37983135775721E-06,1.61133118581347E-06,1.0894960951191E-06,7.35142180019466E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
