"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Mullet

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0958030521869659,0.0950178056955338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.474291861057281,0.520950019359589,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.105755150318146,0.125146567821503,0.144224792718887,0.154483914375305,-9999,-9999,-9999,-9999,-9999,0.804040610790253,0.895139694213867,0.861696481704712,0.849566519260406,0.808510005474091,0.821487963199615,0.822040438652039,0.805623710155487,0.796834468841553,0.706350326538086,0.695986568927765,0.584556579589844,-9999,-9999,0.511603832244873,0.55841737985611,0.500960230827332,0.516087114810944,0.483362972736359,0.531035542488098,0.548579454421997,0.540481805801392,0.548428237438202,0.573357403278351,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.102744236588478,0.127382338047028,0.179093599319458,0.214299887418747,0.21933451294899,0.274398744106293,0.269157022237778,-9999,0.51031494140625,0.656209826469421,0.720523715019226,0.792049050331116,0.786889791488647,0.784085750579834,0.787128448486328,0.821297347545624,0.790994763374329,0.777673363685608,0.77789294719696,0.745057821273804,0.680189073085785,0.599489867687225,0.569005727767944,0.51550430059433,0.467100024223328,0.447583079338074,0.374551743268967,0.358590483665466,0.315842270851135,0.322105348110199,0.318415373563766,0.33302828669548,0.349392801523209,0.370906114578247,0.326847761869431,0.269893735647202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.117376215755939,0.172322109341621,0.330475956201553,0.385428786277771,0.366393208503723,0.393764317035675,0.377497434616089,0.437753945589066,0.393178731203079,0.520819067955017,0.611503720283508,0.726158201694489,0.707658052444458,0.695262312889099,0.667815327644348,0.673700034618378,0.646005570888519,0.632051110267639,0.610245883464813,0.623410284519196,0.600073933601379,0.544454872608185,0.473817348480225,0.418942928314209,0.396998822689056,0.347877502441406,0.300253033638,0.241894602775574,0.023209422826767,0.0804631859064102,0.164978921413422,0.163145691156387,0.185483291745186,0.215871304273605,0.222844868898392,0.236089766025543,0.227652668952942,0.246013283729553,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.815351724624634,0.796480774879456,0.720964550971985,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.174869939684868,-9999,-9999,-9999,0.174510821700096,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.438961029052734,0.457463651895523,0.381963670253754,-9999,0.409633159637451,0.464976340532303,0.448448687791824,0.537944912910461,0.623442709445953,0.698246121406555,0.65561717748642,0.645736813545227,0.585562765598297,0.57020777463913,0.512981116771698,0.495256900787354,0.473355621099472,0.478896915912628,0.464497447013855,0.439300507307053,0.345364689826965,0.317335784435272,0.298264533281326,0.281414598226547,0.120273366570473,0.00542461592704058,0.00580560835078359,0.00612172158434987,0.00621403660625219,0.00608557276427746,0.0246428530663252,0.0990873873233795,0.180415898561478,0.207336455583572,0.245264515280724,0.261520355939865,0.257622301578522,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.641422808170319,0.632488548755646,0.596132874488831,0.724319219589233,0.743912577629089,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.24855349957943,0.248567551374435,-9999,-9999,0.32395538687706,0.305068999528885,-9999,-9999,0.243076711893082,0.244387477636337,-9999,-9999,-9999,-9999,-9999,0.498394250869751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.56436163187027,0.501899302005768,0.477457672357559,0.505000591278076,0.563848674297333,0.652915954589844,0.596464812755585,0.598958849906921,0.522407412528992,0.497170329093933,0.384771317243576,0.316314071416855,0.302641987800598,0.310571312904358,0.321831285953522,0.304256618022919,0.249600321054459,0.205836355686188,0.209820121526718,0.00587701890617609,0.00600748788565397,0.00425545265898108,0.00444183452054858,0.00453544827178121,0.00451759016141295,0.00442189956083894,0.00625923974439502,0.0173384547233582,0.0994717106223106,0.140159323811531,0.207857877016068,0.256267309188843,0.289459258317947,0.334206759929657,-9999,-9999,-9999,-9999,-9999,0.525224328041077,0.531711876392365,0.529128968715668,0.513799250125885,0.667510271072388,0.692361831665039,0.735864758491516,0.802987694740295,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.377781331539154,0.470010697841644,-9999,-9999,-9999,-9999,0.316881000995636,0.355670422315598,0.348941415548325,0.380380988121033,0.445003360509872,0.38882240653038,0.366769164800644,0.270278513431549,0.343607425689697,0.252335637807846,-9999,0.169112369418144,0.301759630441666,-9999,-9999,0.411809980869293,0.411204278469086,0.407146245241165,0.257782071828842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.498391211032867,0.508120119571686,-9999,-9999,-9999,0.557618200778961,0.561969220638275,0.580532610416412,0.576530158519745,0.553619146347046,0.525216579437256,0.51716411113739,0.488553404808044,0.425023168325424,0.277134329080582,0.204633057117462,0.195081770420074,0.205932304263115,0.195009261369705,0.154510989785194,0.156499817967415,0.124387681484222,0.00621020514518023,0.0043645785190165,0.00454871449619532,0.00318937050178647,0.00326915876939893,0.00329180434346199,0.00324548780918121,0.00468548201024532,0.00665076589211822,0.0105370823293924,0.0539910905063152,0.101802259683609,0.174011275172234,0.268573462963104,0.298310041427612,0.360601514577866,0.412754207849503,0.452432662248611,0.331613600254059,0.438959419727325,0.415767222642899,0.432482033967972,0.437938392162323,0.446021020412445,0.406702756881714,0.425961017608643,0.484704405069351,0.732032716274261,0.777315974235535,0.835822761058807,0.854785203933716,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
