"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Mutton snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000334659067448229,0.000332281546434388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000449648621724918,0.000444854464149103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.64345520817733E-08,7.80528424115801E-08,8.9613692466628E-08,9.63371391549117E-08,-9999,-9999,-9999,-9999,-9999,0.000118414653115906,0.000168783895787783,0.00023299794702325,0.000325260363752022,0.000462768453871831,0.000652603630442172,0.000614064512774348,0.000586744921747595,0.000574109028093517,0.00058077642461285,0.000565450347494334,0.0005341493524611,-9999,-9999,0.00052988127572462,0.000500732916407287,0.000474066589958966,0.000707073893863708,0.000717104703653604,0.000751789484638721,0.000780521135311574,0.000789553509093821,0.000781936745624989,0.000774266896769404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.42470752154622E-08,7.8480496767952E-08,1.06700220214861E-07,1.27205211697401E-07,1.43834441246327E-07,1.84428927241242E-07,2.31641706704977E-07,-9999,2.91139741648294E-07,0.000114766327897087,0.000165708261192776,0.000227176264161244,0.000300504500046372,0.000414762122090906,0.000598459504544735,0.000841409026179463,0.000781239941716194,0.000738761620596051,0.000722111377399415,0.000716340262442827,0.000697883777320385,0.000664174556732178,0.000585741538088769,0.000769287871662527,0.000716234906576574,0.000663729151710868,0.000626643770374358,0.00266609573736787,0.00254066800698638,0.0030971288215369,0.0033458152320236,0.00329878553748131,0.0047545344568789,0.00223177275620401,0.000571964832488447,0.000507361080963165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.23249229395151E-08,1.01592270596029E-07,1.72610370441362E-07,2.01501194396769E-07,2.11344939771152E-07,2.29295380904659E-07,2.6606670644469E-07,0.000119222066132352,0.000116922128654551,0.000167401070939377,0.000227560944040306,0.000301409105304629,0.000387025240343064,0.000515845138579607,0.000697310839314014,0.000960755336564034,0.000920159567613155,0.000892616575583816,0.000870787422172725,0.000857570033986121,0.000840104708913714,0.000810285622719675,0.000762123730964959,0.00219548563472927,0.00325901340693235,0.00537086743861437,0.0074445866048336,0.0156256034970284,0.0269624646753073,0.0290428604930639,0.0245581194758415,0.0248988382518291,0.0197227373719215,0.0165478140115738,0.00835780240595341,0.00383768207393587,0.000489376718178391,0.000462813244666904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000401187513489276,0.000402455218136311,0.000273692072369158,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.77159797912464E-05,-9999,-9999,-9999,0.00013316617696546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.35201341070024E-07,2.43123167820158E-07,2.40032079545927E-07,-9999,0.000121317578305025,0.0001782775943866,0.000174265514942817,0.00024904019664973,0.000335120828822255,0.000441079027950764,0.00057541998103261,0.000760859402362257,0.000948415079619735,0.00169170810841024,0.00443409010767937,0.00554844364523888,0.00678687309846282,0.00606917962431908,0.00462605897337198,0.00782336760312319,0.0131889786571264,0.013407388702035,0.0125868543982506,0.0162060558795929,0.0258318930864334,0.00570530211552978,0.000656971242278814,0.000702989345882088,0.0258106030523777,0.0312471706420183,0.0276023652404547,0.0262760389596224,0.0181663818657398,0.0156251657754183,0.00423731887713075,0.000821456254925579,0.000479160837130621,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000510504934936762,0.000510568032041192,0.00035956667852588,0.000255805149208754,0.000179517155629583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000131555498228408,0.000132582106743939,-9999,-9999,0.000123872887343168,0.000184822391020134,-9999,-9999,0.000174649190739729,0.000123155856272206,-9999,-9999,-9999,-9999,-9999,0.000133430483401753,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00018198874022346,0.000263520429143682,0.000171993844560347,0.000243646834860556,0.000330261857016012,0.000446029589511454,0.000593622855376452,0.000770267564803362,0.000934088486246765,0.00148042594082654,0.00958609394729137,0.0205511786043644,0.0259463675320148,0.0283255260437727,0.0249903798103333,0.0274949111044407,0.0320407561957836,0.0351573564112186,0.0290371049195528,0.0364530608057976,0.000687343941535801,0.000676654686685652,0.000467672449303791,0.000481430353829637,0.00073839770630002,0.0129485903307796,0.021690608933568,0.0266483779996634,0.0261283200234175,0.0257527604699135,0.0164766125380993,0.0048949746415019,0.000513895880430937,0.00035150014446117,-9999,-9999,-9999,-9999,-9999,0.000389141874620691,0.000592493510339409,0.000610056275036186,0.000622611842118204,0.000450798543170094,0.000331259216181934,0.000244429218582809,0.000177491558133624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000138085655635223,0.000133966983412392,-9999,-9999,-9999,-9999,0.000164816156029701,0.000168684724485502,0.000165045625180937,0.000152415173943155,0.000226779622607864,0.000152514665387571,0.000219033361645415,0.000200403301278129,0.00020441880042199,0.000219420922803693,-9999,0.000270351505605504,0.000189365440746769,-9999,-9999,0.000247811985900626,0.0001797326549422,0.00017909771122504,0.000170913699548692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000132241286337376,0.000196321532712318,-9999,-9999,-9999,0.000374238763470203,0.000241819012444466,0.000231276382692158,0.000318004458677024,0.000431176333222538,0.000572014832869172,0.00072663655737415,0.000900629791431129,0.00180963019374758,0.0172434188425541,0.0284310076385736,0.0375295244157314,0.039151206612587,0.0459539145231247,0.0439152494072914,0.0386882349848747,0.037873350083828,0.0377410873770714,0.000735882320441306,0.000481131311971694,0.000483064941363409,0.000329734466504306,0.000334837735863402,0.000501841015648097,0.000748505699448287,0.00213965005241334,0.0303056836128235,0.0301033761352301,0.0315092131495476,0.025143938139081,0.010321956127882,0.0022166152484715,0.000553447112906724,0.000404606893425807,0.000287950213532895,0.000291164935333654,0.000436919421190396,0.000425585225457326,0.000462618860183284,0.000736489426344633,0.000753281870856881,0.000781609618570656,0.000561390188522637,0.000412678113207221,0.000314166711177677,0.000243846647208557,0.00018462075968273,0.000133630906930193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
