"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Oceanic planktivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.24673193669878E-05,6.24548847554252E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.8773638708517E-05,8.89201182872057E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.64409004052868E-06,6.90427395966253E-06,1.02083422461874E-05,1.50745436258148E-05,-9999,-9999,-9999,-9999,-9999,3.1984833185561E-05,3.05203466268722E-05,4.24045756517444E-05,5.97605248913169E-05,8.55547332321294E-05,8.26688337838277E-05,7.95635787653737E-05,7.83981813583523E-05,0.000118016978376545,0.000121876473713201,0.000122963057947345,0.000122856421512552,-9999,-9999,0.000306233821902424,0.00046264284173958,0.000704325851984322,0.00106632115785033,0.00106578937266022,0.00106135138776153,0.00105180079117417,0.000691323424689472,0.000680004712194204,0.000449899205705151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.68464531877544E-06,6.99156453265459E-06,1.04285554698436E-05,1.53737255459419E-05,2.24020623136312E-05,3.22695996146649E-05,4.70382074126974E-05,-9999,5.66522467124742E-05,5.33682759851217E-05,4.92387443955522E-05,4.51397645520046E-05,6.10386778134853E-05,8.52678494993597E-05,0.000122513883979991,0.000118206589831971,0.000114697642857209,0.000113154368591495,0.000169883453054354,0.000173191598150879,0.000177106136106886,0.000182162257260643,0.000281822110991925,0.000291005912004039,0.000453643122455105,0.000700085889548063,0.0010764345061034,0.00164948659949005,0.00167101377155632,0.00166867580264807,0.00164678576402366,0.00107320304960012,0.00104173959698528,0.000672447204124182,0.00043206789996475,0.000279147556284443,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.02099760019337E-06,1.05461776911397E-05,1.5935294868541E-05,2.35260431509232E-05,3.40881342708599E-05,4.79697264381684E-05,6.66613777866587E-05,9.27581349969842E-05,8.70944932103157E-05,8.05115050752647E-05,7.37425361876376E-05,6.70293811708689E-05,8.9798922999762E-05,0.000124199403217062,0.000175536988535896,0.000169978724443354,0.000166577403433621,0.000165189398103394,0.000248208030825481,0.000253191567026079,0.000260449392953888,0.000270487973466516,0.00042344574467279,0.000443200959125534,0.000704106874763966,0.00111151579767466,0.00174742948729545,0.00272981752641499,0.00280355848371983,0.0027892345096916,0.00272219534963369,0.00175195618066937,0.00168553728144616,0.00106911000330001,0.000672893482260406,0.000423795514507219,0.000269321550149471,0.000174714747117832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.75793797502411E-06,2.50602533924393E-06,1.67629889347154E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.53609834241797E-06,-9999,-9999,-9999,7.8189941632445E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08908488982706E-05,1.61210118676536E-05,2.37754502450116E-05,-9999,9.44154817261733E-05,0.000135041438625194,0.000128827261505648,0.000120668366434984,0.000111354180262424,0.000101773403002881,0.000137552648084238,0.000190788312465884,0.000266265997197479,0.000257148232776672,0.000253569858614355,0.000253729289397597,0.000382665195502341,0.000389563065255061,0.000401491037337109,0.000418897485360503,0.000661997124552727,0.000702379620634019,0.00113564892672002,0.00182542332913727,0.00292104971595109,0.0232105646282434,0.233781397342682,0.0750454664230347,0.00828471593558788,0.00293541443534195,0.00280542508699,0.00175185594707727,0.00108575914055109,0.000673057802487165,0.000419411138864234,0.000265128561295569,0.000259460386587307,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.4802972044854E-06,3.62668333764304E-06,2.4217483769462E-06,1.616016902517E-06,1.08360836748034E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.90019748819759E-06,7.91920047049643E-06,-9999,-9999,1.12277348307543E-05,1.12769184852368E-05,-9999,-9999,1.13200658233836E-05,7.67425899539376E-06,-9999,-9999,-9999,-9999,-9999,1.74289089045487E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000137051407364197,0.000194156164070591,0.00018655437452253,0.000177727997652255,0.000167028454598039,0.000155702815391123,0.00021405536972452,0.000297878956189379,0.000416182039771229,0.000403814046876505,0.000401429337216541,0.000404958409490064,0.000613848562352359,0.000624992011580616,0.000643722130917013,0.000671762449201196,0.00106448552105576,0.00113553751725703,0.00185272481758147,0.00301894079893827,0.137636944651604,0.486151695251465,0.453304320573807,0.33254861831665,0.112700387835503,0.0182017274200916,0.00812363065779209,0.00286183878779411,0.00175629218574613,0.00108011695556343,0.000664723396766931,0.000414086534874514,0.000399092677980661,0.000265484559349716,-9999,-9999,-9999,-9999,-9999,1.89741131180199E-05,1.23968848129152E-05,8.02971226221416E-06,5.23627841175767E-06,3.46182582688925E-06,2.31384501603316E-06,1.55977215854364E-06,1.05409526440781E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.33297171487357E-05,1.32412169477902E-05,-9999,-9999,-9999,-9999,1.12815068860073E-05,1.12954749056371E-05,1.11339913928532E-05,1.07275491245673E-05,1.06325423985254E-05,1.58687344082864E-05,1.57662689161953E-05,1.54911522258772E-05,1.57136255438672E-05,1.61834759637713E-05,-9999,1.83602005563444E-05,1.86068809853168E-05,-9999,-9999,2.38983775489032E-05,2.51046076300554E-05,2.6085053832503E-05,2.68082694674376E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.45563156669959E-05,0.000111080757051241,-9999,-9999,-9999,0.000271546770818532,0.000266787596046925,0.000259306718362495,0.000248917902354151,0.000236150808632374,0.000329524860717356,0.000462816678918898,0.000657508964650333,0.000646351254545152,0.000649651396088302,0.000660285702906549,0.00100633082911372,0.00102533667813987,0.0010527241975069,0.00109496619552374,0.00172835541889071,0.00184065091889352,0.00300466455519199,0.384099721908569,0.480852961540222,0.468660354614258,0.464300543069839,0.452122777700424,0.382056206464767,0.190187841653824,0.0399529002606869,0.00303338002413511,0.00187775655649602,0.00115309876855463,0.000704601465258747,0.000658339413348585,0.000630415743216872,0.000413354195188731,0.000276857783319429,0.000182657400728203,0.000119352829642594,7.53036147216335E-05,4.64491604361683E-05,2.89317449642112E-05,1.84260588866891E-05,1.18231791930157E-05,7.6628411989077E-06,5.02164766658098E-06,3.33135449182009E-06,2.24074960897269E-06,1.53548819525895E-06,1.05366871139267E-06,7.20078219274001E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
