"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Offshore dolphins"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000369008455891162,0.000368853972759098,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000519390683621168,0.000519129913300276,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.33273202765849E-06,9.43143550102832E-06,1.39455996759352E-05,2.05579217436025E-05,-9999,-9999,-9999,-9999,-9999,8.40749926283024E-05,0.000119133008411154,0.000167168735060841,0.000236255247727968,0.00033703341614455,0.00048234875430353,0.000465936842374504,0.000681514909956604,0.00068630842724815,0.000708134204614908,0.000707783678080887,0.000462270603748038,-9999,-9999,0.000642961240373552,0.000643774284981191,0.000968449225183576,0.000975566043052822,0.000984096433967352,0.000992500456050038,0.000997928902506828,0.000998811097815633,0.00099582748953253,0.000992544344626367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.3950892581488E-06,9.57509382715216E-06,1.43451588883181E-05,2.11515289265662E-05,3.0668295948999E-05,4.37321359640919E-05,6.30588619969785E-05,-9999,6.88553263898939E-05,9.40052923397161E-05,0.0001272040681215,0.000173949971213005,0.000240111869061366,0.000338484096573666,0.0004861943598371,0.00069783884100616,0.000678072276059538,0.000993797439150512,0.000994016532786191,0.00100196665152907,0.00100314803421497,0.000666396634187549,0.00097911711782217,0.000972793030086905,0.000969249929767102,0.00097256840672344,0.14593742787838,0.1477040797472,0.149153828620911,0.150438576936722,0.151116549968719,0.15092733502388,0.149937033653259,0.148627161979675,0.000976476410869509,0.000961716577876359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.60954548645532E-06,1.45222247738275E-05,2.21300888370024E-05,3.27058587572537E-05,4.70446029794402E-05,6.48061832180247E-05,8.73415701789781E-05,0.000117389936349355,0.000106575527752284,0.00014063272101339,0.000186592224054039,0.000251724355621263,0.000346374668879434,0.000486708537209779,0.00069510581670329,0.00100530183408409,0.000990319298580289,0.132168456912041,0.145199254155159,0.00177067006006837,0.00177450105547905,0.000986469909548759,0.06078090518713,0.146734580397606,0.147090256214142,0.147609785199165,0.148185387253761,0.149420484900475,0.151003152132034,0.152470856904984,0.153212711215019,0.152969732880592,0.151677191257477,0.149458289146423,0.146497547626495,0.143485590815544,0.141051039099693,0.000940706871915609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000208191457204521,0.000208391225896776,0.000208970042876899,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000152628606883809,-9999,-9999,-9999,0.000209065270610154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.53219516505487E-05,2.26833999477094E-05,3.34007090714294E-05,-9999,0.00012055169645464,0.000168337151990272,0.000155521818669513,0.000206798315048218,0.000274088233709335,0.0003694970801007,0.000509432691615075,0.000716139271389693,0.00102034222800285,0.147022113204002,0.147326871752739,0.147271350026131,0.147501200437546,0.148238599300385,0.148590192198753,0.148745462298393,0.14868500828743,0.148676514625549,0.149042844772339,0.149664729833603,0.150502189993858,0.151799604296684,0.152889162302017,0.15473510324955,0.155857086181641,0.155660659074783,0.154211595654488,0.151640892028809,0.148458898067474,0.145212173461914,0.142227455973625,0.13933639228344,0.000931697257328779,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000307511363644153,0.000307573849568143,0.000308527000015602,0.000309194321744144,0.000207858698558994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000214837375096977,0.000216376269236207,-9999,-9999,0.000300809479085729,0.000301730644423515,-9999,-9999,0.000301499414490536,0.000205553529667668,-9999,-9999,-9999,-9999,-9999,0.000136825576191768,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000172427724464796,0.000237609187024646,0.000148241961142048,0.000200417547603138,0.000269000272965059,0.000366522086551413,0.000508731696754694,0.000716973387170583,0.00102321594022214,0.148595631122589,0.149236515164375,0.149778723716736,0.150123506784439,0.15040548145771,0.150607883930206,0.150767341256142,0.150970667600632,0.151310667395592,0.151786103844643,0.152279928326607,0.152569055557251,0.152794510126114,0.153923988342285,0.155593499541283,0.157156512141228,0.157643750309944,0.15657252073288,0.154053315520287,0.150774508714676,0.147256597876549,0.143791049718857,0.140817642211914,0.137086376547813,0.000912309042178094,-9999,-9999,-9999,-9999,-9999,0.000457954622106627,0.000456093752291054,0.000454719585832208,0.000454032211564481,0.000454528169939294,0.000455593544756994,0.00030686633544974,0.000206910073757172,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000220810936298221,0.000219759822357446,-9999,-9999,-9999,-9999,0.000301891675917432,0.000304338696878403,0.000302207103231922,0.000293327291728929,0.000290525465970859,0.000431089370977134,0.000427708349889144,0.000421519071096554,0.000423492427216843,0.000431856169598177,-9999,0.000317019002977759,0.000320403749356046,-9999,-9999,0.000273701618425548,0.00019450623949524,0.000201837043277919,0.000206715209060349,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000130090658785775,0.000193004365428351,-9999,-9999,-9999,0.000315696379402652,0.000202449591597542,0.000190591934369877,0.000261316337855533,0.000361502723535523,0.00050626666052267,0.000717991031706333,0.00103310670237988,0.15119406580925,0.152036905288696,0.152847737073898,0.153358519077301,0.153571352362633,0.153633266687393,0.153704702854156,0.153882995247841,0.15418054163456,0.154407575726509,0.153689801692963,0.15349654853344,0.153893500566483,0.154776558279991,0.15592186152935,0.157041758298874,0.157815054059029,0.157618820667267,0.155700966715813,0.152607873082161,0.14895211160183,0.145175606012344,0.141847893595695,0.139112398028374,0.000903999840375036,0.000581049360334873,0.000561363471206278,0.000354845775291324,0.000494006962981075,0.000702303776051849,0.000689275795593858,0.000682320911437273,0.000677533855196089,0.000674777082167566,0.000674013223033398,0.000674216018524021,0.000453803862910718,0.000307321519358084,0.000209183199331164,0.000142128454172052,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
