"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Red drum"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.379467129707336,0.379441171884537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.358783960342407,0.359125584363937,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0707649141550064,0.0834556519985199,0.0945842415094376,0.0991675704717636,-9999,-9999,-9999,-9999,-9999,0.431783616542816,0.468205630779266,0.435123980045319,0.41372537612915,0.391760051250458,0.379642426967621,0.352456569671631,0.341569811105728,0.346615850925446,0.332005888223648,0.32475620508194,0.252456188201904,-9999,-9999,0.185580223798752,0.200708046555519,0.180576458573341,0.196252346038818,0.196030884981155,0.222966432571411,0.233175620436668,0.229154050350189,0.222544148564339,0.228698804974556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0688374936580658,0.0845766142010689,0.116571418941021,0.13880780339241,0.136753290891647,0.173047825694084,0.166918694972992,-9999,0.295317560434341,0.371113866567612,0.393434345722198,0.40783303976059,0.397323071956635,0.382191210985184,0.367306768894196,0.370263576507568,0.351558089256287,0.336470305919647,0.338228493928909,0.33146744966507,0.299192100763321,0.251336395740509,0.240542858839035,0.212416797876358,0.183786988258362,0.169952869415283,0.127980589866638,0.108045771718025,0.0984001904726028,0.101743370294571,0.0989322364330292,0.100954189896584,0.0957085192203522,0.113827563822269,0.125264227390289,0.105414964258671,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0779033452272415,0.11105202883482,0.194307580590248,0.228331938385963,0.208312064409256,0.223990336060524,0.22238352894783,0.27836686372757,0.240959674119949,0.289171427488327,0.325306236743927,0.370976239442825,0.353061735630035,0.33310267329216,0.312791496515274,0.305740028619766,0.288619011640549,0.268338322639465,0.250681459903717,0.274201273918152,0.265081524848938,0.239121168851852,0.201170384883881,0.149294584989548,0.12920643389225,0.101804614067078,0.0756539404392242,0.0473830439150333,0.00394465448334813,0.0127496672794223,0.0274336971342564,0.0278553441166878,0.0325702987611294,0.0422380678355694,0.0500356703996658,0.0624149180948734,0.0761915594339371,0.0898137763142586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.305298805236816,0.300054669380188,0.270493566989899,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.12436094135046,-9999,-9999,-9999,0.115843273699284,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.273329496383667,0.283913522958755,0.223855674266815,-9999,0.240503415465355,0.26961413025856,0.261322289705276,0.296410381793976,0.324498146772385,0.341895043849945,0.314854770898819,0.302201390266418,0.276816010475159,0.218019992113113,0.162720635533333,0.152528554201126,0.143467336893082,0.16115403175354,0.162468686699867,0.142498955130577,0.095714159309864,0.0849074423313141,0.0756562352180481,0.0650348737835884,0.0194658953696489,0.00212105503305793,0.00222143018618226,0.00232035852968693,0.002364736283198,0.00236047361977398,0.00387766165658832,0.0141242239624262,0.0310024991631508,0.0393977202475071,0.061626311391592,0.0815379545092583,0.0933098644018173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.249751389026642,0.246686741709709,0.230599477887154,0.283346444368362,0.290543437004089,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.164393156766891,0.165679231286049,-9999,-9999,0.203323498368263,0.192726075649261,-9999,-9999,0.151801496744156,0.15510182082653,-9999,-9999,-9999,-9999,-9999,0.404738962650299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.329984873533249,0.289197653532028,0.264017373323441,0.26865029335022,0.28374856710434,0.317684054374695,0.283961325883865,0.281826853752136,0.250893980264664,0.184848591685295,0.0921455323696136,0.0642780065536499,0.0618340410292149,0.0697171613574028,0.0752425640821457,0.0705616101622581,0.0516984350979328,0.0385869406163692,0.0386600829660892,0.002456518355757,0.00237935944460332,0.00165172014385462,0.00170144694857299,0.0017061335965991,0.00165411923080683,0.00158544373698533,0.00225377781316638,0.00219208397902548,0.0139324469491839,0.0204081162810326,0.0386613570153713,0.0646996200084686,0.0946375951170921,0.115546151995659,-9999,-9999,-9999,-9999,-9999,0.219732373952866,0.227029010653496,0.226644247770309,0.221916675567627,0.283411532640457,0.286386132240295,0.297617018222809,0.324098944664001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.241578981280327,0.284890502691269,-9999,-9999,-9999,-9999,0.184406161308289,0.211669340729713,0.206879630684853,0.213994726538658,0.243415117263794,0.217345386743546,0.204387485980988,0.145536988973618,0.182670056819916,0.141029268503189,-9999,0.108498141169548,0.191738173365593,-9999,-9999,0.305618047714233,0.314267694950104,0.295317441225052,0.173996314406395,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.351782232522964,0.359912723302841,-9999,-9999,-9999,0.298281222581863,0.292683929204941,0.29087033867836,0.280562400817871,0.263678640127182,0.247288152575493,0.244498491287231,0.233994841575623,0.156881242990494,0.0575052723288536,0.034796204417944,0.0330728553235531,0.036077905446291,0.0340426415205002,0.027608273550868,0.0278082489967346,0.0207899082452059,0.00263146823272109,0.00176754291169345,0.00180518953129649,0.00125303538516164,0.00127951614558697,0.00127470830921084,0.00122808711603284,0.00114876718726009,0.00158150203060359,0.00227409624494612,0.00727387610822916,0.014124114997685,0.0281745735555887,0.0614751614630222,0.0874064341187477,0.123709172010422,0.13197848200798,0.138094261288643,0.141693249344826,0.152089357376099,0.165651053190231,0.186699584126472,0.195782512426376,0.20495393872261,0.190594792366028,0.19601982831955,0.220471248030663,0.317069113254547,0.320518434047699,0.341190576553345,0.342121243476868,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
