"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00454535521566868,0.00668355682864785,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00602798257023096,0.00887882709503174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00408700341358781,0.00474727200344205,0.00517536420375109,0.00496538868173957,-9999,-9999,-9999,-9999,-9999,0.0107315871864557,0.0159138273447752,0.00933286175131798,0.0088287927210331,0.00865543633699417,0.0136645333841443,0.0129436291754246,0.0124467145651579,0.0121280113235116,0.0079813664779067,0.0123827774077654,0.00784847792237997,-9999,-9999,0.0116552282124758,0.0111354645341635,0.0116307511925697,0.0180416684597731,0.0406531766057014,0.0390883758664131,0.0442776717245579,0.0543808564543724,0.0336538925766945,0.0126339374110103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00409977324306965,0.00506318127736449,0.00707718962803483,0.00817517377436161,0.00540771055966616,0.00695836823433638,0.00676956633105874,-9999,0.00799717660993338,0.0111078070476651,0.0161651633679867,0.0219655111432076,0.0228820238262415,0.0272165089845657,0.0243546403944492,0.0255364086478949,0.0240504276007414,0.0305323470383883,0.0287632998079062,0.0235340241342783,0.0221177134662867,0.0159492716193199,0.0172621048986912,0.025382474064827,0.0403859317302704,0.087504580616951,0.236986547708511,0.290878593921661,0.301828682422638,0.331913828849792,0.345543444156647,0.214867055416107,0.359049469232559,0.300034761428833,0.142858579754829,0.045446764677763,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00472465343773365,0.00700367521494627,0.0134368948638439,0.0154069075360894,0.00948343984782696,0.0173946097493172,0.0113513693213463,0.0118295373395085,0.00796095188707113,0.0112564899027348,0.0175758451223373,0.0214634332805872,0.0445153787732124,0.0709774270653725,0.112996891140938,0.147488102316856,0.135016456246376,0.190933227539063,0.254765331745148,0.198213666677475,0.166999623179436,0.133003294467926,0.130899295210838,0.212677851319313,0.203985065221786,0.254533767700195,0.226445093750954,0.379450798034668,0.382557779550552,0.48021611571312,0.466140866279602,0.476422160863876,0.266636043787003,0.297412097454071,0.274833828210831,0.234149351716042,0.0999159067869186,0.0202299598604441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0119196278974414,0.00755790993571281,0.00792160257697105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00968893803656101,-9999,-9999,-9999,0.00870263110846281,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0183774325996637,0.0188084561377764,0.0110437674447894,-9999,0.0120479166507721,0.020069133490324,0.0120042553171515,0.0115986429154873,0.0150874946266413,0.0205191150307655,0.0290521290153265,0.0240314695984125,0.111797988414764,0.262246489524841,0.266219198703766,0.263103991746902,0.333784639835358,0.429318994283676,0.358744084835052,0.332987695932388,0.369628190994263,0.430826246738434,0.325068145990372,0.323437690734863,0.406228572130203,0.414990454912186,0.0518244430422783,0.231857299804688,0.482152432203293,0.439079284667969,0.294470757246017,0.254129320383072,0.223591864109039,0.220234528183937,0.162228837609291,0.110042400658131,0.024817431345582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0418052822351456,0.0503631643950939,0.0111131742596626,0.00769383227452636,0.00792030710726976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.012518897652626,0.01253008749336,-9999,-9999,0.011417836882174,0.0114494264125824,-9999,-9999,0.00752256950363517,0.00518507929518819,-9999,-9999,-9999,-9999,-9999,0.0263326540589333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0195185430347919,0.0188622903078794,0.0121552655473351,0.0116785801947117,0.010368307121098,0.0142416311427951,0.00860920175909996,0.0145326899364591,0.0544752217829227,0.215339809656143,0.264901906251907,0.274937480688095,0.280215442180634,0.344615876674652,0.330137968063354,0.336503952741623,0.394125550985336,0.487024217844009,0.436630994081497,0.576519548892975,0.158761575818062,0.00714928237721324,0.00744709419086576,0.00785416550934315,0.191812217235565,0.419784724712372,0.283692568540573,0.226520910859108,0.20128059387207,0.207770153880119,0.194351434707642,0.155456349253654,0.0982992798089981,0.0245029479265213,-9999,-9999,-9999,-9999,-9999,0.0289470721036196,0.0223150923848152,0.0744452923536301,0.087951123714447,0.0402281023561954,0.0243561565876007,0.0183372776955366,0.0075781773775816,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0123335085809231,0.0200077053159475,-9999,-9999,-9999,-9999,0.0147575698792934,0.0168926194310188,0.0204420145601034,0.0365775786340237,0.0351433120667934,0.0285004619508982,0.026732861995697,0.0421814508736134,0.0271489582955837,0.0090646343305707,-9999,0.0117915999144316,0.0118199344724417,-9999,-9999,0.0338212177157402,0.0147226769477129,0.0098296757787466,0.00618178118020296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0248228590935469,0.0251498613506556,-9999,-9999,-9999,0.0194411296397448,0.018642270937562,0.0180483926087618,0.0160602517426014,0.00957978051155806,0.0174002088606358,0.0189083069562912,0.0864643454551697,0.217494934797287,0.273682296276093,0.287922352552414,0.293070316314697,0.315971493721008,0.416510760784149,0.375422149896622,0.374875485897064,0.408532649278641,0.504789054393768,0.00729632377624512,0.00747450115159154,0.00520729180425406,0.00532907946035266,0.00543182576075196,0.00817599706351757,0.0498277246952057,0.243516877293587,0.283178895711899,0.257787644863129,0.2757827937603,0.25048291683197,0.19946163892746,0.146175920963287,0.0345128066837788,0.00909221544861794,0.0100849037989974,0.0105345556512475,0.0140582527965307,0.0664193853735924,0.0941254273056984,0.111198760569096,0.218710511922836,0.175301849842072,0.102713845670223,0.0599335879087448,0.0409327521920204,0.0211768485605717,0.0119984615594149,0.0128482887521386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
