"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef omnivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.8530108759669E-08,5.69930982408096E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000249162781983614,0.000245026458287612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5863034219521E-09,2.8692219711246E-09,3.6352507670756E-09,4.2056380600286E-09,-9999,-9999,-9999,-9999,-9999,8.76540724448205E-08,7.69470673844808E-08,0.000283865636447445,0.000264271249761805,0.000259487249422818,0.000255996768828481,0.000424038153141737,0.000411289453040808,0.000413739297073334,0.000446856021881104,0.000432806584285572,0.000309098162688315,-9999,-9999,0.000388535554520786,0.000514321844093502,0.000350378366420045,0.000855753431096673,0.00355750764720142,0.00406110053882003,0.00444841478019953,0.00546140782535076,0.00251588434912264,0.00039637292502448,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70633140950116E-09,4.01330391142096E-09,1.08243227714411E-08,1.33956294945392E-08,1.61422715194703E-08,2.62563517594572E-08,6.74907667530533E-08,-9999,8.51588666250791E-08,9.24524954371009E-08,8.76840218211328E-08,0.000347571040038019,0.000468952202936634,0.000468815589556471,0.000466268567834049,0.00045799819054082,0.000975631875917315,0.00177525659091771,0.00157432607375085,0.00120572093874216,0.00113159394823015,0.0004467252001632,0.000918100704438984,0.00189362559467554,0.00419259117916226,0.0129447150975466,0.0305856559425592,0.0357503220438957,0.0392860397696495,0.044697929173708,0.0474359840154648,0.0296335220336914,0.0480255298316479,0.0396201908588409,0.0227569751441479,0.00526058301329613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.22281512588063E-09,1.15264873201681E-08,5.23367731375401E-08,5.98752194491681E-08,6.3315042098111E-08,6.45332178805802E-08,7.38821839263437E-08,7.53995479385594E-08,8.14882099575698E-08,9.75285772142342E-08,0.000376766751287505,0.000487093930132687,0.00386011390946805,0.0101842591539025,0.0169258993119001,0.0224471054971218,0.0212933048605919,0.0292164403945208,0.036726538091898,0.0303728729486465,0.0255689639598131,0.021092476323247,0.021343506872654,0.0290966834872961,0.0265771150588989,0.0311597138643265,0.026745680719614,0.0437406450510025,0.0417789816856384,0.0577282086014748,0.0584755577147007,0.0611106939613819,0.035212654620409,0.0389752388000488,0.0345503017306328,0.0276594720780849,0.013233601115644,0.00187635933980346,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000382828759029508,0.000386088824598119,0.000278820225503296,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36126033112305E-07,-9999,-9999,-9999,0.000566736853215843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.78956553201715E-08,6.96699373747833E-08,7.34976666194598E-08,-9999,7.76616957409715E-08,7.72796227010986E-08,8.3768064484957E-08,0.000456615322036669,0.000580675783567131,0.000810121651738882,0.00184150936547667,0.0013092749286443,0.0170921869575977,0.0351335853338242,0.03504978120327,0.0348713919520378,0.0438508242368698,0.05661715939641,0.0483879782259464,0.0447653159499168,0.0495113469660282,0.0566452667117119,0.0424743480980396,0.0403473749756813,0.0468632243573666,0.00395522965118289,0.000405495258746669,0.000474628352094442,0.0231330543756485,0.0445263236761093,0.0342670939862728,0.032265443354845,0.0298754088580608,0.0290472395718098,0.0205005668103695,0.0137541815638542,0.00262299622409046,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00175038049928844,0.00282785994932055,0.000424933736212552,0.000423987454269081,0.000423805031459779,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.21755775239762E-07,0.000532945850864053,-9999,-9999,0.000513795996084809,0.000755308545194566,-9999,-9999,0.000486277684103698,0.000320098683005199,-9999,-9999,-9999,-9999,-9999,1.12085622561153E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.5291666234989E-08,8.23391914650529E-08,9.97172264760593E-08,0.000309922150336206,0.000401539902668446,0.000530758698005229,0.00053373008267954,0.000522936112247407,0.00710818963125348,0.0296603757888079,0.0358344428241253,0.0377256274223328,0.0385950207710266,0.0474700406193733,0.0453896932303905,0.0456060282886028,0.0525687783956528,0.0628553554415703,0.0554243475198746,0.0547443330287933,0.000433873909059912,0.000382399244699627,0.000262896763160825,0.00028084748191759,0.000460604846011847,0.00533503061160445,0.0134192807599902,0.0260157324373722,0.0263300649821758,0.0281518213450909,0.0257561840116978,0.018417626619339,0.0130482111126184,0.00248242961242795,-9999,-9999,-9999,-9999,-9999,0.00155215547420084,0.00123678101226687,0.00599503656849265,0.0103607075288892,0.00333319022320211,0.00151949946302921,0.000818160420749336,0.000403062585974112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08756779582109E-07,1.0262075988976E-07,-9999,-9999,-9999,-9999,0.000484667660202831,0.000474753032904118,0.000702804361935705,0.000642120256088674,0.000648582587018609,0.000657650351058692,0.00149795960169286,0.00323353987187147,0.00114172790199518,0.000683712365571409,-9999,0.000558846746571362,0.000528138945810497,-9999,-9999,0.000144203630043194,0.000105390114185866,6.77453281241469E-05,3.96689756598789E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01587829703931E-07,1.04319859417501E-07,-9999,-9999,-9999,9.94949616028862E-08,9.49142773265521E-08,0.000184768781764433,0.000261244305875152,0.000377289514290169,0.000558255589567125,0.000979871721938252,0.0148870786651969,0.0301966741681099,0.0369190126657486,0.0390323214232922,0.0398586839437485,0.0433005727827549,0.055762056261301,0.049277126789093,0.0481517910957336,0.050335705280304,0.0501855313777924,0.000456882931757718,0.000261498847976327,0.000259216816630214,0.000176433008164167,0.000181401628651656,0.000281191983958706,0.000455333123682067,0.00088199257152155,0.0294815972447395,0.031538512557745,0.0352831780910492,0.0323456972837448,0.0247295405715704,0.0181545224040747,0.0038081353995949,0.000332848547259346,0.000230973440920934,0.000215583640965633,0.000388910586480051,0.00698069622740149,0.0135936811566353,0.0174799226224422,0.0343434438109398,0.0279665812849998,0.0162630584090948,0.00910653173923492,0.00376932951621711,0.000886392837855965,0.000401920231524855,0.00027024484006688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
