"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00204684096388519,0.00202801916748285,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00234643486328423,0.0023249639198184,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00749290827661753,0.00734986551105976,0.00655834283679724,0.00481144245713949,-9999,-9999,-9999,-9999,-9999,0.00234625022858381,0.00386002729646862,0.00350167229771614,0.003374197287485,0.00334280612878501,0.00347127905115485,0.00285700848326087,0.00259886612184346,0.00251212134025991,0.00256264908239245,0.00274371728301048,0.00150233239401132,-9999,-9999,0.00210120575502515,0.00204966519959271,0.00209802505560219,0.00319986371323466,0.00742200016975403,0.007195467595011,0.00813720561563969,0.00998697616159916,0.00615296605974436,0.0022269687615335,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00797961000353098,0.00819362048059702,0.00854176562279463,0.00781863182783127,0.00472569931298494,0.00404909951612353,0.002961270743981,-9999,0.0019197246292606,0.00239556143060327,0.00369379017502069,0.00502355815842748,0.00506081897765398,0.00591211952269077,0.00549253961071372,0.00551456725224853,0.00489605404436588,0.00610643299296498,0.00568255502730608,0.00470886239781976,0.00446674786508083,0.00314018013887107,0.00324146007187665,0.00480486173182726,0.00779852410778403,0.0165610499680042,0.0420496687293053,0.0483377873897552,0.0494017712771893,0.0536063723266125,0.0552885606884956,0.0351383797824383,0.0597868002951145,0.0519320033490658,0.0268492139875889,0.0088442824780941,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0083696823567152,0.009211634285748,0.0110799642279744,0.0104567939415574,0.00590533670037985,0.00569295091554523,0.00303161330521107,0.00300463521853089,0.00292907492257655,0.00375655619427562,0.00397560093551874,0.00460216216742992,0.00879050139337778,0.0134752690792084,0.020516611635685,0.0267597232013941,0.0249931383877993,0.0353122614324093,0.0465649552643299,0.037198830395937,0.0314876921474934,0.0250360257923603,0.0243051517754793,0.0373433157801628,0.0356020256876945,0.0430223904550076,0.0370382033288479,0.0574587397277355,0.0564417950809002,0.0722298994660378,0.0711183845996857,0.0745435729622841,0.043517217040062,0.0503763929009438,0.0473943427205086,0.0420746877789497,0.0192495491355658,0.00395946437492967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0024029603227973,0.00227409554645419,0.00149843713734299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00375756551511586,-9999,-9999,-9999,0.00303826620802283,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0136352013796568,0.0126164657995105,0.0046091740950942,-9999,0.00303686060942709,0.0053872256539762,0.00288050156086683,0.00256402604281902,0.00328391720540822,0.004350196570158,0.00583574967458844,0.00455434899777174,0.0203572250902653,0.0455527305603027,0.0466116070747375,0.0467831566929817,0.0589608959853649,0.0751259475946426,0.062924824655056,0.0574119798839092,0.0627046898007393,0.0724620372056961,0.0545558370649815,0.051844485104084,0.0591617412865162,0.0450188815593719,0.00891840923577547,0.0286887474358082,0.0598705746233463,0.0609465390443802,0.0449829623103142,0.0423582755029202,0.0388135984539986,0.0383295454084873,0.0286446567624807,0.0205131098628044,0.00472830887883902,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00792137254029512,0.00976273696869612,0.00213898229412735,0.00138625619001687,0.00144442380405962,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00390071608126163,0.00411022640764713,-9999,-9999,0.00338158360682428,0.00350538780912757,-9999,-9999,0.00353583483956754,0.00277938437648118,-9999,-9999,-9999,-9999,-9999,0.0218620412051678,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00502493744716048,0.00476572290062904,0.00270253792405128,0.00248677935451269,0.00209155073389411,0.0029845517128706,0.00162786478176713,0.00280746188946068,0.0104917678982019,0.0390065982937813,0.0474259257316589,0.0498440526425838,0.0509520843625069,0.0616511516273022,0.0584677457809448,0.0590213350951672,0.0681291446089745,0.0819372981786728,0.0708847194910049,0.0812686160206795,0.024538503959775,0.000601575884502381,0.000560473883524537,0.00168307346757501,0.0264363437891006,0.0476562529802322,0.0364055782556534,0.0351724363863468,0.0341195836663246,0.0357844568789005,0.0337109193205833,0.0273937359452248,0.0182183273136616,0.0045187110081315,-9999,-9999,-9999,-9999,-9999,0.00478145759552717,0.00370347429998219,0.0130555648356676,0.0163163691759109,0.00718032103031874,0.0044635497033596,0.00349421752616763,0.00215052952989936,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00309913582168519,0.00404593488201499,-9999,-9999,-9999,-9999,0.00273548625409603,0.00346745899878442,0.00426711374893785,0.00711664324626327,0.00675390008836985,0.00568415597081184,0.00530454143881798,0.00816477835178375,0.00513884704560041,0.0028147071134299,-9999,0.00340056722052395,0.00549877434968948,-9999,-9999,0.0216533038765192,0.00888941623270512,0.0048766634427011,0.00228978088125587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0222172364592552,0.0218457393348217,-9999,-9999,-9999,0.00438229879364371,0.00407114624977112,0.00387543067336082,0.00342289521358907,0.00185977015644312,0.00354050868190825,0.00375479366630316,0.0172887928783894,0.040156401693821,0.0494435168802738,0.0526690781116486,0.0537290573120117,0.0572475641965866,0.0737583935260773,0.065402165055275,0.0637070015072823,0.0664597079157829,0.0741719231009483,0.00144327059388161,0.00059072143631056,0.000346597167663276,0.000337830133503303,0.000539176049642265,0.000614657357800752,0.00768775120377541,0.0285943113267422,0.040951531380415,0.0417060740292072,0.046767421066761,0.0430832505226135,0.034626629203558,0.0256216060370207,0.00645491667091846,0.00162299512885511,0.00186794879846275,0.00206781411543489,0.00254257232882082,0.0113198990002275,0.0153614934533834,0.0175714548677206,0.0339255034923553,0.0276643708348274,0.0163984950631857,0.00999399460852146,0.00726621598005295,0.00397241581231356,0.0023475750349462,0.00259828707203269,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
