"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Sea turtle"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00307547207921743,0.00337838032282889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00335873197764158,0.00367318768985569,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00462694466114044,0.0046212300658226,0.00460780179128051,0.00459079025313258,-9999,-9999,-9999,-9999,-9999,0.00378458318300545,0.00371389160864055,0.00361510319635272,0.00351154082454741,0.00340721011161804,0.00331182987429202,0.00322755658999085,0.00314881629310548,0.00308097642846406,0.00365397823043168,0.00394144747406244,0.00290297018364072,-9999,-9999,0.00236699031665921,0.00335854897275567,0.00299460534006357,0.00291505199857056,0.00587669480592012,0.00701625738292933,0.00649258168414235,0.00640467926859856,0.00443938653916121,0.00240945955738425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00463706254959106,0.0046347095631063,0.00463049439713359,0.00461157178506255,0.00457016425207257,0.00449140788987279,0.00442253006622195,-9999,0.00397898629307747,0.00430707400664687,0.00460423482581973,0.00585668999701738,0.00672730803489685,0.0065322145819664,0.00533230323344469,0.00518160359933972,0.00504559837281704,0.00582959270104766,0.0052433586679399,0.00470243487507105,0.00458798045292497,0.00369991711340845,0.00384107837453485,0.00554759288206697,0.00804758351296186,0.0129193495959044,0.0153093840926886,0.0155962789431214,0.0151963075622916,0.0149011854082346,0.0146531276404858,0.0144390799105167,0.0142861548811197,0.0138527015224099,0.0101453028619289,0.00600810488685966,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00464092940092087,0.00464448006823659,0.00465294066816568,0.00463582249358296,0.00458595342934132,0.00539773982018232,0.00473960163071752,0.00456264475360513,0.00531461043283343,0.00567417358979583,0.00601789448410273,0.00634062755852938,0.0110936462879181,0.0148327955976129,0.0177941061556339,0.018681600689888,0.0173791535198689,0.0188860893249512,0.0195184201002121,0.0173395443707705,0.0168546605855227,0.0159580856561661,0.0159980524331331,0.017675407230854,0.0172465387731791,0.0167718976736069,0.0162927974015474,0.0158456973731518,0.0154161183163524,0.0150476591661572,0.0147421974688768,0.0144912553951144,0.0142705626785755,0.0140639208257198,0.0138328885659575,0.0135554885491729,0.0123733878135681,0.00546843837946653,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00222961814142764,0.00223327940329909,0.0022376028355211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00616289209574461,-9999,-9999,-9999,0.00549447955563664,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0046766446903348,0.0046653039753437,0.00464657880365849,-9999,0.00458661327138543,0.00540504790842533,0.00437674252316356,0.0038745179772377,0.00413515092805028,0.00575474556535482,0.00716231856495142,0.00489554787054658,0.0158160701394081,0.0220183413475752,0.0221550147980452,0.021738076582551,0.0212879534810781,0.0206210371106863,0.019959207624197,0.0195015426725149,0.0189691055566072,0.0182815324515104,0.0175874102860689,0.0169195681810379,0.0163044165819883,0.0156899876892567,0.0151636330410838,0.0147718358784914,0.014472084119916,0.0142357712611556,0.0140420803800225,0.0138776414096355,0.0137134622782469,0.0135729536414146,0.0133263608440757,0.0126786855980754,0.00611424958333373,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0029171290807426,0.0041462006047368,0.00294005800969899,0.00222711660899222,0.00223392806947231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00553635554388165,0.00608893670141697,-9999,-9999,0.00448033539578319,0.00449097622185946,-9999,-9999,0.00448969146236777,0.00719891488552094,-9999,-9999,-9999,-9999,-9999,0.00433292239904404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00408733123913407,0.00438058422878385,0.00389316212385893,0.00379795883782208,0.00368892122060061,0.00356821832247078,0.00344034237787127,0.00330151664093137,0.0124578149989247,0.0218397248536348,0.0221192836761475,0.0217572636902332,0.0213018618524075,0.0207838714122772,0.0202215258032084,0.0196304079145193,0.019002266228199,0.0183316040784121,0.0176088288426399,0.0168655645102262,0.0161182694137096,0.0154327265918255,0.0148869659751654,0.0144595559686422,0.0141385747119784,0.0139011749997735,0.0137250684201717,0.0136029431596398,0.0134975723922253,0.0134045472368598,0.0133002242073417,0.0131132900714874,0.0121175413951278,0.00604395149275661,-9999,-9999,-9999,-9999,-9999,0.00331328227184713,0.00334960874170065,0.00551212206482887,0.00725986808538437,0.00601867819204926,0.00448943581432104,0.00321569759398699,0.00222596898674965,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00448220921680331,0.00492883380502462,-9999,-9999,-9999,-9999,0.0044754040427506,0.00450055347755551,0.00543158734217286,0.00979539472609758,0.00831049028784037,0.00762839242815971,0.00826049782335758,0.0128440698608756,0.00689908489584923,0.00438368134200573,-9999,0.00518503040075302,0.00622659269720316,-9999,-9999,0.00803898647427559,0.00427519576624036,0.00423215096816421,0.00507280137389898,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00369864935055375,0.00368151697330177,-9999,-9999,-9999,0.00381506257690489,0.00376572948880494,0.00368950655683875,0.00359088554978371,0.00347369140945375,0.0033423937857151,0.00424202671274543,0.0151958195492625,0.02159408852458,0.0218751337379217,0.0215261727571487,0.021107679232955,0.0206328295171261,0.0201168619096279,0.019557848572731,0.0189464688301086,0.0182872749865055,0.0175592768937349,0.0167298875749111,0.0158049575984478,0.0151630863547325,0.0146313235163689,0.0141654284670949,0.013787736184895,0.0135271493345499,0.0133623303845525,0.0132681336253881,0.0132012218236923,0.0131479110568762,0.0130964983254671,0.0130005152896047,0.0127048538997769,0.00673246849328279,0.00181766145396978,0.0018514737021178,0.0018969161901623,0.0023609094787389,0.00630425475537777,0.00967902503907681,0.0112536773085594,0.0120484549552202,0.0112412581220269,0.0109900403767824,0.00946865510195494,0.00688751041889191,0.00292894872836769,0.00222319993190467,0.0022315252572298,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
