"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seagrass

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47.2242622375488,20.5917701721191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.9278450012207,15.995343208313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86212139142959E-24,3.95584516671799E-24,4.17494142238181E-24,4.24560442682789E-24,-9999,-9999,-9999,-9999,-9999,77.0916213989258,91.5210418701172,83.0912399291992,56.2995452880859,102.528839111328,108.554504394531,114.780639648438,107.991165161133,112.151649475098,46.712776184082,42.235710144043,53.6197509765625,-9999,-9999,79.0331268310547,49.1766052246094,45.9050674438477,54.8985481262207,0.00581765035167336,6.98762448791967E-07,4.98306895746481E-10,2.10221173801983E-06,0.0193455331027508,65.0835647583008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86212139142959E-24,3.91286684131019E-24,4.09739678982904E-24,4.3835166401527E-24,3.91292048385175E-24,3.85498653897232E-24,7.84083462604797E-22,-9999,5.51139976323611E-07,0.00268986774608493,4.21205806732178,9.89925670623779,4.21079063415527,7.04512786865234,27.1721172332764,57.7162475585938,51.2484664916992,28.9440231323242,46.9513549804688,47.3169784545898,27.3330554962158,36.0897827148438,19.5575675964355,0.00576077867299318,0.00277825398370624,0.000174360087839887,5.13810283209182E-09,5.89268234207907E-09,1.86376348382256E-12,3.77589023738042E-16,2.49761266449128E-19,9.29984683723927E-16,3.95402070460515E-12,6.68385569113639E-09,6.2255230267802E-13,8.83082801838341E-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86788086489861E-24,3.94518213386212E-24,1.0868706943001E-21,1.15661044118626E-21,1.03087828125883E-21,9.28862940456942E-22,3.73549842904303E-18,3.90235193876813E-14,2.6681251652505E-10,2.06967706617434E-06,0.00876889284700155,11.9590711593628,0.00119364471174777,0.000194205131265335,0.000133807363454252,0.000154785375343636,0.000197808039956726,4.30875006713904E-05,5.13570252991258E-09,0.00011232566612307,6.96234055794775E-05,9.92543646134436E-05,3.14675744448323E-05,1.27571521055247E-12,9.73176617416471E-13,4.27647934425623E-13,3.79075080787078E-13,4.34565062970918E-13,1.75099828761601E-16,4.28683573645736E-20,6.74139230357436E-24,9.71753882921853E-20,3.33929689853664E-16,4.93327817832623E-13,4.22421915153396E-17,8.00685286479776E-22,2.08821742966746E-26,9.61062399828989E-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,129.885375976563,121.680641174316,96.2540435791016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.03433488618965E-22,-9999,-9999,-9999,3.23183135736488E-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10377710683692E-21,1.14036470281301E-21,9.35586408263027E-22,-9999,3.38792163344282E-19,2.96497826900795E-15,2.41458901484304E-11,2.72320789918012E-07,0.00100481731351465,1.4483038187027,0.0110784657299519,2.6111319065094,3.02332518913317E-05,4.98753219713849E-13,4.33709735877044E-13,2.62437451327771E-13,3.80143507817954E-13,3.98629696959918E-13,2.55282611456159E-13,3.25301119591739E-13,1.89769681631195E-13,1.10482676300666E-16,7.18789578236488E-17,3.1596251300329E-17,2.80213851423892E-17,3.23561655854692E-17,1.58372468599672E-20,1.00583177239094E-24,4.0462293609939E-27,2.12225809660457E-24,2.78367181821606E-20,3.64577803574828E-17,1.38253566060274E-21,4.65980691381876E-26,4.3723016265303E-27,1.7546985637048E-25,2.06491685289994E-21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,38.9995994567871,0.259232699871063,21.4517669677734,70.1491088867188,102.294738769531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.40531531225272E-22,5.94713628395923E-22,-9999,-9999,8.07597172135352E-22,7.05067569753908E-22,-9999,-9999,5.99034617159715E-22,4.37407695701142E-22,-9999,-9999,-9999,-9999,-9999,1.12531500378982E-21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96012703338634E-18,1.77867906492844E-14,1.51308354734425E-10,1.24601683637593E-06,0.00787835754454136,19.029354095459,26.9905776977539,31.7328948974609,0.000651118345558643,4.68658423700974E-13,7.23793226849046E-17,1.94684467964317E-17,2.81791317939255E-17,2.95272674475419E-17,1.89027412842291E-17,2.40773747468465E-17,1.40404975430261E-17,2.07713816372267E-21,1.17826597307735E-21,5.17980762113615E-22,4.59348176772971E-22,5.30361511191614E-22,2.7462839025779E-25,3.81784449928269E-27,3.77110217953242E-27,3.868533819861E-27,4.72801564872917E-25,5.97621988159517E-22,3.94329626326057E-26,4.17303335890433E-27,2.15970813409238E-25,1.04498324551064E-20,8.43916527752895E-17,9.58279713358934E-08,-9999,-9999,-9999,-9999,-9999,15.1488876342773,10.4123086929321,0.00792378094047308,1.44367122629774E-05,0.00568958977237344,10.0357122421265,54.1604881286621,125.841499328613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14345501807756E-21,1.19962443888419E-21,-9999,-9999,-9999,-9999,7.87650426560943E-22,9.24066565179002E-22,8.29157485359737E-22,6.38891808085119E-22,8.39836415340571E-22,7.72683324429974E-22,6.54410986631998E-22,3.54169289170981E-22,7.61360229566598E-22,7.17412927376254E-22,-9999,3.32508026994277E-22,5.32294662171512E-22,-9999,-9999,6.2773375554489E-22,9.08338117611186E-22,8.32250123030791E-22,4.14978196598723E-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10602873043059E-21,1.06920960062337E-21,-9999,-9999,-9999,3.64791944091806E-17,2.09153305568907E-13,1.14651110827424E-09,5.000525561627E-06,0.00716724852100015,0.0947831571102142,0.00971189513802528,1.10708128886472E-07,2.47565575276905E-16,2.66117347808035E-20,3.2006982359883E-22,4.62554713336965E-22,4.84683965667969E-22,3.10296606911385E-22,3.9523463634995E-22,2.30467947514402E-22,4.30438809816176E-26,2.32966833938177E-26,1.24065071306762E-26,1.14379777616873E-26,1.25536443265675E-26,3.80495656128084E-27,3.77422218604232E-27,3.76820712164001E-27,3.79027250101286E-27,3.85514128821372E-27,1.38230001010098E-26,4.12947845321201E-27,2.15490390954983E-26,8.25985431483633E-22,4.35775157956288E-17,5.0963400166637E-13,0.000836423016153276,30.6964817047119,32.0113906860352,40.3657569885254,27.8734912872314,0.00215166201815009,0.000182077215868048,4.95162857987452E-05,4.23818562467204E-08,2.32129801491787E-10,6.58297381050943E-08,0.00016321126895491,0.0166120305657387,76.7367630004883,126.456062316895,112.907272338867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
