"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Sessile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.15963351726532,0.157822102308273,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.220612153410912,0.216342478990555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0279788970947266,0.0432987287640572,0.0532758831977844,0.0306601300835609,-9999,-9999,-9999,-9999,-9999,34.5499572753906,22.3848972320557,6.64937305450439,2.11221075057983,0.233930349349976,0.21330663561821,23.8736572265625,20.8279418945313,21.1707000732422,21.9771976470947,23.3293209075928,19.022481918335,-9999,-9999,13.0275211334229,11.7550354003906,11.5129079818726,11.5290851593018,12.2215919494629,13.1772975921631,13.8783235549927,14.1158428192139,13.6062355041504,12.6464929580688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0274413414299488,0.0523817539215088,0.113516829907894,0.145557135343552,0.170815825462341,0.117841601371765,0.155508458614349,-9999,7.48523855209351,34.8855972290039,32.4468154907227,31.986852645874,30.2822666168213,29.4595394134521,16.7529220581055,26.5613899230957,22.3756923675537,20.2217674255371,19.571216583252,19.463565826416,18.3551807403564,17.1853485107422,15.9316034317017,14.1699819564819,12.5522623062134,10.611496925354,8.95983409881592,8.47422885894775,9.27662372589111,10.168212890625,10.7367086410522,10.7567148208618,9.75411319732666,9.59224605560303,9.33047771453857,8.02546501159668,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0487319827079773,0.113822899758816,0.38916888833046,0.457900732755661,0.488904684782028,0.498881071805954,0.271817356348038,0.185249194502831,0.266268879175186,34.2702178955078,31.6210289001465,28.1005554199219,25.4330501556396,24.2310428619385,22.2847900390625,20.5053272247314,19.0152969360352,17.0023536682129,15.6166048049927,15.5213565826416,14.8980913162231,14.3676204681396,13.4076023101807,11.0253744125366,9.55608081817627,7.96991205215454,6.52237844467163,5.2139458656311,0.832020223140717,2.67713904380798,5.15064764022827,5.52496099472046,5.80704402923584,5.91861486434937,6.15589618682861,5.9264669418335,6.61867666244507,7.78620195388794,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.5863447189331,15.4508428573608,15.5379085540771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.7593612670898,-9999,-9999,-9999,30.2141819000244,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.536750972270966,0.554954707622528,0.568376898765564,-9999,0.55842512845993,0.276855379343033,0.45016273856163,26.6551876068115,27.9642963409424,24.0651817321777,22.8530979156494,22.8487739562988,20.3984870910645,16.1431846618652,13.5159006118774,12.4038524627686,11.3686084747314,11.5003900527954,11.4401941299438,10.4726190567017,9.08992004394531,8.48708152770996,8.04132652282715,6.89114999771118,3.20538353919983,0.133138865232468,0.161559626460075,0.163005024194717,0.141608908772469,0.627584517002106,1.39542663097382,3.35948777198792,5.39806079864502,5.62379026412964,6.56919050216675,6.89490413665771,8.63357257843018,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.0213451385498,16.2988891601563,16.2095680236816,16.017219543457,15.9028835296631,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.4962196350098,33.5124130249023,-9999,-9999,31.3403701782227,29.3884105682373,-9999,-9999,26.4121379852295,27.4962844848633,-9999,-9999,-9999,-9999,-9999,35.6032218933105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.548055171966553,0.49412128329277,24.1239433288574,27.035343170166,25.0925350189209,21.3055629730225,20.8463153839111,20.810115814209,18.9417839050293,14.39049243927,10.0269021987915,8.05742073059082,7.69181299209595,7.95902061462402,8.06453800201416,7.52422189712524,6.70174980163574,5.92611646652222,6.01073026657104,0.422067493200302,0.161075130105019,0.139787971973419,0.151261657476425,0.147792130708694,0.131367862224579,0.164910197257996,0.137806802988052,0.986652910709381,3.87704420089722,4.65634536743164,5.6994571685791,5.89365673065186,7.82873821258545,9.94095420837402,-9999,-9999,-9999,-9999,-9999,16.4861183166504,16.9316940307617,16.6775875091553,17.2484111785889,17.5789260864258,17.2520141601563,16.5879516601563,16.0289878845215,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.4583511352539,32.2452049255371,-9999,-9999,-9999,-9999,30.6735343933105,31.3727226257324,31.2905769348145,29.2384605407715,28.6420383453369,29.200590133667,26.4264030456543,23.9472274780273,24.434383392334,25.585994720459,-9999,30.8319072723389,31.9202136993408,-9999,-9999,33.8573608398438,35.5130004882813,27.2595329284668,8.30661296844482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.2202396392822,26.9582920074463,-9999,-9999,-9999,29.8101215362549,24.4716339111328,22.8872680664063,20.6782341003418,19.6323127746582,19.2967586517334,18.8487377166748,16.5003032684326,12.9519577026367,7.90172004699707,6.00667238235474,5.69800519943237,6.14264249801636,5.65003252029419,5.03713893890381,5.28568315505981,4.47734689712524,0.535827279090881,0.182989984750748,0.149207979440689,0.111416675150394,0.116102784872055,0.115323297679424,0.108036532998085,0.138697728514671,0.168369114398956,0.645222306251526,2.43091177940369,3.69590520858765,4.95569276809692,6.07413530349731,7.56990766525269,9.90544509887695,11.2665901184082,15.3304920196533,0.123469591140747,15.2364654541016,13.0953054428101,14.296555519104,15.7505283355713,16.0839385986328,16.8819274902344,17.7147693634033,18.15016746521,17.7550010681152,16.8817558288574,16.412525177002,16.4282417297363,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
