"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Shallow-water grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34219106939781E-07,1.31572960526682E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.11447434392176E-07,4.24777426815126E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22905746025026E-07,1.22579919548116E-07,1.10860696622694E-07,8.23571042474214E-08,-9999,-9999,-9999,-9999,-9999,1.32738634306406E-07,1.26647904608035E-07,1.18482240907269E-07,4.57590394944418E-05,3.0663883080706E-05,2.01994662347715E-05,1.33785288198851E-05,8.80269453773508E-06,5.76640195504297E-06,4.17560149799101E-05,6.2724640883971E-05,9.53086055233143E-05,-9999,-9999,0.000276771781500429,0.000268228439381346,0.000394326576497406,0.000402582838432863,0.000277821731287986,0.000429385167080909,0.000436742353485897,0.000440014118794352,0.000288713403278962,0.000281780958175659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2966700069228E-07,1.35398551037724E-07,1.44867584594977E-07,1.33964547899268E-07,9.57033847726052E-08,9.06695518665401E-08,1.04009217238854E-07,-9999,1.28334960436405E-07,1.29256264358446E-07,1.28692050793688E-07,1.21615187254065E-07,4.4195923692314E-05,6.47722772555426E-05,4.34734065493103E-05,2.87697566818679E-05,1.88753820111742E-05,1.23682757475763E-05,4.01864963350818E-05,6.01159372308757E-05,8.97598511073738E-05,0.000134065674501471,0.000193488303921185,0.000279657513601705,0.000408166437409818,0.000403304700739682,0.000595900404732674,0.000604180851951241,0.000413875677622855,0.000644533603917807,0.000665268744342029,0.000681597855873406,0.000444449950009584,0.000422696553869173,0.000386017869459465,0.00023758782481309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37017124757222E-07,1.54640531491168E-07,1.93280726534795E-07,1.82731696440896E-07,1.23093002457608E-07,1.06005593636382E-07,1.11140053604686E-07,4.83057119708974E-05,3.41258055414073E-05,5.26604526385199E-05,5.04537274537142E-05,4.69146361865569E-05,6.3508065068163E-05,9.1429719759617E-05,6.07485198997892E-05,4.02866862714291E-05,2.71312455879524E-05,4.10478642152157E-05,6.06476824032143E-05,8.86649650055915E-05,0.000131707711261697,0.000195348169654608,0.000289208546746522,0.0004283930757083,0.00063184357713908,0.000605630513746291,0.000917622004635632,0.00118171772919595,0.000550158903934062,0.000972009263932705,0.00103804853279144,0.00101846666075289,0.000663633807562292,0.000643600127659738,0.000610797142144293,0.000383027596399188,0.000368451932445168,0.00023152532230597,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.05169952905271E-06,4.06117533202632E-06,2.79154664895032E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.73886627155662E-07,-9999,-9999,-9999,2.58104904560241E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.38561995047348E-07,2.13134839555096E-07,1.41149698151821E-07,-9999,4.78000147268176E-05,7.26172875147313E-05,5.05351345054805E-05,7.81939306762069E-05,7.57536909077317E-05,7.13609551894478E-05,9.92991626844741E-05,0.000142060918733478,9.01945240912028E-05,6.02264117333107E-05,4.16862640122417E-05,6.32297887932509E-05,9.16133285500109E-05,0.000131425971630961,0.000195096785319038,0.000285915186395869,0.000416827737353742,0.000627949659246951,0.00106014055199921,0.00118145416490734,0.000905226508621126,0.000479493639431894,0.000301844469504431,0.000491834245622158,0.000532316276803613,0.000588455470278859,0.00106059981044382,0.00143897125963122,0.00111315073445439,0.000628443958703429,0.000598546583205462,0.000372640322893858,0.000235858358792029,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.22691345092608E-06,5.49962715012953E-06,3.8718435462215E-06,2.69477641268168E-06,1.8565772279544E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0359985342111E-07,2.13778363900019E-07,-9999,-9999,1.89797447092133E-07,2.04439061235462E-07,-9999,-9999,2.07882578706631E-07,2.5108579393418E-07,-9999,-9999,-9999,-9999,-9999,3.86745909963793E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.07484359736554E-05,0.000109399959910661,7.64130090828985E-05,0.000116312403406482,0.000113999885797966,0.000110406632302329,0.000158859445946291,0.000222305214265361,0.000138467308715917,9.32387993088923E-05,6.35560645605437E-05,9.57236625254154E-05,0.000139553274493665,0.00019835215061903,0.000289682328002527,0.00042336288606748,0.000614867021795362,0.000940605998039246,0.00110144622158259,0.000530161079950631,0.000455393397714943,0.000276135950116441,0.000186631310498342,0.000293803808744997,0.000314649543724954,0.000349498470313847,0.00058539817109704,0.000650584697723389,0.00154715846292675,0.00148421467747539,0.00131814845371991,0.000589329516515136,0.000376493611838669,0.00023667883942835,-9999,-9999,-9999,-9999,-9999,3.68977016478311E-05,3.7108693504706E-05,2.4588454834884E-05,1.65766941790935E-05,1.1617901691352E-05,8.24362268758705E-06,4.3414744141046E-05,6.74199254717678E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.86520608735918E-07,1.4043071416836E-07,-9999,-9999,-9999,-9999,1.05409391437661E-07,1.16612014267048E-07,3.82874532078858E-05,2.50617104029516E-05,3.69591725757346E-05,3.64215957233682E-05,3.57953358616214E-05,2.38849934248719E-05,1.62716314662248E-05,1.14776185000665E-05,-9999,1.0753456990642E-05,8.62905289977789E-05,-9999,-9999,8.22774672997184E-05,5.14745152031537E-05,9.04467233340256E-05,6.49735229671933E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000227847034693696,0.000328072521369904,-9999,-9999,-9999,0.000169902355992235,0.000113215290184598,0.000168882121215574,0.00016775875701569,0.000164070108439773,0.000235278886975721,0.000326071254676208,0.000207544391741976,0.000138961244374514,9.32697803364135E-05,6.30336071480997E-05,9.36166397877969E-05,0.000134127330966294,0.000187870260560885,0.000276139995548874,0.000409264728659764,0.000600245199166238,0.000551429693587124,0.000298615050269291,0.00027202270575799,0.00017979956464842,0.000121221688459627,0.000186825956916437,0.000194937776541337,0.000213393694139086,0.000361091981176287,0.000622151419520378,0.00170236336998641,0.0019980298820883,0.00236951000988483,0.00165806117001921,0.000589725212194026,0.000363972620107234,0.000234921491937712,0.000153648928971961,0.000101777302916162,7.05142228980549E-05,4.86093740619253E-05,5.17484804731794E-05,5.40869295946322E-05,3.61294914910104E-05,2.4480819774908E-05,1.69790109794121E-05,3.89362357964274E-05,6.04482047492638E-05,9.69043103395961E-05,0.000152504042489454,0.000234705075854436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
