"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Spanish mackerel (0-1yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00138016778510064,0.00217572972178459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0015773915220052,0.00166094512678683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.21333757508546E-05,0.000150490654050373,0.000239416083786637,0.000162271870067343,-9999,-9999,-9999,-9999,-9999,0.000661290367133915,0.0011520137777552,0.000764122291002423,0.00100967823527753,0.000884126813616604,0.00106626085471362,0.000605959270615131,0.000588678056374192,0.000866544956807047,0.00181193638127297,0.00239341706037521,0.00131826288998127,-9999,-9999,0.00276029575616121,0.00380168110132217,0.00388535088859499,0.0045943483710289,0.00502270273864269,0.00505604967474937,0.00512816570699215,0.00631872471421957,0.00515934219583869,0.00406212452799082,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000178088434040546,0.00018243573140353,0.000531428318936378,0.000671100569888949,0.000625398999545723,0.000701219192706048,0.00130438222549856,-9999,0.00106815190520138,0.00106726342346519,0.00122190790716559,0.00115501135587692,0.00121994409710169,0.0016567608108744,0.00123952177818865,0.00123657868243754,0.00145718699786812,0.00185503566171974,0.00173545954748988,0.00169391871895641,0.00225507537834346,0.00337118934839964,0.00328938406892121,0.00302623119205236,0.0044050277210772,0.00273528532125056,0.000954484334215522,0.000169799546711147,2.79776759271044E-05,3.6446037938731E-06,0.000107472413219512,0.000122110868687741,7.80123227741569E-05,0.0001994131016545,0.00520916609093547,0.00499127944931388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.2584338845918E-05,0.000286162656266242,0.000562125234864652,0.000822862959466875,0.000998266972601414,0.00134039937984198,0.00128085806500167,0.00160168670117855,0.00176434777677059,0.00158341496717185,0.0015593555290252,0.00138600904028863,0.0015437692636624,0.00119488872587681,0.00129981315694749,0.00052049447549507,0.000733320543076843,0.000555193226318806,0.000728814338799566,0.00140064884908497,0.00190445175394416,0.00159624451771379,0.00140139367431402,0.000291140895569697,4.07000516133849E-05,9.01282520837654E-12,9.42662954912521E-05,0,0,0,0,0,0,0,2.10547314054566E-05,0.000226116113481112,0.0019875920843333,0.00575526244938374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00117464980576187,0.00177429022733122,0.00129942363128066,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00087550567695871,-9999,-9999,-9999,0.00078183226287365,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000847913674078882,0.000669777917210013,0.0011972050415352,-9999,0.00135912944097072,0.00235552620142698,0.00135228340514004,0.00104341632686555,0.000834969978313893,0.00123035709839314,0.00120330648496747,0.00104503321927041,0.000993894995190203,0.000248398690018803,0,0,0,9.01282520837654E-12,4.24666950493702E-06,9.01282520837654E-12,9.09434238565154E-05,3.69889567082282E-05,0,0,0,0,0,0,0,0,2.6502084438107E-05,5.99533507283923E-07,0,4.50641260418827E-12,8.71561205713078E-05,0.00122120371088386,0.0047319820150733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00294820289127529,0.00311224162578583,0.0035284236073494,0.00167831336148083,0.00195245421491563,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00139525963459164,0.00117022811900824,-9999,-9999,0.000760588853154331,0.00119497021660209,-9999,-9999,0.000868207251187414,0.00132012157700956,-9999,-9999,-9999,-9999,-9999,0.00047230307245627,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00124760996550322,0.00127232691738755,0.000997876515612006,0.000919200596399605,0.000543210131581873,0.000852336816024035,0.000748099177144468,0.000760329596232623,0.00103302125353366,2.71082008111989E-05,0,0,0,0,0,0,0,1.85352939752192E-06,0,0,8.5494912127615E-06,0,0,0,0,2.3071545001585E-05,4.50641260418827E-12,0,3.37178680638317E-05,0,4.50641260418827E-12,0.000110177526948974,0.0017640880541876,0.00585524272173643,-9999,-9999,-9999,-9999,-9999,0.00557114090770483,0.00486899493262172,0.00671563763171434,0.00540907960385084,0.00508546968922019,0.00416716281324625,0.0029099490493536,0.00175499997567385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000883785134647042,0.00101262889802456,-9999,-9999,-9999,-9999,0.000981243792921305,0.00168049952480942,0.00219766120426357,0.0015574861317873,0.00165465765167028,0.00214647990651429,0.00179891497828066,0.00173161656130105,0.00187383173033595,0.00113838107790798,-9999,0.000463568954728544,0.00107336835935712,-9999,-9999,0.000693716923706234,0.000791601953096688,0.0009872333612293,0.000763625022955239,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000164117343956605,6.29143178230152E-05,-9999,-9999,-9999,0.000985122984275222,0.00087803672067821,0.000741433119401336,0.000659581157378852,0.000652328133583069,0.000662018719594926,0.000520137371495366,0.000961347599513829,0,0,0,0,0,0,6.03265164045297E-07,4.50641260418827E-12,0,0,0,0,0,0,4.72347664981498E-06,0,0,0,0,0,0,0,0,0.000282235560007393,0.00624415650963783,0.00331900361925364,0.0026152387727052,0.00235008681192994,0.0034129717387259,0.00469973124563694,0.00614212546497583,0.00470903795212507,0.00457915058359504,0.00534447748214006,0.00530021963641047,0.00585964135825634,0.00526600843295455,0.00395162031054497,0.00170781707856804,0.00112876924686134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
