"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Surface pelagics"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.07310527761729E-07,0.00340551394037902,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00291134603321552,0.0042040292173624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.36077770665588E-08,4.12806038241342E-08,5.7161006594697E-08,7.05528293565294E-08,-9999,-9999,-9999,-9999,-9999,0.00424245605245233,0.00396133167669177,0.00520951207727194,0.00492868013679981,0.00330386473797262,0.0045995363034308,0.0468271523714066,0.10599710047245,0.106141783297062,0.00375338178128004,0.0278712529689074,0.0962563008069992,-9999,-9999,0.0487620420753956,0.0509079955518246,0.0379735939204693,0.0374323055148125,0.0662490427494049,0.0873562097549438,0.0935277789831161,0.0990012884140015,0.0758567824959755,0.0474574640393257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.41550530688528E-08,5.22531244939728E-08,1.2984038733066E-07,1.77854673211186E-07,2.27954288334331E-07,3.73165619294014E-07,7.40135931209807E-07,-9999,0.0066137951798737,0.0210526194423437,0.00524815637618303,0.00428732065483928,0.0326932668685913,0.0324205942451954,0.00321973906829953,0.00317488028667867,0.109250500798225,0.130636602640152,0.119127862155437,0.103779077529907,0.102517500519753,0.0868791788816452,0.0762790367007256,0.0727873519062996,0.0717395022511482,0.0663796961307526,0.0441854074597359,0.0490484647452831,0.0682127699255943,0.0910622403025627,0.10962076485157,0.114774748682976,0.0967565327882767,0.0644489601254463,0.0342949368059635,0.0135248843580484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.18385042166847E-08,1.31135678316241E-07,4.90406023345713E-07,6.12655526310846E-07,6.68152722482773E-07,6.84329279465601E-07,8.63268383000104E-07,0.00287634879350662,0.0041311583481729,0.00539633352309465,0.042593564838171,0.116327218711376,0.22030733525753,0.239960536360741,0.226308599114418,0.195816189050674,0.177112817764282,0.139762088656425,0.130991563200951,0.153328135609627,0.156598478555679,0.144484430551529,0.112364120781422,0.0831167921423912,0.0684068948030472,0.0564303398132324,0.0503729358315468,0.0612355582416058,0.0886993110179901,0.120427295565605,0.146606966853142,0.149845376610756,0.132467985153198,0.0901916772127151,0.0519543513655663,0.0264549553394318,0.0129119418561459,0.00560362730175257,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.121730282902718,0.119810052216053,0.128136679530144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0131732877343893,-9999,-9999,-9999,0.143390566110611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.75450530454691E-07,8.09768152976176E-07,8.49824232318497E-07,-9999,9.79021365310473E-07,0.001924246433191,0.00447122380137444,0.00657089659944177,0.0991829112172127,0.172847509384155,0.192978471517563,0.120074518024921,0.197840303182602,0.148903667926788,0.136448875069618,0.127183765172958,0.116176702082157,0.110750459134579,0.108214169740677,0.103254474699497,0.0943625792860985,0.0892253592610359,0.0916132852435112,0.0887994393706322,0.0795173346996307,0.0547156631946564,0.00125152338296175,0.0267322026193142,0.182137727737427,0.203590795397758,0.188487276434898,0.147524908185005,0.103744700551033,0.0662082582712173,0.0325980819761753,0.0142567763105035,0.00730789825320244,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.113543048501015,0.147964492440224,0.127973020076752,0.111671850085258,0.124501779675484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00916592497378588,0.0185041334480047,-9999,-9999,0.0336805768311024,0.115356937050819,-9999,-9999,0.121219083666801,0.158629536628723,-9999,-9999,-9999,-9999,-9999,0.0045472620986402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05115213955287E-06,0.00473118759691715,0.00732065038755536,0.00717563088983297,0.120584741234779,0.14777772128582,0.131984859704971,0.102893501520157,0.169662430882454,0.137384220957756,0.133873924612999,0.142401427030563,0.136521250009537,0.123544946312904,0.117412976920605,0.113388895988464,0.113629512488842,0.123376153409481,0.138295218348503,0.139897525310516,0.00386932166293263,0.000681354664266109,0.000782202230766416,0.000988677376881242,0.0104969646781683,0.161379411816597,0.2052863240242,0.201743260025978,0.166430845856667,0.1290093511343,0.0722021460533142,0.0277029983699322,0.0146833015605807,0.0124408332630992,-9999,-9999,-9999,-9999,-9999,0.0785025656223297,0.0782108828425407,0.115289151668549,0.145484298467636,0.144822433590889,0.138862937688828,0.131590321660042,0.115540660917759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0409610643982887,0.05455407127738,-9999,-9999,-9999,-9999,0.0426585748791695,0.0364536084234715,0.00678522838279605,0.0258575901389122,0.00247602700255811,0.0414764955639839,0.141117438673973,0.175303786993027,0.111479721963406,0.0952835604548454,-9999,0.0926235169172287,0.0613456629216671,-9999,-9999,0.03318802267313,0.00591661920771003,0.00442461529746652,0.00291985785588622,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0132531905546784,0.00785345025360584,-9999,-9999,-9999,0.0074530728161335,0.175647765398026,0.16586434841156,0.16930191218853,0.157745614647865,0.133352547883987,0.120759442448616,0.184025391936302,0.133329227566719,0.136228606104851,0.150492563843727,0.156796306371689,0.149142861366272,0.137743189930916,0.135885119438171,0.139198288321495,0.152131229639053,0.170788317918777,0.000852972269058228,0.000746720703318715,0.000515232677571476,0.000559733831323683,0.000622675230260938,0.00104715838097036,0.00323752569966018,0.0826004073023796,0.225964605808258,0.195269674062729,0.154556065797806,0.0991894826292992,0.0461105592548847,0.0242108181118965,0.0176225211471319,0.0106745855882764,0.000535852974280715,0.000387770065572113,0.000501537986565381,0.0298292357474566,0.0708910748362541,0.100982025265694,0.117817245423794,0.128012746572495,0.149965047836304,0.164030313491821,0.161161661148071,0.119847193360329,0.122595697641373,0.1421167999506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
