"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Tilefish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.3038052758202E-05,6.26955516054295E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.65064212121069E-05,8.61007138155401E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3204098259223E-08,1.6461024543446E-08,1.91145428374284E-08,1.99564134106822E-08,-9999,-9999,-9999,-9999,-9999,8.71428014193043E-08,8.06903557304395E-08,7.31009706100849E-08,6.75800606586563E-08,6.40144435237744E-08,3.77923824999016E-05,5.86986570851877E-05,5.76919956074562E-05,8.54412792250514E-05,0.000127911145682447,0.000127435981994495,0.000124774043797515,-9999,-9999,0.000142828503157943,0.000135395908728242,0.000130573971546255,0.00019888614770025,0.000206916141905822,0.000219319364987314,0.000228705001063645,0.000230257763178088,0.000224566785618663,0.000215982712688856,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.30924533436882E-08,1.75953189796019E-08,2.69034483579844E-08,3.23466693430419E-08,3.53555122956095E-08,4.71241570210168E-08,6.5575420649111E-08,-9999,8.55644373132236E-08,8.86300313140964E-08,8.65902762825499E-08,8.13104534813647E-08,7.41183328045736E-08,6.85621301954598E-08,3.85560706490651E-05,5.78342442167923E-05,8.28771517262794E-05,8.05321033112705E-05,0.00011884012928931,0.0001770296075847,0.000175107168615796,0.000170568164321594,0.000159901988808997,0.000219531284528784,0.000205334508791566,0.000191022045328282,0.000180578441359103,0.000272022880380973,0.000285496556898579,0.000306930101942271,0.00032423430820927,0.000327831920003518,0.000314928474836051,0.000290731230052188,0.000164470271556638,0.000142626129672863,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.59278350508885E-08,2.63096922026307E-08,5.36998747691086E-08,6.23754701223334E-08,6.17420639059674E-08,6.48414086867888E-08,7.43876142905719E-08,8.02254334075769E-08,8.42052259031334E-08,8.82688979686463E-08,8.41392875372549E-08,7.68635430858922E-08,6.85650221043943E-08,3.7175246689003E-05,5.37308478669729E-05,7.77085951995105E-05,0.000113099202280864,0.000111478031612933,0.000163854332640767,0.000241618006839417,0.00023856399639044,0.000232622041949071,0.000223229653784074,0.000314108445309103,0.000298122060485184,0.000277079758234322,0.000259042863035575,0.000673228176310658,0.00459498865529895,0.00241732341237366,0.0011926416773349,0.00112343614455312,0.000624802429229021,0.000589995528571308,0.00025068293325603,0.000221138237975538,0.000135818845592439,8.88660142663866E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59071191269322E-06,2.41758425545413E-06,1.65530707363359E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.06550402279026E-07,-9999,-9999,-9999,9.68751336927198E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.62012390964628E-08,7.73982549162611E-08,7.26001516682118E-08,-9999,8.05672897286058E-08,8.23204544531109E-08,8.40913969568646E-08,8.63547526819275E-08,8.21450143462243E-08,7.48278665696489E-08,4.06021754315589E-05,5.73271281609777E-05,7.79281108407304E-05,0.000110285589471459,0.000162653872394003,0.000161579228006303,0.000236162915825844,0.00034532422432676,0.000340507918735966,0.000332156021613628,0.000321992469253018,0.000537892570719123,0.000502713490277529,0.000572386139538139,0.00145787827204913,0.0145208975300193,0.0136756394058466,0.0177025217562914,0.0185335837304592,0.0082942508161068,0.00337639288045466,0.00129997404292226,0.000575244601350278,0.000418129522586241,0.000238836568314582,0.000142971184686758,9.51312686083838E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.43387681723107E-06,4.99000680065365E-06,3.47219565810519E-06,2.41146562984795E-06,1.66008749147295E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.4897742997091E-08,9.66113447020689E-08,-9999,-9999,8.93129126211534E-08,8.98029242080156E-08,-9999,-9999,8.45439629415523E-08,8.94372860216208E-08,-9999,-9999,-9999,-9999,-9999,1.20230680522582E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.13740683724973E-08,5.15437423018739E-05,5.30286379216705E-05,3.51227208739147E-05,2.2127418560558E-05,4.54830551461782E-05,6.34282478131354E-05,8.69900832185522E-05,0.000115100549010094,0.000161768984980881,0.000238273001741618,0.000237394837313332,0.000347513792803511,0.000575338897760957,0.000565533351618797,0.000690148095600307,0.000843363697640598,0.00134822831023484,0.0012541355099529,0.0132504664361477,0.00966570992022753,0.00081604573642835,0.000874570570886135,0.00843257363885641,0.0226147919893265,0.0214616879820824,0.0132522191852331,0.00365837453864515,0.00118077080696821,0.000915506097953767,0.000501892005559057,0.000234347317018546,0.000152026608702727,0.000106462393887341,-9999,-9999,-9999,-9999,-9999,3.25081164191943E-05,3.30115581164137E-05,2.22133676288649E-05,1.5044253814267E-05,1.05037815956166E-05,7.39929510018555E-06,5.22549134984729E-06,3.67496136277623E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.30926447040292E-08,8.64061675542871E-08,-9999,-9999,-9999,-9999,7.54543947323327E-08,7.86750433690031E-08,7.73906023709969E-08,7.05384621824123E-08,6.99229474321328E-08,7.23381106126908E-08,7.02718523371004E-08,6.38553601106651E-08,6.43155502189074E-08,7.00551296972662E-08,-9999,5.39047105121426E-05,5.55518563487567E-05,-9999,-9999,4.44058896391653E-05,3.00987030641409E-05,1.89630954992026E-05,1.12644374894444E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.13997309370006E-07,1.68128323707606E-07,-9999,-9999,-9999,7.93755971244536E-05,7.7881122706458E-05,5.05883326695766E-05,4.8156132834265E-05,6.74876573611982E-05,9.34468989726156E-05,0.000125728329294361,0.000167164645972662,0.000234553212067112,0.000342845160048455,0.000344539759680629,0.000689097330905497,0.00076612108387053,0.00107452052179724,0.00128332315944135,0.00113794871140271,0.00159977353177965,0.0107705127447844,0.00235003279522061,0.000220015193917789,0.000210205049370416,0.000553957535885274,0.00206030393019319,0.0075124348513782,0.0169081166386604,0.0176886450499296,0.00614499999210238,0.00220174062997103,0.00140454340726137,0.000822641130071133,0.000255126302363351,0.000162955955602229,0.000110144384962041,7.72523926571012E-05,7.85364682087675E-05,4.99188245157711E-05,5.36929510417394E-05,3.73283728549723E-05,4.11903747590259E-05,4.42446689703502E-05,3.07125665131025E-05,3.15277793561108E-05,2.19579560507555E-05,1.53495129779913E-05,1.08435451693367E-05,7.86436339694774E-06,5.61629258299945E-06,3.91438743463368E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
