"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Vermilion snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000988712185062468,0.000983561854809523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00135741801932454,0.00134730048011988,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.85523660434228E-07,2.26741761366611E-07,2.74965316293674E-07,3.16959585688892E-07,-9999,-9999,-9999,-9999,-9999,0.000339288293616846,0.000485253869555891,0.000677341071423143,0.000951180118136108,0.00134752492886037,0.00188864616211504,0.00176558713428676,0.00169350509531796,0.00251212064176798,0.00177045189775527,0.0017375381430611,0.00166877941228449,-9999,-9999,0.00191008800175041,0.00183542957529426,0.00270983390510082,0.00280694523826241,0.00294331111945212,0.00309524335898459,0.00319928070530295,0.00320358551107347,0.00311483163386583,0.00301133189350367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.75077474295904E-07,2.2205740890513E-07,3.1889624096948E-07,4.03462792064602E-07,5.07041079345072E-07,7.1995299322225E-07,0.000175039152964018,-9999,0.00024837427190505,0.000349858950357884,0.000493068073410541,0.000675992458127439,0.00091580004664138,0.00128397368825972,0.00184516154695302,0.00258291210047901,0.00242506014183164,0.00232845102436841,0.00342664169147611,0.00232383864931762,0.00230868440121412,0.00226191873662174,0.00213761371560395,0.00298741250298917,0.00283931684680283,0.00270849908702075,0.0101197063922882,0.0227381959557533,0.0235869754105806,0.0270574763417244,0.0299755781888962,0.0184196475893259,0.0408310256898403,0.0206340681761503,0.00253419461660087,0.0022760562133044,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.99611136508793E-07,2.95014501716651E-07,5.3927578846924E-07,6.56651081953896E-07,7.62749778004945E-07,0.000175393535755575,0.000262764981016517,0.000385742314392701,0.00037268249434419,0.000520100584253669,0.0006987742963247,0.000931802554987371,0.00124490342568606,0.00170835107564926,0.00235917326062918,0.00331431766971946,0.00323749263770878,0.00317682279273868,0.00766082992777228,0.00314135826192796,0.00314145465381444,0.0031234291382134,0.00307270092889667,0.0103848865255713,0.0125801078975201,0.0233741663396358,0.0301930829882622,0.100791566073895,0.210988938808441,0.229082316160202,0.162761598825455,0.156543284654617,0.072487398982048,0.0723343044519424,0.0460559092462063,0.024353938177228,0.00342442118562758,0.00208864826709032,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00176425673998892,0.0011913311900571,0.00121634639799595,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000482129398733377,-9999,-9999,-9999,0.00043344299774617,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.28976147001958E-07,7.74443435602734E-07,8.1679360164344E-07,-9999,0.000392564048524946,0.00057157053379342,0.000552089419215918,0.000772818806581199,0.00102882809005678,0.00136595219373703,0.00184291647747159,0.00252183293923736,0.00333750806748867,0.0116815343499184,0.020365247502923,0.0217740014195442,0.032405499368906,0.0353793650865555,0.0254068933427334,0.0295187048614025,0.0500675812363625,0.0654310584068298,0.0497196987271309,0.0607817582786083,0.175097450613976,0.274932950735092,0.286094486713409,0.203597635030746,0.268666565418243,0.233906954526901,0.139015540480614,0.0934572219848633,0.052121739834547,0.0442907735705376,0.0152841750532389,0.0043868594802916,0.00213665957562625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00245218467898667,0.00165688502602279,0.00171594170387834,0.00118632533121854,0.00081593869253993,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000657516182400286,0.00066157546825707,-9999,-9999,0.000607287220191211,0.00060579419368878,-9999,-9999,0.000861689855810255,0.000595832127146423,-9999,-9999,-9999,-9999,-9999,0.000536410429049283,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000579755287617445,0.000832070014439523,0.000539151253178716,0.000754722452256829,0.00101499736774713,0.00137506448663771,0.00188097218051553,0.00254035694524646,0.00332896364852786,0.00994852185249329,0.039580337703228,0.0584891252219677,0.062189344316721,0.0737464800477028,0.0645046383142471,0.0691374614834785,0.0989050790667534,0.151845425367355,0.131618335843086,0.337404936552048,0.321992516517639,0.260179877281189,0.145462840795517,0.160080850124359,0.269733190536499,0.229797258973122,0.133602678775787,0.0949204936623573,0.0630297660827637,0.0590840838849545,0.037629209458828,0.014709641225636,0.00224732980132103,0.00149918918032199,-9999,-9999,-9999,-9999,-9999,0.00207763025537133,0.00212711747735739,0.00325822364538908,0.00222974549978971,0.00231885211542249,0.00162890867795795,0.00114968756679446,0.000804652576334774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000459192902781069,0.0004557118518278,-9999,-9999,-9999,-9999,0.000878912978805602,0.000890671042725444,0.000876933336257935,0.000819770037196577,0.000814335595350713,0.000808025943115354,0.000780301459599286,0.00108951656147838,0.00110698735807091,0.00116974476259202,-9999,0.00136468245182186,0.000931573275011033,-9999,-9999,0.000730462255887687,0.000774558749981225,0.000801868562120944,0.000544660491868854,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000488849880639464,0.000738583214115351,-9999,-9999,-9999,0.00114557845517993,0.00074184755794704,0.000711818633135408,0.000985695165582001,0.0013585276901722,0.00185568700544536,0.0024791257455945,0.0033007231540978,0.0106552317738533,0.0573708452284336,0.0801724568009377,0.0845099687576294,0.0898981317877769,0.132909327745438,0.127246469259262,0.120426595211029,0.151267305016518,0.275606632232666,0.274260491132736,0.0684688538312912,0.0653051361441612,0.139122560620308,0.148279279470444,0.168848380446434,0.15841418504715,0.130711242556572,0.11842443048954,0.0996655598282814,0.0938741639256477,0.0625114589929581,0.0244820341467857,0.00765520567074418,0.00231581460684538,0.00156399630941451,0.00106909195892513,0.00108723784796894,0.0016411158721894,0.00243256078101695,0.00264071207493544,0.00282006547786295,0.00481255492195487,0.00302150193601847,0.00315288756974041,0.00222247443161905,0.00158552825450897,0.00115514337085187,0.000828479125630111,0.000580789230298251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
