"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"White shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.93095046244707E-07,6.68961433802906E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0045067691244185,0.00441194977611303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.27890364964856E-09,4.82806905566235E-09,5.73757752420079E-09,6.27543972342437E-09,-9999,-9999,-9999,-9999,-9999,0.195897802710533,0.0478520691394806,0.00507852341979742,0.00496913120150566,0.00505776237696409,0.00495373690500855,0.333938807249069,0.359914213418961,0.316681981086731,0.103576101362705,0.239249065518379,0.153425335884094,-9999,-9999,0.0645211935043335,0.0867964178323746,0.0273823775351048,0.0280549395829439,0.00319996476173401,0.0023353174328804,0.0016526454128325,0.00369599484838545,0.0721369311213493,0.0629828274250031,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4534520254017E-09,9.10319997160514E-09,5.41840421419693E-08,6.13773067925649E-08,6.75048710263582E-08,1.24418363611767E-07,7.24884898772871E-07,-9999,0.0050972169265151,0.265316367149353,0.191972196102142,0.289546400308609,0.265807062387466,0.208771139383316,0.0268710106611252,0.258183777332306,0.276576519012451,0.290942996740341,0.321980476379395,0.244530275464058,0.236926078796387,0.128811120986938,0.11904489248991,0.0659898668527603,0.0602005049586296,0.0802177786827087,0.0255919750779867,0.0289510246366262,0.00325161847285926,0.00367398653179407,0.00393546931445599,0.00394272385165095,0.0633759945631027,0.0610255189239979,0.0537357702851295,0.00180070428177714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.18318107825644E-09,6.12665829180514E-08,6.80053972246242E-07,7.25580662219727E-07,7.35461696876882E-07,7.37084917545872E-07,7.76649983436073E-07,7.6905814694328E-07,0.00515004154294729,0.166763544082642,0.193153589963913,0.220340967178345,0.0837398022413254,0.0478257387876511,0.064300537109375,0.138129934668541,0.174527615308762,0.285481452941895,0.31969752907753,0.232753545045853,0.209233328700066,0.116684556007385,0.0657055005431175,0.00344398058950901,0.00322547112591565,0.00295102735981345,0.0502533800899982,0.105756968259811,0.028282081708312,0.0823934748768806,0.0646722242236137,0.00414993660524487,0.00391147239133716,0.00328253605403006,0.00261495960876346,0.00125301873777062,0.000725108955521137,0.00193298072554171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.234368473291397,0.228808432817459,0.167813062667847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0461994856595993,-9999,-9999,-9999,0.0762878805398941,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.67688618452667E-07,7.73203908011055E-07,7.86065925240109E-07,-9999,7.95266146269569E-07,7.81606445343641E-07,0.00517396908253431,0.0808216482400894,0.246280550956726,0.262002319097519,0.182035878300667,0.18198835849762,0.126060009002686,0.300316959619522,0.321917921304703,0.257573992013931,0.231421411037445,0.130472868680954,0.0911839604377747,0.0205405615270138,0.00376574159599841,0.0037468490190804,0.00378912803716958,0.0652676299214363,0.139663949608803,0.00410399027168751,0.00452268309891224,0.00480261398479342,0.00477575417608023,0.00455222465097904,0.0122914779931307,0.0312826484441757,0.00503936503082514,0.00303313438780606,0.00249555823393166,0.00321979052387178,0.00530752073973417,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.152022913098335,0.18957556784153,0.117108590900898,0.120654314756393,0.162717968225479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0763830989599228,0.0671137347817421,-9999,-9999,0.133139401674271,0.124666593968868,-9999,-9999,0.0867669656872749,0.103096082806587,-9999,-9999,-9999,-9999,-9999,0.36358368396759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.88573458976316E-07,0.00532591203227639,0.0767184793949127,0.133853301405907,0.245540976524353,0.23257640004158,0.139376252889633,0.173958197236061,0.187535166740417,0.384275436401367,0.401131302118301,0.286343812942505,0.163041144609451,0.0616445876657963,0.0401754304766655,0.0217397212982178,0.0039868806488812,0.0102084819227457,0.0838374421000481,0.00668545719236135,0.00469284132122993,0.0033551836386323,0.00349130714312196,0.00355636095628142,0.00347970612347126,0.00334412977099419,0.00472697336226702,0.0138314766809344,0.00967430975288153,0.00399409560486674,0.00326494267210364,0.0047642276622355,0.00630056532099843,0.070327416062355,-9999,-9999,-9999,-9999,-9999,0.00756200170144439,0.0325065143406391,0.033429779112339,0.0494392924010754,0.0401535481214523,0.0978517681360245,0.133526593446732,0.202958673238754,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0240089502185583,0.0342354960739613,-9999,-9999,-9999,-9999,0.0721912682056427,0.0838826075196266,0.106619067490101,0.159993261098862,0.181368827819824,0.200551003217697,0.207457706332207,0.132577270269394,0.142871797084808,0.0668385028839111,-9999,0.0669111460447311,0.136897429823875,-9999,-9999,0.447051346302032,0.309880614280701,0.0729439258575439,0.00508186360821128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.411532878875732,0.190364465117455,-9999,-9999,-9999,0.39546936750412,0.425690352916718,0.402464628219604,0.295379638671875,0.234458193182945,0.132064014673233,0.183613538742065,0.24773508310318,0.357388734817505,0.330164760351181,0.225710481405258,0.127985432744026,0.0430926606059074,0.0286795794963837,0.004274214617908,0.00419647572562099,0.0139921307563782,0.00716106407344341,0.00499150203540921,0.00344506604596972,0.00238657742738724,0.00243331724777818,0.00245706690475345,0.00244320160709321,0.00237378501333296,0.00498923007398844,0.0128251612186432,0.0295645296573639,0.0200868099927902,0.00675224978476763,0.00745480787009001,0.00738928094506264,0.0970335602760315,0.137002751231194,0.165012761950493,0.00299359252676368,0.0406662225723267,0.0496559888124466,0.00599358230829239,0.0107056740671396,0.0171550884842873,0.0296198837459087,0.0396466515958309,0.035593818873167,0.0817390382289886,0.118431888520718,0.236427307128906,0.307429134845734,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
