"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Yellowfin tuna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000115851580630988,0.000115633229142986,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000155503264977597,0.000154527675476857,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.98790026945062E-05,9.772911289474E-05,0.000133182809804566,0.000182906878762878,-9999,-9999,-9999,-9999,-9999,0.000180391085450538,0.000239966349909082,0.000314188248012215,0.000282327499007806,0.000253477192018181,0.000227604599785991,0.000206200842512771,0.000193668834981509,0.000189048922038637,0.000193542844499461,0.000187967307283543,0.00017498672241345,-9999,-9999,0.000173331412952393,0.00016691473138053,0.000160349096404389,0.000156436464749277,0.000242952941334806,0.000298715312965214,0.000284877460217103,0.000289937888737768,0.00016544503159821,0.000167743157362565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.45363067835569E-05,0.000105252765933983,0.000143742421641946,0.00018998961604666,0.000239599583437666,0.00027554074767977,0.000334997981553897,-9999,0.000205321324756369,0.000246411538682878,0.000287575414404273,0.000349423498846591,0.000435381196439266,0.000382480007829145,0.000339373538736254,0.000301442778436467,0.000273409823421389,0.000255844614002854,0.000246754963882267,0.00024180491163861,0.000233228653087281,0.0002186895289924,0.00019543876987882,0.000178510555997491,0.000314985518343747,0.000638161960523576,0.00136488396674395,0.00242412555962801,0.0023930708412081,0.00257267826236784,0.00279846065677702,0.0030413237400353,0.00368140242062509,0.00238427938893437,0.0005813505849801,0.000291535427095369,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000111098139313981,0.000156727284775116,0.000212095677852631,0.000279852334642783,0.00034911377588287,0.000382351747248322,0.000382775790058076,0.00035980055690743,0.000354190997313708,0.000379924807930365,0.00042354833567515,0.000494116568006575,0.000708937644958496,0.000882187043316662,0.00108746392652392,0.00108186155557632,0.000936208758503199,0.00121496652718633,0.00142368406523019,0.00094945658929646,0.00091965461615473,0.000822041882202029,0.000932474620640278,0.00207404303364456,0.0025142056401819,0.00295305321924388,0.00400867778807878,0.00637529045343399,0.0156023800373077,0.012621283531189,0.00914095435291529,0.00856545194983482,0.00823935773223639,0.00696623418480158,0.00498023955151439,0.00319308321923018,0.00126467552036047,0.000280197651591152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000168874568771571,0.000253102683927864,0.000254624290391803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000217895401874557,-9999,-9999,-9999,0.000192719191545621,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000139181123813614,0.000192946070455946,0.000265073438640684,-9999,0.000175294277141802,0.000197689194465056,0.000219176246901043,0.000241607296629809,0.000269492476945743,0.000312327407300472,0.000374527648091316,0.000310070608975366,0.000740825664252043,0.00266361609101295,0.00407221214845777,0.0044302367605269,0.00458350405097008,0.00356964627280831,0.00308298831805587,0.00370532739907503,0.00462325988337398,0.00487970095127821,0.00482961256057024,0.00538890575990081,0.0107258325442672,0.0166211538016796,0.0165503062307835,0.0165586657822132,0.0167225040495396,0.0163752399384975,0.0154633317142725,0.0116311889141798,0.00719039235264063,0.00661012390628457,0.00357914413325489,0.00162965420167893,0.000322322972351685,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000236415464314632,0.000355793279595673,0.00036066782195121,0.00024408075842075,0.000246469309786335,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00019659374083858,0.000297793332720175,-9999,-9999,0.000266629474936053,0.00026865562540479,-9999,-9999,0.000268339528702199,0.000187931975233369,-9999,-9999,-9999,-9999,-9999,0.000113152556878049,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000198315479792655,0.000225712603423744,0.000120772092486732,0.000136514281621203,0.000157136251800694,0.000187278623343445,0.000225609604967758,0.000273871351964772,0.000509761390276253,0.00275064329616725,0.00699439598247409,0.00973006244748831,0.00955825950950384,0.00823291298002005,0.00731061259284616,0.00737701263278723,0.00769426021724939,0.00888246670365334,0.00828316062688828,0.0168154276907444,0.0167762413620949,0.0164486952126026,0.0162975136190653,0.0162174459546804,0.0162419136613607,0.0165099184960127,0.0169557258486748,0.0159916393458843,0.0110758636146784,0.0100562488660216,0.00690560834482312,0.00380394281819463,0.00137418182566762,0.000330417533405125,-9999,-9999,-9999,-9999,-9999,0.000297978229355067,0.000305280846077949,0.000318636535666883,0.000624108011834323,0.000524038798175752,0.00034286908339709,0.000350435642758384,0.000239165136008523,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000126336424727924,0.000124933823826723,-9999,-9999,-9999,-9999,0.000382727128453553,0.000263132649706677,0.000389323540730402,0.000369926216080785,0.000364543666364625,0.000362647027941421,0.000356239033862948,0.000568286748602986,0.000344260886777192,0.000357775832526386,-9999,0.000244776194449514,0.000246470415731892,-9999,-9999,0.000147317696246319,0.000155257701408118,0.000106795647297986,0.000108210515463725,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.72194372175727E-05,5.43063652003184E-05,-9999,-9999,-9999,0.000216660555452108,0.0001263078302145,0.000154039909830317,0.000189956248505041,0.000161541305715218,0.00019381070160307,0.000234092149185017,0.000613332260400057,0.00267683574929833,0.00910058151930571,0.0120031218975782,0.0122282253578305,0.0108552780002356,0.0108957560732961,0.011222206056118,0.0100864032283425,0.0107682747766376,0.0169257093220949,0.0170549415051937,0.0166049133986235,0.0163357108831406,0.0161627437919378,0.0160601772367954,0.0160215049982071,0.0161046609282494,0.0164069812744856,0.0160735864192247,0.0133695416152477,0.0113657163456082,0.00839961506426334,0.00476522836834192,0.00244972226209939,0.000370382214896381,0.000185582903213799,0.00014029408339411,0.000155858142534271,0.000252352852839977,0.000468881306005642,0.000825005350634456,0.0011020798701793,0.00129077129531652,0.00110368616878986,0.000998553587123752,0.000843596470076591,0.000589158502407372,0.000343387713655829,0.000238690947298892,0.000164679251611233,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
