"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Anchovy-silverside-killifish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.09701194981471E-10,1.79472103845058E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.19170722973672E-09,1.07558397743901E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.74815509643464E-15,1.46170900904019E-12,2.79656658074001E-12,5.76623818138167E-12,-9999,-9999,-9999,-9999,-9999,5.23830721022023E-08,2.77166334328172E-09,4.25701385253774E-09,8.88518858488396E-09,5.34681499075873E-09,3.96348154296788E-09,2.02267415261304E-06,2.2036510927137E-06,2.59993134932301E-06,9.34153376874747E-08,4.25141479354352E-06,1.53419455273252E-06,-9999,-9999,1.1269903552602E-06,2.54674591815274E-06,1.90925584320212E-06,1.60770696311374E-06,5.52306846657302E-06,7.11444454282173E-06,6.81402661939501E-06,6.45025284029543E-06,3.70042198483134E-06,1.059480382537E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.35328188895184E-15,1.52312938737215E-12,4.11464178701193E-12,9.51351931260946E-12,2.34341331062371E-11,7.3629727315172E-11,2.46226011801909E-10,-9999,2.43779330055816E-09,5.45664306628169E-07,4.46097487838415E-08,6.29191561074549E-07,6.48579180051456E-06,6.18910871708067E-06,1.03248227745212E-08,5.23377707395412E-07,8.03702641860582E-06,7.95786854723701E-06,6.23778396402486E-06,5.2916984714102E-06,5.65699156140909E-06,3.44226941706438E-06,3.9852416193753E-06,5.95899609834305E-06,8.98809594218619E-06,1.36152029881487E-05,1.31672186398646E-05,1.51721233123681E-05,1.53600558405742E-05,1.55321613419801E-05,1.58151378855109E-05,1.24873731692787E-05,1.11924891825765E-05,1.01969171737437E-05,5.31041541762534E-06,2.00566614694253E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.12599892517634E-12,3.59724251254578E-12,1.99574367448774E-11,4.72889678804211E-11,1.04520274379905E-10,2.51355380953555E-10,6.17435880201356E-10,1.30653454721852E-09,2.28945751246101E-09,1.34529642537018E-07,3.16669184030616E-06,7.21168362360913E-06,1.33482644741889E-05,1.99404694285477E-05,1.91492526937509E-05,2.93678076559445E-05,2.5028293748619E-05,2.37678395933472E-05,2.65956223302055E-05,2.70815453404794E-05,2.27769523917232E-05,2.55170125456061E-05,2.23613205889706E-05,2.39898072322831E-05,1.95880802493775E-05,1.58569200721104E-05,7.17173679731786E-06,6.50638548904681E-06,9.72872840065975E-08,1.93864980246872E-06,5.08222638018196E-06,6.3022371250554E-06,2.72008719548467E-06,6.45176851321594E-06,5.41019971933565E-06,3.78900949726813E-06,2.3862610305514E-06,8.70749488512956E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.08143074284817E-08,5.35039035298723E-08,4.81577799860133E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.54440055364103E-07,-9999,-9999,-9999,2.58493150795402E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.21954954415793E-11,3.98878569063399E-11,6.61358676157242E-11,-9999,7.99194377343326E-10,1.44214085118222E-09,2.49971887633649E-09,8.69758398636122E-09,1.42622991461394E-06,2.90508501166187E-06,8.52044740895508E-06,3.80694291379768E-06,2.4423970899079E-05,2.77154940704349E-05,3.19919527100865E-05,2.88778246613219E-05,3.12092415697407E-05,3.18278107442893E-05,2.80160784313921E-05,3.12110641971231E-05,2.00364411284681E-05,2.18564655369846E-05,1.71191350091249E-05,1.08212898339843E-05,4.14259238823433E-06,1.35799593792285E-09,5.73103009493536E-10,6.47852771429314E-10,1.41460656521986E-08,7.31979596935162E-08,1.01102351379723E-07,1.09438246909122E-06,1.85999135737802E-06,2.91250103146012E-06,3.91571620639297E-06,2.90637012767547E-06,9.5208156380977E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.00839998760239E-08,1.09490919442123E-07,6.29819894015782E-08,4.47420944738042E-08,4.83488733493687E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.25826249536476E-07,1.94946869669366E-06,-9999,-9999,1.98948646357167E-06,1.02383876310341E-06,-9999,-9999,1.13197677364951E-06,2.71844874077942E-06,-9999,-9999,-9999,-9999,-9999,6.04079630761589E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.49127110660174E-09,2.807473586941E-09,9.09142805483043E-09,1.55801842538494E-08,1.90402272437495E-06,2.6863865514315E-06,2.80042945632886E-06,2.50922994382563E-06,1.8264896425535E-05,2.67966061073821E-05,2.31411631830269E-05,1.35109130496858E-05,2.18006589420838E-05,3.00118808809202E-05,2.40949193539564E-05,1.86765155376634E-05,1.95855063793715E-05,9.00551094673574E-06,1.27515031635994E-05,8.70485905579699E-08,6.81452616557721E-10,2.30450103444468E-10,1.43929521079222E-10,4.7126086366589E-10,5.48866396776759E-10,1.90421056700529E-09,1.1278180167551E-08,8.37503506545545E-08,1.84483405973879E-06,1.37444146730559E-06,1.55303507654025E-06,2.56551288657647E-06,1.81280245215021E-06,7.72395026160666E-07,-9999,-9999,-9999,-9999,-9999,1.16324272880775E-07,1.121724864106E-07,1.51284012872566E-07,1.84669843861229E-07,1.50701680468046E-07,1.14280794605293E-07,8.50178452083128E-08,5.33858397488984E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04640073775408E-07,1.05344327039347E-07,-9999,-9999,-9999,-9999,7.05863556049735E-07,9.91305114439456E-07,2.09640887760543E-07,2.79187315754825E-06,7.12950267711676E-08,3.99438931708573E-06,4.20210290030809E-06,9.92993864201708E-06,4.38109555034316E-06,1.75354637121927E-06,-9999,2.18796981243941E-06,3.35380832439114E-06,-9999,-9999,2.60154729403439E-06,6.74043363346755E-08,4.03181443786593E-09,1.39018618838804E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.45777391935553E-07,1.43385925355233E-08,-9999,-9999,-9999,1.00920438228513E-07,2.01413968170527E-06,1.72107650087128E-06,8.62639751630923E-07,2.40006806961901E-06,3.28425767293083E-06,3.90394416172057E-06,2.28799344768049E-05,3.78282202291302E-05,1.18045427370816E-05,9.1761630756082E-06,1.67693033290561E-05,1.61390526045579E-05,1.94700805877801E-05,1.50088862937992E-05,1.45399690154591E-05,8.14440227259183E-06,8.6671903432034E-08,8.36732738651591E-10,1.95055874230299E-10,1.38378475345036E-10,7.95716201262842E-11,1.37495445584612E-10,1.45742529156223E-10,3.19325843545215E-10,4.3817621753206E-10,5.89099968806295E-08,5.61464560178138E-07,5.87978036037384E-07,1.09232871636777E-06,1.47867308442073E-06,1.61643015417212E-06,7.32523119495454E-07,1.0294497343466E-07,2.07009183128548E-08,5.66304503291093E-10,6.08568440085833E-09,1.86548660963126E-07,2.56715026125676E-07,2.60236930671454E-07,2.51281534247028E-07,2.38439525901413E-07,1.90498781194037E-07,1.51232455891659E-07,1.5849481371788E-07,7.80517410703396E-08,5.26328669536724E-08,4.9525702650044E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
