"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Atlantic sharpnose shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.91332214348949E-05,3.84031554858666E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.67002425668761E-05,5.59275867999531E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.67597920103435E-07,5.99741611040372E-07,8.60246643696883E-07,1.79965934421489E-06,-9999,-9999,-9999,-9999,-9999,0.000597232719883323,7.83016075729392E-05,5.81717831664719E-05,5.38922686246224E-05,3.50350055668969E-05,4.79558439110406E-05,0.00328945857472718,0.00369263696484268,0.00356335658580065,0.000194993423065171,0.00385366380214691,0.003055369714275,-9999,-9999,0.00254826690070331,0.00401296513155103,0.00293906056322157,0.00316830305382609,0.00623695971444249,0.00819429848343134,0.00844553671777248,0.00849284697324038,0.00713678076863289,0.00373598770238459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.93842356061214E-07,7.10235610767995E-07,1.53115320244979E-06,2.36518440033251E-06,4.30892214353662E-06,7.68706559028942E-06,2.11395890801214E-05,-9999,6.48475470370613E-05,0.00299889082089067,0.000499535235576332,0.00130076345521957,0.0054799378849566,0.00520446291193366,5.66770904697478E-05,0.00122119078878313,0.00524762691929936,0.00623049167916179,0.00607225811108947,0.00531461788341403,0.00543883582577109,0.00387878157198429,0.00417838897556067,0.00546303205192089,0.0072151250205934,0.00957963429391384,0.00795512180775404,0.00868402700871229,0.00853692926466465,0.00984351709485054,0.0106426291167736,0.0106049776077271,0.012569616548717,0.0113662555813789,0.00844078883528709,0.00379264657385647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.89143519139179E-07,1.66734855611139E-06,6.78198239256744E-06,1.0744570317911E-05,1.7061718608602E-05,2.29656325245742E-05,3.2238462154055E-05,4.4805772631662E-05,6.03459411649965E-05,0.00131499278359115,0.00418108375743032,0.00548176327720284,0.00812617968767881,0.00936112366616726,0.00980892684310675,0.0108271138742566,0.0106837768107653,0.0126191731542349,0.013776084408164,0.0125025967136025,0.0126128206029534,0.0108121633529663,0.00965859089046717,0.00801996793597937,0.00767184188589454,0.00701628113165498,0.0081753171980381,0.0108211562037468,0.0107847824692726,0.0127738667652011,0.0125834653154016,0.0101825054734945,0.0096556544303894,0.00851294677704573,0.00692592654377222,0.00548140751197934,0.00469343131408095,0.00372200179845095,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0063275434076786,0.00634069228544831,0.00581316277384758,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000403102254495025,-9999,-9999,-9999,0.000553584133740515,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.85300313105108E-06,8.54640802572249E-06,1.35330756165786E-05,-9999,2.95528425340308E-05,4.09476560889743E-05,3.85737075703219E-05,7.59793474571779E-05,0.00347035937011242,0.00533576030284166,0.00589638203382492,0.00405956665053964,0.00932309869676828,0.0125835966318846,0.0128847267478704,0.0123507967218757,0.0124257421121001,0.0108661018311977,0.0102214924991131,0.00851468462496996,0.00765500403940678,0.00798224005848169,0.00801780167967081,0.00997769739478827,0.0123026529327035,0.00878291670233011,0.00260895350947976,0.00639944756403565,0.00880068074911833,0.00954304169863462,0.0103160822764039,0.0105083184316754,0.00878437887877226,0.00790444388985634,0.00682788249105215,0.00575876235961914,0.004685137886554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00703889224678278,0.0104449754580855,0.00674569280818105,0.00553315225988626,0.00599201209843159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00033441252890043,0.000491390121169388,-9999,-9999,0.000428867730079219,0.000503935676533729,-9999,-9999,0.000436025380622596,0.000763618794735521,-9999,-9999,-9999,-9999,-9999,0.00021485990146175,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.08438536396716E-05,5.21623078384437E-05,6.61742669763044E-05,0.000131147608044557,0.00292323972098529,0.00307566951960325,0.00259310938417912,0.00259458972141147,0.00818727724254131,0.0131426034495234,0.0140115860849619,0.0126908235251904,0.0106984144076705,0.00871291942894459,0.00849665515124798,0.00815853103995323,0.00750830676406622,0.0082172779366374,0.011335052549839,0.0101562337949872,0.00407547550275922,7.36182046239264E-05,0.000153068482177332,0.00111941632349044,0.00546724582090974,0.00832025893032551,0.00862850993871689,0.0112715633586049,0.0102855628356338,0.00984243862330914,0.00861235987395048,0.00657416880130768,0.00695638824254274,0.00758537370711565,-9999,-9999,-9999,-9999,-9999,0.00589197222143412,0.00630495091900229,0.00971011724323034,0.0120515022426844,0.0116007989272475,0.0103008337318897,0.00826727505773306,0.00644633872434497,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000478861416922882,0.000676957773976028,-9999,-9999,-9999,-9999,0.000490864040330052,0.000509941135533154,0.000354245072230697,0.00103320740163326,0.000161935109645128,0.000891102477908134,0.00108106865081936,0.00125563330948353,0.000752883323002607,0.00040486449142918,-9999,0.000427702878369018,0.000612814503256232,-9999,-9999,0.00118615431711078,0.000230878024012782,1.53180590132251E-05,8.31389115774073E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000761895731557161,5.57137827854604E-05,-9999,-9999,-9999,0.000691314635332674,0.00300841778516769,0.00306739611551166,0.00295135611668229,0.00278730201534927,0.00236199493519962,0.00323294079862535,0.00955474656075239,0.0123721221461892,0.0124180512502789,0.0112578570842743,0.00988397095352411,0.00815213192254305,0.00801389198750257,0.00710328109562397,0.00733820954337716,0.0080530745908618,0.00910992454737425,0.000350798218278214,3.60492731488193E-06,3.34510127686372E-06,1.92463576240698E-05,8.90712399268523E-05,0.000540594570338726,0.00321466894820333,0.00820800568908453,0.0132910991087556,0.0117841046303511,0.0107815572991967,0.00931967422366142,0.00809702556580305,0.00795898772776127,0.00921943224966526,0.00317168585024774,0.000876554637216032,4.00456337956712E-05,0.000260318833170459,0.0086665777489543,0.0106905093416572,0.0125738214701414,0.013587704859674,0.0134543851017952,0.0142085840925574,0.0139232873916626,0.014484646730125,0.00756283896043897,0.00677874963730574,0.00728389481082559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
