"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Benthic coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00654396135360003,0.00648336205631495,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00818849448114634,0.00762254977598786,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00012312748003751,0.000163853750564158,0.00021959918376524,0.00134781643282622,-9999,-9999,-9999,-9999,-9999,0.0223999861627817,0.0225950665771961,0.0178310927003622,0.01565932482481,0.013538857921958,0.0135018797591329,0.0148448841646314,0.0139658804982901,0.012682949192822,0.00819992739707232,0.00972506403923035,0.00740464124828577,-9999,-9999,0.00319024687632918,0.00354924867860973,0.00261968094855547,0.00251723499968648,0.00210716086439788,0.00241012568585575,0.00263490783981979,0.00260689528658986,0.00274516572244465,0.00310967187397182,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00011294328578515,0.000158759808982722,0.000279627944109961,0.000407441199058667,0.00212980713695288,0.00307204481214285,0.00300711207091808,-9999,0.00902495998889208,0.0168061349540949,0.0167777463793755,0.0181484669446945,0.0147912846878171,0.0122834546491504,0.0100038396194577,0.0118395080789924,0.0109665701165795,0.00921965297311544,0.00899159163236618,0.00845319405198097,0.00762975448742509,0.00574541464447975,0.00402324600145221,0.00285154860466719,0.00220630317926407,0.00176072341855615,0.00129585375543684,0.00124886725097895,0.001028495375067,0.00110461108852178,0.00111301441211253,0.00106562115252018,0.00128587638027966,0.00117528857663274,0.000674608279950917,0.000412781781051308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00013776334526483,0.000248855008976534,0.000701667100656778,0.000984192010946572,0.00451442692428827,0.00511845806613564,0.00521711818873882,0.00769476080313325,0.00611242465674877,0.00986168812960386,0.0127155333757401,0.0143845183774829,0.00815467722713947,0.00588809186592698,0.00453578820452094,0.00471342261880636,0.0040324623696506,0.00405778270214796,0.00399723742157221,0.00407234719023108,0.00375513918697834,0.00299352896399796,0.00208764406852424,0.00165483448654413,0.00137799791991711,0.00110471597872674,0.000849300704430789,0.000940816185902804,0.000832556805107743,0.000950250308960676,0.000912738440092653,0.000866894784849137,0.00073635095031932,0.000741107622161508,0.000507326272781938,0.00038723018951714,0.000249011762207374,0.000322393752867356,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0145382462069392,0.0143144065514207,0.0121181989088655,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0001991766912397,-9999,-9999,-9999,0.000250153738306835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00127017847262323,0.00140037387609482,0.00494993943721056,-9999,0.00625131977722049,0.00788405630737543,0.00753335608169436,0.0104772709310055,0.0138556910678744,0.0139098567888141,0.00925544742494822,0.00701207527890801,0.00384138338267803,0.00335085089318454,0.00284062814898789,0.00262630940414965,0.00248132669366896,0.00242257118225098,0.00205570459365845,0.00185335660353303,0.00130431691650301,0.00119966617785394,0.000984651269391179,0.00093276344705373,0.000835698039736599,2.54186834354186E-05,5.68430323255598E-06,7.81577000452671E-06,0.000163187607540749,0.000541880843229592,0.000585903937462717,0.00061585393268615,0.000522990361787379,0.000501550734043121,0.000400169752538204,0.000347281456924975,0.000389683613320813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00790052954107523,0.0075857462361455,0.00723718665540218,0.010998860001564,0.0121258581057191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000305101915728301,0.000387597159715369,-9999,-9999,0.000576228019781411,0.000485301716253161,-9999,-9999,0.000336346216499805,0.000359975674655288,-9999,-9999,-9999,-9999,-9999,0.00493683246895671,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0117393182590604,0.00948782172054052,0.00894330162554979,0.00950718205422163,0.0119397081434727,0.0137775680050254,0.00936384871602058,0.00738721480593085,0.0034679954405874,0.00258585554547608,0.00203008577227592,0.00172120984643698,0.00154916651081294,0.00146178912837058,0.00129983865190297,0.0011863523395732,0.000981474644504488,0.000937858945690095,0.000938586832489818,0.000620369042735547,6.95806556905154E-06,4.05750370191527E-06,2.69525435214746E-06,3.34672472490638E-06,8.20536206447287E-06,3.79549455828965E-05,0.000125823993585072,0.000509203062392771,0.000520868343301117,0.000554885715246201,0.000519844354130328,0.000436650356277823,0.000478664878755808,0.000817001797258854,-9999,-9999,-9999,-9999,-9999,0.0033554108813405,0.00341963209211826,0.0037330852355808,0.00340677262283862,0.0058903144672513,0.00765819754451513,0.0102811641991138,0.0136109348386526,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000481387425679713,0.0045841415412724,-9999,-9999,-9999,-9999,0.00208118674345315,0.00271302182227373,0.00251004262827337,0.00262525747530162,0.00326706911437213,0.00303956703282893,0.00279180682264268,0.00145368208177388,0.00216297945007682,0.00139974302146584,-9999,0.000184079122846015,0.000555385369807482,-9999,-9999,0.00261908560059965,0.00280719297006726,0.00259608472697437,0.00380307179875672,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0051976777613163,0.00504038343206048,-9999,-9999,-9999,0.0128494389355183,0.0145310387015343,0.0143294269219041,0.0124324420467019,0.0101132774725556,0.00751445442438126,0.00549730658531189,0.00342562422156334,0.00221991492435336,0.00148846383672208,0.00123945926316082,0.00122441514395177,0.00103889266029,0.00104837107937783,0.000843050191178918,0.000734583474695683,0.000688784348312765,0.000582467357162386,5.06718015458318E-06,2.8289971396589E-06,2.64144682660117E-06,1.87576961252489E-06,1.99671785594546E-06,3.45104808729957E-06,6.61515377942123E-06,9.15457258088281E-06,0.000590226787608117,0.000563213601708412,0.000588192895520478,0.000578989391215146,0.000571329612284899,0.000597055943217129,0.00105236109811813,0.00188513635657728,0.00227569951675832,0.00173802382778376,0.00179889274295419,0.0016142250970006,0.00156359164975584,0.00153485301416367,0.00175901642069221,0.00159836129751056,0.00180718384217471,0.00267586717382073,0.0071712564677,0.0111802415922284,0.0150990523397923,0.0168679300695658,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
