"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Bluefin tuna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.97992482198606E-08,6.14565465184569E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05170613551309E-07,1.06640982266981E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36775618608809E-10,2.42531522642864E-10,4.20602025430483E-10,1.03789092875672E-08,-9999,-9999,-9999,-9999,-9999,1.16185312037942E-07,1.02631993570412E-07,8.78478871868538E-08,1.0986682497105E-07,9.98110891714532E-08,1.43563269716651E-07,5.23953076481121E-07,5.16524437443877E-07,5.22548191383976E-07,3.51347296145832E-07,4.96035113428661E-07,6.39819461412117E-07,-9999,-9999,1.26400550470862E-06,2.03326953851501E-06,1.83426811872778E-06,2.77798631032056E-06,2.8157121505501E-06,3.04010268337152E-06,3.14494900521822E-06,3.14675457957492E-06,2.04857292374072E-06,1.35540540213697E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3703997658876E-10,2.52329490635361E-10,5.04965680381275E-10,8.9513479961667E-10,1.76145267261063E-08,2.67729394209937E-08,4.20192769468031E-08,-9999,6.2022259328387E-08,1.77193939521203E-07,1.48951713185852E-07,2.47283935550513E-07,3.86606558322455E-07,5.5100730378399E-07,2.48136416303169E-07,7.08355685219431E-07,7.63978732720716E-07,7.54258678625774E-07,7.49556420487352E-07,7.35875346435932E-07,6.993017223067E-07,9.46009038216289E-07,9.00242412171792E-07,1.27786313441902E-06,1.83391591690452E-06,2.6093628093804E-06,2.6728580451163E-06,4.18975741922623E-06,3.97797248297138E-06,4.26262431574287E-06,4.35689480582369E-06,3.98076008423232E-06,3.09550819110882E-06,1.9373333088879E-06,9.50257515341946E-07,5.17453656811995E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.4239879548027E-10,5.0578957688785E-10,1.24188903605216E-09,2.16361217830752E-09,3.52717641760592E-08,5.15462659222976E-08,6.82665017848194E-08,9.88162298654061E-08,9.01208778714135E-08,2.11573933484033E-07,2.43506519836956E-07,3.84257873520255E-07,5.56596660317155E-07,7.93160154444195E-07,7.24201242974232E-07,1.10861265056883E-06,1.02374224297819E-06,9.97498091237503E-07,1.01523619377986E-06,1.01246439498937E-06,9.97345978248632E-07,1.38838072416547E-06,1.28335148019687E-06,1.9566080027289E-06,2.77572985396546E-06,4.22797575083678E-06,3.93711934520979E-06,6.88024056216818E-06,1.00313964139787E-05,9.42877159104683E-06,7.83268569648499E-06,7.90278954809764E-06,4.52416588814231E-06,2.97505675916909E-06,1.7794859559217E-06,1.02795729617355E-06,5.13268275881273E-07,3.2534404681428E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.6691393034971E-08,2.42397995009469E-08,1.51903911671525E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.40872149501092E-08,-9999,-9999,-9999,1.27306032382535E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05801134520078E-09,1.66139846324853E-09,2.6726038271363E-08,-9999,9.59820951607071E-08,1.4738701281658E-07,1.29475210997043E-07,2.1465825739142E-07,3.46275413676267E-07,5.43285466392263E-07,7.52080438815028E-07,1.002273506856E-06,9.70242126641097E-07,1.64186792517285E-06,1.4420476190935E-06,1.36554240270925E-06,1.45995386446884E-06,1.53976520778087E-06,1.44015143632714E-06,2.2066390101827E-06,2.27451573664439E-06,3.28217356582172E-06,4.25866755904281E-06,6.71890848025214E-06,8.30112639960134E-06,0.000162953045219183,0.00115096056833863,0.000450687686679885,5.87550130148884E-05,1.66114969033515E-05,8.70483017934021E-06,4.71545854452415E-06,2.68664030045329E-06,1.87849047961208E-06,1.01775810890103E-06,6.07916945227771E-07,5.33193940555066E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.6976161627299E-08,3.24668967266462E-08,1.99418561663833E-08,1.50619499095228E-08,1.03172714815969E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.56142147492255E-08,2.66172186513813E-08,-9999,-9999,3.04708152043531E-08,2.92159842985029E-08,-9999,-9999,2.41490258900967E-08,1.67465330491723E-08,-9999,-9999,-9999,-9999,-9999,7.57202229806353E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4904688327988E-07,2.03866548531551E-07,2.83832719105703E-07,3.21672473546641E-07,4.57511674767375E-07,7.16285398993932E-07,9.43161523991876E-07,1.33854882733431E-06,1.26054203519743E-06,1.97264625967364E-06,1.98722977984289E-06,2.04996808861324E-06,2.05896117222437E-06,2.22638664126862E-06,2.15975751416408E-06,3.31141086462594E-06,3.58588044946373E-06,5.54571079192101E-06,7.40007590138703E-06,2.39586079260334E-05,0.000813351303804666,0.00171965837944299,0.00150884757749736,0.001320481300354,0.000696210074238479,0.000128688901895657,5.05130592500791E-05,8.2341593952151E-06,4.22282664658269E-06,2.96368534691283E-06,1.84416910542495E-06,1.07692937945103E-06,9.65383947004739E-07,6.70492227072828E-07,-9999,-9999,-9999,-9999,-9999,1.38709026487049E-07,9.21098504136353E-08,6.54309246783669E-08,4.39490293047129E-08,3.38890693285521E-08,2.26629151001134E-08,1.56062220924014E-08,1.0802478911387E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.75990164055884E-08,4.70622332215953E-08,-9999,-9999,-9999,-9999,4.44327952209278E-08,7.31147764554407E-08,6.92719908101935E-08,7.6777027402386E-08,6.9734447549763E-08,7.71530039855861E-08,7.69270869227512E-08,6.59618564213815E-08,6.81471092889296E-08,5.47110481363688E-08,-9999,2.59131613944419E-08,4.36041105444929E-08,-9999,-9999,6.41569855019952E-08,9.3005134260693E-08,4.48505907968411E-08,6.38411279396678E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.43000647767622E-07,1.31871189523736E-07,-9999,-9999,-9999,6.27273550435348E-07,7.0249120653898E-07,6.98129383636115E-07,6.6644537355387E-07,9.20594004583108E-07,1.25684721297148E-06,1.80696554252791E-06,1.78039715592604E-06,2.67970722234168E-06,2.95026188723568E-06,3.11422468257661E-06,3.15547436002817E-06,3.22450819112419E-06,3.86442206945503E-06,5.55544329472468E-06,5.21313722856576E-06,7.79269339545863E-06,1.91229682968697E-05,0.00156112608965486,0.00173623394221067,0.00158576387912035,0.00161542417481542,0.00157246994785964,0.00147313857451081,0.000958482618443668,0.000256722036283463,1.39647045216407E-05,7.50931349102757E-06,5.15745477969176E-06,3.28178452946304E-06,1.8455191366229E-06,1.650572357903E-06,1.07138578187005E-06,7.48889760870952E-07,4.98715223784529E-07,1.00204026409756E-07,1.87081468538963E-07,2.62814950247048E-07,1.87655317063218E-07,1.27132267380148E-07,9.65999831237241E-08,5.84622448229766E-08,3.82404685694837E-08,2.78580731816191E-08,2.40282513885859E-08,1.58688813201024E-08,1.10799422969876E-08,7.54301954231096E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
