"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Coastal omnivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.98220387171023E-05,0.000133790686959401,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00019355550466571,0.000278977997368202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.31100772599035E-11,1.57011157547737E-11,1.7544769456701E-11,2.10965325209145E-08,-9999,-9999,-9999,-9999,-9999,0.00102094525936991,0.000514520099386573,0.000420942204073071,0.000381214631488547,0.000223124559852295,0.000306999689200893,0.0295575112104416,0.0549232549965382,0.0532967261970043,0.000289748713839799,0.0115073975175619,0.0265981592237949,-9999,-9999,0.0150453271344304,0.0169215463101864,0.0127203706651926,0.0129873538389802,0.011744424700737,0.0142199387773871,0.0157694574445486,0.0157391410320997,0.0159320961683989,0.0170602761209011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.29552696695456E-11,1.66110250554574E-11,2.50982359895069E-11,3.0759447072759E-11,3.39737660226547E-08,6.02313994022552E-05,0.000101552483101841,-9999,0.0004556767817121,0.0102549511939287,0.000520348956342787,0.00127731566317379,0.0176480058580637,0.0179028864949942,0.000302799860946834,0.00108797801658511,0.0474434830248356,0.0473471879959106,0.046298798173666,0.0402596108615398,0.0336674377322197,0.0243193451315165,0.0206329841166735,0.0155988596379757,0.0120728528127074,0.00936462637037039,0.00672751106321812,0.00635378435254097,0.00549737690016627,0.0061113853007555,0.00620601559057832,0.00586666213348508,0.00730287982150912,0.00705804210156202,0.00529602216556668,0.00361355487257242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51793213415408E-11,2.43231858265691E-11,5.68805662293226E-11,7.02673336183679E-11,9.28960580495186E-05,0.000131004824652337,0.000192013729247265,0.000309262512018904,0.000377338088583201,0.00097978301346302,0.0120228240266442,0.0382984802126884,0.0499428547918797,0.0440154671669006,0.0341291017830372,0.0307646542787552,0.0272807404398918,0.0237913858145475,0.0218205060809851,0.0220685768872499,0.0198074784129858,0.0157974380999804,0.0111819868907332,0.00841948483139277,0.00697550503537059,0.00568876508623362,0.00436613196507096,0.00485364068299532,0.00429390836507082,0.00502867624163628,0.00485952431336045,0.00460576498880982,0.0037113637663424,0.00394888687878847,0.00311037851497531,0.00282505829818547,0.00213927333243191,0.00283461809158325,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0511328764259815,0.0492718182504177,0.0405085161328316,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.67199197878654E-06,-9999,-9999,-9999,9.39031815505587E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.31681121141281E-11,9.56981438537952E-11,6.9437810452655E-05,-9999,0.00019628468726296,0.000297428836347535,0.000278728315606713,0.000448092119768262,0.0283069275319576,0.0472508706152439,0.0425792410969734,0.0383513979613781,0.0272698644548655,0.0205681659281254,0.0156948920339346,0.0136791821569204,0.0127236321568489,0.0131336478516459,0.011126252822578,0.00985014252364635,0.00717162201181054,0.00653864163905382,0.0051423255354166,0.00493411114439368,0.00436376826837659,0.000167676684213802,3.50312257069163E-05,5.18941014888696E-05,0.00106812943704426,0.0030327714048326,0.00293648615479469,0.00299117318354547,0.00271141598932445,0.00280591263435781,0.00259973667562008,0.00264249392785132,0.00320989545434713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0329299904406071,0.0330505445599556,0.0285693258047104,0.0403926819562912,0.0430050641298294,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.40703366216621E-06,2.15093677979894E-05,-9999,-9999,6.28158522886224E-05,8.14286177046597E-05,-9999,-9999,8.94619515747763E-05,0.000125649443361908,-9999,-9999,-9999,-9999,-9999,9.27774010506255E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000353183480910957,0.000461447081761435,0.000447628612164408,0.000420169642893597,0.0262825805693865,0.042714674025774,0.032972440123558,0.0316233262419701,0.0211068335920572,0.014301611110568,0.0105364676564932,0.00905043911188841,0.00804670993238688,0.00777202658355236,0.00703792832791805,0.00652038911357522,0.00550476694479585,0.0054422221146524,0.00522243650630116,0.00387363391928375,4.63350297650322E-05,2.52004738285905E-05,1.75090117409127E-05,2.23350307351211E-05,5.64319416298531E-05,0.000254221115028486,0.000738431233912706,0.00240978901274502,0.00239916006103158,0.00263747479766607,0.00273504108190536,0.00270714075304568,0.00320029119029641,0.00555924139916897,-9999,-9999,-9999,-9999,-9999,0.0209415126591921,0.0217677298933268,0.0230399072170258,0.0225395411252975,0.0350762419402599,0.0377158261835575,0.0423643924295902,0.0504276603460312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.27786479424685E-05,0.0204430781304836,-9999,-9999,-9999,-9999,0.00853031128644943,0.00939034018665552,0.00151062733493745,0.00551312370225787,0.000340828846674412,0.0088037857785821,0.0209406949579716,0.0108894072473049,0.0157970003783703,0.0102216564118862,-9999,4.82696123071946E-05,8.2909784396179E-05,-9999,-9999,5.47196941624861E-05,8.38705375372228E-07,4.80365656585491E-07,0.000278498802799731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39679718308616E-06,5.45609793789481E-07,-9999,-9999,-9999,0.000960849749390036,0.0359680615365505,0.0351048372685909,0.0344515927135944,0.0300155989825726,0.0244992598891258,0.022254591807723,0.0165522191673517,0.0105058467015624,0.00776790361851454,0.00673208385705948,0.0065643428824842,0.00570966256782413,0.00602479930967093,0.00481153186410666,0.00420164037495852,0.00399491237476468,0.00363203533925116,3.16248660965357E-05,1.75453969859518E-05,1.71415777003858E-05,1.25277410916169E-05,1.34492711367784E-05,2.31893918680726E-05,4.37902890553232E-05,5.95557066844776E-05,0.00289503019303083,0.00267662899568677,0.00284161418676376,0.00291863852180541,0.00315257254987955,0.00343018560670316,0.00622748862951994,0.00890088547021151,0.000299417006317526,7.995443593245E-05,0.000102642698038835,0.0116424802690744,0.0130425365641713,0.013266091234982,0.0151263019070029,0.0137674100697041,0.0150314727798104,0.019625211134553,0.0414048992097378,0.0463660359382629,0.0548148900270462,0.0580109693109989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
