"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Crab

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.361627340316772,0.340668737888336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.25443372130394,0.244377791881561,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000370000605471432,0.000956951931584626,0.00138698820956051,0.00176250957883894,-9999,-9999,-9999,-9999,-9999,0.239578038454056,0.219423592090607,0.228399366140366,0.224482819437981,0.243241056799889,0.191252216696739,0.137882977724075,0.104404911398888,0.111739672720432,0.153148218989372,0.152420610189438,0.12920880317688,-9999,-9999,0.0616717264056206,0.0397245697677135,0.0335648246109486,0.0429739914834499,0.0564765855669975,0.0775536596775055,0.0943509489297867,0.0958604067564011,0.0831241831183434,0.0642140060663223,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000419258052716032,0.00172150100115687,0.0106532722711563,0.0156285893172026,0.0221741888672113,0.0570139475166798,0.453239917755127,-9999,0.411851674318314,0.298769056797028,0.230868101119995,0.19530077278614,0.168527752161026,0.168860048055649,0.172301322221756,0.150739282369614,0.0998320206999779,0.0783031284809113,0.0798637419939041,0.0911117866635323,0.0947636589407921,0.097636342048645,0.0883137360215187,0.0667115598917007,0.04825434461236,0.0305791758000851,0.0208940654993057,0.0289571508765221,0.0477415919303894,0.074159286916256,0.0966174304485321,0.108251817524433,0.081104040145874,0.0459770932793617,0.0220211278647184,0.00985322333872318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00118691602256149,0.0120909241959453,0.262969225645065,0.340703517198563,0.390241950750351,0.405333310365677,0.507607817649841,0.485653251409531,0.46652764081955,0.347882091999054,0.232481092214584,0.159964039921761,0.119672045111656,0.108750224113464,0.098626121878624,0.0807874128222466,0.0720555633306503,0.0687172263860703,0.0637252703309059,0.0591340623795986,0.0623363815248013,0.0642069429159164,0.0634664818644524,0.0518765449523926,0.0447016544640064,0.0309463515877724,0.0271980930119753,0.0339717753231525,0.0438734665513039,0.0834591463208199,0.119584545493126,0.125071123242378,0.121370181441307,0.0671638026833534,0.0312205869704485,0.012873612344265,0.00853246357291937,0.0103679802268744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0863547995686531,0.0917114913463593,0.107434950768948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.51725971698761,-9999,-9999,-9999,0.455198109149933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.409283608198166,0.433713585138321,0.500114381313324,-9999,0.530814111232758,0.490771263837814,0.456892341375351,0.358422547578812,0.241199344396591,0.162674814462662,0.138928756117821,0.134936392307281,0.0911857634782791,0.0793208181858063,0.0914286151528358,0.0952705517411232,0.0839642584323883,0.0644299685955048,0.0649417266249657,0.0622143298387527,0.0597022175788879,0.062392994761467,0.0739497095346451,0.0659031942486763,0.0514500103890896,0.00162187393289059,0.000177672030986287,0.000386801199056208,0.0247871298342943,0.113853208720684,0.151917710900307,0.129437729716301,0.0880919694900513,0.054508950561285,0.02759850025177,0.0123283294960856,0.0149710392579436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0846770629286766,0.0832934603095055,0.103901937603951,0.111265771090984,0.116879232227802,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.419342249631882,0.419111460447311,-9999,-9999,0.370323807001114,0.365296691656113,-9999,-9999,0.324265837669373,0.331581056118011,-9999,-9999,-9999,-9999,-9999,0.296839892864227,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.454200804233551,0.444409430027008,0.416856110095978,0.348957598209381,0.253394246101379,0.196138739585876,0.187849029898643,0.166371181607246,0.106839500367641,0.0969829708337784,0.126550778746605,0.143086507916451,0.130509361624718,0.102380566298962,0.0939763113856316,0.0885180830955505,0.0813503563404083,0.0892287492752075,0.122321270406246,0.0543201379477978,0.000291113887215033,8.45687682158314E-05,5.85349298489746E-05,0.000130717919091694,0.000454873166745529,0.00519281858578324,0.0356622114777565,0.172449707984924,0.174820706248283,0.137912958860397,0.0688963979482651,0.0207261741161346,0.0169368479400873,0.0250153318047523,-9999,-9999,-9999,-9999,-9999,0.0992779433727264,0.101118117570877,0.0785295218229294,0.0764235705137253,0.0834138989448547,0.0937599465250969,0.0984308496117592,0.107793025672436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.335342973470688,0.307776480913162,-9999,-9999,-9999,-9999,0.337606638669968,0.334117919206619,0.323406249284744,0.259684801101685,0.26449778676033,0.275292962789536,0.252071768045425,0.209224581718445,0.218251630663872,0.285708457231522,-9999,0.44344824552536,0.412053287029266,-9999,-9999,0.310436844825745,0.35958406329155,0.422303110361099,0.531775057315826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.261678576469421,0.280497282743454,-9999,-9999,-9999,0.363282233476639,0.318857312202454,0.28175014257431,0.239210441708565,0.222838282585144,0.205816298723221,0.164786756038666,0.104740008711815,0.101870201528072,0.136629655957222,0.161446884274483,0.164092764258385,0.143657222390175,0.113933444023132,0.109802901744843,0.112535111606121,0.12347524613142,0.0806630700826645,7.56068984628655E-05,6.67049826006405E-05,8.18336993688717E-05,4.45318873971701E-05,4.39354589616414E-05,0.000105695638922043,0.000391468784073368,0.00130634685046971,0.160902410745621,0.187349766492844,0.142622023820877,0.0857654884457588,0.0368512943387032,0.0253454223275185,0.0275072697550058,0.033679723739624,0.0439889132976532,0.0511772111058235,0.0497677028179169,0.035267136991024,0.0497731454670429,0.0725900828838348,0.0671222507953644,0.0781389176845551,0.0955498963594437,0.0996261984109879,0.0851952359080315,0.0968658104538918,0.107302069664001,0.108382619917393,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
