"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Demersal coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00167682161554694,0.00166720349807292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00286855571903288,0.00284109986387193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.30413857490908E-08,1.76088459369339E-08,2.05314840684423E-08,6.23679596856164E-08,-9999,-9999,-9999,-9999,-9999,0.608081936836243,0.199615240097046,0.0330764502286911,0.0098649375140667,0.0030975453555584,0.00273846369236708,0.65957498550415,0.661985337734222,0.65704083442688,0.23898746073246,0.520847678184509,0.390401393175125,-9999,-9999,0.272109061479568,0.300971239805222,0.229304358363152,0.2385074198246,0.212146073579788,0.253264456987381,0.275312930345535,0.27130451798439,0.284466415643692,0.300477802753448,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.33945832203608E-08,2.08525836598028E-08,4.335850434245E-08,5.58926913640789E-08,1.48878044115008E-07,2.44464757770402E-07,0.00107329315505922,-9999,0.0181342884898186,0.596305131912231,0.428028464317322,0.580324292182922,0.677460551261902,0.626810371875763,0.0965410470962524,0.481230229139328,0.610456526279449,0.563414037227631,0.566384732723236,0.521690368652344,0.469290345907211,0.365743577480316,0.325513243675232,0.251530081033707,0.207577466964722,0.175277993083,0.111266329884529,0.0997136682271957,0.0872602164745331,0.0948121920228004,0.095479279756546,0.0938927233219147,0.104057177901268,0.111168064177036,0.0895408764481544,0.0554832145571709,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.82081354438424E-08,4.43506245062508E-08,2.23477684357931E-07,2.81333313978394E-07,5.16245961534878E-07,0.00119519280269742,0.00180393236223608,0.00273419031873345,0.00353116542100906,0.338109493255615,0.506416738033295,0.643232524394989,0.537570953369141,0.490508615970612,0.388042569160461,0.398239970207214,0.348955392837524,0.323424935340881,0.308044403791428,0.320250391960144,0.299305468797684,0.255663812160492,0.192166522145271,0.134733930230141,0.108951032161713,0.0770468190312386,0.052919790148735,0.0436813682317734,0.00454136496409774,0.0152228269726038,0.0319499634206295,0.0300190467387438,0.0300508961081505,0.0356358736753464,0.0335360653698444,0.0336374528706074,0.0335043705999851,0.0508676804602146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.677913010120392,0.660409808158875,0.563674569129944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0897717326879501,-9999,-9999,-9999,0.0972134843468666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.78555256475011E-07,3.86217152481549E-07,6.28112786671409E-07,-9999,0.00182195811066777,0.0027083542663604,0.00381384696811438,0.156840071082115,0.518602848052979,0.559097945690155,0.48494964838028,0.435411065816879,0.337813258171082,0.262508302927017,0.203999027609825,0.177326917648315,0.161270067095757,0.16182778775692,0.148985683917999,0.127922758460045,0.0785347670316696,0.0722578465938568,0.0609803050756454,0.0549184866249561,0.0220119897276163,0.000870450225193053,0.000473388790851459,0.000772896979469806,0.00100539298728108,0.00173210282810032,0.00420674169436097,0.013022780418396,0.02361567504704,0.0289430283010006,0.0384454764425755,0.045772559940815,0.0607899129390717,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.444803029298782,0.440984517335892,0.398228704929352,0.553794384002686,0.595012784004211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.123854547739029,0.141994535923004,-9999,-9999,0.194683626294136,0.172382906079292,-9999,-9999,0.124385707080364,0.138418659567833,-9999,-9999,-9999,-9999,-9999,0.353051900863647,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00294054835103452,0.00401257304474711,0.111460752785206,0.178648740053177,0.447414219379425,0.531172752380371,0.424078404903412,0.403999835252762,0.282731473445892,0.209758505225182,0.121199056506157,0.0807532668113708,0.0716770142316818,0.0717490985989571,0.0682533234357834,0.059392411261797,0.0446631796658039,0.0349220000207424,0.0422611571848392,0.00171882379800081,0.00064971181564033,0.000187328667379916,0.00019069155678153,0.000274851568974555,0.000524297705851495,0.000967779138591141,0.00089093972928822,0.00292702601291239,0.0127782598137856,0.0192980468273163,0.0300520565360785,0.0386366322636604,0.0617098435759544,0.11679968982935,-9999,-9999,-9999,-9999,-9999,0.309649229049683,0.315631926059723,0.293453484773636,0.276010930538177,0.419644355773926,0.472281336784363,0.553235769271851,0.675389349460602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.208096534013748,0.416079580783844,-9999,-9999,-9999,-9999,0.214328691363335,0.268385857343674,0.228368744254112,0.258233398199081,0.222889199852943,0.295688718557358,0.270541131496429,0.159346580505371,0.22426763176918,0.154205337166786,-9999,0.0818635076284409,0.18570214509964,-9999,-9999,0.328518480062485,0.265377849340439,0.0815530568361282,0.0102064674720168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.361805468797684,0.160483166575432,-9999,-9999,-9999,0.368467718362808,0.499231368303299,0.49838262796402,0.440741658210754,0.410349249839783,0.351515978574753,0.313484162092209,0.255805999040604,0.177081629633904,0.0706421285867691,0.0441307052969933,0.0418915413320065,0.0377683080732822,0.0361182577908039,0.0257155727595091,0.0254259239882231,0.0196703653782606,0.00191567174624652,0.000333119794959202,0.000196427397895604,0.000130725195049308,0.000136671849759296,0.000140916774398647,0.000168290760484524,0.000398360600229353,0.000909051741473377,0.00228825490921736,0.00773470383137465,0.0134237837046385,0.0238474030047655,0.0410762019455433,0.0615478865802288,0.133750855922699,0.199296399950981,0.190076410770416,0.00109636294655502,0.113187909126282,0.177158549427986,0.180074274539948,0.183867618441582,0.189254015684128,0.171503648161888,0.191001951694489,0.241902515292168,0.4869504570961,0.590290606021881,0.71806275844574,0.760236442089081,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
