"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Goliath grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.69592974797706E-07,1.45814726693061E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.46731792938226E-06,2.20765127778577E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.21151352838744E-10,1.3244606800189E-10,4.54279280859282E-09,9.30834929135926E-08,-9999,-9999,-9999,-9999,-9999,5.16700993102859E-07,6.42599673028599E-07,7.78325670580671E-07,1.06375239283807E-06,9.83069639914902E-07,8.97435540991864E-07,1.33824710246699E-06,1.93872142517648E-06,1.89605088962708E-06,2.09315976462676E-06,4.03597869080841E-06,4.925395387545E-06,-9999,-9999,4.13067482440965E-06,4.3400236791058E-06,5.53711061002105E-06,5.46327692063642E-06,7.48828006180702E-06,7.98710698290961E-06,8.88233989826404E-06,9.02145529835252E-06,8.26015093480237E-06,3.92082802136429E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.32725441748249E-10,1.63126290253501E-10,8.95126373023913E-09,1.34611957136599E-08,1.86093899401385E-07,3.0851890642225E-07,6.57216503441305E-07,-9999,9.96392714114336E-07,9.42871679399104E-07,7.2392339234284E-07,1.09450195395766E-06,1.91645608538238E-06,2.55980353358609E-06,1.41380098739319E-06,1.70608348071255E-06,2.11461656363099E-06,3.19936202686222E-06,3.03509705190663E-06,4.20494416175643E-06,5.75587637285935E-06,6.84415817886475E-06,5.62778814128251E-06,7.9015362643986E-06,7.90260310168378E-06,7.74092404753901E-06,1.76039520738414E-05,1.98264406208182E-05,1.9187147699995E-05,2.28314402193064E-05,2.5154156901408E-05,2.09402769542066E-05,2.51484107138822E-05,1.44704872582224E-05,6.52211292617721E-06,4.26442602474708E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5931124475177E-10,1.00918677858886E-08,4.20410799506499E-08,6.56047944858074E-08,5.37950768375595E-07,7.9020293242138E-07,1.13096450604644E-06,1.67352197877335E-06,1.52822565269162E-06,1.16281762529979E-06,1.36837547870527E-06,2.16527837437752E-06,3.31795718011563E-06,4.57103760709288E-06,4.10965321862022E-06,4.74157150165411E-06,3.93374966733973E-06,5.69360781810246E-06,6.17675596004119E-06,8.29272630653577E-06,1.14678459794959E-05,1.4409543837246E-05,1.34652500491939E-05,2.16435037145857E-05,1.8873406588682E-05,1.97377594304271E-05,3.70329144061543E-05,5.26094227097929E-05,4.54394430562388E-05,6.39960635453463E-05,5.11515245307237E-05,4.77623507322278E-05,3.20648468914442E-05,2.01532238861546E-05,1.69777613336919E-05,1.36069302243413E-05,5.48190564586548E-06,3.24164329867926E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.26789073976397E-07,4.24950712840655E-07,2.70069790531124E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.53693087870488E-07,-9999,-9999,-9999,1.5980013756689E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.74746527143088E-08,5.32022674804011E-08,4.14384885516483E-07,-9999,1.66654342592665E-06,2.53914481618267E-06,2.21743539441377E-06,1.46068305184599E-06,1.9664319097501E-06,3.40256747222156E-06,4.50778770755278E-06,4.73706631964887E-06,5.30883016836015E-06,8.26100040285382E-06,6.42301984044025E-06,8.64303547132295E-06,9.0813618953689E-06,1.35447889988427E-05,1.75977238541236E-05,2.55751838267315E-05,2.46790059463819E-05,4.15274625993334E-05,5.44545873708557E-05,7.62611816753633E-05,5.74470177525654E-05,1.43270835906151E-05,9.62303784035612E-06,1.10997525553103E-05,3.64395564247388E-05,8.8396220235154E-05,8.78623322932981E-05,7.18930386938155E-05,5.12826009071432E-05,2.78075203823391E-05,1.33894200189388E-05,1.02069816421135E-05,3.8002808651072E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.9063019004243E-07,6.95540450124099E-07,3.81921068992597E-07,2.50708040994141E-07,2.66930271664023E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.19686128843932E-07,3.37340424039212E-07,-9999,-9999,2.26188888063916E-07,2.33494134249668E-07,-9999,-9999,3.17693633178351E-07,2.48844742145593E-07,-9999,-9999,-9999,-9999,-9999,8.11661607258429E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.55624559031276E-06,3.45215630659368E-06,3.33342700287176E-06,2.05451988222194E-06,2.72967417913605E-06,4.10480288337567E-06,4.54878318123519E-06,5.53801555724931E-06,6.23645973973908E-06,9.55154155235505E-06,8.66516256792238E-06,1.17046638479223E-05,1.11626677608001E-05,1.69299564731773E-05,2.41241104959045E-05,3.52269016730133E-05,5.58158644707873E-05,6.91852037562057E-05,7.78547982918099E-05,5.65034242754336E-05,1.16795463327435E-05,3.99763712266576E-06,2.94255323751713E-06,3.7927143239358E-06,1.25318820209941E-05,1.41719920065952E-05,3.39549587806687E-05,8.93421747605316E-05,8.06552998255938E-05,8.1818870967254E-05,6.19539205217734E-05,2.25831972784363E-05,9.92594050330808E-06,4.9467616918264E-06,-9999,-9999,-9999,-9999,-9999,1.91296180673817E-06,1.31518925172713E-06,1.29513614410826E-06,9.46809223023592E-07,6.47889862648299E-07,4.37832767374857E-07,4.4536923837768E-07,2.76987975666998E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.43915258377092E-07,5.48301102298865E-07,-9999,-9999,-9999,-9999,1.13758505904116E-06,1.29546765492705E-06,1.67463281286473E-06,1.30667660869221E-06,1.05134961358999E-06,1.40625672884198E-06,1.59440537572664E-06,1.42245153256226E-06,1.29590648612066E-06,1.6628781622785E-06,-9999,4.18071408603282E-07,5.3346764161688E-07,-9999,-9999,1.056125370269E-06,9.9017722732242E-07,4.214969919758E-07,2.38163897847699E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4642403129983E-06,1.48942956457176E-06,-9999,-9999,-9999,5.61137449039961E-06,7.76342585595557E-06,4.79770233141608E-06,4.27593295171391E-06,5.35578556082328E-06,6.19155252934434E-06,8.08421646070201E-06,9.1449237515917E-06,1.31190745378262E-05,1.22103056128253E-05,1.56563928612741E-05,1.46773882079287E-05,9.93807589111384E-06,1.60444360517431E-05,2.21634800254833E-05,4.21010990976356E-05,5.03381124872249E-05,5.45641196367797E-05,7.46333262213739E-06,2.70759483100846E-06,1.4940004575692E-06,1.94369658856886E-06,2.1538130567933E-06,3.9775732147973E-06,5.77262062506634E-06,1.12060988612939E-05,0.000104231374280062,0.000136119750095531,0.000164499273523688,0.000180827351869084,9.04530679690652E-05,1.31843517010566E-05,5.41458166480879E-06,3.11982125822396E-06,3.1924678296491E-06,1.49795027937216E-06,2.00257704818796E-06,3.76045636585332E-06,3.02364173876413E-06,2.19330286199693E-06,2.36427081290458E-06,1.29373029267299E-06,8.34047853004449E-07,6.16241834450193E-07,7.09697417278221E-07,4.28817685360627E-07,3.16534226385556E-07,5.19636159879155E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
