"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Gray triggerfish"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000125356891658157,0.000182282106834464,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000176992631168105,0.00025528806145303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.9687587116124E-09,6.93499714543577E-07,1.10529879293608E-06,3.80527012566745E-06,-9999,-9999,-9999,-9999,-9999,0.00046471951645799,0.000484882650198415,0.000353555136825889,0.000313649245072156,0.000195052998606116,0.000249431788688526,0.000972475274465978,0.000927774992305785,0.000888217880856246,0.000306879926938564,0.0010312448721379,0.000343794992659241,-9999,-9999,0.000420792261138558,0.000663701328448951,0.000497978937346488,0.000743952230550349,0.00334421987645328,0.00444135954603553,0.00504644494503736,0.00577966356649995,0.00293301418423653,0.000588010414503515,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.01701166879786E-09,8.7745110022297E-07,2.3704751583864E-06,4.3235340854153E-06,1.26827380881878E-05,2.89005802187603E-05,9.42349288379773E-05,-9999,0.000401271623559296,0.00122793077025563,0.000581171072553843,0.00157310150098056,0.00350403552874923,0.00391199253499508,0.000271806464297697,0.00158296432346106,0.00267194421030581,0.00393323320895433,0.00342093547806144,0.00248172762803733,0.00227787555195391,0.00116580189205706,0.00130309502128512,0.00263968296349049,0.00545551534742117,0.00832595583051443,0.00908578000962734,0.0095223868265748,0.00961912330240011,0.0119714792817831,0.0132961506024003,0.0084190322086215,0.0147058740258217,0.0120365498587489,0.00805685482919216,0.00212021265178919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.14244777100248E-07,2.41346833718126E-06,1.61296065925853E-05,2.98815666610608E-05,6.32045484962873E-05,0.000101536861620843,0.000173106935108081,0.000274811085546389,0.000374537514289841,0.00099401269108057,0.00212906254455447,0.00331950536929071,0.0100721819326282,0.0153667228296399,0.0172835066914558,0.0221566688269377,0.0202383697032928,0.022266935557127,0.0269465297460556,0.0249764882028103,0.0218109115958214,0.0163985807448626,0.0129655916243792,0.012612946331501,0.00965377502143383,0.0107459705322981,0.00898471754044294,0.0130302701145411,0.0139443054795265,0.0201433636248112,0.0181977339088917,0.0169753208756447,0.0106792123988271,0.00899467524141073,0.00727247446775436,0.00503327185288072,0.00224972679279745,0.00111823878251016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000987651757895947,0.00092064804630354,0.000660120393149555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000337986624799669,-9999,-9999,-9999,0.000207479839446023,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.68680999195203E-05,2.60743308899691E-05,5.0621234549908E-05,-9999,0.000124695434351452,0.000183876807568595,0.000257070845691487,0.000474637636216357,0.00131532049272209,0.00294898264110088,0.00519142672419548,0.00303221680223942,0.0213854275643826,0.0301328059285879,0.0233900789171457,0.0187746305018663,0.0272406302392483,0.0347413383424282,0.0270719937980175,0.0236081890761852,0.0239242874085903,0.0198958050459623,0.0118019618093967,0.0145618719980121,0.0179443955421448,0.00274224067106843,6.65925908833742E-05,0.000182646108441986,0.00957834254950285,0.0127133065834641,0.00970266945660114,0.00871063210070133,0.00730530079454184,0.00741964718326926,0.00480248965322971,0.00333518674597144,0.00178510381374508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00321912905201316,0.00596384285017848,0.00105340441223234,0.000660610443446785,0.00072959455428645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000322782521834597,0.000524253759067506,-9999,-9999,0.000328798516420648,0.000328078167513013,-9999,-9999,0.000278330728178844,0.000729427149053663,-9999,-9999,-9999,-9999,-9999,0.000450877356342971,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000197785891941749,0.000266674847807735,0.000475122447824106,0.000483244482893497,0.00101680471561849,0.00112602952867746,0.00075398973422125,0.000944688450545073,0.00915141217410564,0.0181631278246641,0.019826378673315,0.0179493203759193,0.0169020406901836,0.0221104603260756,0.0202460736036301,0.0201778057962656,0.022884264588356,0.0211353804916143,0.0183618385344744,0.0194085780531168,9.36402939260006E-05,2.95251902571181E-05,1.688002521405E-05,4.60234405181836E-05,0.000116595649160445,0.00331214070320129,0.00497426185756922,0.00723795359954238,0.00628589000552893,0.00708727492019534,0.0066008223220706,0.00468824617564678,0.00375437876209617,0.00216063112020493,-9999,-9999,-9999,-9999,-9999,0.00219526397995651,0.00184752000495791,0.00861764699220657,0.0121742710471153,0.00632434990257025,0.00350716128014028,0.00210805633105338,0.000959342869464308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000522254384122789,0.00107219011988491,-9999,-9999,-9999,-9999,0.000584023131523281,0.000742160540539771,0.000984796788543463,0.00434565264731646,0.00160019018221647,0.00284557533450425,0.00282966950908303,0.00675070099532604,0.00262385467067361,0.000515362364239991,-9999,0.000274527294095606,0.000815343752037734,-9999,-9999,0.00308711244724691,0.000584791705477983,0.000273978104814887,0.000171021951246075,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000996592454612255,0.000476595887448639,-9999,-9999,-9999,0.00068386597558856,0.00141756341326982,0.00135519029572606,0.00116846256423742,0.000885910354554653,0.000918186793569475,0.00148916512262076,0.0140167213976383,0.0166530422866344,0.0180409960448742,0.0172219015657902,0.0158430151641369,0.0168965756893158,0.0262599736452103,0.0199299678206444,0.0184555947780609,0.016422426328063,0.0169069785624743,3.65265186701436E-05,2.01071215997217E-05,1.65789588209009E-05,1.21857692647609E-05,1.87240639206721E-05,2.57617375609698E-05,7.89490513852797E-05,0.00054130848729983,0.00988286919891834,0.00871109496802092,0.0106704588979483,0.00963526498526335,0.00706165656447411,0.00532975606620312,0.00352031760849059,0.000287755276076496,0.000138237868668512,6.19938364252448E-05,0.000107774372736458,0.0064815073274076,0.00931547116488218,0.0108155868947506,0.0188093986362219,0.0176202338188887,0.0117869796231389,0.00949426461011171,0.00888976640999317,0.00272713578306139,0.001076266518794,0.00113197264727205,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
