"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Inshore coastal piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0409346260130405,0.0460563227534294,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.059735756367445,0.0661857128143311,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0029754564166069,0.00398249551653862,0.00500447815284133,0.012241437099874,-9999,-9999,-9999,-9999,-9999,0.0746597424149513,0.0642927289009094,0.0559720173478127,0.0577064342796803,0.0492793656885624,0.0376465916633606,0.0610093250870705,0.0579624325037003,0.0667445063591003,0.0484767742455006,0.0852092951536179,0.0481235533952713,-9999,-9999,0.0207100957632065,0.0233647506684065,0.0206823162734509,0.0208518039435148,0.0285179447382689,0.0351634882390499,0.0381319150328636,0.038682509213686,0.032941322773695,0.0263901576399803,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00286567281000316,0.00416274648159742,0.00752517813816667,0.0103637725114822,0.0249219350516796,0.0378586165606976,0.0551796741783619,-9999,0.0710399746894836,0.0964160263538361,0.0646393895149231,0.0777489840984344,0.112053073942661,0.094636507332325,0.0391827896237373,0.0411045551300049,0.0714700073003769,0.0592794790863991,0.0556754879653454,0.0567260198295116,0.0570901483297348,0.042607057839632,0.0354528650641441,0.0305952448397875,0.0302903763949871,0.0331603437662125,0.0282248444855213,0.0232809167355299,0.0246377028524876,0.0260027851909399,0.0276573337614536,0.0222528986632824,0.0164390001446009,0.0232709404081106,0.0192570015788078,0.011239817366004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00359577941708267,0.00702777830883861,0.0213194265961647,0.0286922957748175,0.0582755021750927,0.0645146667957306,0.0737996473908424,0.0812661275267601,0.0674100890755653,0.0680353417992592,0.107913181185722,0.124472394585609,0.106928624212742,0.103920139372349,0.0772932693362236,0.0869847983121872,0.0684417858719826,0.059083130210638,0.0617858842015266,0.0682964846491814,0.0606894083321095,0.0625339820981026,0.0510739199817181,0.0389637872576714,0.0275727957487106,0.0167924854904413,0.00556857232004404,0.00138056592550129,9.92592395050451E-05,0.000142094417242333,0.000553758698515594,0.000801676884293556,0.00076633901335299,0.00165524880867451,0.00403103232383728,0.00651466706767678,0.00936428178101778,0.00798590574413538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0447665899991989,0.0451181009411812,0.0429086163640022,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0403878837823868,-9999,-9999,-9999,0.0783514901995659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.039858914911747,0.0426925607025623,0.0744897127151489,-9999,0.0818037688732147,0.0819472223520279,0.0712434053421021,0.0656382814049721,0.0878399834036827,0.0740320980548859,0.0861437991261482,0.049598652869463,0.0765373483300209,0.0505701415240765,0.0309720300137997,0.0242683831602335,0.0240170489996672,0.0322653241455555,0.0339091792702675,0.0282695852220058,0.0123783983290195,0.0108943022787571,0.00886685773730278,0.0041573946364224,0.00014506075240206,0.000101437937701121,5.91640382481273E-05,7.61534465709701E-05,0.000140935269882903,0.000135342415887862,0.000113585992949083,0.000102791775134392,0.000811596983112395,0.00148923019878566,0.00616462854668498,0.0105625931173563,0.00971668772399426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0374311953783035,0.0383257083594799,0.0363500900566578,0.0413278341293335,0.0440310351550579,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0325436443090439,0.0747239366173744,-9999,-9999,0.0679860487580299,0.0436726845800877,-9999,-9999,0.0428214259445667,0.0604358017444611,-9999,-9999,-9999,-9999,-9999,0.0515754483640194,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0932911485433578,0.0787784606218338,0.0749220699071884,0.0603138543665409,0.0964904949069023,0.0904250890016556,0.0684919133782387,0.0498034805059433,0.0592965893447399,0.0404687859117985,0.00650463066995144,0.00164783315267414,0.00216142553836107,0.00370359211228788,0.00484091835096478,0.00310253584757447,0.00245158420875669,0.000928983034100384,0.00118422252126038,0.000124362544738688,7.03193582012318E-05,3.99524651584215E-05,2.73784426099155E-05,3.95448005292565E-05,9.20602469705045E-05,0.000100745579402428,8.71121228556149E-05,7.45071010896936E-05,0.000109004839032423,0.000266458198893815,0.00101120444014668,0.00555222202092409,0.0119391847401857,0.0129920821636915,-9999,-9999,-9999,-9999,-9999,0.0275298245251179,0.0288228653371334,0.0314102582633495,0.0329991728067398,0.0377355292439461,0.0394019745290279,0.0425462052226067,0.0465945489704609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.037987794727087,0.0670591294765472,-9999,-9999,-9999,-9999,0.0498130731284618,0.0629968196153641,0.0401333011686802,0.0527674481272697,0.03148203343153,0.0670465752482414,0.0615351647138596,0.0680175945162773,0.0570505224168301,0.0524630770087242,-9999,0.0541835874319077,0.0713582634925842,-9999,-9999,0.0894843190908432,0.0436795279383659,0.0449516288936138,0.0687264502048492,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0420727282762527,0.0398075319826603,-9999,-9999,-9999,0.0731297805905342,0.124477379024029,0.101741828024387,0.0643569007515907,0.0768959745764732,0.0691880136728287,0.0462364181876183,0.062642402946949,0.0472123473882675,0.00135416549164802,0.000407767976867035,0.000506145239342004,0.000775931286625564,0.00080577190965414,0.000478443747851998,0.000655920011922717,0.000306656234897673,0.000124450874864124,4.98784975206945E-05,2.914345714089E-05,2.88452938548289E-05,2.12834656849736E-05,2.23995466512861E-05,4.00407043343876E-05,5.63961766602006E-05,6.3948638853617E-05,6.10939605394378E-05,7.93089784565382E-05,0.000102455116575584,0.000565849069971591,0.00379761517979205,0.0102823199704289,0.0147314891219139,0.0147645082324743,0.0151067990809679,0.011303374543786,0.0146317258477211,0.0185285061597824,0.0227702744305134,0.0253674071282148,0.0286859069019556,0.0287754982709885,0.0294545739889145,0.0318497307598591,0.0417174994945526,0.0449326895177364,0.0506725981831551,0.0538139380514622,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
