"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"King mackerel (1+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,3.72696049453225E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,-9999,-9999,-9999,-9999,4.24255740654189E-05,2.87723178189481E-05,0,1.86110373761039E-05,0,0,0.00750297261402011,0.00918411370366812,0.00891513098031282,4.72179999633227E-05,0.00616026297211647,0.00612177792936563,-9999,-9999,0.00207033311016858,0.00295291864313185,0.00210040900856256,0.00190525059588253,0.00351354200392962,0.00432350533083081,0.00504439836367965,0.00501155573874712,0.00351784471422434,0.00162002362776548,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,-9999,0.000155446643475443,0.0052753034979105,2.20136844291119E-05,0.000186341756489128,0.0137447761371732,0.0123772993683815,3.03433826047694E-05,3.4722044802038E-05,0.0136324521154165,0.017116891220212,0.013525603339076,0.012105698697269,0.0121598346158862,0.00822660513222218,0.00515169417485595,0.00526328338310122,0.00482024205848575,0.0046630552969873,0.00504391314461827,0.00397927407175303,0.00419279234483838,0.00513904308900237,0.0055869366042316,0.00525554222986102,0.00583972781896591,0.00437705032527447,0.00162444706074893,0.00094485393492505,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,3.40050137310755E-05,0.000289990392047912,0.013521340675652,0.0247214064002037,0.0396389849483967,0.0342896580696106,0.0265552494674921,0.0214856676757336,0.018330167979002,0.0148485600948334,0.0162821169942617,0.0148439519107342,0.0157757606357336,0.0124559262767434,0.00910383742302656,0.00736939953640103,0.00467428704723716,0.00404106406494975,0.00228836177848279,0.00293158367276192,0.00299284770153463,0.00248273625038564,0.0028926667291671,0.00259081833064556,0.00196847622282803,0.00236643967218697,0.00158108584582806,0.00154704879969358,0.0010418746387586,0.00066581933060661,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0127445682883263,0.0130129968747497,0.0115729821845889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.40975743206218E-05,-9999,-9999,-9999,0.00148554518818855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,-9999,0,0,2.23378974624211E-05,0.000107912259409204,0.0149258002638817,0.031587578356266,0.0327661074697971,0.0170668829232454,0.0213505588471889,0.0228892341256142,0.0131793292239308,0.0101040182635188,0.00986097753047943,0.0106678195297718,0.00794334802776575,0.00834956951439381,0.00647179782390594,0.00478969048708677,0.00270211417227983,0.00245948391966522,0.00155620684381574,0.000770481827203184,1.02145822893362E-05,0.000218723143916577,0.00068723747972399,0.00109406758565456,0.00102335610426962,0.000973782385699451,0.000807264645118266,0.000901725317817181,0.00128825090359896,0.00127698481082916,0.00101037276908755,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0151301268488169,0.0217786263674498,0.0151509717106819,0.0113573055714369,0.0114904558286071,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000112584391899873,0.000567409268114716,-9999,-9999,0.0008096614619717,0.0016639877576381,-9999,-9999,0.00133738026488572,0.00252545974217355,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.000125922771985643,3.64219231414609E-05,0.0152290603145957,0.0199845600873232,0.014409857802093,0.00969299953430891,0.0159186609089375,0.013179431669414,0.0072217071428895,0.0045079211704433,0.00383164780214429,0.00334618939086795,0.00330415461212397,0.00273517146706581,0.00290190288797021,0.00162722868844867,0.00181520497426391,0.000769553938880563,1.21428038255544E-05,0,0,0,2.32949441851815E-05,0.000381436839234084,0.000226026852033101,0.000387608481105417,0.000341965584084392,0.000610992661677301,0.00137720187194645,0.00219055940397084,0.00186194072011858,0.00199600355699658,-9999,-9999,-9999,-9999,-9999,0.00867108162492514,0.00922827981412411,0.0208867192268372,0.0248661413788795,0.0294555053114891,0.0255866646766663,0.0218230858445168,0.0132860997691751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00119119859300554,0.0145227061584592,-9999,-9999,-9999,-9999,0.00668690539896488,0.00699632102623582,0.00116189895197749,0.00741008529439569,0.000326512148603797,0.0116381831467152,0.0235817655920982,0.021721925586462,0.0156227890402079,0.00810132082551718,-9999,0.00125790212769061,0.0018763035768643,-9999,-9999,0.00226524542085826,5.63795874768402E-05,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15738616336603E-05,0,-9999,-9999,-9999,0.000136154805659316,0.0224822573363781,0.022544989362359,0.0208728443831205,0.0173064973205328,0.0124645438045263,0.0113795828074217,0.0155255403369665,0.0117128975689411,0.00507280835881829,0.0022217168007046,0.00127129885368049,0.00136480084620416,0.00142147438600659,0.000982508528977633,0.000841660075820982,0.000539917498826981,0.000567632378078997,0,0,0,0,0,0,0,2.76348837360274E-05,0.000129406922496855,0.000299617095151916,0.000525576353538781,0.000911562645342201,0.00163139402866364,0.0022316905669868,0.00197694543749094,0.000885124900378287,0,0,0,0.00631432188674808,0.0116942245513201,0.0144225489348173,0.0230707842856646,0.0221793595701456,0.0227622259408236,0.0294695813208818,0.0349019654095173,0.0191563162952662,0.0175597667694092,0.0168859753757715,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
