"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Large coastal sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.14649592939531E-06,1.23670497487183E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92348743439652E-05,2.81476641248446E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.51879414495215E-09,5.60915891512082E-09,8.25459345321633E-09,1.64175185091153E-06,-9999,-9999,-9999,-9999,-9999,3.43853462254629E-05,3.17054291372187E-05,4.02149271394592E-05,3.82480902771931E-05,2.31299763981951E-05,3.29425602103584E-05,0.000282619846984744,0.000350350717781112,0.000348985515302047,3.22367668559309E-05,0.000236236839555204,0.000248641619691625,-9999,-9999,0.000177578564034775,0.000259038526564837,0.000211528647923842,0.00020477338694036,0.000388552463846281,0.000513912120368332,0.000502949580550194,0.000501298345625401,0.00034683124977164,0.000206565280677751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.65583385786294E-09,6.15387696356606E-09,1.12048059719427E-08,1.72979355284042E-08,2.88776959678216E-06,4.41618158220081E-06,6.55268058835645E-06,-9999,3.63828148692846E-05,0.00019782931485679,4.57041605841368E-05,4.83888979943004E-05,0.000421093602199107,0.000415246700868011,3.31701994582545E-05,3.97201147279702E-05,0.00050159078091383,0.00055772764608264,0.000508907542098314,0.000446628837380558,0.000417992385337129,0.000302105356240645,0.00029489365988411,0.000376438052626327,0.000519820430781692,0.000961907266173512,0.00156273681204766,0.00199983920902014,0.00194085820112377,0.0020816377364099,0.00213517900556326,0.00185938505455852,0.00224376004189253,0.00188190094195306,0.0006871119257994,0.000284451409243047,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.01754912565866E-09,1.16512364201071E-08,2.80521295081826E-08,4.39756249193124E-08,6.38689425613848E-06,8.76588364917552E-06,1.16869723569835E-05,1.7900914826896E-05,2.09881927730748E-05,3.95507158827968E-05,0.000315335637424141,0.000572108430787921,0.00107206939719617,0.00148949422873557,0.00178070948459208,0.0020842244848609,0.00169586075935513,0.00199114112183452,0.00235294946469367,0.00181870895903558,0.00168563215993345,0.00146756751928478,0.00136971822939813,0.00208591856062412,0.0020268727093935,0.00207058107480407,0.00178939139004797,0.00211713183671236,0.00198010541498661,0.00225461111404002,0.00224876566790044,0.00228771055117249,0.00172301765996963,0.00187918462324888,0.00168739852961153,0.00145441363565624,0.000783647643402219,0.00024254439631477,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000342257582815364,0.000340345868607983,0.000310053495923057,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.40229177911533E-06,-9999,-9999,-9999,3.61601887561847E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.51313387877872E-08,3.63104568634753E-08,4.77333242088207E-06,-9999,1.13946434794343E-05,1.70816456375178E-05,2.32587517530192E-05,3.76934658561368E-05,0.000341109378496185,0.000535786966793239,0.000645221502054483,0.000422168610384688,0.00142798805609345,0.00318597466684878,0.00340342009440064,0.00317399203777313,0.00330506335012615,0.0033344158437103,0.00286990008316934,0.00292976782657206,0.00273822993040085,0.00277799624018371,0.00229725614190102,0.00215577008202672,0.00211970997042954,0.00176768051460385,0.000989313120953739,0.00134445040021092,0.00202623102813959,0.0020058574154973,0.00169546820688993,0.00157876114826649,0.00149583187885582,0.00153188745025545,0.00133094727061689,0.00100530160125345,0.000294381199637428,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000358707999112085,0.000489353726152331,0.00033181143226102,0.000307009584503248,0.000318295060424134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.84768952951708E-06,1.53420678543625E-05,-9999,-9999,1.92461229744367E-05,1.66704321600264E-05,-9999,-9999,2.01721686607925E-05,4.35671317973174E-05,-9999,-9999,-9999,-9999,-9999,5.06344690620608E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.03392064577201E-05,2.61238292296184E-05,3.74526243831497E-05,3.5943874536315E-05,0.000309587805531919,0.000360686739441007,0.000302302010823041,0.000285285233985633,0.000902853382285684,0.00280956854112446,0.00311291101388633,0.00280178454704583,0.00289676757529378,0.00315008196048439,0.00287344120442867,0.00269503239542246,0.00274544209241867,0.00268161040730774,0.00249595521017909,0.00245798262767494,0.00127150991465896,0.000622722378466278,0.000573026365600526,0.000717170129064471,0.00129712361376733,0.00175418530125171,0.00149347586557269,0.00146634306292981,0.00140473211649805,0.00145106902346015,0.00144008360803127,0.00133820460177958,0.000915874494239688,0.000365448300726712,-9999,-9999,-9999,-9999,-9999,0.000325102650094777,0.000332578056259081,0.000551330274902284,0.000720351526979357,0.000683139893226326,0.000533530896063894,0.000423400080762804,0.000341328763170168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.15933697897708E-06,0.000340027821948752,-9999,-9999,-9999,-9999,0.000227667260332964,0.000246241281274706,9.27854853216559E-05,0.000365450192475691,3.92202018701937E-05,0.000386359490221366,0.000581116473767906,0.000714081805199385,0.00043769326293841,0.000251332414336503,-9999,2.4568860681029E-05,3.11232652165927E-05,-9999,-9999,3.2446001569042E-05,7.2700856890151E-07,2.73277379392312E-07,1.61295702127973E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.09278550755698E-06,4.97106384500512E-07,-9999,-9999,-9999,4.34839130321052E-05,0.000380070938263088,0.00036189763341099,0.000329904287355021,0.000307692534988746,0.000269953190581873,0.000310600269585848,0.00114518869668245,0.00284130033105612,0.00269711809232831,0.00256208446808159,0.00268844375386834,0.00263072922825813,0.00296592828817666,0.00261148274876177,0.0024675705935806,0.00231559597887099,0.00230656540952623,0.000773693551309407,0.000582697452045977,0.000515192630700767,0.000536123407073319,0.000561480992473662,0.000669811386615038,0.000904004438780248,0.00131303339730948,0.00156133994460106,0.00152466504368931,0.00161035405471921,0.00160380220040679,0.00148601003456861,0.00125820166431367,0.000433003093348816,0.000148916587932035,1.93906471395167E-05,9.59000590228243E-06,1.84805485332618E-05,0.000495745101943612,0.000842091394588351,0.00105006259400398,0.00132667017169297,0.00109513092320412,0.00102960481308401,0.000899058708455414,0.000836603518109769,0.000405039201723412,0.000353643030393869,0.000363740982720628,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
