"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Large oceanic sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.53873846997499E-09,1.58463819843746E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.78223333260996E-09,2.82846723820285E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.31891020274766E-10,-9999,-9999,-9999,-9999,-9999,1.08103059837106E-09,1.08057340852952E-09,1.46806355960649E-09,2.07401695817566E-09,2.90880852737985E-09,2.81403633728416E-09,3.16133452749057E-09,4.62113636245931E-09,4.57789406382858E-09,4.0096042042137E-09,4.64539207101211E-09,3.82399933940292E-09,-9999,-9999,5.93279914085088E-09,1.04322124272471E-08,1.43807827868159E-08,2.10323332083817E-08,2.93040915977372E-08,3.12524726098218E-08,3.32235856603802E-08,2.25787069041417E-08,1.99388576760384E-08,9.77403225022044E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,4.06091882343418E-10,6.47401632303257E-10,1.06612962902375E-09,-9999,1.59584867542861E-09,1.86773130295137E-09,1.62141378101666E-09,1.73630332334085E-09,3.0852642662893E-09,4.3631733781524E-09,4.61943061580428E-09,4.90390572593924E-09,5.81509906893984E-09,9.12968722843743E-09,8.58870397024702E-09,8.12212963552383E-09,7.60143503697464E-09,6.32441388148663E-09,8.43910541448167E-09,9.04561670012072E-09,1.42494203103638E-08,2.22402896099538E-08,5.11695184002292E-08,8.82214123976155E-08,8.5235342339729E-08,9.75616671894386E-08,1.03745108503972E-07,5.65443443178992E-08,7.05650151644477E-08,4.13164400470123E-08,1.46836258707594E-08,7.26864568534324E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,8.53948245449487E-10,1.31269162206848E-09,1.815808503558E-09,2.72202438367231E-09,2.51099141479472E-09,2.54826826306953E-09,3.02564950871442E-09,3.41429018391182E-09,6.02807892491342E-09,9.03663277540545E-09,1.29020127914714E-08,1.584595743509E-08,1.38791680370787E-08,2.06163619509425E-08,2.2617747674758E-08,2.063114479256E-08,1.93278513194173E-08,1.67768146042135E-08,2.39142075031396E-08,2.79051324270085E-08,3.80409339584276E-08,6.40618154079675E-08,8.69146603577065E-08,1.55740124796466E-07,1.91425286288904E-07,1.9839998799398E-07,1.68334267414139E-07,1.17017002310149E-07,9.36203647938783E-08,6.75261588867215E-08,4.05583442386614E-08,2.24390301895028E-08,9.2585068500739E-09,4.11986933457342E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.87492590897342E-10,1.26692434321285E-10,8.00226829245076E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,6.32583430082434E-10,-9999,2.67148325683308E-09,4.18415613268053E-09,3.65072150287915E-09,3.3877751715039E-09,4.17908063710115E-09,5.28340793337634E-09,7.89468490580703E-09,8.75417160983716E-09,1.79329866512035E-08,3.12431893689791E-08,2.57467345221585E-08,3.48899824587079E-08,3.92554859729444E-08,4.18812362568133E-08,3.66737111789917E-08,3.71170578716828E-08,5.79685455193157E-08,5.50721992453873E-08,6.58055441249417E-08,1.03915724025683E-07,1.69802774507843E-07,1.59495675688959E-06,1.16823575808667E-05,4.14258875025553E-06,6.24927622538962E-07,1.89110664905456E-07,1.66036386417545E-07,9.16685749530188E-08,5.84727111174743E-08,4.12895175827543E-08,2.12612061289974E-08,1.11497735488797E-08,6.7934893266397E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.08586545205713E-10,2.45066605897293E-10,1.28795349385591E-10,7.9261271157538E-11,5.44082591480421E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.22107104824931E-09,5.81291770274106E-09,5.18974818675133E-09,4.77587525082868E-09,5.75973091443416E-09,6.04526606551303E-09,7.27603577388436E-09,9.74315117474589E-09,2.10060573380133E-08,3.44352706349582E-08,3.50400277682184E-08,5.01960037979643E-08,5.01770287542058E-08,5.67701903264606E-08,5.45975815668953E-08,5.42071099118857E-08,8.83263595596873E-08,8.73905179332723E-08,1.11136934322076E-07,2.18360128201311E-07,8.29901364340913E-06,1.40646097861463E-05,1.0235034096695E-05,1.03854154076544E-05,6.94313303029048E-06,1.18770992685313E-06,4.4418965217119E-07,1.39375927687979E-07,7.87378766631264E-08,5.93934998960322E-08,3.94944663639762E-08,2.2191487758505E-08,1.57317447957439E-08,7.52497175682265E-09,-9999,-9999,-9999,-9999,-9999,8.45004455296561E-10,5.75838432492759E-10,5.68584623827917E-10,4.16155748750313E-10,2.65698879564624E-10,1.62721544572086E-10,1.00267849578728E-10,5.74237393746735E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,8.32214075430215E-10,-9999,-9999,-9999,-9999,9.19873455185183E-10,9.87208648162152E-10,1.36593680810648E-09,1.20066057096579E-09,1.02849784244796E-09,1.21802723462849E-09,1.39533529175395E-09,1.43737632907204E-09,1.18672327520386E-09,8.83096540338357E-10,-9999,0,0,-9999,-9999,0,0,0,1.61720437041879E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,7.942744240097E-09,1.01399182383943E-08,9.7443688673593E-09,9.06184016713496E-09,8.10633782322157E-09,1.02353432396285E-08,1.55537716040044E-08,3.17110711023361E-08,4.7652505941187E-08,5.03912289673281E-08,7.09041501067986E-08,6.87161616497178E-08,7.32806597625313E-08,9.08036312807781E-08,8.40471088281447E-08,1.12741652458226E-07,1.06614784556314E-07,1.92838811585716E-07,1.38395680551184E-05,1.28635565488366E-05,9.93789308267878E-06,1.09465754576377E-05,1.07652731458074E-05,1.14000340545317E-05,8.22631682240171E-06,2.0622978809115E-06,1.42140379466582E-07,9.27025354258149E-08,7.15508434723233E-08,4.8705302901908E-08,4.0612370355575E-08,3.07797733967163E-08,1.2000857196881E-08,5.5602908943797E-09,3.73638675554844E-09,2.23407070620851E-09,1.68958469437541E-09,2.06882577735712E-09,1.6364606336694E-09,1.17198972748866E-09,1.21865695312806E-09,6.83115231048248E-10,4.06457201229671E-10,2.76046047131828E-10,1.92040633395507E-10,9.72891142647647E-11,6.18449388922748E-11,4.18773106469761E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
