"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Mobile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.59792308460783E-08,7.95541481579676E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.20791462072157E-08,6.90170836037396E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.51387118305914E-17,1.1771795391496E-14,1.22718726321266E-14,1.19091587245522E-14,-9999,-9999,-9999,-9999,-9999,1.34513186367258E-07,1.04007014556373E-07,8.70082530468608E-08,7.8866506214581E-08,8.13695848478346E-08,7.21785724522306E-08,0.0166446287184954,0.0456523559987545,0.0397196300327778,7.90267193906402E-08,0.00683911703526974,0.0421909168362617,-9999,-9999,0.0327578783035278,0.0291466917842627,0.0210662111639977,0.0273216217756271,0.0280570965260267,0.0336147584021091,0.038759957998991,0.0363898240029812,0.0374811477959156,0.0337677597999573,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.28671496291805E-17,3.26855818073239E-14,2.45674574433918E-11,2.77695366701636E-11,2.97434542273489E-11,1.00195005070525E-10,1.06230004348618E-07,-9999,1.05623769286467E-07,0.00611654669046402,1.19542420407015E-07,1.21020775623037E-07,0.00524261780083179,0.00457269232720137,7.44594501611573E-08,9.99386244870948E-08,0.0269310530275106,0.0287338718771935,0.0326655171811581,0.0347495675086975,0.0416016466915607,0.0387395136058331,0.0352585427463055,0.0284103937447071,0.0239540822803974,0.0206650458276272,0.015631839632988,0.020911181345582,0.0259887352585793,0.0334193035960197,0.0377834551036358,0.037044882774353,0.034459475427866,0.0229341965168715,0.0130802495405078,0.00557716190814972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.74985317848066E-14,3.02990063594244E-11,9.12655337970136E-08,1.01223427861896E-07,1.03736702783408E-07,1.05414983408991E-07,1.14542984874788E-07,1.10958751520229E-07,1.07855647968336E-07,1.31687784232781E-07,0.00853043794631958,0.018856406211853,0.0150553304702044,0.0119307963177562,0.0113656120374799,0.01451410446316,0.0163460746407509,0.0247658118605614,0.0303493849933147,0.0292755253612995,0.0315058045089245,0.028088690713048,0.0268212165683508,0.0244751684367657,0.0236736908555031,0.0199459921568632,0.0218074917793274,0.0306467823684216,0.0262663289904594,0.0449801087379456,0.0525609329342842,0.0459388308227062,0.0430308766663074,0.0278921034187078,0.0146184740588069,0.00596861215308309,0.00376175227575004,0.00783306360244751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0714052766561508,0.0757545232772827,0.0754164010286331,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00146266201045364,-9999,-9999,-9999,0.0147272320464253,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.11395692670158E-07,1.13745969088086E-07,1.15986772186716E-07,-9999,1.18968145557119E-07,1.13389994282898E-07,1.07904412516291E-07,1.1872473493213E-07,0.0312563888728619,0.0426553003489971,0.029717618599534,0.0275220070034266,0.0148523645475507,0.0232407879084349,0.0345791392028332,0.0427675880491734,0.0468131117522717,0.0401941500604153,0.0385161377489567,0.0335956737399101,0.0308731310069561,0.034598033875227,0.0380780734121799,0.0409389100968838,0.0408042185008526,0.00123252056073397,1.17245839703628E-08,2.69796984753157E-08,0.00742074521258473,0.0291666630655527,0.04091552272439,0.0427499487996101,0.0331231020390987,0.0243891030550003,0.0143581246957183,0.00662706326693296,0.00941022485494614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0545644052326679,0.0490873046219349,0.058787927031517,0.0734487846493721,0.0817666947841644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1317371217956E-07,0.0020375766325742,-9999,-9999,0.00495340209454298,0.0183163676410913,-9999,-9999,0.0165413357317448,0.0134295793250203,-9999,-9999,-9999,-9999,-9999,1.52798619978967E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.12198172530498E-07,1.1181735004584E-07,1.2584331443577E-07,1.23581571642717E-07,0.0438985452055931,0.0673178732395172,0.0538977794349194,0.0433600097894669,0.0203063692897558,0.0311664491891861,0.0504297278821468,0.0543493255972862,0.0500932633876801,0.0431914776563644,0.043812595307827,0.0421712622046471,0.0389814712107182,0.0432376377284527,0.0590861849486828,0.0236915703862906,1.92456717229561E-08,1.90679028122531E-09,1.77237935439223E-09,6.84783252324905E-09,2.42154687413176E-08,0.00196753605268896,0.00788871850818396,0.0405273847281933,0.0498929470777512,0.0481845997273922,0.0318664573132992,0.0110918581485748,0.0106439115479589,0.0183813329786062,-9999,-9999,-9999,-9999,-9999,0.0354291573166847,0.0358646251261234,0.0296722985804081,0.0236518476158381,0.0278507973998785,0.0415715165436268,0.0616906434297562,0.0851472318172455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00320996670052409,0.00466604344546795,-9999,-9999,-9999,-9999,0.00588027853518724,0.00513555528596044,1.09456593122559E-07,0.00330278975889087,1.05387869098195E-07,0.00562060531228781,0.0214092377573252,0.0154833784326911,0.0151350861415267,0.0139585984870791,-9999,0.00891238171607256,0.00678836135193706,-9999,-9999,0.00911023747175932,0.00183002150151879,1.24196049000602E-07,1.13857261396788E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00573415867984295,1.31024421534676E-07,-9999,-9999,-9999,0.00174718303605914,0.0932639539241791,0.0848253890872002,0.0821059495210648,0.0764255449175835,0.0606972202658653,0.0462948903441429,0.03059146925807,0.038089856505394,0.0485413409769535,0.0484564118087292,0.0482678636908531,0.0458473525941372,0.043941106647253,0.040916383266449,0.0424728393554688,0.0452057607471943,0.0267061404883862,1.98996263911511E-09,1.79903836272644E-09,1.88356819030844E-09,1.56212109914122E-09,1.58136082006877E-09,3.80497322538531E-09,1.55646002752974E-08,0.000597035977989435,0.0387173965573311,0.0516410730779171,0.0485717244446278,0.036729384213686,0.0207831542938948,0.0164808463305235,0.0206619743257761,0.0267677716910839,0.000537454325240105,2.25209593196496E-08,3.21265787306402E-08,0.0153744602575898,0.0143327852711082,0.0179504565894604,0.017696850001812,0.018865492194891,0.0196807328611612,0.0215775351971388,0.0311427861452103,0.0657738894224167,0.0889382734894753,0.0911329016089439,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
