"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Mutton snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.73915286723059E-05,1.73879434441915E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39613252435811E-05,3.31131086568348E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.32514675516205E-11,5.13064590812462E-11,7.04834454690051E-11,4.30476987389738E-09,-9999,-9999,-9999,-9999,-9999,1.50014093378559E-05,1.85862609214382E-05,2.14518840948585E-05,2.83341923932312E-05,3.81183963327203E-05,5.3311054216465E-05,7.75360385887325E-05,7.47042577131651E-05,7.3042610893026E-05,5.45190086995717E-05,6.40904108877294E-05,5.37057094334159E-05,-9999,-9999,4.26839978899807E-05,4.30756736022886E-05,3.69780173059553E-05,5.43171336175874E-05,5.63026951567736E-05,6.34696334600449E-05,7.00773016433232E-05,7.09187734173611E-05,6.92549801897258E-05,6.65139668853953E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16689070800624E-11,5.75211371589557E-11,1.48218409767864E-10,2.16728773816399E-10,7.87367593346744E-09,1.09657900537741E-08,1.56167434539611E-08,-9999,2.33162769092132E-08,1.45387812153785E-05,1.86130910151405E-05,2.75868824246572E-05,3.91554713132791E-05,5.28147938894108E-05,5.09455276187509E-05,9.53055496211164E-05,9.90959597402252E-05,9.19860904105008E-05,8.96825076779351E-05,8.59596184454858E-05,7.88780162110925E-05,6.61982267047279E-05,5.37562009412795E-05,6.50852380204014E-05,5.60966545890551E-05,4.60766787000466E-05,4.65445300505962E-05,0.000206217082450166,0.000190873033716343,0.000259861815720797,0.000294551864499226,0.000253110338235274,0.000421145698055625,0.00018422567518428,3.48913272318896E-05,2.55884206126211E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.64616366213644E-11,1.42791042878621E-10,8.80479245068955E-10,1.18492138323489E-09,1.81199624194051E-08,1.93158733452492E-08,2.1666256344588E-08,1.02427002275363E-05,8.49181287776446E-06,1.67791404237505E-05,2.63385991274845E-05,3.97939184040297E-05,5.06467622471973E-05,6.37808407191187E-05,7.83242576289922E-05,0.000115439019282348,0.000102071004221216,9.40252793952823E-05,9.3965842097532E-05,9.2372385552153E-05,8.69352516019717E-05,7.57396846893243E-05,6.49556459393352E-05,0.000183068274054676,0.000246880546910688,0.00040984051884152,0.000498322886414826,0.0011502051493153,0.00195885519497097,0.00229353061877191,0.00183594750706106,0.00190070213284343,0.00126794504467398,0.00117757334373891,0.000538395368494093,0.000220958434510976,2.17052056541434E-05,2.13589937629877E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.20761677762493E-05,5.19585846632253E-05,3.2570958865108E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.48741764860461E-06,-9999,-9999,-9999,1.89907063941064E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.52562007471602E-09,1.6348734588334E-09,2.2406309696521E-08,-9999,1.00241513791843E-05,1.51489357449464E-05,1.3883088286093E-05,2.29951147048268E-05,4.06809049309231E-05,5.85008237976581E-05,7.0962640165817E-05,8.57941704452969E-05,9.86486338661052E-05,0.000203866497031413,0.000447096594143659,0.000524959759786725,0.000673988251946867,0.000643141393084079,0.000447774131316692,0.000742945121601224,0.00118979928083718,0.00119207066018134,0.000950675981584936,0.00123566598631442,0.00178808509372175,0.000363626924809068,3.15046527248342E-05,3.75434137822594E-05,0.00194187031593174,0.00239204335957766,0.00197716290131211,0.001573491608724,0.00110967562068254,0.000984702142886817,0.00023888357100077,4.22633820562623E-05,2.40866920648841E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.80630076001398E-05,5.97316247876734E-05,3.80094315914903E-05,3.03803171846084E-05,2.19073626794852E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.22839389607543E-06,2.29920124183991E-06,-9999,-9999,2.38007737607404E-06,3.44258251061547E-06,-9999,-9999,2.77984213425952E-06,2.00124077309738E-06,-9999,-9999,-9999,-9999,-9999,3.40453334501944E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.76236590050394E-05,2.32199345191475E-05,1.55915549839847E-05,2.21792906813789E-05,3.72519170923624E-05,5.47354356967844E-05,6.27944755251519E-05,7.90606645750813E-05,8.60672735143453E-05,0.000141845826874487,0.000828014162834734,0.00165871169883758,0.0020691251847893,0.00242982339113951,0.00211359793320298,0.00227159890346229,0.00270162941887975,0.00301140663214028,0.00229321117512882,0.00306216347962618,3.72250651707873E-05,2.32436650549062E-05,1.40244646900101E-05,1.68224505614489E-05,4.18110175814945E-05,0.000806156836915761,0.00124063936527818,0.00164410017896444,0.0014530107146129,0.00156911369413137,0.00103129795752466,0.000282451597740874,2.75696365861222E-05,2.20886049646651E-05,-9999,-9999,-9999,-9999,-9999,3.75146373698954E-05,5.7492532505421E-05,6.46611006231979E-05,6.55137846479192E-05,5.35878898517694E-05,3.97853036702145E-05,3.03807555610547E-05,2.31005760724656E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.11469375446904E-06,1.63216318469495E-05,-9999,-9999,-9999,-9999,1.43671359182918E-05,1.63512013386935E-05,1.46926531670033E-05,1.4122331776889E-05,2.05339310923591E-05,1.53804085130105E-05,2.28296503337333E-05,1.66703684953973E-05,1.86771158041665E-05,1.68334663612768E-05,-9999,3.63158073923842E-06,3.54893768417242E-06,-9999,-9999,5.65139725949848E-06,4.03613466914976E-06,2.52033510150795E-06,1.3017935998505E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.30779153046024E-06,3.45641478816106E-06,-9999,-9999,-9999,4.10885149904061E-05,3.04593322653091E-05,2.86601061816327E-05,3.73129732906818E-05,4.6464367187582E-05,5.51026132598054E-05,6.78421783959493E-05,7.7258788223844E-05,0.000157642760314047,0.00136337010189891,0.00202628667466342,0.00261633144691586,0.0028397252317518,0.00374131952412426,0.00335124647244811,0.00275448686443269,0.0026050228625536,0.00291437492705882,2.87939983536489E-05,1.40791817102581E-05,1.27648700072314E-05,9.47388161876006E-06,1.01017267297721E-05,1.73781991179567E-05,3.22940541082062E-05,0.000109594911918975,0.00183384749107063,0.00191999669186771,0.00223479885607958,0.00185139919631183,0.000698517367709428,0.000135312089696527,3.66371605196036E-05,2.98391460091807E-05,2.1092488168506E-05,1.34792999233468E-05,2.783987474686E-05,3.45361877407413E-05,3.87502259400208E-05,6.19531710981391E-05,7.85141310188919E-05,7.2611692303326E-05,5.07743316120468E-05,4.04140555474441E-05,3.96756986447144E-05,3.10203322442248E-05,2.49590430030366E-05,1.83512474905001E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
