"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Oceanic piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.17938683661134E-10,8.67606209098426E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35066013928764E-09,1.82175552421171E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.25771137896125E-10,2.63642330189384E-10,2.85380885589603E-10,3.40789396702235E-10,-9999,-9999,-9999,-9999,-9999,9.88155224312948E-10,6.44645337111172E-10,8.24027568402386E-10,1.46599343775478E-09,1.11234665922666E-09,3.73359537730877E-10,1.78952197504856E-09,1.4906963441419E-09,1.82680359728238E-09,8.34714020125915E-10,2.54801646448755E-09,9.18222553547565E-10,-9999,-9999,2.43837644520184E-10,2.65460348147784E-10,3.76509916577561E-07,4.5244527768773E-07,6.95024994001869E-07,8.31851934890437E-07,8.41950395624735E-07,5.44999466001173E-07,4.05166503014698E-07,1.77199893869329E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.26381163814793E-10,2.82004586349416E-10,4.05298072880811E-10,4.74575656550513E-10,5.62925872582554E-10,7.33941074582134E-10,9.62419366423717E-10,-9999,7.44793116069786E-10,1.72490999261754E-09,5.13310949301626E-10,1.74206848946312E-09,3.66920471783772E-09,2.97330893239689E-09,6.00316851784299E-10,5.23910970162689E-10,1.87218107683407E-09,1.1819011325187E-09,9.83661929687685E-10,1.01706398858425E-09,1.01882136060993E-09,6.62498833570169E-10,4.4766815254782E-10,3.25269228218517E-10,3.53307022527005E-10,7.45075112718041E-07,1.03268871498585E-06,1.81232360318972E-06,1.85795852303272E-06,1.95667985281034E-06,2.03735748982581E-06,1.10610710635228E-06,9.53916469370597E-07,5.59000397970522E-07,1.67822236107895E-07,4.37256417740173E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.61985572125312E-10,3.99898780756303E-10,8.55106985220289E-10,1.01565555965522E-09,1.08439246471193E-09,1.03632735726222E-09,1.08986253355425E-09,1.02458830308905E-09,7.05744573892275E-10,5.17877352113061E-10,2.80220002757403E-09,3.37267191952151E-09,2.37157937732491E-09,2.26070384634625E-09,1.62905100520305E-09,1.87984139365938E-09,1.23466448176401E-09,9.76073999403582E-10,1.02070829566259E-09,1.08352160577141E-09,8.94837870468734E-10,9.35625799058926E-10,6.97875257582581E-10,6.47317810464898E-10,9.85345309345576E-07,1.14296665287839E-06,7.94790480540541E-07,1.16750845791103E-06,2.84311063580844E-08,3.9608596580365E-07,9.89862996902957E-07,7.94598179254535E-07,3.34747369379329E-07,4.94385574256739E-07,2.49706204158429E-07,1.0957565876879E-07,4.50714665589658E-08,1.32330697510952E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.87140458579793E-10,2.70707123384284E-10,1.70809255628512E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.11560036051029E-10,-9999,-9999,-9999,1.54653090334023E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.41108258411293E-09,1.42694467353266E-09,1.37871181138394E-09,-9999,1.11894249421596E-09,9.61418056277807E-10,7.79720343846435E-10,6.05647920703944E-10,1.8984445127046E-09,1.33699884496963E-09,1.89479121281977E-09,8.22474310879784E-10,1.36796507455017E-09,1.04941189071894E-09,1.05852870913026E-09,8.9154467142194E-10,8.84947559676164E-10,8.35510771679537E-10,7.24652227113154E-10,7.72897579270904E-10,9.0360117610544E-07,1.02626881925971E-06,1.30851333324244E-06,1.31230979150132E-06,8.85890699464653E-07,2.348971719357E-07,2.53608300226915E-06,8.5868094856778E-07,7.83782496682761E-08,3.09479659676981E-08,2.91717583422724E-08,1.41496144578923E-07,1.42898997523844E-07,1.36961929797508E-07,1.17299450153041E-07,5.60132171756322E-08,1.38840263730344E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15269199635537E-10,1.86596654794258E-10,1.34261241013789E-10,1.26562399449526E-10,1.01508794425609E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.28779115044142E-10,1.39402067667049E-09,-9999,-9999,1.65323488232616E-09,7.73905606266112E-10,-9999,-9999,8.45707170959997E-10,1.03827713093807E-09,-9999,-9999,-9999,-9999,-9999,5.35606725637905E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.21548182629994E-09,9.03903007998252E-10,1.19257459463284E-09,5.48923739795981E-10,2.78702660949648E-09,2.5819406612726E-09,1.8375123644887E-09,1.04681097123915E-09,1.03441422094619E-09,9.36777211357764E-10,7.13817727149291E-10,3.98759109065949E-10,1.21815946840798E-06,1.53205087372044E-06,1.18151865535765E-06,8.98845030405937E-07,1.35950153890008E-06,6.77076684496569E-07,1.70935231835756E-06,5.43426104115952E-08,2.56047337643395E-06,5.79263041800004E-06,4.93570632897899E-06,7.92118953540921E-06,1.60191041231883E-06,1.86288858117223E-07,6.28971790206379E-08,2.76894471795686E-08,2.44691534589947E-07,1.10833852318137E-07,7.45719503925102E-08,7.52201927411988E-08,3.64629038074327E-08,1.35259377032071E-08,-9999,-9999,-9999,-9999,-9999,6.55191123577481E-10,4.02100769347769E-10,2.34921609942873E-10,1.64227700882869E-10,1.28852623015874E-10,1.07325391629498E-10,1.02447120231552E-10,1.01914657268942E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.47789955221123E-10,1.16634035762786E-10,-9999,-9999,-9999,-9999,5.0014181685043E-10,7.28641036396027E-10,1.44345049801764E-10,5.06004571576568E-10,6.71164998578E-11,8.86187179194309E-10,7.30317473163211E-10,9.05548080964991E-10,7.71606667449021E-10,8.52171055942819E-10,-9999,9.97887661391417E-10,1.35898625686082E-09,-9999,-9999,2.10015360657678E-09,4.00126182187321E-10,5.84036541351196E-10,4.70944505615023E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.60636592705777E-10,6.02898952983821E-10,-9999,-9999,-9999,6.51344922442121E-10,4.02536004528997E-09,2.73154965313438E-09,1.01970276666918E-09,2.04113148605245E-09,1.91390503445632E-09,8.37652724960947E-10,1.89487718671444E-06,2.46885474552982E-06,7.12928226676013E-07,5.47937190731318E-07,1.45542264817777E-06,1.31101603528805E-06,1.45645560678531E-06,1.13100020371348E-06,1.69377040037944E-06,1.09431482542277E-06,5.1318099991704E-08,1.22451792776701E-05,9.75006787484745E-06,8.20468812889885E-06,7.19453737474396E-06,9.69275788520463E-06,4.64165123048588E-06,2.1934438336757E-06,3.85639367550539E-07,2.87243420160621E-08,8.65259508486815E-08,5.06136039746252E-08,5.38616617973275E-08,6.72211228902597E-08,7.52102948808897E-08,3.15501829106779E-08,1.99167473624584E-08,1.0975850450734E-08,6.19631368437012E-09,3.77498343695493E-09,1.87470861057193E-09,1.26944987854927E-09,8.47781844726114E-10,5.52250190022363E-10,3.74722280982454E-10,2.41058395467064E-10,1.72460629110915E-10,1.92616186889261E-10,2.21127713362357E-10,2.48756293341756E-10,2.03919062191638E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
