"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Other snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000616346544120461,0.000709393934812397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00102776021230966,0.00115033995825797,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.09364617755637E-05,5.91710850130767E-05,6.33835006738082E-05,0.000770352489780635,-9999,-9999,-9999,-9999,-9999,0.00177674647420645,0.0020739312749356,0.00164458516519517,0.00153085321653634,0.00141618924681097,0.00151580770034343,0.0018498512217775,0.00178994005545974,0.00174934696406126,0.00141760241240263,0.00187220703810453,0.000753438449464738,-9999,-9999,0.00108003010973334,0.00128362374380231,0.00121881125960499,0.00187543162610382,0.00383856403641403,0.00341486022807658,0.00436231214553118,0.0053280689753592,0.00401491625234485,0.00140099436976016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.1904862630181E-05,6.48678978905082E-05,9.47035514400341E-05,0.000109516127849929,0.000993273803032935,0.00112403382081538,0.000985423335805535,-9999,0.00121903116814792,0.00225773151032627,0.00221423082984984,0.00339462189003825,0.00387404696084559,0.00459789764136076,0.00300063728354871,0.00383144221268594,0.00407459819689393,0.0050813197158277,0.00481042172759771,0.00385211012326181,0.0034301255363971,0.00206683366559446,0.00206088623963296,0.0028141331858933,0.00327124074101448,0.00312097230926156,0.00591027783229947,0.00614620232954621,0.00604882556945086,0.00711005507037044,0.00759527832269669,0.00404685363173485,0.00823578890413046,0.00715412385761738,0.00548673374578357,0.00309827248565853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.03513653913978E-05,9.53724884311669E-05,0.000231516198255122,0.00027112039970234,0.00191875058226287,0.00236379681155086,0.00171825778670609,0.00194972811732441,0.00136776838917285,0.00202898564748466,0.00264417589642107,0.00374098517931998,0.00615944666787982,0.00663193920627236,0.00633260747417808,0.00759193114936352,0.00699026603251696,0.00759135140106082,0.0091244513168931,0.00884298048913479,0.00714561622589827,0.00529257766902447,0.0043240706436336,0.00481151975691319,0.00399220734834671,0.00481708720326424,0.00360230961814523,0.00626256410032511,0.00588401639834046,0.00814208202064037,0.00759276235476136,0.00804853811860085,0.00379305076785386,0.005128039047122,0.00485405791550875,0.00429379381239414,0.00193435489200056,0.00132322940044105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00169779604766518,0.00160516065079719,0.00114604854024947,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000144049568916671,-9999,-9999,-9999,0.000109549771877937,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000368725712178275,0.000370667694369331,0.00215409533120692,-9999,0.00178045721258968,0.00255045760422945,0.00155857589561492,0.00153559481259435,0.00216409168206155,0.00359595962800086,0.00478226924315095,0.00369426724500954,0.00687151169404387,0.00861959345638752,0.00654477253556252,0.00597388530150056,0.00802060309797525,0.0115627925843,0.00880776159465313,0.00750711699947715,0.00759905204176903,0.00861581228673458,0.0053257611580193,0.00511117186397314,0.00573093490675092,0.00496678985655308,0.0033179959282279,0.00329916086047888,0.00689768139272928,0.00660562515258789,0.00420026807114482,0.00332733918912709,0.00315294717438519,0.00341468141414225,0.00254841591231525,0.00205297651700675,0.00152884947601706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00626282906159759,0.00799854379147291,0.00147765385918319,0.00113930611405522,0.00123726832680404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000164788973052055,0.000196295412024483,-9999,-9999,0.000166482757776976,0.000159731527674012,-9999,-9999,0.000129430394736119,0.00028728722827509,-9999,-9999,-9999,-9999,-9999,0.00070610927650705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00252689956687391,0.00226133479736745,0.00167354219593108,0.00155984645243734,0.00178157107438892,0.00198812666349113,0.00132179853972048,0.00178154115565121,0.00431235367432237,0.00560228992253542,0.00531645119190216,0.00497799459844828,0.00495977560058236,0.00659804930910468,0.00608802307397127,0.00591645669192076,0.00697691831737757,0.00859459768980742,0.00675945868715644,0.00884693115949631,0.00408761436119676,0.00114519824273884,0.000849951815325767,0.00144889403600246,0.00443061627447605,0.0051136240363121,0.00309618189930916,0.00277115195058286,0.00230709812603891,0.00264628743752837,0.00277964817360044,0.00248151086270809,0.00201129913330078,0.00181093171704561,-9999,-9999,-9999,-9999,-9999,0.00366496527567506,0.00284755113534629,0.00964714121073484,0.00932709220796824,0.00547032011672854,0.00385347730480134,0.00301756919361651,0.00161259598098695,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000221018679440022,0.00290004070848227,-9999,-9999,-9999,-9999,0.00143796612974256,0.00191696803085506,0.00238153175450861,0.00445927260443568,0.00433128094300628,0.00399057939648628,0.00391556415706873,0.00416405685245991,0.00358416209928691,0.00126204383559525,-9999,8.50044889375567E-05,0.000268575444351882,-9999,-9999,0.000910639355424792,0.000431375199696049,0.000349705223925412,0.00161540252156556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000724269892089069,0.000672863039653748,-9999,-9999,-9999,0.00241419347003102,0.00264934147708118,0.00250262301415205,0.00210340577177703,0.00159568013623357,0.00193567795213312,0.00238481792621315,0.00496608205139637,0.00518395798280835,0.00497036008164287,0.00461292127147317,0.00446610385552049,0.00489460257813334,0.00718799466267228,0.00583272380754352,0.00537183275446296,0.00554278818890452,0.00716038141399622,0.00213285908102989,3.5241278965259E-05,3.07614318444394E-05,0.000245837727561593,0.00080313446233049,0.00146846706047654,0.0021526594646275,0.00267068669199944,0.00340688670985401,0.00323876994661987,0.00389314349740744,0.00384425045922399,0.00327496882528067,0.00261673051863909,0.00234056473709643,0.000872788892593235,0.000935227435547858,0.000724341720342636,0.00130550086032599,0.00644137756898999,0.00530411675572395,0.00473898416385055,0.010525711812079,0.00863910373300314,0.00507313571870327,0.00432781036943197,0.00547962728887796,0.00351146794855595,0.00179871881846339,0.0018980959430337,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
