"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Other tunas"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04023053811397E-05,2.0579911506502E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.97059268632438E-05,3.00039337162161E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.9215751478896E-07,3.25445796534041E-07,5.41308793344797E-07,1.15382658805174E-06,-9999,-9999,-9999,-9999,-9999,2.54163132922258E-05,3.52086499333382E-05,4.71393541374709E-05,4.41638840129599E-05,4.0544164221501E-05,3.66742424375843E-05,4.18845629610587E-05,4.14502574130893E-05,4.26938022428658E-05,3.73827315343078E-05,4.50226580142044E-05,3.6892310163239E-05,-9999,-9999,3.49897673004307E-05,3.84732702514157E-05,3.52023089362774E-05,3.48595312971156E-05,6.96497008902952E-05,9.63666388997808E-05,9.3480251962319E-05,9.55661671468988E-05,4.7504945541732E-05,3.9792837924324E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.89900788427622E-07,3.32995767848843E-07,6.49287187570735E-07,1.12484929104539E-06,2.37559856941516E-06,4.24449081037892E-06,7.70656060922192E-06,-9999,1.84284490387654E-05,2.8346492399578E-05,3.62956925528124E-05,5.24742172274273E-05,8.34285165183246E-05,7.55368237150833E-05,5.42644447705243E-05,5.48097850696649E-05,6.54499453958124E-05,6.31213988526724E-05,6.08066948188934E-05,5.97667967667803E-05,5.87738359172363E-05,5.04390300193336E-05,4.60055998701137E-05,4.54502187494654E-05,9.11252500372939E-05,0.000233963466598652,0.000583132321480662,0.00116928794886917,0.00119912042282522,0.00132616655901074,0.00147740624379367,0.00149135105311871,0.00176796491723508,0.00109279190655798,0.000179584894794971,6.13312222412787E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.13739974444616E-07,6.32771730124659E-07,1.58222860591195E-06,2.71322528533346E-06,5.2911095735908E-06,8.14272971183527E-06,1.28052552099689E-05,1.96491673705168E-05,2.76577939075651E-05,3.91546709579416E-05,5.88909169891849E-05,8.91254603629932E-05,0.000153368760948069,0.000234694613027386,0.000315858662361279,0.000377459393348545,0.000316334568196908,0.000432860775617883,0.000554191879928112,0.000365923129720613,0.000350874470314011,0.00032512127654627,0.000371221249224618,0.000962465128395706,0.00116178242024034,0.00138149247504771,0.00172018865123391,0.00309309805743396,0.00918494071811438,0.0071633942425251,0.00489190500229597,0.00451007625088096,0.00372790126129985,0.00322449300438166,0.00207919953390956,0.00116977770812809,0.000372616370441392,5.06456890434492E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.9488304789993E-05,4.56359448435251E-05,4.56499656138476E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.95268109766766E-05,-9999,-9999,-9999,3.02008902508533E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44884620567609E-06,2.22102880798047E-06,4.10969914810266E-06,-9999,8.79797244124347E-06,1.30323423945811E-05,1.8115337297786E-05,2.47929874603869E-05,3.69227018381935E-05,5.12733531650156E-05,7.51792686060071E-05,5.78217768634204E-05,0.000228095625061542,0.00107365741860121,0.00172367750201374,0.00185445393435657,0.00200421991758049,0.00161387282423675,0.00137662375345826,0.00178453966509551,0.00211893348023295,0.00237851240672171,0.00233191018924117,0.00264543667435646,0.00594470277428627,0.0105337044224143,0.00847719889134169,0.0102037070319057,0.0110473595559597,0.0103013543412089,0.00887900218367577,0.00573958642780781,0.00298094842582941,0.00264654564671218,0.00140136841218919,0.000567934766877443,6.62165475660004E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.36061527580023E-05,6.92276225890964E-05,6.26951805315912E-05,4.02543337258976E-05,4.38718598161358E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.53475573117612E-05,4.44174656877294E-05,-9999,-9999,3.9658752939431E-05,3.67001994163729E-05,-9999,-9999,3.42306047969032E-05,2.74472695309669E-05,-9999,-9999,-9999,-9999,-9999,1.43408205985907E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.31461601995397E-05,1.79618855327135E-05,1.12471579996054E-05,1.52522761709406E-05,2.37615167861804E-05,3.20849758281838E-05,4.03560443373863E-05,5.19907734997105E-05,0.000145014360896312,0.00112641928717494,0.00297094159759581,0.00415441021323204,0.00438182195648551,0.00406361510977149,0.00350280082784593,0.00348744378425181,0.00393662648275495,0.00449796160683036,0.00455363700166345,0.0110332984477282,0.00990507751703262,0.00492416974157095,0.00497607840225101,0.00676972977817059,0.0101606696844101,0.0110863503068686,0.010872301645577,0.00932618789374828,0.00552954338490963,0.00449429033324122,0.00268572242930532,0.00146965391468257,0.000460863579064608,7.54488937673159E-05,-9999,-9999,-9999,-9999,-9999,5.21561050845776E-05,5.44612194062211E-05,6.20007122051902E-05,0.000141654789331369,0.000111178640509024,6.73762551741675E-05,6.74241236993112E-05,4.50791121693328E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.82034054887481E-05,2.21469927055296E-05,-9999,-9999,-9999,-9999,3.97590956708882E-05,4.33294590038713E-05,5.67745191801805E-05,6.19690472376533E-05,5.14004095748533E-05,6.53175375191495E-05,6.62243546685204E-05,0.000111292712972499,5.80280684516765E-05,5.50486547581386E-05,-9999,3.69418230548035E-05,4.00671815441456E-05,-9999,-9999,2.23931474465644E-05,1.97971457964741E-05,1.35684094857424E-05,1.60938998305937E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.97038115301984E-06,8.59367173688952E-06,-9999,-9999,-9999,2.3343420252786E-05,1.71346855495358E-05,2.38829488807824E-05,3.07795162370894E-05,2.91858377750032E-05,3.76012794731651E-05,4.89972153445706E-05,0.000206088880077004,0.00125750910956413,0.00399271538481116,0.00555977737531066,0.00616338243708014,0.00549027603119612,0.00592217035591602,0.00611220439895988,0.00561066903173923,0.0060747554525733,0.0112102059647441,0.00646645994856954,0.00500541413202882,0.00486343540251255,0.00484311720356345,0.00486159697175026,0.00588091230019927,0.0091161010786891,0.0107544241473079,0.0101708909496665,0.00740794138982892,0.00558933522552252,0.00362220965325832,0.00183641898911446,0.00092898664297536,9.23164770938456E-05,3.18841011903714E-05,1.92354600585531E-05,1.73729840753367E-05,2.93419943773188E-05,8.27022377052344E-05,0.000184514778084122,0.000266738701611757,0.000336429453454912,0.000283126719295979,0.000248063617618755,0.000186980745638721,0.000135086025693454,6.93562469678E-05,4.51840423920657E-05,3.07207665173337E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
