"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Reef invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000411680463002995,0.000611661351285875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000817216408904642,0.00118415791075677,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.27089033412631E-05,1.64158973348094E-05,1.84574364539003E-05,0.000403586920583621,-9999,-9999,-9999,-9999,-9999,0.00226946943439543,0.00309632509015501,0.0015666545368731,0.00142315472476184,0.00130750669632107,0.0020567022729665,0.00274464208632708,0.00266153668053448,0.00257849646732211,0.00127911067102104,0.00233763572759926,0.00128853437490761,-9999,-9999,0.00151726347394288,0.00156471168156713,0.00146378937643021,0.00223555346019566,0.00504382373765111,0.00522579671815038,0.0062667871825397,0.00772354425862432,0.00475317845121026,0.00175995123572648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.30622584038065E-05,1.91401049960405E-05,3.65467312803958E-05,4.61941635876428E-05,0.000526886258739978,0.000725404941476882,0.000750218518078327,-9999,0.00109250412788242,0.00231808796525002,0.00306772720068693,0.00451007392257452,0.00490796472877264,0.00571120018139482,0.00369999837130308,0.00492035038769245,0.00501275761052966,0.0061956811696291,0.00586035754531622,0.00460999319329858,0.00410219095647335,0.00257663778029382,0.00257484172470868,0.00346013368107378,0.00510585866868496,0.0100243808701634,0.0273896604776382,0.0342268124222755,0.0345900021493435,0.041447963565588,0.0443922020494938,0.0236180685460567,0.0476093254983425,0.0376697294414043,0.0148171279579401,0.00377931771799922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.69980303326156E-05,3.7122932553757E-05,0.00016027943638619,0.000202944909688085,0.00139721867162734,0.00250292546115816,0.00154723413288593,0.00172483921051025,0.000963458500336856,0.00183883798308671,0.00328608579002321,0.00453206431120634,0.00910423137247562,0.0136947138234973,0.0198406018316746,0.0266439840197563,0.0229517556726933,0.0314172580838203,0.042956430464983,0.0333175621926785,0.0269050039350986,0.0192564148455858,0.0167892649769783,0.0259726289659739,0.0228303577750921,0.0285137165337801,0.0224073901772499,0.0431241914629936,0.0415559262037277,0.0591437257826328,0.0559677891433239,0.0574952065944672,0.0252974946051836,0.030755989253521,0.0266026575118303,0.0210010390728712,0.00709254620596766,0.00155338470358402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00250725611113012,0.00158023333642632,0.00150923349428922,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000151707077748142,-9999,-9999,-9999,0.00014246923092287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000279156549368054,0.000288671668386087,0.00175643991678953,-9999,0.00166481477208436,0.00288632535375655,0.00161891244351864,0.00179721519816667,0.00296886288560927,0.0042867511510849,0.00560849346220493,0.00435272231698036,0.018502950668335,0.0450831465423107,0.0399476066231728,0.0373603254556656,0.0500066764652729,0.0699849128723145,0.0530033819377422,0.0467104241251945,0.0492616854608059,0.0581688843667507,0.0367630608379841,0.0365589112043381,0.0452940762042999,0.0398252718150616,0.00279838172718883,0.0168265346437693,0.0536211393773556,0.0489108040928841,0.0286969169974327,0.0224809311330318,0.0194735080003738,0.0197747368365526,0.0134788043797016,0.00870861206203699,0.00204919069074094,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00760828331112862,0.0093721766024828,0.00184605247341096,0.00145644578151405,0.00154908804688603,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000209385703783482,0.00021544769697357,-9999,-9999,0.000220356771023944,0.000215428357478231,-9999,-9999,0.000123271282063797,8.98609214345925E-05,-9999,-9999,-9999,-9999,-9999,0.000705435872077942,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00326853315345943,0.00285068363882601,0.00184512312989682,0.00177571212407202,0.00189168751239777,0.00280701136216521,0.00145175668876618,0.00244001718237996,0.0080749960616231,0.0309558846056461,0.0348446145653725,0.0336275175213814,0.0333382375538349,0.0438578315079212,0.0409832783043385,0.0409581176936626,0.0491702035069466,0.0638313069939613,0.0533589161932468,0.0750158056616783,0.0109138013795018,0.000230111851124093,0.000207476739888079,0.000285093759885058,0.0138475988060236,0.0398835353553295,0.0232319533824921,0.0191588699817657,0.0159422680735588,0.0175898149609566,0.0169035382568836,0.0131221227347851,0.00815014354884624,0.00255571026355028,-9999,-9999,-9999,-9999,-9999,0.00438729766756296,0.00341360433958471,0.0122737120836973,0.0143567118793726,0.00739543465897441,0.00456799287348986,0.00361016276292503,0.00159711367450655,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000219574954826385,0.00384255894459784,-9999,-9999,-9999,-9999,0.00203981366939843,0.00261818780563772,0.00296737626194954,0.00550238694995642,0.00534301484003663,0.00466885510832071,0.00443507730960846,0.00548361800611019,0.00394580932334065,0.00109297758899629,-9999,0.000181225332198665,0.000232142891036347,-9999,-9999,0.000905820226762444,0.000356873730197549,0.000175635490450077,0.000770894985180348,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000679789227433503,0.000529942160937935,-9999,-9999,-9999,0.00363060925155878,0.00387780484743416,0.0036756731569767,0.00304316659457982,0.00166495121084154,0.00267835007980466,0.00285767018795013,0.0121501302346587,0.0289421994239092,0.0328625738620758,0.0320380851626396,0.0317218787968159,0.0345445424318314,0.052162554115057,0.0428606308996677,0.0409486070275307,0.0443277694284916,0.0600614063441753,0.000284881767584011,0.000211404316360131,0.000125929524074309,0.000140310788992792,0.000151432497659698,0.000280680891592056,0.0024454987142235,0.0176267977803946,0.0254245866090059,0.0229910407215357,0.0266957618296146,0.0247148480266333,0.018879733979702,0.0132385268807411,0.00378404837101698,0.00111938861664385,0.00124180677812546,0.000869588402565569,0.0014888170408085,0.00866845715790987,0.0124427257105708,0.0145851690322161,0.0338325425982475,0.0251166485249996,0.0142179569229484,0.00892279576510191,0.00803779251873493,0.00428234878927469,0.00262625119648874,0.00287737906910479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
