"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Reef piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000558336498215795,0.000560320273507386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00097668613307178,0.000946619547903538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0.0012629289412871,-9999,-9999,-9999,-9999,-9999,0.00152862817049026,0.00233119889162481,0.00181495351716876,0.00168115727137774,0.00154807302169502,0.00161171972285956,0.00183795718476176,0.00167724362108856,0.00161758961621672,0.00126024859491736,0.00156839424744248,0.000742070842534304,-9999,-9999,0.000834214093629271,0.000881424348335713,0.000814422848634422,0.00121924781706184,0.00279887299984694,0.00291624525561929,0.00348384049721062,0.00430126441642642,0.00261608697474003,0.000949328823480755,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0.00145544414408505,0.00131227320525795,0.000957746640779078,-9999,0.000780809146817774,0.00150897272396833,0.00214954954572022,0.00314982025884092,0.00327255483716726,0.00375659391283989,0.00256894924677908,0.00325501267798245,0.00307024572975934,0.00370614719577134,0.00346555327996612,0.00277411541901529,0.00248321308754385,0.0015268235001713,0.00145704275928438,0.00198056106455624,0.00297664012759924,0.00570644345134497,0.0144524620845914,0.0165691189467907,0.0165919382125139,0.0192920118570328,0.0202058348804712,0.0107594057917595,0.0226885247975588,0.0189154502004385,0.00857928860932589,0.00228373007848859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0.00263683847151697,0.00246597803197801,0.00122257322072983,0.00130810076370835,0.00103710254188627,0.00183070439379662,0.00222681905142963,0.00289963465183973,0.0053446376696229,0.00769942626357079,0.0106248408555984,0.0137847382575274,0.0121931536123157,0.0165332239121199,0.0221801251173019,0.0179309658706188,0.0145420534536242,0.0104641960933805,0.00889487285166979,0.0129950195550919,0.011388773098588,0.013821386732161,0.0103158298879862,0.0186742693185806,0.0175958033651114,0.0259041786193848,0.0251235775649548,0.026920298114419,0.011733578518033,0.0148504478856921,0.0134168360382318,0.011355908587575,0.00414771120995283,0.000944618892390281,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00152904004789889,0.00143572443630546,0.000859277846757323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0.00221010041423142,-9999,0.00123871921095997,0.00230361032299697,0.0011524457950145,0.00119193142745644,0.00192342908121645,0.00267700105905533,0.00331590743735433,0.00246290978975594,0.00988640543073416,0.0209498442709446,0.0186617374420166,0.0178812723606825,0.0240983590483665,0.0350096635520458,0.0265208818018436,0.0228856932371855,0.0240870676934719,0.0286006387323141,0.017674557864666,0.0163947064429522,0.0189702287316322,0.0130334626883268,0.00138751370832324,0.00618407316505909,0.0200575515627861,0.0198791734874249,0.0120740151032805,0.0104923918843269,0.00938083976507187,0.00965531915426254,0.006814188323915,0.00481823366135359,0.00120183173567057,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0043536345474422,0.00545125175267458,0.00106147746555507,0.000794771476648748,0.000852555152960122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00254675978794694,0.00216351286508143,0.00122080591972917,0.00112687866203487,0.00111972994636744,0.00173496641218662,0.000812626909464598,0.00141128338873386,0.00453035952523351,0.0148134240880609,0.0161413345485926,0.016072491183877,0.0162966046482325,0.0218915715813637,0.0202860776335001,0.0203246045857668,0.0244635809212923,0.031811386346817,0.0247117485851049,0.0316341668367386,0.00501010799780488,5.77754763071425E-05,4.70408776891418E-05,0.000180090937647037,0.00561415124684572,0.0139338104054332,0.00866138469427824,0.00797950848937035,0.00735398335382342,0.00822640955448151,0.00803933199495077,0.00662951078265905,0.00449079321697354,0.00143420277163386,-9999,-9999,-9999,-9999,-9999,0.00221981853246689,0.0017240479355678,0.00653181131929159,0.00804732087999582,0.00401162263005972,0.00253233779221773,0.00207619648426771,0.00137038819957525,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.00235422002151608,-9999,-9999,-9999,-9999,0.00110984488856047,0.00159529875963926,0.00185147381853312,0.00316035840660334,0.00308678252622485,0.0027420565020293,0.0025627741124481,0.00302358344197273,0.00217888015322387,0.00098188838455826,-9999,0,0,-9999,-9999,0,0,0,0.000836161663755774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,-9999,0.00241568172350526,0.00244330032728612,0.00228644930757582,0.00188825686927885,0.000940668222028762,0.00159655453171581,0.00166717718821019,0.00697725731879473,0.0139767797663808,0.0155085949227214,0.0158622916787863,0.0160783622413874,0.0176635272800922,0.02694340236485,0.0216875895857811,0.0204303096979856,0.0214667115360498,0.0263587236404419,0.000167918129591271,5.28013697476126E-05,2.6142781280214E-05,2.71939170488622E-05,4.53651446150616E-05,6.26599867246114E-05,0.0010818854207173,0.00610209116712213,0.0101450430229306,0.0101127838715911,0.0123731438070536,0.0116035956889391,0.00912970211356878,0.00671513937413692,0.00213704700581729,0.000605685054324567,0.000700782926287502,0.000527029274962842,0.000830130418762565,0.00453926855698228,0.00622907280921936,0.00697619561105967,0.0155295124277472,0.0118895899504423,0.00674081034958363,0.00442760623991489,0.00432480173185468,0.00244333012960851,0.00154896546155214,0.00174577778670937,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
