"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Sessile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.01247918186709E-05,6.76802519592457E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.50704779825173E-05,9.12516625248827E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.32778916142706E-06,4.10698430641787E-06,5.09561277795001E-06,2.45854289460112E-06,-9999,-9999,-9999,-9999,-9999,0.278234094381332,0.116850644350052,0.0119956778362393,0.00176091922912747,0.000103273210697807,8.64817193360068E-05,0.142053976655006,0.111724004149437,0.113996177911758,0.112949393689632,0.132692247629166,0.0898824855685234,-9999,-9999,0.0425986796617508,0.035428024828434,0.0326704308390617,0.0331075116991997,0.0363816358149052,0.0424377880990505,0.0471618734300137,0.048607598990202,0.0465265065431595,0.040521178394556,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.38833945331862E-06,5.76723323320039E-06,1.92123734450433E-05,2.70790387730813E-05,3.07353220705409E-05,2.64038517343579E-05,7.45890938560478E-05,-9999,0.0152259347960353,0.287609994411469,0.24457973241806,0.241772949695587,0.218104600906372,0.205599427223206,0.0657175108790398,0.168418049812317,0.123914413154125,0.102600239217281,0.09747314453125,0.095151886343956,0.0854510366916656,0.0734586343169212,0.0632730424404144,0.0493213720619678,0.038754228502512,0.0282524079084396,0.019590687006712,0.0178762190043926,0.0210097897797823,0.0253499317914248,0.0283100549131632,0.028456024825573,0.0243814252316952,0.0231405775994062,0.021337416023016,0.0150474794209003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.12231326865731E-06,2.02946648641955E-05,0.000197485351236537,0.00025756738614291,0.000268114294158295,0.000275904632871971,0.000147801838465966,9.7679701866582E-05,0.000138428818900138,0.2715725004673,0.2342838793993,0.188345745205879,0.152002692222595,0.137295439839363,0.116587854921818,0.100695893168449,0.087692067027092,0.0728964656591415,0.0630326718091965,0.0610546804964542,0.0564230903983116,0.051086500287056,0.0438208989799023,0.0292227473109961,0.0222025811672211,0.0155422547832131,0.0111750597134233,0.00810133386403322,0.000526964548043907,0.00292021362110972,0.00815944373607635,0.00852816645056009,0.00923425424844027,0.00916710495948792,0.00937458034604788,0.00834902282804251,0.0101599097251892,0.0142967887222767,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0656203255057335,0.0646235719323158,0.0640764757990837,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.27418926358223,-9999,-9999,-9999,0.210566326975822,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000349076668499038,0.000363009894499555,0.000352028640918434,-9999,0.000343295891070738,0.000150405525346287,0.000255397957516834,0.164576128125191,0.189241632819176,0.142778411507607,0.126298680901527,0.126227185130119,0.0992907658219337,0.0662824884057045,0.0485810898244381,0.0411853455007076,0.0350408032536507,0.0341747403144836,0.0332349762320518,0.0270978100597858,0.0203679911792278,0.018020611256361,0.0164150819182396,0.0130639281123877,0.00398219004273415,5.46347619092558E-05,2.47178213612642E-05,4.90513302793261E-05,5.22313821420539E-05,0.000318096106639132,0.000990951317362487,0.00378278666175902,0.00790941715240479,0.00822803564369678,0.0105753671377897,0.0112401489168406,0.017635028809309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0658881664276123,0.0681091919541359,0.0667010024189949,0.0667013600468636,0.0669989883899689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.256806612014771,0.256795942783356,-9999,-9999,0.228910222649574,0.202809721231461,-9999,-9999,0.163275867700577,0.1768549233675,-9999,-9999,-9999,-9999,-9999,0.303721278905869,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000333583040628582,0.000288210983853787,0.13614459335804,0.170567020773888,0.154904454946518,0.114881083369255,0.107066661119461,0.106781966984272,0.0873176157474518,0.0551693476736546,0.030001787468791,0.0199495106935501,0.0172464363276958,0.0170020088553429,0.0171538759022951,0.0149015253409743,0.011767016723752,0.00960301049053669,0.0108630731701851,0.000235644154599868,3.62010796379764E-05,5.6789281188685E-06,6.4447208387719E-06,1.313046868745E-05,3.29886934196111E-05,5.83086148253642E-05,5.11321159137879E-05,0.000662722566630691,0.0047667738981545,0.00634375121444464,0.00862123444676399,0.00857617985457182,0.0146881155669689,0.0246903244405985,-9999,-9999,-9999,-9999,-9999,0.0654430165886879,0.0693810135126114,0.0667142048478127,0.070900984108448,0.0745291635394096,0.0738603323698044,0.0708317831158638,0.0690395757555962,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.241569340229034,0.240160152316093,-9999,-9999,-9999,-9999,0.216966509819031,0.227373912930489,0.225734323263168,0.199519664049149,0.191197440028191,0.200966015458107,0.166355237364769,0.134352847933769,0.141098633408546,0.152006104588509,-9999,0.217792719602585,0.237805292010307,-9999,-9999,0.277321994304657,0.299354940652847,0.173189043998718,0.0185489729046822,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.225800022482872,0.173403963446617,-9999,-9999,-9999,0.216526508331299,0.155051782727242,0.136399462819099,0.110680840909481,0.0988683775067329,0.0926757082343102,0.0886412188410759,0.0686958208680153,0.0455826222896576,0.0195024162530899,0.0118588479235768,0.010200634598732,0.0107133248820901,0.00905171874910593,0.00712172966450453,0.00777156790718436,0.00597476726397872,0.000297949591185898,9.29144789552083E-06,6.32660385235795E-06,3.79299649466702E-06,3.92490755984909E-06,3.88228909287136E-06,5.48943353351206E-06,2.33070750255138E-05,6.13705487921834E-05,0.000440358970081434,0.00240663695149124,0.00442708702757955,0.00688030850142241,0.00943897664546967,0.014052102342248,0.0250356625765562,0.0330328606069088,0.057209700345993,2.62817684415495E-05,0.0535486787557602,0.0411811098456383,0.0478975065052509,0.0581432096660137,0.0605307668447495,0.066621832549572,0.0736871883273125,0.0775105208158493,0.0771442204713821,0.0729711949825287,0.0729363858699799,0.0743726789951324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
