"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Skates-rays

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000361668498953804,0.000437051348853856,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000696831091772765,0.000802763795945793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.04655350191751E-05,3.28473215631675E-05,3.28408168570604E-05,0.000877285667229444,-9999,-9999,-9999,-9999,-9999,0.00139174587093294,0.0012656586477533,0.00107646209653467,0.00101388327311724,0.000865933776367456,0.000751019164454192,0.001068708836101,0.0010167604777962,0.000994907808490098,0.000824948830995709,0.00128065713215619,0.000632571696769446,-9999,-9999,0.00030253391014412,0.000522085174452513,0.000400475342758,0.000361209706170484,0.000666892679873854,0.000771014718338847,0.000767590652685612,0.000744540360756218,0.000581195403356105,0.000305480003589764,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.13273958454374E-05,3.55785850842949E-05,4.39071045548189E-05,4.62458228867035E-05,0.00106722582131624,0.00112822826486081,0.00116086471825838,-9999,0.00114529312122613,0.00183828629087657,0.00161711091641337,0.00245362264104187,0.00363428331911564,0.00319443223997951,0.00139194121584296,0.00151223479770124,0.0020768812391907,0.00202938239090145,0.0016950509743765,0.00141490472014993,0.00131328811403364,0.00082479213597253,0.000747085257899016,0.000886550813447684,0.000971767818555236,0.000992458546534181,0.000845363771077245,0.000832831487059593,0.000789814454037696,0.00078941835090518,0.000775874650571495,0.000644315674435347,0.000651436042971909,0.000614459160715342,0.000501305563375354,0.000351350521668792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.45243533956818E-05,4.50365150754806E-05,7.32337066438049E-05,7.84263029345311E-05,0.00161965994630009,0.00195321929641068,0.00156834057997912,0.00156564160715789,0.00149185140617192,0.00187474570702761,0.00284607172943652,0.00378889148123562,0.0050569586455822,0.00521597545593977,0.00391632271930575,0.00408816058188677,0.00318732345476747,0.00264751445502043,0.00253147049807012,0.00244174059480429,0.00204976694658399,0.00189835811033845,0.00149245781358331,0.00132881407625973,0.00106790487188846,0.000881457352079451,0.000550180557183921,0.000536880863364786,0.000343010004144162,0.000409338099416345,0.000464571465272456,0.00048492377391085,0.000338071258738637,0.000427850027335808,0.000389066990464926,0.000347863009665161,0.00029257102869451,0.000297990569379181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000750059145502746,0.000750645180232823,0.00068841694155708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000121818804473151,-9999,-9999,-9999,0.000455071160104126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.94268339127302E-05,9.73481728578918E-05,0.00180984800681472,-9999,0.00151673727668822,0.00188061525113881,0.00132197036873549,0.00116645148955286,0.00172332930378616,0.00256650056689978,0.00343292253091931,0.00175954843871295,0.00382869527675211,0.00315904105082154,0.00281514995731413,0.00230202008970082,0.00220791110768914,0.00212547811679542,0.00177665520459414,0.00171447626780719,0.00119011953938752,0.00116901774890721,0.000913497118744999,0.000695864087902009,0.000484376330859959,0.000303420529235154,5.72198623558506E-05,0.000183469906914979,0.000316185294650495,0.000314065982820466,0.000271884870016947,0.000273362267762423,0.000278309336863458,0.000304532935842872,0.000326867098920047,0.000323816988384351,0.000337277888320386,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000869933050125837,0.00124603055883199,0.000827602867502719,0.000677862903103232,0.000709860702045262,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.20482382550836E-05,0.000428089057095349,-9999,-9999,0.00031242732075043,0.000157703456352465,-9999,-9999,0.000203602277906612,0.000564043992199004,-9999,-9999,-9999,-9999,-9999,3.83218903152738E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00155704689677805,0.00150038243737072,0.00123666203580797,0.00109212263487279,0.00149542617145926,0.00154112291056663,0.00121234520338476,0.000984224257990718,0.00283557316288352,0.00264037423767149,0.00199110945686698,0.00132597680203617,0.00153247034177184,0.0017323037609458,0.0013859384926036,0.00111623969860375,0.00107910658698529,0.000753340602386743,0.000796749489381909,0.00045775412581861,0.000140038740937598,8.23224979740189E-07,1.2095297279302E-06,1.44431196531514E-05,0.000136146350996569,0.000264640169916674,0.000240762601606548,0.000240934852627106,0.000262497662333772,0.000260192959103733,0.00026947126025334,0.000305943773128092,0.000329780159518123,0.000433922075899318,-9999,-9999,-9999,-9999,-9999,0.000740085495635867,0.000777589215431362,0.00120472174603492,0.00134106096811593,0.00150810682680458,0.00135551928542554,0.00108621118124574,0.000761255098041147,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.98648116970435E-05,0.00104137533344328,-9999,-9999,-9999,-9999,0.000713113695383072,0.000857876962982118,0.000886445050127804,0.0018043452873826,0.00133095204364508,0.00180442840792239,0.00189966021571308,0.00245736492797732,0.00154957990162075,0.000755959306843579,-9999,0.000313472410198301,0.000512675615027547,-9999,-9999,0.00066305004293099,3.22672349284403E-05,3.59250261681154E-05,0.00101383635774255,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.42046436748933E-05,5.0378523155814E-05,-9999,-9999,-9999,0.00132855516858399,0.00180974102113396,0.00160724448505789,0.00122870178893209,0.0012490936787799,0.00109089259058237,0.00120043475180864,0.00286033982411027,0.00301163597032428,0.00128491630312055,0.00104019383434206,0.0012560902396217,0.0011265492066741,0.00120451964903623,0.000951633381191641,0.000874402932822704,0.000660760677419603,0.000446662248577923,9.66496281762375E-06,7.9361745974893E-07,4.47142497250752E-07,6.43468240468792E-07,6.75698288432613E-07,5.66243261346244E-06,6.04565866524354E-05,0.000193721483810805,0.000250899000093341,0.000253304548095912,0.000264723465079442,0.000279867381323129,0.000296862330287695,0.00032816591556184,0.000474884640425444,0.000218102839426138,0.000236953594139777,0.00018991382967215,0.000315154291456565,0.000814098457340151,0.00092088698875159,0.000953015754930675,0.00108993577305228,0.00110442750155926,0.00115012272726744,0.00130405777599663,0.00172145175747573,0.00101842521689832,0.000802079623099416,0.000838440668303519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
