"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Swordfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.48794798002928E-07,8.44122666876501E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.18248408398358E-06,1.17388424314413E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.87023274434273E-09,1.03703605702776E-08,1.7899953519418E-08,3.45096538012513E-08,-9999,-9999,-9999,-9999,-9999,3.52142751580686E-06,2.2998244730843E-06,9.27005942230608E-07,6.98780922903097E-07,7.04087767644523E-07,9.52771586071322E-07,3.51948838215321E-05,5.14903767907526E-05,5.15059109602589E-05,1.94148633454461E-05,3.01802519970806E-05,2.61085588135757E-05,-9999,-9999,3.03206870739814E-05,3.11422663799021E-05,4.09075400966685E-05,4.1633342334535E-05,5.64965484954882E-05,6.14768869127147E-05,6.40125290374272E-05,6.3901868998073E-05,6.49728972348385E-05,4.67549944005441E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.85678616715768E-09,1.07596465070969E-08,2.16287308063556E-08,3.82702367573984E-08,7.22909661021731E-08,1.26352716733891E-07,2.47113206341965E-07,-9999,5.7783796592048E-07,3.53057907886978E-06,4.21997674493468E-06,7.16813428880414E-06,1.10601877167937E-05,1.56618025357602E-05,6.68424081595731E-06,3.01061318168649E-05,4.87376419187058E-05,6.97028153808787E-05,6.93276451784186E-05,4.47098282165825E-05,4.08248342864681E-05,3.63361796189565E-05,3.31422670569737E-05,4.20962969656102E-05,3.68026885553263E-05,3.22526502714027E-05,3.84713894163724E-05,3.6251269193599E-05,4.93574661959428E-05,5.12823244207539E-05,5.18778142577503E-05,5.41231165698264E-05,5.6877364841057E-05,3.92724941775668E-05,2.22481030505151E-05,1.87813020602334E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0261009819601E-08,2.15200781639169E-08,5.37113464815775E-08,9.33033916794557E-08,1.65913817795627E-07,2.60255319517455E-07,3.91214342698731E-07,5.73148440707882E-07,5.55075075681088E-07,3.86091232940089E-06,6.78156766298343E-06,1.08009589894209E-05,1.4281951735029E-05,1.96534183487529E-05,2.59284497587942E-05,3.73549082723912E-05,5.16108375450131E-05,7.22229524399154E-05,6.82257377775386E-05,4.67328245576937E-05,4.50879088020884E-05,4.10784450650681E-05,3.52414572262205E-05,4.42421660409309E-05,3.97564654122107E-05,3.32054005411919E-05,4.24221034336369E-05,4.10724751418456E-05,0.000805179995950311,0.000236638283240609,9.61958285188302E-05,8.45380054670386E-05,7.25794743630104E-05,4.34383364336099E-05,2.64652171608759E-05,2.50763914664276E-05,1.56873393279966E-05,1.2317499567871E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.97442385696922E-06,3.94721155316802E-06,2.48352398557472E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.62680817084038E-06,-9999,-9999,-9999,1.51247991198034E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.68747103354872E-08,7.3181702475722E-08,1.27643616565365E-07,-9999,5.3167730129644E-07,7.90850720022718E-07,7.69220378060709E-07,3.20243543683318E-06,9.770306860446E-06,1.47402797665563E-05,1.94075255421922E-05,2.76038190349936E-05,3.2708947401261E-05,4.31175249104854E-05,5.50827026017942E-05,7.82033530413173E-05,7.3684161179699E-05,4.83248659293167E-05,4.63209216832183E-05,4.40011681348551E-05,3.64734296454117E-05,4.99041889270302E-05,4.55680637969635E-05,4.32697670476045E-05,0.000143286742968485,0.0138046955689788,0.0172513984143734,0.0167109109461308,0.00729504926130176,0.0014070353936404,0.00055669603170827,0.000144271005410701,3.85277635359671E-05,4.18570780311711E-05,2.73083333013346E-05,1.90906775969779E-05,1.36489779833937E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.05985394233721E-06,4.69527913082857E-06,3.09242977891699E-06,2.51365395342873E-06,1.73663511304767E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96473035632516E-06,3.08229800793924E-06,-9999,-9999,3.61213142241468E-06,3.46948490914656E-06,-9999,-9999,2.8542660857056E-06,1.98171437659767E-06,-9999,-9999,-9999,-9999,-9999,7.45866918805405E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.00692248503765E-07,1.14986949029117E-06,5.45289231013157E-06,5.01663635077421E-06,1.25602628031629E-05,2.00467875401955E-05,2.67297400569078E-05,3.79425218852703E-05,4.26275146310218E-05,5.21532638231292E-05,6.54776304145344E-05,9.70850305748172E-05,9.32493639993481E-05,5.88297298236284E-05,5.60238295292947E-05,5.35766266693827E-05,4.79599766549654E-05,8.36586623336188E-05,7.82382921897806E-05,0.00213039363734424,0.0173053741455078,0.0170794911682606,0.0167573764920235,0.0168092176318169,0.0173401292413473,0.0127976899966598,0.00726681482046843,0.00076019880361855,0.000124944126582704,9.90401167655364E-05,4.34677240264136E-05,2.87716666207416E-05,2.24226805585204E-05,1.88706235348945E-05,-9999,-9999,-9999,-9999,-9999,1.29112413560506E-05,8.7781318143243E-06,8.51972254167777E-06,5.63678304388304E-06,4.93740571982926E-06,3.47985951520968E-06,2.53405301009479E-06,1.8560883745522E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.25333337261691E-06,7.27247424947564E-06,-9999,-9999,-9999,-9999,4.84417478219257E-06,5.47374702364323E-06,5.07363483848167E-06,5.2489936024358E-06,4.78901165479328E-06,5.43863916391274E-06,5.08995981363114E-06,3.63452477358805E-06,4.64115919385222E-06,3.83314090868225E-06,-9999,4.33544801126118E-06,7.24889605407952E-06,-9999,-9999,9.65382332651643E-06,9.26654502109159E-06,3.00302781397477E-06,7.47385854538152E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.15036196904839E-06,5.67396728001768E-06,-9999,-9999,-9999,1.65786623256281E-05,1.86101860890631E-05,1.24402758956421E-05,1.77647307282314E-05,2.46203071583295E-05,3.38869831466582E-05,4.61752788396552E-05,5.50138793187216E-05,6.36571785435081E-05,8.57891573105007E-05,0.000137777693453245,0.000146436083014123,0.000114145957923029,0.000119048512715381,0.000126364611787722,0.000101878154964652,0.00012381502892822,0.00169496366288513,0.0174363367259502,0.0171747319400311,0.0168091617524624,0.0168299879878759,0.0167993232607841,0.0169226042926311,0.0171864069998264,0.0158986542373896,0.00129614141769707,0.000263069028733298,0.0001428082032362,7.49282407923602E-05,4.53714055765886E-05,3.43388710462023E-05,3.00155406876002E-05,2.56153707596241E-05,1.73572061612504E-05,8.71804445523594E-07,1.44092400660156E-05,1.95163356693229E-05,1.42384587888955E-05,9.93314824881963E-06,1.02575204437017E-05,6.44886722511728E-06,4.68550615551067E-06,3.66335302715015E-06,3.62877062798361E-06,2.66943516180618E-06,1.92527181752666E-06,1.31716137730109E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
