"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Tilefish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.07955360767664E-06,3.08684639094281E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.89347461957368E-06,6.73366639603046E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.54547381436931E-12,3.75573443872623E-12,5.0777819449177E-12,1.00265606928218E-09,-9999,-9999,-9999,-9999,-9999,1.12290230447343E-08,9.34490884674233E-09,7.20148563004841E-09,6.29153884545985E-09,5.63176083545613E-09,3.32608397002332E-06,7.60369675845141E-06,7.6154678936291E-06,1.12562847789377E-05,1.24004900499131E-05,1.46120491990587E-05,1.28045821838896E-05,-9999,-9999,1.17172348836903E-05,1.19003234431148E-05,1.03547463368159E-05,1.53161163325422E-05,1.53177297761431E-05,1.74787219293648E-05,1.92899042303907E-05,1.93965424841736E-05,1.91995895875152E-05,1.89291640708689E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.43812782463326E-12,4.02607808203115E-12,8.5215124887017E-12,1.24782423976955E-11,2.14956918931364E-09,3.06739877942164E-09,4.51366455322955E-09,-9999,7.12958758697368E-09,1.13077884833501E-08,9.8175689799973E-09,9.88965531689701E-09,9.39952915501863E-09,8.51748804819863E-09,3.3726425954228E-06,6.58769658912206E-06,1.04530799944769E-05,9.82212259259541E-06,1.4597238987335E-05,2.10599228012143E-05,1.96716300706612E-05,1.69296999956714E-05,1.46057664096588E-05,1.80362403625622E-05,1.52039692693506E-05,1.18581292554154E-05,1.00099132396281E-05,1.47647169796983E-05,1.48778535731253E-05,1.73844273376744E-05,1.88683097803732E-05,1.74831093318062E-05,1.87312689376995E-05,1.69173254107591E-05,8.77188722370192E-06,6.7965056587127E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.35073808976905E-12,7.90482523188585E-12,2.87401717008473E-11,3.99367448833399E-11,5.6257900560297E-09,5.70423841494971E-09,6.27278051723579E-09,7.19154913397801E-09,6.16090334304431E-09,8.7148457339481E-09,9.35112343114497E-09,9.72561942091943E-09,8.25156210026989E-09,4.10658731198055E-06,5.20514777235803E-06,7.47965987102361E-06,1.02751200756757E-05,9.29058660403825E-06,1.34169822558761E-05,2.06598160730209E-05,1.98160596482921E-05,1.76635330717545E-05,1.49141988003976E-05,1.86080287676305E-05,1.61005500558531E-05,1.42181152114063E-05,1.16089286166243E-05,3.16589830617886E-05,0.000205501259188168,0.000116494331450667,5.63263965887018E-05,5.36637344339397E-05,2.60557917499682E-05,2.67561590590049E-05,1.05539311334724E-05,8.82277436176082E-06,4.81776396554778E-06,4.01347415390774E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.79076447845728E-07,3.20283675137034E-07,2.00551170337349E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.17415690690382E-10,-9999,-9999,-9999,6.94249435717609E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.66989823147512E-11,6.0556407111001E-11,7.20742132642727E-09,-9999,6.88944234994437E-09,7.19065784693385E-09,6.94034296699897E-09,8.16954326410269E-09,9.86961978810541E-09,9.45028677534765E-09,4.65137873106869E-06,6.22571360509028E-06,6.98773283147602E-06,9.0106741481577E-06,1.122062712966E-05,1.05261178759974E-05,1.55647448991658E-05,2.39835298998514E-05,2.21285754378187E-05,2.08202091016574E-05,1.8331418687012E-05,3.00431074720109E-05,2.46021791099338E-05,2.77060444204835E-05,6.31461152806878E-05,0.000606039073318243,0.00044403102947399,0.000659633311443031,0.00088435981888324,0.000388707936508581,0.000146521051647142,4.99039124406409E-05,2.24575360334711E-05,1.68359802046325E-05,9.32705097511644E-06,5.6622320698807E-06,4.62084608443547E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.33477088235668E-07,5.62263835490739E-07,3.62200438530635E-07,2.90889573761888E-07,2.0623126317787E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.0872337432657E-10,9.55311163508554E-10,-9999,-9999,1.04563557812298E-09,1.00618613441128E-09,-9999,-9999,7.77671593787943E-10,8.45709502428349E-10,-9999,-9999,-9999,-9999,-9999,2.03972616574788E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.39016145448568E-09,4.76160857942887E-06,4.96038637720631E-06,3.26584131471463E-06,2.46765284828143E-06,5.47960780750145E-06,6.55708299746038E-06,8.81610685610212E-06,9.57200973061845E-06,1.08766689663753E-05,1.3736688742938E-05,1.27702023746679E-05,1.82419062184636E-05,3.1375719117932E-05,3.03045781038236E-05,3.59725854650605E-05,4.3279243982397E-05,7.00911041349173E-05,6.14709206274711E-05,0.000672324444167316,0.000345389300491661,1.96449145732913E-05,2.01284292415949E-05,0.000223908224143088,0.000871562922839075,0.000917816185392439,0.000520712346769869,0.000143486715387553,4.24356767325662E-05,3.52812421624549E-05,2.01332222786732E-05,9.38252105697757E-06,6.54605082672788E-06,6.55384565106942E-06,-9999,-9999,-9999,-9999,-9999,3.07072764371696E-06,3.14476415042009E-06,2.17177466765861E-06,1.42645239975536E-06,1.1758256732719E-06,8.57153565902991E-07,6.39858967588225E-07,4.89006765747035E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35636846199105E-09,1.05000399486244E-08,-9999,-9999,-9999,-9999,6.44291997531354E-09,7.55111084771443E-09,6.84722367694235E-09,6.18829520959707E-09,6.23694607071457E-09,7.0312671240913E-09,6.94545088109066E-09,4.65285232564838E-09,5.54911938621672E-09,5.17574871850002E-09,-9999,3.54547751157952E-07,6.1666463579968E-07,-9999,-9999,6.620648491662E-07,4.28379820505143E-07,1.29100655499315E-07,8.72245436767116E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91276572358845E-09,1.74920755657837E-09,-9999,-9999,-9999,8.94047025212785E-06,9.77786839939654E-06,6.22798688709736E-06,5.55171845917357E-06,7.05710681359051E-06,8.68187999003567E-06,1.13134119601455E-05,1.24657981359633E-05,1.40775846375618E-05,1.78031223185826E-05,1.63845197675982E-05,3.22278392559383E-05,3.60022931999993E-05,5.41894914931618E-05,6.0247941291891E-05,5.04312811244745E-05,6.90414817654528E-05,0.000511061982251704,6.38541969237849E-05,4.74260968985618E-06,4.35813853982836E-06,1.2137611520302E-05,4.76196073577739E-05,0.00019681456615217,0.000538719992619008,0.000662538688629866,0.000243763846810907,8.78372593433596E-05,6.02233230893034E-05,3.6754943721462E-05,1.12956831799238E-05,7.29473958926974E-06,7.10139283910394E-06,6.00938801653683E-06,6.07656465945183E-06,2.52522409027733E-06,3.54272447111725E-06,2.86651243186498E-06,3.09504798678972E-06,3.23815629599267E-06,2.50819289249193E-06,2.41014754465141E-06,1.69757470303011E-06,1.32937088892504E-06,1.2877451354143E-06,9.91197794064647E-07,7.72300325024844E-07,5.49560695617402E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
