"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Yellowfin tuna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.54975257627666E-06,9.61192017712165E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.41463151521748E-05,1.38988179969601E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.46519162930781E-07,1.25417682284024E-06,2.05645028472645E-06,9.76858791545965E-06,-9999,-9999,-9999,-9999,-9999,3.46731030731462E-05,3.7881160096731E-05,3.9881622797111E-05,3.26271292578895E-05,2.72498073172756E-05,2.41077250393573E-05,3.56361451849807E-05,3.3099055144703E-05,3.16679215757176E-05,2.40501649386715E-05,2.88109840766992E-05,2.38262491620844E-05,-9999,-9999,1.8806749721989E-05,1.94716521946248E-05,1.67918587976601E-05,1.65812234627083E-05,2.74804096989101E-05,3.65634587069508E-05,3.60262820322532E-05,3.67865068255924E-05,1.97296449186979E-05,1.92188817891292E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.79089475599903E-07,1.3578259085989E-06,2.48366882260598E-06,4.05593618779676E-06,1.55612924572779E-05,2.04825573746348E-05,2.67537834588438E-05,-9999,2.12996528716758E-05,4.53892862424254E-05,4.94735249958467E-05,6.60182922729291E-05,8.33667727420107E-05,6.90551387378946E-05,4.08358610002324E-05,4.92343133373652E-05,4.6288943849504E-05,4.23806632170454E-05,4.01729994337074E-05,3.82256948796567E-05,3.51427370333113E-05,2.9343771529966E-05,2.38849570450839E-05,2.0580975615303E-05,3.60686899512075E-05,7.613575871801E-05,0.000200383015908301,0.000444556295406073,0.000427292048698291,0.000494607607834041,0.000564402958843857,0.000594442069996148,0.000853939563967288,0.000439951312728226,5.81114218221046E-05,2.1799438400194E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37543497658044E-06,2.64941832028853E-06,5.72942508370033E-06,9.19326157600153E-06,3.13183772959746E-05,3.7217640056042E-05,3.69833178410772E-05,3.81909121642821E-05,3.54648909706157E-05,5.89121736993548E-05,7.57336019887589E-05,9.54045754042454E-05,0.000133434572489932,0.000162769705639221,0.000194295120309107,0.000202922892640345,0.000161461473908275,0.000219296955037862,0.00027167538064532,0.000164926706929691,0.000154850640683435,0.000125643244246021,0.000134902962599881,0.00037421629531309,0.000465899327537045,0.000594805635046214,0.000893265823833644,0.00197155470959842,0.0106120612472296,0.00691052107140422,0.00373963685706258,0.00337944715283811,0.00296558463014662,0.00222757318988442,0.00123919965699315,0.000582327716983855,0.000129070991533808,1.93591058632592E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0733754101675E-05,4.62717944174074E-05,4.37581438745838E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5198656708817E-06,-9999,-9999,-9999,8.0149593486567E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.4861758397019E-06,6.79207232678891E-06,2.46360177698079E-05,-9999,1.67612197401468E-05,2.08492219826439E-05,2.17163415072719E-05,3.07963309751358E-05,4.6708471927559E-05,5.84138542762958E-05,6.46933040115982E-05,4.66044548375066E-05,0.000117659757961519,0.000640335900243372,0.00106726051308215,0.00117686565499753,0.00128784088883549,0.000927115557715297,0.000717040151357651,0.000928936467971653,0.00129458587616682,0.00137021823320538,0.00124621565919369,0.00150549423415214,0.00496807787567377,0.016271797940135,0.016565790399909,0.0164298713207245,0.0148773230612278,0.0120009630918503,0.00984672084450722,0.00540225487202406,0.0022585978731513,0.00198958325199783,0.000685583043377846,0.000201563278096728,2.43199883698253E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.69883164239582E-05,5.85975285503082E-05,5.51175726286601E-05,4.11719047406223E-05,4.292251469451E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.03002694231691E-05,1.68912611115957E-05,-9999,-9999,1.74137858266477E-05,1.71793690242339E-05,-9999,-9999,1.44631367220427E-05,9.81414268608205E-06,-9999,-9999,-9999,-9999,-9999,1.30299595184624E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.27412238018587E-05,2.4348866645596E-05,1.38854984470527E-05,1.68236547324341E-05,2.47423904511379E-05,3.17702615575399E-05,3.3581458410481E-05,3.82979633286595E-05,7.02285979059525E-05,0.000586767855565995,0.0023447631392628,0.00403906125575304,0.00392043264582753,0.00316091417334974,0.0025725900195539,0.00262014730833471,0.00288554863072932,0.00366315734572709,0.00311335269361734,0.0132125522941351,0.0169411860406399,0.015913525596261,0.0154090318828821,0.0155591629445553,0.0162464864552021,0.0158558879047632,0.0146664697676897,0.0104782786220312,0.00479083228856325,0.00409710081294179,0.00211622403003275,0.000765310425776988,0.00016536278417334,2.99370567518054E-05,-9999,-9999,-9999,-9999,-9999,3.88719017792027E-05,3.97149124182761E-05,4.59791990579106E-05,9.56121803028509E-05,8.8559216237627E-05,5.76051279495005E-05,6.20126811554655E-05,4.36944101238623E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.07694175111828E-06,1.76804569491651E-05,-9999,-9999,-9999,-9999,4.07384322897997E-05,2.96416492346907E-05,4.37003254774027E-05,4.6770139306318E-05,4.37800008512568E-05,4.62852185592055E-05,4.65421726403292E-05,6.9826768594794E-05,3.98146294173785E-05,3.33385651174467E-05,-9999,9.71921690506861E-06,1.5412788343383E-05,-9999,-9999,1.38295281431056E-05,1.46189086080994E-05,6.8897920755262E-06,9.37644563236972E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.23511482949834E-06,4.9160362323164E-06,-9999,-9999,-9999,3.30593866237905E-05,2.1436637325678E-05,2.61196109931916E-05,3.1032832339406E-05,2.42790392803727E-05,2.64574282482499E-05,3.04827772197314E-05,8.60677682794631E-05,0.0005440988461487,0.00358570227399468,0.00579071138054132,0.00598289351910353,0.00491650961339474,0.0052617690525949,0.00541192339733243,0.00441242661327124,0.00490085780620575,0.0127764884382486,0.016900697723031,0.0160535462200642,0.0154162393882871,0.0152919143438339,0.0151768205687404,0.0153359435498714,0.0157136414200068,0.0160306934267282,0.0112229706719518,0.00711283320561051,0.00532510690391064,0.00312805036082864,0.00116565695498139,0.000403223762987182,3.62813552783336E-05,1.71632891579065E-05,1.240037727257E-05,7.71035229263362E-06,2.05439173441846E-05,5.50864097021986E-05,0.000110964370833244,0.000159321294631809,0.000220293921302073,0.000169243241543882,0.000145522295497358,0.000128218583995476,0.000107697516796179,6.2093953602016E-05,4.53317406936549E-05,3.17705307679716E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
