"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Zooplankton

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000110145134385675,0.000250234850682318,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000482210627524182,0.000688885804265738,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.01427235172014E-07,1.02341596175393E-06,1.13148689706577E-06,1.04376988474542E-06,-9999,-9999,-9999,-9999,-9999,0.000376010109903291,0.000229925106395967,0.00033876471570693,0.000659269047901034,0.000483753363369033,0.000161067495355383,0.00126111635472625,0.00126610114239156,0.00146632536780089,0.000481266208225861,0.00175804225727916,0.000795679574366659,-9999,-9999,0.000341605802532285,0.00043498506420292,0.000343437393894419,0.000291037722490728,0.00061514531262219,0.000788557925261557,0.000816936197225004,0.0007751319790259,0.00051922764396295,0.000227839613216929,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.47821895729794E-07,1.94417066268215E-06,1.25750357256038E-05,1.40072834255989E-05,1.2880697795481E-05,2.55453214776935E-05,0.00023384959786199,-9999,0.000247636839048937,0.000873933255206794,0.000254611455602571,0.00121086137369275,0.00351665145717561,0.00293896859511733,0.000445185141870752,0.000427607301389799,0.00235866708680987,0.00187114544678479,0.00151431723497808,0.00135324022267014,0.00145148497540504,0.00100269459653646,0.000923075946047902,0.000828329182695597,0.000888391514308751,0.00102412304840982,0.000924067164305598,0.00124405405949801,0.0014477000804618,0.00159680051729083,0.00171922205481678,0.00136077858041972,0.00118009734433144,0.000878741848282516,0.000341584556736052,0.000108210690086707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34120330130827E-06,1.44088653541985E-05,0.000288861861918122,0.000317435391480103,0.000268225703621283,0.00026668154168874,0.000278610677924007,0.000277332961559296,0.000240158085944131,0.000256313709542155,0.00242434092797339,0.00401783082634211,0.00392967602238059,0.00445363251492381,0.00310062151402235,0.00398434605449438,0.00311014568433166,0.00275602238252759,0.00293872714973986,0.00283151399344206,0.00231235194951296,0.00245498144067824,0.00204396620392799,0.00213745981454849,0.00166280753910542,0.00128322874661535,0.000588554423302412,0.000672981550451368,8.05492436484201E-06,0.000302029453450814,0.000709023384843022,0.000869923969730735,0.000362826074706391,0.000672152440529317,0.000414273672504351,0.000195313681615517,9.60453762672842E-05,5.2921415772289E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.7891782085353E-06,6.51002483209595E-06,5.44989325135248E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000519876484759152,-9999,-9999,-9999,0.00211939169093966,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000403965677833185,0.000396164861740544,0.00031126308022067,-9999,0.000288172799628228,0.000274983787676319,0.000249383767368272,0.000244689843384549,0.00157799141015857,0.00171985290944576,0.00323470495641232,0.00161921710241586,0.00358691811561584,0.00357179157435894,0.00407943362370133,0.00354184559546411,0.00352876144461334,0.00334768393076956,0.00284154457040131,0.00311681488528848,0.00200733379460871,0.00226121372543275,0.00180569489020854,0.00123238365631551,0.000570315925870091,8.07303968031192E-06,1.17544159365934E-05,1.17913887152099E-05,7.58299393055495E-06,7.33002389097237E-06,8.71497741172789E-06,0.000154007502715103,0.000222199538256973,0.000284348323475569,0.00027827441226691,0.000143677490996197,5.91253810853232E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.01848163467366E-05,1.03280926850857E-05,4.85849341202993E-06,6.69105475026299E-07,2.62270600615011E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000370229041436687,0.00164836004842073,-9999,-9999,0.00220677605830133,0.00109592161606997,-9999,-9999,0.0010662927525118,0.00156066124327481,-9999,-9999,-9999,-9999,-9999,0.000234931998420507,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000298731814837083,0.000272313365712762,0.00044744843035005,0.00023753524874337,0.00213639484718442,0.00252216123044491,0.00220238114707172,0.00155817542690784,0.00257754698395729,0.00317750009708107,0.00318258348852396,0.00210131285712123,0.00302990851923823,0.00368299055844545,0.00293188984505832,0.00213554804213345,0.00243165553547442,0.00125044211745262,0.00175266643054783,1.53139480971731E-05,1.42254366437555E-05,4.0708855522098E-06,3.89968954550568E-06,2.39023993344745E-05,1.13083424366778E-05,6.57982809570967E-06,5.29441149410559E-06,7.10058884578757E-06,0.000265726528596133,0.000187429715879261,0.000164118740940467,0.000147548227687366,0.000102543061075266,5.60543994652107E-05,-9999,-9999,-9999,-9999,-9999,1.16998071462149E-05,1.10980199679034E-05,1.07732421383844E-05,1.61285224749008E-05,9.62557351158466E-06,6.35124933978659E-06,5.4847896535648E-06,3.06619358525495E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000279632222373039,8.12938960734755E-05,-9999,-9999,-9999,-9999,0.000641799997538328,0.00101429841015488,0.000203649324248545,0.00104263564571738,9.43366685532965E-05,0.00189483724534512,0.00175990117713809,0.00272603263147175,0.0018851428758353,0.00142655894160271,-9999,0.00160556950140744,0.0021178862079978,-9999,-9999,0.00190510449465364,0.000193761836271733,0.000231284502660856,0.000139565789140761,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000314964214339852,0.000313305470626801,-9999,-9999,-9999,0.000271072960458696,0.00254955631680787,0.002055469667539,0.000849314383231103,0.00211455812677741,0.00240299408324063,0.00150792871136218,0.00286425068043172,0.0043454454280436,0.00173657317645848,0.00142306543421,0.00266911718063056,0.0023928212467581,0.00277289608493447,0.00207304023206234,0.00203053746372461,0.00119699176866561,1.22580559036578E-05,2.24989835260203E-05,7.58409487389144E-06,5.14234807269531E-06,4.07070001529064E-06,1.03631045931252E-05,3.70377483704942E-06,5.14157454745146E-06,5.1814827202179E-06,4.38900542576448E-06,8.48179261083715E-05,8.11121281003579E-05,0.000125716745969839,0.000112659312435426,0.000108133630419616,4.97551736771129E-05,1.63299755513435E-05,1.94661288333009E-06,1.09997517938609E-06,8.53488302254846E-07,8.65184574649902E-06,1.57916310854489E-05,1.83088068297366E-05,1.75793848029571E-05,1.84107902896358E-05,1.38921413963544E-05,8.64469529915368E-06,7.4173499342578E-06,4.55495091955527E-06,1.79284984369588E-06,4.73711082804584E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
