"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"10/21/2024 5:10:42 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\Matt Woodstock\Documents\USGWEM Ecospace\USGWEM_v2.02.eweaccdb.mdb"
"<HEADER ecosim/>"
EcosimScenario,sim-spa_02
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\Matt Woodstock\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Comm_Longline_Pelagic

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00523746479302645,0.00522840581834316,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00708131492137909,0.0070403921417892,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00285547086969018,0.00399458548054099,0.00544578954577446,0.00748158199712634,-9999,-9999,-9999,-9999,-9999,0.00746243726462126,0.00994444079697132,0.0130488164722919,0.0118569526821375,0.0108360582962632,0.0100080529227853,0.00946688465774059,0.00935951806604862,0.00916602741926908,0.00894477497786283,0.00870771333575249,0.00815909914672375,-9999,-9999,0.00833734404295683,0.00816931668668985,0.00838359259068966,0.00836803950369358,0.0126344421878457,0.0149201452732086,0.0143718831241131,0.0146008599549532,0.00952696800231934,0.00888747628778219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00304503878578544,0.00430088955909014,0.00587592599913478,0.00777051318436861,0.00858775433152914,0.00974544603377581,0.00864306837320328,-9999,0.00821636617183685,0.0101520549505949,0.0118831992149353,0.0144809270277619,0.018099706619978,0.0160987675189972,0.0145686380565166,0.0133519498631358,0.0127004738897085,0.0125765185803175,0.0121935121715069,0.0113789290189743,0.0110104708001018,0.0103868693113327,0.0093945125117898,0.0091928755864501,0.0147406430914998,0.0280800741165876,0.0585105307400227,0.102007701992989,0.101791009306908,0.109162263572216,0.118423528969288,0.128384754061699,0.154580295085907,0.100471697747707,0.0258223041892052,0.0140014467760921,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00453878426924348,0.00640451209619641,0.00867098942399025,0.0114472229033709,0.0125149646773934,0.0137299308553338,0.0116169760003686,0.0129163330420852,0.011522795073688,0.0156447943300009,0.0175009313970804,0.0204880870878696,0.0294195991009474,0.0367211289703846,0.0454505831003189,0.0457140915095806,0.0404863990843296,0.0527437962591648,0.0612684935331345,0.0409771576523781,0.0397257283329964,0.0356952100992203,0.040167398750782,0.0875796973705292,0.105504423379898,0.12362464517355,0.167873114347458,0.266412079334259,0.749718189239502,0.554212272167206,0.387334316968918,0.361988961696625,0.346459805965424,0.290618062019348,0.20662397146225,0.133640825748444,0.0538242347538471,0.0128950346261263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00708847772330046,0.0104641765356064,0.0104851452633739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00300707272253931,-9999,-9999,-9999,0.00266787922009826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00569088570773602,0.00789165589958429,0.00868264865130186,-9999,0.00581568852066994,0.00710984505712986,0.00769639294594526,0.010084324516356,0.01132507994771,0.0132270688191056,0.0159887559711933,0.013679763302207,0.0317489504814148,0.111055098474026,0.169623598456383,0.185524225234985,0.19177183508873,0.14900304377079,0.129087015986443,0.154489383101463,0.192015632987022,0.203543573617935,0.20143161714077,0.225033208727837,0.460651397705078,1.17617726325989,1.22662603855133,1.22368907928467,1.04326784610748,0.829661309719086,0.722047865390778,0.499857902526855,0.300575166940689,0.275872886180878,0.14947235584259,0.0687506124377251,0.0146351512521505,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00993741676211357,0.0147190559655428,0.0148582868278027,0.0100544039160013,0.0101230451837182,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00410304730758071,0.0061692432500422,-9999,-9999,0.00730318063870072,0.00688802450895309,-9999,-9999,0.00557928578928113,0.00390682648867369,-9999,-9999,-9999,-9999,-9999,0.00488758832216263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00843373592942953,0.00917376298457384,0.00464496249333024,0.00558998947963119,0.00689694099128246,0.00834405422210693,0.0102240601554513,0.0126532288268209,0.022967841476202,0.115549586713314,0.290878713130951,0.405785918235779,0.39872744679451,0.3418909907341,0.303866505622864,0.306772619485855,0.320187777280807,0.372752040624619,0.348102957010269,0.870468437671661,1.22936117649078,1.22112381458282,1.21841812133789,1.21831929683685,1.21995091438293,1.16664350032806,0.994322180747986,0.726098954677582,0.474282801151276,0.42606446146965,0.288274616003036,0.15867255628109,0.0583549179136753,0.014991925098002,-9999,-9999,-9999,-9999,-9999,0.0128737697377801,0.012945219874382,0.0134316505864263,0.0257673915475607,0.0215947721153498,0.0141328470781446,0.0143991960212588,0.00982706900686026,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00409324700012803,0.00529491482302547,-9999,-9999,-9999,-9999,0.0122760478407145,0.00974756292998791,0.0152309769764543,0.015361538156867,0.0151592949405313,0.0150839518755674,0.0142710525542498,0.0234802663326263,0.0143359713256359,0.0108474530279636,-9999,0.00346643105149269,0.00627997890114784,-9999,-9999,0.00536122405901551,0.00538503378629684,0.00349983526393771,0.00469798780977726,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00176480750087649,0.00257811974734068,-9999,-9999,-9999,0.00954346731305122,0.00585455866530538,0.0067407232709229,0.00840879045426846,0.00753965927287936,0.00928002968430519,0.0115416292101145,0.0279474463313818,0.11359129846096,0.379777640104294,0.504443287849426,0.514398694038391,0.45537668466568,0.457596600055695,0.472920715808868,0.424601227045059,0.456887066364288,0.849980413913727,1.23963892459869,1.22490847110748,1.21819877624512,1.21535003185272,1.21536290645599,1.21748197078705,1.22364258766174,1.22052097320557,0.821667969226837,0.59579473733902,0.488579392433167,0.353803098201752,0.199170336127281,0.103093057870865,0.0171621330082417,0.00911323446780443,0.00679231621325016,0.00746305799111724,0.0114290043711662,0.0204445309937,0.0347317010164261,0.0457247868180275,0.0533424988389015,0.0454977639019489,0.0410614535212517,0.034651443362236,0.0241897720843554,0.0141119221225381,0.00980874244123697,0.00676592672243714,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
